Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,KANPRPLA,235.0,235.0,211.25,222.55,21321,13772
2021-08-24,KANPRPLA,229.0,235.0,218.1,232.65,15155,9231
2021-08-25,KANPRPLA,235.0,235.0,226.0,230.55,10121,7751
2021-08-26,KANPRPLA,232.5,235.0,225.45,234.45,8462,4599
2021-08-27,KANPRPLA,235.05,238.9,228.95,234.2,7244,5559
2021-08-30,KANPRPLA,232.15,250.25,232.1,243.1,23690,13545
2021-08-31,KANPRPLA,243.1,249.75,240.85,247.2,9548,6248
2021-09-01,KANPRPLA,249.7,250.45,240.15,249.2,17053,13420
2021-09-02,KANPRPLA,252.0,255.0,245.05,253.3,11506,7829
2021-09-03,KANPRPLA,254.4,266.0,248.4,254.0,38363,20856
2021-09-06,KANPRPLA,259.7,265.0,255.05,263.95,26655,17940
2021-09-07,KANPRPLA,268.95,268.95,258.4,259.95,9124,6359
2021-09-08,KANPRPLA,260.0,261.8,247.05,253.4,14673,8650
2021-09-09,KANPRPLA,250.5,257.0,248.0,253.2,18295,9986
2021-09-13,KANPRPLA,260.0,265.0,252.95,261.7,36822,26717
2021-09-14,KANPRPLA,265.0,265.0,251.0,252.95,43523,34633
2021-09-15,KANPRPLA,169.45,185.5,169.45,185.5,80165,47869
2021-09-16,KANPRPLA,202.0,203.4,189.5,191.35,102728,52328
2021-09-17,KANPRPLA,192.1,193.0,176.2,180.45,36059,25591
2021-09-20,KANPRPLA,181.95,181.95,167.05,170.35,20893,15626
2021-09-21,KANPRPLA,173.7,175.0,160.2,173.65,28931,16206
2021-09-22,KANPRPLA,174.9,174.9,170.05,171.35,9014,6418
2021-09-23,KANPRPLA,173.95,176.0,168.5,169.85,12395,9042
2021-09-24,KANPRPLA,172.9,172.9,164.5,164.8,15844,13808
2021-09-27,KANPRPLA,168.0,168.0,160.1,161.95,21353,13726
2021-09-28,KANPRPLA,164.9,164.95,154.9,157.55,20369,12840
2021-09-29,KANPRPLA,160.0,160.0,155.0,156.25,11171,7063
2021-09-30,KANPRPLA,159.8,159.8,153.0,154.75,22211,15732
2021-10-01,KANPRPLA,157.95,158.0,151.0,153.35,20748,13226
2021-10-04,KANPRPLA,153.35,156.7,152.05,152.85,19048,15489
2021-10-05,KANPRPLA,152.9,168.1,152.85,167.05,77185,47102
2021-10-06,KANPRPLA,168.15,177.1,168.15,173.35,46631,27502
2021-10-07,KANPRPLA,178.0,178.0,166.1,171.1,16346,9663
2021-10-08,KANPRPLA,173.8,178.0,166.0,172.1,36249,24845
2021-10-11,KANPRPLA,175.0,175.0,168.0,168.5,23468,14664
2021-10-12,KANPRPLA,170.1,171.5,161.5,164.8,22398,13080
2021-10-13,KANPRPLA,165.0,169.0,165.0,165.1,18559,15874
2021-10-14,KANPRPLA,168.25,169.9,162.0,163.85,24897,16016
2021-10-18,KANPRPLA,163.2,173.4,163.2,170.0,45321,36049
2021-10-19,KANPRPLA,174.95,180.6,169.95,172.45,50616,39080
2021-10-20,KANPRPLA,177.0,177.0,167.55,175.0,54139,46733
2021-10-21,KANPRPLA,176.9,177.25,172.4,175.35,14387,13040
2021-10-22,KANPRPLA,175.35,181.8,170.05,178.2,101995,64267
2021-10-25,KANPRPLA,180.0,180.0,169.3,170.9,28967,19617
2021-10-26,KANPRPLA,172.45,174.85,169.7,172.35,7975,5421
2021-10-27,KANPRPLA,177.95,177.95,169.05,170.65,23917,17166
2021-10-28,KANPRPLA,173.0,173.0,167.05,167.4,8479,6298
2021-10-29,KANPRPLA,168.2,172.0,166.1,166.5,9199,6500
2021-11-01,KANPRPLA,166.0,173.3,166.0,172.95,12392,8144
2021-11-02,KANPRPLA,174.0,177.5,173.7,174.1,24371,19976
2021-11-03,KANPRPLA,177.8,179.5,174.5,175.85,22421,18926
2021-11-04,KANPRPLA,175.85,189.8,174.05,178.25,12300,9134
2021-11-08,KANPRPLA,178.25,179.0,176.0,176.6,29634,28249
2021-11-09,KANPRPLA,180.0,181.5,176.6,179.15,19339,15668
2021-11-10,KANPRPLA,179.15,181.4,174.65,176.65,12225,8498
2021-11-11,KANPRPLA,179.9,179.9,172.0,172.9,20196,17198
2021-11-12,KANPRPLA,175.95,181.45,175.95,176.95,79665,66568
2021-11-15,KANPRPLA,176.95,176.95,159.3,159.3,58836,49651
2021-11-16,KANPRPLA,150.0,164.9,150.0,153.65,48860,33141
2021-11-17,KANPRPLA,144.5,150.45,138.5,139.4,218203,137322
2021-11-18,KANPRPLA,143.0,143.0,136.25,138.5,34482,25724
2021-11-22,KANPRPLA,141.0,143.8,134.0,135.0,28558,19268
2021-11-23,KANPRPLA,134.0,140.0,134.0,138.25,47236,36258
2021-11-24,KANPRPLA,136.0,139.9,135.0,137.0,11113,8219
2021-11-25,KANPRPLA,137.1,141.7,137.1,140.1,19498,13114
2021-11-26,KANPRPLA,142.75,142.75,133.1,134.4,43269,24950
2021-11-29,KANPRPLA,129.0,132.95,129.0,130.35,24831,15734
2021-11-30,KANPRPLA,130.0,133.7,130.0,130.7,7265,4955
2021-12-01,KANPRPLA,130.4,131.95,125.9,128.15,16764,12551
2021-12-02,KANPRPLA,132.45,132.5,128.25,132.1,11289,9251
2021-12-03,KANPRPLA,132.95,133.0,126.2,129.15,22658,16999
2021-12-06,KANPRPLA,128.0,132.25,128.0,129.1,6175,4733
2021-12-07,KANPRPLA,129.5,131.9,128.1,131.5,6570,4483
2021-12-08,KANPRPLA,134.15,134.5,127.1,131.5,8633,5818
2021-12-09,KANPRPLA,133.0,133.15,129.0,130.2,17729,14362
2021-12-10,KANPRPLA,132.85,136.35,129.0,135.45,18754,12139
2021-12-13,KANPRPLA,140.5,140.5,133.05,133.3,22293,14510
2021-12-14,KANPRPLA,133.0,134.85,131.05,133.65,7313,3924
2021-12-15,KANPRPLA,135.0,135.9,131.1,132.4,9999,7290
2021-12-16,KANPRPLA,134.2,135.7,132.35,133.7,7043,5337
2021-12-17,KANPRPLA,133.75,133.75,126.0,129.25,16560,9863
2021-12-20,KANPRPLA,130.3,130.3,120.0,122.75,20882,15007
2021-12-21,KANPRPLA,127.0,127.1,123.15,123.9,4666,3437
2021-12-22,KANPRPLA,125.1,126.7,122.0,122.65,6723,3442
2021-12-23,KANPRPLA,123.0,125.0,122.75,123.65,5331,4295
2021-12-24,KANPRPLA,129.0,129.0,122.25,123.85,7690,4157
2021-12-27,KANPRPLA,129.0,129.0,123.05,124.6,5374,3721
2021-12-28,KANPRPLA,127.9,131.0,124.0,126.1,21309,11080
2021-12-29,KANPRPLA,128.3,130.0,124.25,129.0,18823,12299
2021-12-30,KANPRPLA,129.0,134.0,126.5,129.45,54377,33929
2021-12-31,KANPRPLA,129.5,131.9,127.0,127.95,20063,12397
2022-01-03,KANPRPLA,131.95,131.95,125.5,126.55,26422,18972
2022-01-04,KANPRPLA,127.95,130.0,126.75,128.05,31347,22415
2022-01-05,KANPRPLA,130.65,135.15,127.5,130.35,54820,38123
2022-01-06,KANPRPLA,129.2,132.5,128.15,129.85,15744,10945
2022-01-07,KANPRPLA,130.95,136.45,130.1,135.55,30195,18391
2022-01-10,KANPRPLA,137.85,139.0,134.05,136.2,31232,23134
2022-01-11,KANPRPLA,138.2,138.55,133.2,134.35,27859,16987
2022-01-12,KANPRPLA,134.3,143.5,133.7,140.1,56500,33904
2022-01-13,KANPRPLA,143.0,143.0,134.6,137.25,28117,17595
2022-01-14,KANPRPLA,141.2,141.2,135.1,136.0,18052,12779
2022-01-17,KANPRPLA,136.0,142.4,135.0,138.65,38470,23667
2022-01-18,KANPRPLA,141.2,141.2,134.8,136.3,38010,26155
2022-01-19,KANPRPLA,140.8,140.8,130.4,132.55,26774,16984
2022-01-20,KANPRPLA,134.5,144.5,131.45,142.15,49100,30805
2022-01-21,KANPRPLA,139.9,141.95,131.1,135.15,50816,36056
2022-01-24,KANPRPLA,135.1,137.45,127.1,130.6,48936,7600
2022-01-25,KANPRPLA,130.05,136.0,128.3,134.95,16184,10326
2022-01-27,KANPRPLA,134.05,139.5,131.65,136.8,19321,13965
2022-01-28,KANPRPLA,139.0,141.5,131.7,134.35,32061,14561
2022-01-31,KANPRPLA,141.9,141.9,135.05,135.8,7874,3690
2022-02-01,KANPRPLA,136.0,142.8,136.0,141.5,35517,24366
2022-02-02,KANPRPLA,142.0,142.0,138.65,140.35,9397,7208
2022-02-03,KANPRPLA,140.0,143.0,139.1,140.3,9995,5180
2022-02-04,KANPRPLA,139.15,141.85,136.05,138.5,15411,11969
2022-02-07,KANPRPLA,142.0,142.95,137.55,138.65,21551,13079
2022-02-08,KANPRPLA,139.3,140.95,135.25,137.3,18936,11234
2022-02-09,KANPRPLA,137.0,141.0,133.1,136.1,12758,8574
2022-02-10,KANPRPLA,135.75,137.3,130.1,133.75,31496,18614
2022-02-11,KANPRPLA,133.6,134.05,131.3,132.2,10128,8372
2022-02-14,KANPRPLA,125.0,134.95,125.0,126.05,18561,11961
2022-02-15,KANPRPLA,125.0,128.9,125.0,128.45,6173,3473
2022-02-16,KANPRPLA,133.7,133.7,127.85,128.7,6094,4855
2022-02-17,KANPRPLA,131.3,131.9,128.0,128.6,5164,3342
2022-02-18,KANPRPLA,128.0,134.95,127.05,129.65,15201,9985
2022-02-21,KANPRPLA,129.0,132.85,123.8,129.45,24548,14499
2022-02-22,KANPRPLA,122.3,126.55,118.55,123.35,49162,36552
2022-02-23,KANPRPLA,122.0,125.95,120.0,120.45,12230,7006
2022-02-24,KANPRPLA,122.0,122.0,107.1,108.8,19689,11617
2022-02-25,KANPRPLA,116.95,119.65,113.45,118.6,9911,5640
2022-02-28,KANPRPLA,118.0,125.0,112.2,120.85,7291,4975
2022-03-02,KANPRPLA,118.0,121.3,117.0,117.5,8991,6696
2022-03-03,KANPRPLA,120.05,122.15,118.0,118.8,10701,5089
2022-03-04,KANPRPLA,118.8,118.8,109.0,112.15,38684,22788
