Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,43.95,46.5,42.25,44.1,1610346,802222,49.816747456757746,-6.446873200286262,49.816747456757746
2020-09-06,44.15,46.2,40.45,43.1,1212627,752349,62.04290354742225,-11.302404782258469,-12.226156090664503
2020-09-13,43.15,44.9,41.0,41.5,659902,394278,59.74796257626133,-55.73037695435022,-71.97411866692583
2020-09-20,41.9,43.7,39.05,39.35,603448,341500,56.59145444180774,-105.01970824237623,-128.5655731087336
2020-09-27,39.95,43.0,34.6,40.0,1779173,608489,34.20066514048943,-95.24808963080783,-94.36490796824415
2020-10-04,40.05,44.1,37.45,43.05,931405,524383,56.30021311889028,-56.72689118104087,-38.06469484935388
2020-10-11,43.4,48.5,42.0,46.3,7296903,2552712,34.98349916396038,-45.42452991268447,-3.081195685393496
2020-10-18,46.45,46.65,39.35,40.95,2036824,948964,46.590377960982394,-71.59172849351017,-49.67157364637589
2020-10-25,41.0,42.3,40.3,41.6,1198348,534829,44.63052468898851,-58.202571086813435,-5.041048957387382
2020-11-01,41.85,42.3,39.3,40.0,650080,302297,46.5015075067684,-83.00337509042316,-51.54255646415578
2020-11-08,40.35,44.3,40.0,40.45,2274839,847208,37.24254771436572,-112.450970957596,-14.30000874979006
2020-11-15,40.9,45.45,40.6,41.85,3742881,1655878,44.24073327471539,-133.88720254431377,29.94072452492533
2020-11-22,42.65,45.0,40.95,43.7,1940720,996744,51.35949544498949,-115.49923503931748,81.30021996991482
2020-11-29,44.0,54.25,41.35,52.9,11409107,5710875,50.05540749157669,-75.92054074365221,131.3556274614915
2020-12-06,55.7,55.85,48.55,51.4,6204277,3213730,51.79862214404676,-87.27366340536109,79.55700531744475
2020-12-13,51.9,52.9,49.0,50.05,3397138,1829953,53.86749081138299,-112.13558224138407,25.689514506061755
2020-12-20,50.0,64.9,50.0,57.9,12127144,5359565,44.19478320699416,-109.46609869196834,69.88429771305591
2020-12-27,57.9,67.0,53.2,60.6,10003529,3560524,35.59267934345969,-106.8869190293988,105.47697705651561
2021-01-03,61.95,67.7,58.8,63.3,8292218,3893848,46.95785856088202,-106.35930264107431,152.43483561739762
