Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,60.65,64.25,58.9,60.95,1629755,682698,41.88960917438511,-9.787291863174032,41.88960917438511
2020-09-06,60.95,61.95,55.1,58.55,898575,469188,52.21467323261832,-9.406162861476163,-10.32506405823321
2020-09-13,58.8,58.8,55.0,57.0,414025,209607,50.62665297989252,-6.741602178323886,-60.95171703812573
2020-09-20,57.0,73.95,56.1,62.15,5869106,2128502,36.26620476781302,-18.423993069916328,-24.685512270312707
2020-09-27,62.4,62.8,55.1,57.45,688412,299627,43.52437203302673,-35.38154061525138,-68.20988430333944
2020-10-04,58.4,60.0,57.5,58.3,277719,110809,39.89968277287474,-49.74542641348638,-28.310201530464695
2020-10-11,58.6,67.4,57.55,62.95,3124626,827421,26.480641203139193,-47.19145594211762,-1.8295603273255026
2020-10-18,64.35,66.0,60.4,62.4,1221488,462248,37.84302424583787,-58.003748583785594,-39.67258457316337
2020-10-25,62.0,64.0,61.45,61.95,397662,175387,44.10454104239279,-84.8123911781812,-83.77712561555616
2020-11-01,61.75,63.25,57.6,59.15,532035,236088,44.37452423242832,-104.83983131848075,-128.1516498479845
2020-11-08,59.95,62.0,57.0,59.65,286579,124073,43.294519137829354,-102.24216017021101,-84.85713071015513
2020-11-15,59.1,67.0,58.1,64.85,3271862,1086862,33.21845481258073,-85.07307116595584,-51.6386758975744
2020-11-22,64.85,67.45,61.5,61.7,422737,254828,60.28050537331722,-141.3011055898063,-111.91918127089161
2020-11-29,62.0,64.1,61.0,62.85,492974,239032,48.48774986104744,-131.91637981024857,-63.43143140984417
2020-12-06,63.0,68.2,61.6,66.35,2183866,730320,33.44161226009288,-117.22233805960178,-29.98981914975129
2020-12-13,66.8,73.5,64.85,67.05,3107315,1158850,37.29425565158344,-135.54610528725837,7.30443650183215
2020-12-20,67.95,70.8,64.9,66.35,928651,458633,49.38701406664075,-160.65814633809282,-42.0825775648086
2020-12-27,68.5,68.7,60.0,65.65,1093917,374434,34.228739474749915,-150.42886787437442,-76.31131703955852
2021-01-03,65.15,67.45,64.95,65.95,523092,271667,51.93484128986871,-160.81583613234815,-24.37647574968981
2021-01-10,66.85,75.4,66.1,71.6,4809043,1699623,35.34222921275605,-154.3554286418444,10.965753463066243
