Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,LFIC,58.0,61.0,55.2,56.65,3763,2153
2020-08-27,LFIC,58.85,58.85,53.85,55.2,3785,2185
2020-08-28,LFIC,55.95,56.45,52.7,54.1,3123,785
2020-08-31,LFIC,54.1,56.7,52.2,52.55,1716,1133
2020-09-01,LFIC,52.0,52.95,51.0,51.0,1512,931
2020-09-02,LFIC,53.55,53.55,51.05,53.0,604,524
2020-09-03,LFIC,53.0,55.0,50.5,53.0,1135,635
2020-09-04,LFIC,50.35,53.0,50.35,50.75,940,920
2020-09-07,LFIC,53.15,53.25,50.3,51.75,591,426
2020-09-08,LFIC,49.25,51.2,49.25,49.7,2388,1831
2020-09-09,LFIC,49.05,49.95,47.25,47.25,2983,2722
2020-09-10,LFIC,47.5,48.45,45.2,46.5,1889,1228
2020-09-11,LFIC,46.0,48.8,46.0,48.8,1945,1425
2020-09-14,LFIC,51.2,51.2,51.2,51.2,1775,1775
2020-09-15,LFIC,53.75,53.75,53.75,53.75,657,657
2020-09-16,LFIC,56.4,56.4,54.0,55.8,4395,3868
2020-09-17,LFIC,53.8,56.85,53.8,56.0,1416,871
2020-09-18,LFIC,53.25,55.5,53.25,54.25,378,211
2020-09-21,LFIC,54.25,55.0,53.15,53.25,602,492
2020-09-22,LFIC,51.2,53.0,51.2,53.0,154,154
2020-09-23,LFIC,50.5,55.0,50.45,52.35,1366,766
2020-09-24,LFIC,50.5,54.95,50.5,54.9,1349,1251
2020-09-25,LFIC,57.6,57.6,53.25,56.55,7319,5759
2020-09-28,LFIC,56.0,59.25,54.6,57.65,10870,7849
2020-09-29,LFIC,59.95,60.5,55.45,59.85,4881,3514
2020-09-30,LFIC,62.7,62.7,58.05,59.65,1476,1020
2020-10-01,LFIC,57.85,62.6,57.6,62.6,8045,6498
2020-10-05,LFIC,65.1,65.1,62.0,62.6,932,617
2020-10-06,LFIC,60.0,65.7,60.0,64.95,3787,2472
2020-10-07,LFIC,66.9,68.0,63.05,64.1,1210,876
2020-10-08,LFIC,61.1,67.0,61.0,61.65,1638,1267
2020-10-09,LFIC,59.1,60.0,59.05,59.3,761,461
2020-10-12,LFIC,59.25,62.25,59.25,61.9,830,824
2020-10-13,LFIC,64.8,64.9,61.0,61.45,294,178
2020-10-14,LFIC,64.25,64.25,61.5,61.5,220,204
2020-10-15,LFIC,61.5,61.5,58.5,58.5,570,567
2020-10-16,LFIC,58.5,60.45,58.5,59.2,246,246
2020-10-20,LFIC,61.95,61.95,58.55,61.7,110,105
2020-10-21,LFIC,58.65,61.25,58.65,58.8,382,346
2020-10-22,LFIC,58.8,61.55,58.8,61.4,102,100
2020-10-23,LFIC,58.45,59.95,58.45,59.0,128,127
2020-10-26,LFIC,59.0,61.95,59.0,61.5,249,249
2020-10-27,LFIC,58.5,63.85,58.5,59.2,394,256
2020-10-28,LFIC,58.1,61.45,58.1,59.0,14,12
2020-10-29,LFIC,56.35,56.65,56.3,56.65,205,180
2020-10-30,LFIC,56.0,56.5,56.0,56.5,68,68
2020-11-02,LFIC,56.5,59.2,56.5,59.2,210,210
2020-11-03,LFIC,59.2,61.0,59.2,60.5,1198,910
2020-11-05,LFIC,61.0,61.0,60.0,60.0,109,64
2020-11-09,LFIC,63.0,63.0,59.0,61.5,210,170
2020-11-10,LFIC,59.1,59.75,58.5,58.85,1161,740
2020-11-11,LFIC,60.0,60.0,58.25,58.25,250,250
2020-11-12,LFIC,58.6,60.95,58.6,60.0,34,32
2020-11-13,LFIC,57.8,61.5,57.8,59.4,66,66
2020-11-14,LFIC,61.5,61.5,56.5,60.05,1044,843
2020-11-17,LFIC,58.6,59.5,57.6,58.55,1105,855
2020-11-18,LFIC,59.7,59.7,59.0,59.7,67,47
2020-11-19,LFIC,56.75,58.9,56.75,58.45,1333,945
2020-11-20,LFIC,55.55,60.3,55.55,57.1,3444,1666
2020-11-23,LFIC,57.6,59.5,57.6,57.7,368,196
2020-11-24,LFIC,57.15,58.4,57.1,57.9,610,580
2020-11-25,LFIC,58.95,58.95,56.55,58.9,184,124
2020-11-26,LFIC,59.2,61.8,58.15,58.15,3590,3021
2020-11-27,LFIC,57.9,61.0,57.9,60.9,86,66
2020-12-01,LFIC,63.9,63.9,58.95,59.85,236,135
2020-12-02,LFIC,58.7,62.8,58.7,62.25,7130,4968
2020-12-03,LFIC,64.0,65.35,60.2,65.35,6877,5175
2020-12-04,LFIC,68.6,68.6,65.55,68.6,1556,1197
2020-12-07,LFIC,70.0,71.9,65.7,68.25,295,208
2020-12-08,LFIC,68.0,68.6,65.6,66.35,1221,881
2020-12-09,LFIC,69.0,69.0,66.5,68.7,524,494
2020-12-10,LFIC,68.7,72.0,65.4,66.45,1060,550
2020-12-11,LFIC,63.25,68.2,63.25,65.25,500,200
2020-12-14,LFIC,65.0,67.95,65.0,66.05,356,336
2020-12-15,LFIC,66.1,69.0,66.1,68.95,759,749
2020-12-16,LFIC,67.5,71.5,67.5,69.6,689,584
2020-12-17,LFIC,70.0,70.6,67.2,69.3,1154,1020
2020-12-18,LFIC,71.9,71.9,66.0,67.05,1122,680
2020-12-21,LFIC,66.05,69.0,64.0,64.65,1333,1232
2020-12-22,LFIC,62.15,67.3,62.15,67.2,224,188
2020-12-23,LFIC,67.5,68.5,66.5,68.5,24,24
2020-12-24,LFIC,71.2,71.2,65.4,66.95,1017,566
2020-12-28,LFIC,69.95,69.95,64.5,67.25,1423,837
2020-12-29,LFIC,70.0,70.0,65.05,69.0,796,682
2020-12-30,LFIC,71.8,72.0,68.7,69.95,1110,780
2020-12-31,LFIC,70.0,71.9,67.0,70.1,30805,1184
2021-01-01,LFIC,67.1,72.95,67.1,71.6,1361,1098
2021-01-04,LFIC,68.55,74.15,68.55,70.35,1667,1309
2021-01-05,LFIC,70.3,73.85,70.3,73.0,1248,1135
2021-01-06,LFIC,73.0,75.65,73.0,74.25,1195,1009
2021-01-07,LFIC,77.3,77.3,71.55,74.3,2781,2095
2021-01-08,LFIC,77.4,78.0,74.25,76.55,1853,1661
2021-01-11,LFIC,73.7,77.6,73.7,77.6,777,656
2021-01-12,LFIC,77.6,80.8,75.05,78.35,731,494
2021-01-13,LFIC,78.95,78.95,75.65,76.0,136,67
2021-01-14,LFIC,78.0,79.8,76.05,78.85,2922,1930
2021-01-15,LFIC,75.65,82.7,75.0,75.75,813,246
2021-01-18,LFIC,79.5,79.5,72.0,74.0,501,149
2021-01-19,LFIC,72.0,77.7,72.0,77.2,2371,1423
2021-01-20,LFIC,77.4,79.0,74.45,74.9,1160,923
2021-01-21,LFIC,72.7,74.75,72.6,73.25,1376,796
2021-01-22,LFIC,73.0,73.0,71.85,72.0,176,100
2021-01-25,LFIC,72.15,72.15,68.4,68.55,641,622
2021-01-27,LFIC,71.25,71.25,68.1,69.1,151,134
2021-01-28,LFIC,67.55,70.1,67.5,69.65,278,184
2021-01-29,LFIC,67.05,68.0,66.2,67.15,4520,2380
2021-02-01,LFIC,67.2,70.5,67.15,70.5,1627,1459
2021-02-02,LFIC,72.95,74.0,70.1,73.95,857,712
2021-02-03,LFIC,75.7,77.6,72.2,77.6,1399,1007
2021-02-04,LFIC,81.45,81.45,81.45,81.45,4173,4172
2021-02-05,LFIC,89.0,89.55,73.65,86.3,14746,7798
2021-02-08,LFIC,78.25,92.0,78.25,82.95,5980,2494
2021-02-09,LFIC,84.55,84.55,79.05,79.25,2734,1871
2021-02-10,LFIC,78.25,85.95,73.85,79.75,14710,1750
2021-02-11,LFIC,81.35,84.55,81.35,83.65,3960,3591
2021-02-12,LFIC,81.25,92.0,78.05,88.25,15716,3598
2021-02-15,LFIC,90.0,90.0,83.05,86.35,1452,910
2021-02-16,LFIC,84.1,88.95,83.2,83.85,1829,645
2021-02-17,LFIC,83.05,84.9,79.55,81.6,2469,1009
2021-02-18,LFIC,83.1,83.25,75.6,78.0,445,280
2021-02-19,LFIC,79.3,85.75,71.55,76.55,3417,1053
2021-02-22,LFIC,79.65,82.45,75.0,75.9,2849,1720
2021-02-23,LFIC,78.6,81.0,75.0,75.1,1597,1043
2021-02-24,LFIC,78.85,81.95,68.0,78.75,1266,518
2021-02-25,LFIC,82.2,82.2,78.05,80.65,1538,1112
2021-02-26,LFIC,82.75,82.75,75.7,77.4,749,701
2021-03-01,LFIC,79.8,81.0,76.2,79.2,4499,3939
2021-03-02,LFIC,79.95,84.0,78.35,81.05,879,621
2021-03-03,LFIC,83.0,84.0,78.7,82.95,1535,1422
2021-03-04,LFIC,79.6,83.15,76.4,81.95,2854,1707
2021-03-05,LFIC,84.9,84.9,80.15,82.3,1328,859
2021-03-08,LFIC,83.95,83.95,79.6,81.95,472,383
2021-03-09,LFIC,83.5,83.5,80.3,81.5,411,321
2021-03-10,LFIC,83.5,83.5,79.0,82.95,234,138
2021-03-12,LFIC,82.95,82.95,82.9,82.9,146,104
2021-03-15,LFIC,82.95,82.95,78.2,79.2,248,239
2021-03-16,LFIC,80.0,85.0,71.5,81.95,2437,1783
2021-03-17,LFIC,85.0,85.0,76.35,78.75,1731,1295
2021-03-18,LFIC,79.4,85.7,72.4,80.6,4086,2886
2021-03-19,LFIC,84.85,84.85,78.7,82.75,509,140
2021-03-22,LFIC,80.25,90.0,80.25,85.75,1405,1038
2021-03-23,LFIC,88.45,90.0,83.1,86.2,2267,985
2021-03-24,LFIC,84.3,88.5,80.4,87.2,2561,2027
2021-03-25,LFIC,88.95,88.95,82.7,87.5,1608,1218
2021-03-26,LFIC,83.6,87.95,80.7,85.15,2801,1675
2021-03-30,LFIC,88.55,90.0,80.6,85.05,7738,1717
2021-03-31,LFIC,81.6,86.25,81.6,84.1,448,308
2021-04-01,LFIC,82.9,87.2,82.05,82.6,1229,768
2021-04-05,LFIC,88.0,88.0,81.65,82.85,50,30
2021-04-06,LFIC,80.1,82.85,80.0,80.9,1170,874
2021-04-07,LFIC,80.0,82.4,80.0,82.0,74,72
2021-04-08,LFIC,82.3,83.7,80.1,81.35,646,540
2021-04-09,LFIC,82.95,82.95,80.0,80.55,666,527
2021-04-12,LFIC,80.0,81.95,78.8,78.85,290,273
2021-04-13,LFIC,82.45,82.45,76.15,77.95,1066,749
2021-04-15,LFIC,80.0,83.0,77.0,77.3,2995,1896
2021-04-16,LFIC,82.0,82.05,73.35,75.55,1638,698
2021-04-19,LFIC,73.0,80.5,69.0,79.3,845,475
2021-04-20,LFIC,81.95,81.95,78.1,78.6,158,78
2021-04-22,LFIC,82.95,82.95,76.45,80.9,88,59
2021-04-23,LFIC,80.35,80.4,75.65,79.8,52,33
2021-04-26,LFIC,82.95,82.95,78.9,79.15,1772,1317
2021-04-27,LFIC,76.45,78.25,76.45,78.2,25,17
2021-04-28,LFIC,78.65,81.85,78.6,79.3,579,403
2021-04-29,LFIC,72.5,81.9,72.5,78.3,1376,1144
2021-04-30,LFIC,81.25,81.5,78.35,81.35,1679,1393
2021-05-03,LFIC,78.1,81.35,78.1,80.45,666,558
2021-05-04,LFIC,78.0,81.9,68.0,78.1,1842,1180
2021-05-05,LFIC,77.0,79.95,75.5,76.0,460,405
2021-05-06,LFIC,78.15,80.95,77.0,77.05,1116,1058
2021-05-07,LFIC,81.0,81.0,76.5,79.4,649,476
2021-05-10,LFIC,79.4,93.7,72.05,79.0,4152,1821
2021-05-11,LFIC,84.0,84.0,75.0,82.05,2421,1161
2021-05-12,LFIC,83.95,85.9,80.55,81.65,1588,770
2021-05-14,LFIC,81.0,82.0,79.1,80.45,367,266
2021-05-17,LFIC,82.85,82.85,76.0,79.9,815,567
2021-05-18,LFIC,79.0,81.95,77.0,79.5,2032,1526
2021-05-19,LFIC,79.0,79.6,78.7,78.9,188,124
