Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,LGBBROSLTD,445.0,450.1,399.25,403.3,237451,119305
2021-08-24,LGBBROSLTD,404.3,428.95,401.25,409.1,310810,124179
2021-08-25,LGBBROSLTD,412.95,424.9,405.1,410.95,170691,67041
2021-08-26,LGBBROSLTD,410.0,420.9,406.9,409.95,212877,108834
2021-08-27,LGBBROSLTD,414.0,418.95,407.5,409.15,196854,109414
2021-08-30,LGBBROSLTD,414.3,431.95,413.0,420.6,315970,164677
2021-08-31,LGBBROSLTD,427.9,436.0,420.3,425.6,242670,124803
2021-09-01,LGBBROSLTD,420.7,427.0,416.0,417.65,134229,56527
2021-09-02,LGBBROSLTD,429.8,429.8,417.75,421.5,163990,76663
2021-09-03,LGBBROSLTD,421.5,426.7,419.45,421.35,82878,42303
2021-09-06,LGBBROSLTD,422.9,423.9,418.1,419.45,47446,25411
2021-09-07,LGBBROSLTD,419.1,424.95,411.0,413.9,103428,42129
2021-09-08,LGBBROSLTD,412.55,418.45,411.0,412.95,51454,23454
2021-09-09,LGBBROSLTD,412.0,419.35,412.0,413.75,69697,34261
2021-09-13,LGBBROSLTD,416.0,418.75,411.0,415.8,78177,41055
2021-09-14,LGBBROSLTD,418.0,425.3,418.0,423.6,93790,48289
2021-09-15,LGBBROSLTD,425.0,429.4,422.15,426.1,109081,45860
2021-09-16,LGBBROSLTD,429.0,429.0,417.75,418.5,90570,61759
2021-09-17,LGBBROSLTD,422.0,422.0,409.05,418.75,89165,53830
2021-09-20,LGBBROSLTD,415.0,421.8,407.1,409.75,98048,38253
2021-09-21,LGBBROSLTD,407.0,412.35,402.0,405.2,79124,50005
2021-09-22,LGBBROSLTD,408.0,424.4,405.75,413.85,145382,72099
2021-09-23,LGBBROSLTD,415.05,426.25,415.0,422.2,116054,67822
2021-09-24,LGBBROSLTD,424.0,433.0,421.55,426.35,133055,61919
2021-09-27,LGBBROSLTD,429.75,429.75,411.3,416.25,127054,66418
2021-09-28,LGBBROSLTD,417.0,422.4,407.7,413.35,129025,70172
2021-09-29,LGBBROSLTD,417.9,443.4,411.7,435.55,266617,142618
2021-09-30,LGBBROSLTD,436.95,454.0,432.3,448.8,314005,137764
2021-10-01,LGBBROSLTD,444.0,457.45,437.0,452.85,125084,56875
2021-10-04,LGBBROSLTD,455.0,464.8,445.0,456.45,132974,75864
2021-10-05,LGBBROSLTD,455.0,459.9,452.0,454.05,65435,38619
2021-10-06,LGBBROSLTD,454.05,464.4,450.0,452.6,101076,55256
2021-10-07,LGBBROSLTD,456.05,478.9,439.65,474.9,372189,143700
2021-10-08,LGBBROSLTD,480.0,489.7,475.0,480.6,121167,60675
2021-10-11,LGBBROSLTD,484.0,496.0,476.5,477.8,103354,49816
2021-10-12,LGBBROSLTD,478.0,490.0,477.8,481.4,152445,76472
2021-10-13,LGBBROSLTD,485.9,485.9,471.9,475.4,198719,140486
2021-10-14,LGBBROSLTD,474.0,496.0,471.1,494.3,258313,165036
2021-10-18,LGBBROSLTD,498.0,525.0,496.55,518.95,401590,242181
2021-10-19,LGBBROSLTD,525.0,549.0,524.0,527.4,509546,234758
