Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MACPOWER,67.65,67.65,67.65,67.65,830,830
2020-08-27,MACPOWER,71.0,71.0,64.3,71.0,41381,32984
2020-08-28,MACPOWER,74.5,74.55,68.1,74.55,10242,8015
2020-08-31,MACPOWER,78.2,78.25,72.1,75.95,18400,17043
2020-09-01,MACPOWER,75.95,79.7,75.95,79.65,9268,8125
2020-09-02,MACPOWER,83.55,83.55,76.1,79.65,5302,4857
2020-09-03,MACPOWER,81.0,81.0,76.7,77.1,5296,4786
2020-09-04,MACPOWER,78.2,80.0,74.1,78.35,19402,13801
2020-09-07,MACPOWER,77.0,79.8,74.55,75.65,10853,7186
2020-09-08,MACPOWER,72.1,79.0,72.1,77.3,12144,9721
2020-09-09,MACPOWER,80.95,81.15,74.55,77.3,8942,4032
2020-09-10,MACPOWER,79.45,79.45,76.55,77.2,2867,2371
2020-09-11,MACPOWER,80.8,80.8,75.55,79.05,2824,2103
2020-09-14,MACPOWER,80.9,83.0,76.5,83.0,3182,3102
2020-09-15,MACPOWER,87.15,87.15,87.15,87.15,1478,1478
2020-09-16,MACPOWER,91.5,91.5,91.5,91.5,5790,5790
2020-09-17,MACPOWER,96.05,96.05,94.95,96.05,27235,20932
2020-09-18,MACPOWER,100.6,100.6,91.25,91.3,7285,5717
2020-09-21,MACPOWER,87.6,88.0,86.75,86.75,2942,2762
2020-09-22,MACPOWER,82.65,88.4,82.45,82.45,2527,2477
2020-09-23,MACPOWER,78.5,82.0,78.35,78.35,3319,3226
2020-09-24,MACPOWER,74.6,79.0,74.45,74.45,5805,5271
2020-09-25,MACPOWER,75.1,77.8,70.75,73.3,16690,9942
2020-09-28,MACPOWER,76.45,76.95,73.65,76.95,4850,2804
2020-09-29,MACPOWER,79.95,80.75,77.1,80.65,4091,3478
2020-09-30,MACPOWER,84.5,84.65,76.65,77.25,2777,1962
2020-10-01,MACPOWER,77.2,78.65,74.6,74.6,1587,1063
2020-10-05,MACPOWER,72.5,74.7,70.9,70.9,4362,3690
2020-10-06,MACPOWER,67.6,74.0,67.55,73.7,3072,2690
2020-10-07,MACPOWER,70.5,75.0,70.05,70.1,4305,4062
2020-10-08,MACPOWER,71.0,76.2,64.3,71.05,5008,3807
2020-10-09,MACPOWER,74.3,74.3,72.0,72.1,2708,2708
2020-10-12,MACPOWER,78.4,78.4,68.4,72.3,2251,1092
2020-10-13,MACPOWER,73.0,73.0,65.1,65.15,14685,9049
2020-10-14,MACPOWER,63.0,69.5,61.75,62.15,12218,11006
2020-10-15,MACPOWER,65.5,65.5,60.0,60.05,5044,4326
2020-10-16,MACPOWER,65.9,66.05,55.8,63.65,23413,6547
2020-10-19,MACPOWER,63.75,69.6,62.5,63.1,3891,2927
2020-10-20,MACPOWER,68.7,68.7,61.25,62.3,4634,3323
2020-10-21,MACPOWER,64.8,64.8,58.45,59.05,5087,4859
2020-10-22,MACPOWER,62.4,62.4,59.05,60.65,1005,955
2020-10-23,MACPOWER,64.0,64.0,59.0,60.8,2653,1801
2020-10-26,MACPOWER,61.5,62.25,59.05,60.55,793,777
2020-10-27,MACPOWER,61.0,62.8,57.65,61.0,1138,1038
2020-10-28,MACPOWER,61.0,61.0,58.0,59.8,2790,2389
