Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MALUPAPER,28.75,29.15,28.4,28.75,17937,9228
2020-08-27,MALUPAPER,28.75,29.45,28.75,28.95,22942,10014
2020-08-28,MALUPAPER,29.1,29.35,28.45,28.75,34599,13172
2020-08-31,MALUPAPER,28.55,28.7,27.5,27.65,21634,20142
2020-09-01,MALUPAPER,27.35,28.5,27.1,27.25,8323,4389
2020-09-02,MALUPAPER,27.4,28.3,27.4,27.6,11480,3655
2020-09-03,MALUPAPER,27.5,27.55,27.0,27.15,15118,8596
2020-09-04,MALUPAPER,27.25,27.25,26.5,26.75,11473,8984
2020-09-07,MALUPAPER,26.75,27.85,26.55,26.6,8756,6293
2020-09-08,MALUPAPER,29.0,29.5,26.05,26.45,27906,12157
2020-09-09,MALUPAPER,26.05,26.6,25.4,26.2,22029,11357
2020-09-10,MALUPAPER,26.45,27.0,26.2,26.45,5397,3992
2020-09-11,MALUPAPER,27.0,27.45,26.35,27.1,6220,4692
2020-09-14,MALUPAPER,27.0,28.45,26.65,27.0,12618,8238
2020-09-15,MALUPAPER,27.35,27.9,27.0,27.05,3926,2172
2020-09-16,MALUPAPER,27.3,27.9,26.9,27.2,6969,3036
2020-09-17,MALUPAPER,27.2,27.2,26.2,26.5,14214,11507
2020-09-18,MALUPAPER,26.6,27.0,26.1,26.35,8817,4883
2020-09-21,MALUPAPER,27.0,27.0,25.0,25.3,6003,4958
2020-09-22,MALUPAPER,25.7,25.7,24.05,25.25,11981,9555
2020-09-23,MALUPAPER,25.35,26.3,24.5,25.2,5558,3542
2020-09-24,MALUPAPER,25.55,25.55,24.15,24.45,14308,9279
2020-09-25,MALUPAPER,25.35,25.4,24.15,24.75,14227,7315
2020-09-28,MALUPAPER,24.4,25.8,24.4,25.25,14197,4088
2020-09-29,MALUPAPER,25.25,25.25,24.65,24.8,5268,2841
2020-09-30,MALUPAPER,25.65,25.65,24.65,25.0,6882,4310
2020-10-01,MALUPAPER,25.15,27.9,25.1,26.45,91470,27782
2020-10-05,MALUPAPER,26.05,26.95,26.05,26.4,11529,5620
2020-10-06,MALUPAPER,26.3,28.7,26.25,27.6,55826,39058
2020-10-07,MALUPAPER,27.15,27.15,26.5,26.65,10077,8683
2020-10-08,MALUPAPER,27.15,28.4,26.65,27.7,72649,21074
2020-10-09,MALUPAPER,27.4,27.4,26.5,26.85,3535,2308
2020-10-12,MALUPAPER,26.85,27.15,26.3,26.3,4452,4224
2020-10-13,MALUPAPER,26.4,27.0,25.55,25.7,11116,6949
2020-10-14,MALUPAPER,25.5,26.3,25.15,25.55,11216,7071
2020-10-15,MALUPAPER,25.55,26.15,24.9,25.0,10513,7400
2020-10-16,MALUPAPER,24.75,25.65,24.75,24.95,17438,7711
2020-10-19,MALUPAPER,24.75,26.0,22.9,23.55,104327,45326
2020-10-20,MALUPAPER,23.6,24.45,23.6,24.15,8439,6716
2020-10-21,MALUPAPER,24.2,25.85,24.0,24.2,20511,8125
2020-10-22,MALUPAPER,24.25,24.75,24.1,24.65,6622,5269
2020-10-23,MALUPAPER,24.55,24.9,24.35,24.4,4432,2771
2020-10-26,MALUPAPER,25.75,25.75,24.0,24.05,6506,3260
2020-10-27,MALUPAPER,24.1,24.25,23.65,23.95,10117,9829
2020-10-28,MALUPAPER,24.15,24.95,23.6,23.85,14888,8133
2020-10-29,MALUPAPER,23.65,24.45,23.55,24.1,2119,1412
2020-10-30,MALUPAPER,24.1,24.3,23.35,23.6,5641,4745
2020-11-02,MALUPAPER,23.75,24.0,23.3,23.55,2359,2010
2020-11-03,MALUPAPER,23.5,24.0,23.2,23.25,4555,3284
2020-11-04,MALUPAPER,23.65,23.95,22.6,23.0,14237,11244
2020-11-05,MALUPAPER,23.0,23.2,22.5,22.95,11383,9023
2020-11-06,MALUPAPER,22.95,23.8,22.9,23.1,9083,3607
2020-11-09,MALUPAPER,23.9,23.9,22.7,22.9,38439,29222
2020-11-10,MALUPAPER,22.8,26.05,22.45,25.6,178970,60669
2020-11-11,MALUPAPER,25.85,25.85,24.15,24.7,37899,16106
2020-11-12,MALUPAPER,24.7,25.45,23.8,24.4,18006,5524
2020-11-13,MALUPAPER,24.2,25.0,23.8,24.1,22721,13311
2020-11-14,MALUPAPER,24.05,24.6,23.75,24.3,9548,8923
2020-11-17,MALUPAPER,24.75,24.8,23.75,24.1,11026,6694
2020-11-18,MALUPAPER,24.1,24.85,24.0,24.3,31639,13767
2020-11-19,MALUPAPER,24.3,25.8,23.85,24.5,59930,34704
2020-11-20,MALUPAPER,25.35,26.6,24.75,26.05,72309,37794
2020-11-23,MALUPAPER,26.4,26.45,24.55,24.7,26328,17881
2020-11-24,MALUPAPER,25.2,26.0,24.3,25.15,39321,16382
2020-11-25,MALUPAPER,25.95,25.95,24.5,24.7,36803,17188
2020-11-26,MALUPAPER,24.5,25.5,24.25,25.0,25833,10877
2020-11-27,MALUPAPER,25.55,25.6,24.65,24.85,6702,4257
2020-12-01,MALUPAPER,24.85,25.8,24.15,25.25,15520,11577
2020-12-02,MALUPAPER,25.4,26.0,25.1,25.2,11742,7345
2020-12-03,MALUPAPER,25.65,27.45,25.3,26.5,159365,56771
2020-12-04,MALUPAPER,26.9,26.9,25.75,25.9,24439,19546
2020-12-07,MALUPAPER,25.9,29.0,25.6,27.6,330808,104864
2020-12-08,MALUPAPER,27.8,33.1,26.3,33.1,1832625,528854
2020-12-09,MALUPAPER,34.5,35.2,31.3,33.1,762774,332488
2020-12-10,MALUPAPER,32.55,35.0,31.1,33.4,305796,121744
2020-12-11,MALUPAPER,34.0,34.0,32.5,32.7,107066,43701
2020-12-14,MALUPAPER,32.3,33.1,32.0,32.5,38119,24241
2020-12-15,MALUPAPER,32.25,32.9,32.0,32.25,47772,29383
2020-12-16,MALUPAPER,32.8,33.85,31.15,32.3,69158,42083
2021-02-02,MALUPAPER,27.8,27.8,26.75,27.25,14340,8468
2021-02-03,MALUPAPER,27.35,27.95,26.25,27.05,15065,9553
2021-02-04,MALUPAPER,27.75,27.75,26.75,27.15,10521,7422
2021-02-05,MALUPAPER,27.55,28.75,26.75,27.4,10886,6741
2021-02-08,MALUPAPER,28.25,29.5,27.05,28.7,30009,24738
2021-02-09,MALUPAPER,29.2,29.2,27.25,27.9,33298,25966
2021-02-10,MALUPAPER,28.25,28.8,27.6,27.85,4116,2433
2021-02-11,MALUPAPER,27.5,28.65,26.5,27.15,15212,8921
2021-02-12,MALUPAPER,28.25,28.35,26.8,27.5,20198,16162
2021-02-15,MALUPAPER,28.45,28.45,26.7,26.75,23037,13324
2021-02-16,MALUPAPER,27.0,27.15,26.4,26.9,7571,5606
2021-02-17,MALUPAPER,26.85,27.0,26.2,26.7,12694,6804
2021-02-18,MALUPAPER,26.8,27.75,26.4,27.35,33335,14123
2021-02-19,MALUPAPER,27.85,28.45,26.5,27.2,29972,17659
2021-02-22,MALUPAPER,27.4,27.5,26.6,27.05,12450,11066
2021-02-23,MALUPAPER,26.55,27.4,26.3,26.85,4697,3593
2021-02-24,MALUPAPER,27.25,29.0,27.0,28.2,20407,13481
2021-02-25,MALUPAPER,28.5,28.5,27.3,27.8,8915,6160
2021-02-26,MALUPAPER,27.35,27.85,27.0,27.15,8914,6955
2021-03-01,MALUPAPER,27.15,27.9,26.7,27.2,11672,6833
2021-03-02,MALUPAPER,27.6,29.9,27.2,29.35,164661,65054
2021-03-03,MALUPAPER,30.5,31.0,29.15,29.3,94496,47450
2021-03-04,MALUPAPER,29.0,29.0,28.05,28.25,37238,18561
2021-03-05,MALUPAPER,29.05,29.75,27.75,28.4,26367,16633
2021-03-08,MALUPAPER,29.25,29.25,27.1,27.9,8454,4441
2021-03-09,MALUPAPER,27.75,28.65,27.2,27.55,13010,7509
2021-03-10,MALUPAPER,28.05,28.05,27.0,27.5,25995,14896
2021-03-12,MALUPAPER,28.05,28.3,27.3,27.35,22555,11979
2021-03-15,MALUPAPER,28.45,28.45,27.2,27.8,27460,15627
2021-03-16,MALUPAPER,28.6,30.55,28.6,29.3,191642,73866
2021-03-17,MALUPAPER,29.8,29.8,28.2,28.4,27492,15045
2021-03-18,MALUPAPER,29.65,29.65,26.05,26.55,48214,22463
2021-03-19,MALUPAPER,26.25,27.2,25.6,26.6,35218,21287
2021-03-22,MALUPAPER,26.5,27.3,26.15,26.35,16489,11197
2021-03-23,MALUPAPER,27.7,27.7,26.55,27.4,22480,11272
2021-03-24,MALUPAPER,27.85,28.9,27.5,27.7,21210,13735
2021-03-25,MALUPAPER,27.65,27.8,26.3,26.6,13703,8451
2021-03-26,MALUPAPER,26.75,27.5,26.1,26.45,10559,5034
2021-03-30,MALUPAPER,26.5,26.9,25.9,26.15,6569,4478
2021-03-31,MALUPAPER,26.2,26.8,26.05,26.25,11604,7019
2021-04-01,MALUPAPER,25.9,27.85,25.9,27.0,13698,6156
2021-04-05,MALUPAPER,27.45,27.45,26.1,26.2,14952,12027
2021-04-06,MALUPAPER,27.2,27.2,25.95,26.25,14563,9298
2021-04-07,MALUPAPER,26.25,26.35,25.6,25.8,41392,36243
2021-04-08,MALUPAPER,26.6,27.05,26.1,26.3,20231,16178
2021-04-09,MALUPAPER,26.5,26.95,26.1,26.4,9481,5890
2021-04-12,MALUPAPER,26.0,26.0,24.3,24.55,19116,12809
2021-04-13,MALUPAPER,24.0,26.0,24.0,25.2,10970,5840
2021-04-15,MALUPAPER,25.85,26.0,25.0,25.5,19867,4544
2021-04-16,MALUPAPER,25.05,26.8,24.4,25.35,12336,7743
2021-04-19,MALUPAPER,25.0,25.55,24.2,24.95,10621,5653
2021-04-20,MALUPAPER,25.1,25.85,24.7,24.9,4554,3019
2021-04-22,MALUPAPER,25.95,25.95,24.75,24.8,6353,5388
2021-04-23,MALUPAPER,25.45,25.45,24.3,24.85,8371,3402
2021-04-26,MALUPAPER,24.85,25.55,24.5,25.0,7638,4223
2021-04-27,MALUPAPER,25.5,25.5,25.0,25.05,6658,5435
2021-04-28,MALUPAPER,25.5,26.8,24.5,25.65,32636,17489
2021-04-29,MALUPAPER,26.3,26.4,25.05,25.1,10820,7375
2021-04-30,MALUPAPER,25.25,25.65,24.9,24.95,19439,12330
2021-05-03,MALUPAPER,24.5,25.0,24.4,24.8,11504,9075
2021-05-04,MALUPAPER,25.3,28.45,25.05,27.35,257881,89664
2021-05-05,MALUPAPER,28.0,28.8,26.2,27.15,123404,70746
2021-05-06,MALUPAPER,27.35,27.35,26.3,26.65,25586,12215
2021-05-07,MALUPAPER,26.9,28.5,26.45,26.8,69199,23654
2021-05-10,MALUPAPER,27.25,27.75,26.25,26.75,34199,20141
2021-05-11,MALUPAPER,26.35,27.75,26.1,27.15,37509,26433
2021-05-12,MALUPAPER,27.7,27.7,26.2,26.55,17171,11461
2021-05-14,MALUPAPER,26.55,27.25,26.15,26.45,9068,6305
2021-05-17,MALUPAPER,26.1,27.1,26.1,26.9,21694,15003
2021-05-18,MALUPAPER,27.2,27.75,26.7,27.0,28285,20595
2021-05-19,MALUPAPER,26.9,29.75,26.6,28.5,116311,62332
2021-05-20,MALUPAPER,29.25,31.0,28.45,29.05,222421,103398
2021-05-21,MALUPAPER,29.2,29.55,28.15,28.25,33549,18467
2021-05-24,MALUPAPER,29.3,29.4,28.2,28.45,27666,14216
2021-05-25,MALUPAPER,30.0,30.0,28.1,28.25,66823,32094
2021-05-26,MALUPAPER,28.65,28.85,28.1,28.2,28309,14664
2021-05-27,MALUPAPER,28.35,29.95,27.7,28.7,108772,40348
2021-05-28,MALUPAPER,29.5,29.55,28.15,28.4,59903,28519
2021-05-31,MALUPAPER,28.15,32.6,28.15,30.85,549084,234798
2021-06-01,MALUPAPER,31.1,31.75,29.7,29.8,82828,52214
2021-06-02,MALUPAPER,30.05,33.95,30.05,31.9,689394,283201
2021-06-03,MALUPAPER,32.0,36.4,31.65,35.75,1189446,348111
2021-06-04,MALUPAPER,36.8,37.65,33.6,34.15,709205,376643
2021-06-07,MALUPAPER,34.5,34.75,32.5,32.65,140908,75581
2021-06-08,MALUPAPER,32.8,34.2,31.9,32.9,143963,69461
2021-06-09,MALUPAPER,33.15,34.3,32.5,32.7,155922,49726
2021-06-10,MALUPAPER,33.3,33.5,32.3,33.25,82435,45528
2021-06-11,MALUPAPER,33.35,33.35,32.05,32.45,65362,39830
2021-06-14,MALUPAPER,32.4,32.6,31.1,31.6,73555,30162
2021-06-15,MALUPAPER,31.6,35.05,31.35,34.25,226176,90458
