Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MANALIPETC,25.35,26.3,24.4,25.15,2230790,1041278
2020-08-27,MANALIPETC,25.4,26.0,24.55,24.75,1349235,816060
2020-08-28,MANALIPETC,24.95,27.45,24.75,26.7,4238038,2109087
2020-08-31,MANALIPETC,26.9,27.8,23.6,24.25,1938494,1007943
2020-09-01,MANALIPETC,24.0,25.55,23.3,24.0,534423,276425
2020-09-02,MANALIPETC,26.1,26.3,24.4,24.75,565141,248771
2020-09-03,MANALIPETC,24.8,27.7,23.8,26.9,4366824,1348960
2020-09-04,MANALIPETC,26.0,29.45,25.2,28.55,7667694,2758718
2020-09-07,MANALIPETC,28.9,29.85,27.3,27.85,2686788,1315927
2020-09-08,MANALIPETC,28.0,28.7,26.3,26.8,1299957,543287
2020-09-09,MANALIPETC,26.1,28.25,24.65,28.0,2657428,956429
2020-09-10,MANALIPETC,28.2,28.7,27.0,27.35,1191507,576205
2020-09-11,MANALIPETC,27.5,27.85,26.3,26.7,697525,273900
2020-09-14,MANALIPETC,26.95,28.0,26.8,27.3,595781,310106
2020-09-15,MANALIPETC,27.55,27.8,26.65,27.2,457780,217654
2020-09-16,MANALIPETC,27.8,28.0,26.65,26.8,721367,433961
2020-09-17,MANALIPETC,26.7,27.0,26.1,26.2,384002,194947
2020-09-18,MANALIPETC,26.5,28.0,26.4,27.75,1134033,634865
2020-09-21,MANALIPETC,28.0,28.9,25.4,25.65,1792403,962032
2020-09-22,MANALIPETC,25.8,26.2,23.7,25.45,1354139,604844
2020-09-23,MANALIPETC,25.45,27.7,25.45,27.45,1649084,720620
2020-09-24,MANALIPETC,26.8,28.4,25.85,27.0,2309251,1013685
2020-09-25,MANALIPETC,27.3,30.7,27.25,30.2,4826388,2308238
2020-09-28,MANALIPETC,30.6,32.6,30.1,31.45,4111295,1517146
2020-09-29,MANALIPETC,31.75,33.9,30.65,33.4,3763385,1667597
2020-09-30,MANALIPETC,33.7,35.8,33.2,34.65,4042798,1511313
2020-10-01,MANALIPETC,34.9,35.3,33.1,33.35,1029970,581978
2020-10-05,MANALIPETC,33.85,34.0,30.7,32.6,863597,513272
2020-10-06,MANALIPETC,32.5,33.0,31.5,31.85,514171,350433
2020-10-07,MANALIPETC,31.5,34.0,31.1,33.55,1164612,720184
2020-10-08,MANALIPETC,35.1,35.1,32.1,32.6,1374083,799384
2020-10-09,MANALIPETC,32.15,33.8,31.5,33.6,653802,442008
2020-10-12,MANALIPETC,33.75,36.65,33.2,34.0,3879459,1385351
2020-10-13,MANALIPETC,33.55,33.85,32.85,32.95,577909,288499
2020-10-14,MANALIPETC,33.1,33.45,32.4,33.0,334469,139889
2020-10-15,MANALIPETC,32.45,33.85,31.6,31.85,852882,414398
2020-10-16,MANALIPETC,32.15,33.0,31.4,32.35,435979,182008
2020-10-19,MANALIPETC,32.5,32.8,31.65,31.8,334316,201191
2020-10-20,MANALIPETC,31.9,32.4,31.55,31.7,373305,185900
2020-10-21,MANALIPETC,31.8,33.25,31.5,32.35,996393,327010
2020-10-22,MANALIPETC,32.4,33.5,32.1,32.6,952031,315267
2020-10-23,MANALIPETC,32.65,33.2,32.2,32.35,626823,211719
2020-10-26,MANALIPETC,32.35,33.0,31.5,31.65,494348,218547
2020-10-27,MANALIPETC,31.65,32.6,31.5,31.65,416078,150998
2020-10-28,MANALIPETC,31.55,32.1,30.55,30.7,483519,259589
2020-10-29,MANALIPETC,30.4,31.8,29.55,30.9,716366,319129
2020-10-30,MANALIPETC,31.6,32.8,31.2,31.4,1391144,309412
2020-11-02,MANALIPETC,31.5,31.7,30.2,30.25,356026,214037
2020-11-03,MANALIPETC,30.25,30.8,30.1,30.2,288396,164658
2020-11-04,MANALIPETC,29.9,31.7,29.9,31.4,786883,493197
2020-11-05,MANALIPETC,31.9,32.6,31.25,32.35,640265,355733
2020-11-06,MANALIPETC,32.5,33.3,32.25,32.65,575870,288371
2020-11-09,MANALIPETC,32.9,33.5,32.55,33.1,841875,506854
2020-11-10,MANALIPETC,33.25,33.25,32.55,32.85,500819,319772
2020-11-11,MANALIPETC,32.85,34.0,32.7,33.65,1202742,751067
2020-11-12,MANALIPETC,33.75,33.75,30.5,31.05,2410003,1464253
2020-11-13,MANALIPETC,31.5,31.55,30.75,31.3,614095,300873
2020-11-14,MANALIPETC,31.75,31.95,31.5,31.8,218609,144804
2020-11-17,MANALIPETC,32.2,32.35,31.7,32.05,403234,270274
2020-11-18,MANALIPETC,32.2,32.9,31.5,32.5,1068775,566648
2020-11-19,MANALIPETC,32.2,33.9,32.2,32.6,1035459,555605
2020-11-20,MANALIPETC,32.85,35.35,32.8,34.75,2400424,1522136
2020-11-23,MANALIPETC,35.15,35.85,34.45,34.65,912135,519903
2020-11-24,MANALIPETC,34.85,35.4,34.0,34.15,565886,349625
2020-11-25,MANALIPETC,34.15,34.45,32.75,33.25,651632,398947
2020-11-26,MANALIPETC,33.15,34.5,33.15,34.25,521970,292171
2020-11-27,MANALIPETC,34.45,35.35,34.25,35.0,672717,508013
2020-12-01,MANALIPETC,35.25,36.95,35.05,36.65,2231318,1495838
2020-12-02,MANALIPETC,36.65,37.9,35.5,35.85,2527043,1095086
2020-12-03,MANALIPETC,36.1,36.65,35.5,36.25,943710,529298
2020-12-04,MANALIPETC,36.45,36.8,33.35,34.2,1679892,885628
2020-12-07,MANALIPETC,34.75,35.25,32.5,33.95,1302996,611209
2020-12-08,MANALIPETC,34.3,34.75,33.5,34.25,858900,497253
2020-12-09,MANALIPETC,34.5,34.65,33.8,34.3,546860,329970
2020-12-10,MANALIPETC,34.2,34.45,33.2,33.4,437287,332047
2020-12-11,MANALIPETC,33.6,34.9,33.6,34.25,928646,463564
2020-12-14,MANALIPETC,34.55,35.35,33.85,34.65,535954,256015
2020-12-15,MANALIPETC,34.6,34.6,33.5,34.05,356481,234503
2020-12-16,MANALIPETC,34.45,35.6,34.2,35.0,1364328,822427
2020-12-17,MANALIPETC,36.0,36.45,35.2,35.35,1554731,783892
2020-12-18,MANALIPETC,35.35,35.5,34.1,34.35,429159,240406
