Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MANINDS,63.35,64.9,62.5,63.75,348166,191563
2020-08-27,MANINDS,64.4,65.65,63.05,63.75,236116,118387
2020-08-28,MANINDS,64.0,64.6,61.1,61.5,253926,147017
2020-08-31,MANINDS,61.85,62.2,56.25,57.4,367323,258067
2020-09-01,MANINDS,57.4,57.4,53.9,54.9,165090,102721
2020-09-02,MANINDS,54.4,61.0,54.25,59.6,261015,106900
2020-09-03,MANINDS,60.45,64.1,59.55,63.4,1018814,291626
2020-09-04,MANINDS,61.25,63.3,60.35,61.0,323274,182118
2020-09-07,MANINDS,63.8,64.0,62.0,62.7,664109,216135
2020-09-08,MANINDS,64.0,64.0,59.55,60.05,180872,90648
2020-09-09,MANINDS,60.0,60.3,57.7,58.15,175570,102679
2020-09-10,MANINDS,58.7,60.5,58.2,58.7,93436,46729
2020-09-11,MANINDS,58.75,60.1,58.6,58.85,81081,55861
2020-09-14,MANINDS,60.1,60.7,58.2,58.9,121336,74998
2020-09-15,MANINDS,58.9,64.0,58.5,63.35,642558,323347
2020-09-16,MANINDS,64.55,76.0,63.2,74.5,9283567,1957443
2020-09-17,MANINDS,72.0,74.4,71.05,72.4,1559855,566051
2020-09-18,MANINDS,72.95,74.0,71.5,71.85,705362,319301
2020-09-21,MANINDS,72.9,74.9,67.85,68.5,996352,483217
2020-09-22,MANINDS,67.55,71.45,63.2,66.65,959026,357646
2020-09-23,MANINDS,67.55,68.0,64.05,65.85,517761,251347
2020-10-09,MANINDS,65.8,66.3,62.9,63.2,113721,85490
2020-10-12,MANINDS,63.05,63.75,60.1,60.4,95006,54765
2020-10-13,MANINDS,60.75,60.75,57.5,58.75,430548,368547
2020-10-14,MANINDS,58.15,60.5,58.05,59.75,80254,46666
2020-10-15,MANINDS,61.5,61.5,58.0,58.3,99294,58869
2020-10-16,MANINDS,58.9,60.75,58.1,59.2,63297,26959
2020-10-19,MANINDS,59.25,60.65,59.0,59.2,48569,28178
2020-10-20,MANINDS,58.6,61.35,58.5,60.3,81891,45632
2020-10-21,MANINDS,61.75,69.5,61.75,67.45,1038199,464331
2020-10-22,MANINDS,68.4,71.8,67.1,70.2,316771,171206
2020-10-23,MANINDS,70.7,74.8,70.45,73.05,752275,417541
2020-10-26,MANINDS,72.9,75.45,70.55,71.65,535690,295358
2020-10-27,MANINDS,72.6,75.25,70.85,73.7,3645173,877670
2020-10-28,MANINDS,74.9,74.9,70.45,70.75,634214,315631
2020-10-29,MANINDS,68.4,70.9,67.6,69.15,260243,113023
2020-10-30,MANINDS,69.5,71.3,69.0,69.4,188802,86171
2020-11-02,MANINDS,71.9,71.9,68.0,68.3,182214,112905
2020-11-03,MANINDS,67.7,68.2,64.75,65.7,167831,92797
2020-11-04,MANINDS,67.45,67.45,64.5,65.25,102997,55472
2020-11-05,MANINDS,65.6,66.35,65.05,65.5,99902,57784
2020-11-06,MANINDS,67.0,71.4,64.5,70.4,539611,231012
2020-11-09,MANINDS,69.5,71.0,68.5,69.05,278371,144109
2020-11-10,MANINDS,69.0,78.5,68.5,75.55,2314672,708153
2020-11-11,MANINDS,76.0,77.3,72.25,73.4,989674,337132
2020-11-12,MANINDS,72.35,75.2,71.0,73.2,266810,102853
2020-11-13,MANINDS,73.2,74.25,71.9,72.3,216658,126704
2020-11-14,MANINDS,73.5,73.7,72.05,72.75,79909,45938
2020-11-17,MANINDS,72.9,73.85,71.6,71.8,196740,123098
2020-11-18,MANINDS,71.8,74.6,69.65,73.35,550306,184523
2020-11-19,MANINDS,72.0,73.9,71.5,71.55,244763,126548
2020-11-20,MANINDS,72.9,72.9,71.05,71.55,115337,52468
2020-11-23,MANINDS,73.5,74.5,72.1,72.5,297967,164439
2020-11-24,MANINDS,73.4,73.75,72.15,72.45,138998,77311
2020-11-25,MANINDS,74.5,74.5,71.8,72.0,278123,145887
