Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,54.0,54.25,47.95,48.0,11658568,7011491,60.140241923364854
2020-09-06,47.6,49.4,43.65,46.75,11416771,5353564,46.892102854651284
2020-09-13,46.6,48.95,44.8,45.7,5937195,2796742,47.10544289011899
2020-09-20,46.4,55.0,46.4,51.15,12930156,7012337,54.232423800609986
2020-09-27,51.8,52.15,45.05,47.5,7556392,3679371,48.69216684364707
2020-10-04,49.4,52.4,49.0,51.7,5592699,2822380,50.46543717085436
2020-10-11,51.55,56.4,51.05,53.55,20643243,8527028,41.306629970882
2020-10-18,53.65,55.0,48.0,51.85,10274169,4086311,39.772666772368645
2020-10-25,52.05,53.45,49.35,52.65,6773373,2997610,44.255793974434894
2020-11-01,53.1,53.4,49.95,50.9,4843979,2214957,45.725982709669054
2020-11-08,51.2,54.95,50.0,51.85,12308356,4813209,39.105214376314755
2020-11-15,52.85,53.5,48.1,50.3,9031015,4891614,54.16460940436928
2020-11-22,51.0,62.15,49.9,61.0,28534235,12058405,42.25942976918778
2020-11-29,61.55,62.65,57.3,58.95,12382296,4958769,40.04724971846901
2020-12-06,59.4,65.7,58.6,63.85,12510195,5649753,45.16119053300128
2020-12-13,64.0,66.2,58.1,60.4,10435096,4482960,42.96040975569367
2020-12-20,60.8,62.4,58.55,59.0,10261403,3579096,34.879207063595494
2020-12-27,59.05,63.7,49.0,58.05,14218256,4681308,32.92462873083731
2021-01-03,58.7,62.9,57.4,60.95,9141058,4332072,47.39136323169594
2021-01-10,61.5,64.35,59.3,60.9,10718631,5647998,52.69327771429019
2021-01-17,61.45,62.4,58.5,59.0,6200226,3157137,50.91970841062891
2021-01-24,58.5,58.8,55.5,56.45,4537455,2673730,58.92576345109759
2021-01-31,56.8,57.05,53.0,55.4,3712706,1988889,53.56979518442883
2021-02-07,55.9,59.35,54.3,58.9,4923399,2992231,60.775716126196556
2021-02-14,59.9,64.25,56.4,56.8,11899240,6264014,52.64213512795776
2021-02-21,56.8,57.65,54.6,55.6,4266681,2830667,66.34353493968732
2021-02-28,56.25,56.85,53.3,55.55,4782038,3048485,63.74865695337427
2021-03-07,56.1,58.0,53.5,53.95,7348666,4237115,57.658287912391174
2021-03-14,54.1,61.8,53.75,59.1,26333149,8192932,31.11261778832452
2021-03-21,59.25,59.65,50.55,53.0,9541278,3696419,38.741340520630466
2021-03-28,53.0,54.9,49.15,49.35,6991635,4149742,59.3529553530755
2021-04-04,49.55,54.5,49.45,54.0,4979912,2329135,46.770605584998286
2021-04-11,54.5,56.75,50.95,56.0,15660541,6090632,38.89158107628594
2021-04-18,55.5,56.9,52.0,54.7,14147282,4673765,33.036487149969865
2021-04-25,53.75,76.9,52.6,70.4,103122317,25461026,24.690122119734763
2021-05-02,71.5,75.5,67.5,71.5,55757038,14921264,26.761220709034077
2021-05-09,70.95,77.8,70.3,74.0,54952492,14453118,26.301114788388485
2021-05-16,74.1,81.95,73.1,73.75,42391729,12756734,30.09250696049694
2021-05-23,74.3,77.75,71.6,74.7,20060904,6772331,33.75885254223838
2021-05-30,74.95,77.4,73.2,73.95,15693232,5799106,36.95291065600764
2021-06-06,74.5,77.0,71.25,71.75,18656832,6551283,35.114659337662474
2021-06-13,72.2,83.7,68.3,83.7,58348356,23402206,40.10773842539797
2021-06-20,87.5,97.6,81.65,84.8,117974140,26991246,22.878951268472907
2021-06-27,83.2,93.85,82.1,87.15,29294079,11699846,39.93928602431912
2021-07-04,87.5,89.8,85.5,86.1,17814084,4348500,24.410460846597555
2021-07-11,86.55,93.6,85.2,88.9,36770350,9912583,26.95808715446005
2021-07-18,89.9,91.3,85.85,88.1,16540742,5656812,34.19926385406411
2021-07-25,87.95,90.9,86.0,86.4,10260495,4002235,39.0062565207624
2021-08-01,86.7,87.75,80.1,81.75,10305795,4630108,44.92722783637749
2021-08-08,81.9,88.0,81.2,83.75,15710825,5035004,32.04799238741441
2021-08-15,84.0,84.1,69.5,75.65,17879381,8067600,45.122367491357785
2021-08-22,75.0,75.7,68.0,68.35,7030765,3120063,44.377290380207555
2021-08-29,68.0,73.45,62.2,72.75,20710134,5784467,27.930611168426044
2021-09-05,74.35,75.0,70.5,72.95,8667688,3687466,42.54267112521817
2021-09-12,73.5,74.5,69.8,70.05,5274105,2800898,53.106602921253945
2021-09-19,70.55,72.7,69.05,71.15,10264456,5016926,48.87668669435575
2021-09-26,71.0,71.3,67.85,69.05,7041515,3567312,50.66114323409096
2021-10-03,69.65,70.3,67.55,68.9,7351006,3421143,46.53979332896749
2021-10-10,69.15,78.0,69.1,70.95,13311487,6536316,49.102823749142374
2021-10-17,71.3,71.7,69.3,70.0,5088424,2924929,57.482021938423365
2021-10-24,70.9,70.9,65.5,66.25,6603404,3825321,57.929531496179855
2021-10-31,66.35,70.3,64.6,66.05,6442351,3080688,47.81931316688581
2021-11-07,66.25,67.6,65.75,67.25,2816811,1562933,55.48590232003497
2021-11-14,67.25,68.45,58.0,59.45,11757566,6378596,54.25099038355388
2021-11-21,59.45,61.45,56.5,57.0,8090828,3729755,46.098557527115894
2021-11-28,57.4,60.0,53.2,58.45,11382946,4077171,35.818240726082685
2021-12-05,59.4,59.6,55.0,58.05,7709562,3282576,42.577983029386104
2021-12-12,58.45,64.45,58.0,62.8,13245721,5242855,39.58149956502934
2021-12-19,63.8,64.0,57.6,57.95,6497083,2928118,45.068194449724594
2021-12-26,57.25,58.7,55.75,56.8,5677694,2328073,41.00384768886805
2022-01-02,56.8,60.9,56.25,60.15,5250223,2208756,42.06975589417821
2022-01-09,60.5,62.5,60.25,61.8,1969464,965224,49.00947669010451
