Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,6985.0,7175.7,6955.0,7104.1,5180167,1339440,25.857081441582867
2020-09-06,7138.0,7324.0,6790.45,7190.1,6607345,1345648,20.365941236608652
2020-09-13,7225.0,7349.9,7121.2,7193.6,6129017,1523262,24.853283976859583
2020-09-20,7219.0,7239.6,6931.6,6964.75,5095479,1253606,24.6023190361495
2020-09-27,6964.75,6986.9,6270.15,6497.7,7966913,2422845,30.411340000825916
2020-10-04,6579.0,6909.0,6542.3,6796.3,4367865,1159354,26.54280752724729
2020-10-11,6865.0,7159.0,6745.0,7062.4,4382540,1014417,23.146782459486964
2020-10-18,7110.0,7185.0,6857.7,6894.9,3738000,834655,22.328919208132692
2020-10-25,6975.0,7124.7,6764.65,7103.25,4463846,1114530,24.967931241355547
2020-11-01,7100.0,7332.0,6881.0,6965.15,7461459,1943695,26.04979803547805
2020-11-08,7044.9,7135.0,6850.0,6907.6,5108906,1482152,29.011142502915497
2020-11-15,6989.95,7032.6,6753.1,6852.25,7173737,3193831,44.521161007157076
2020-11-22,6865.0,7130.0,6863.0,6965.85,4872537,1572052,32.26352103637181
2020-11-29,7040.0,7252.35,6903.0,7035.8,6787017,2671739,39.365438454036585
2020-12-06,7141.8,7882.65,6975.2,7803.15,8423757,2384048,28.30148115621094
2020-12-13,7828.8,8013.15,7690.0,7733.55,5638955,1236979,21.93631621461778
2020-12-20,7810.0,7899.0,7541.75,7559.75,4705740,1460582,31.038306408768868
2020-12-27,7560.0,7599.0,7205.1,7446.05,3649632,1014324,27.792500723360604
2021-01-03,7465.0,7748.5,7418.3,7691.3,3765928,785190,20.84984099536688
2021-01-10,7739.0,8060.0,7552.1,8014.9,5202116,1350459,25.95980174221413
2021-01-17,8099.0,8329.0,7882.4,8024.75,6042767,1164573,19.27218110511294
2021-01-24,8011.0,8308.0,7745.0,8048.85,4492709,798296,17.768700354285134
2021-01-31,8117.0,8164.7,7170.0,7206.65,6989433,1829464,26.174712598289446
2021-02-07,7265.2,7769.75,7152.0,7494.15,7130015,1706986,23.940847249269464
2021-02-14,7515.0,7744.0,7474.5,7568.5,4428801,1078329,24.348102341920534
2021-02-21,7600.0,7799.0,7285.0,7323.0,4650116,1225198,26.347686810393544
2021-02-28,7323.0,7325.0,6822.2,6866.15,8744806,3651658,41.75802184748295
2021-03-07,6977.0,7315.0,6917.05,7249.0,6336629,2654681,41.89421536277412
2021-03-14,7264.9,7387.0,7061.4,7096.2,3262047,1276580,39.134322712088455
2021-03-21,7145.0,7242.0,6905.5,7113.55,4008548,1462419,36.48251187212926
2021-03-28,7104.0,7225.0,6755.25,6784.45,3998570,1473860,36.85967733464713
2021-04-04,6811.0,6991.5,6740.0,6923.9,2485058,931878,37.4992454904473
2021-04-11,6908.5,6939.3,6720.0,6827.1,3140386,1215480,38.70479616200046
2021-04-18,6739.85,6846.85,6468.8,6648.1,4284154,1713730,40.001596581262014
2021-04-25,6500.35,6714.7,6415.0,6676.1,3063578,1330331,43.42409431063939
2021-05-02,6690.2,6789.0,6421.0,6455.65,5561337,2461632,44.26331294075507
2021-05-09,6430.0,6754.55,6400.0,6703.05,2966428,828418,27.926448914317152
2021-05-16,6675.2,6842.15,6660.1,6736.4,2364813,977839,41.34952742563577
2021-05-23,6716.5,6864.0,6697.55,6814.65,3139267,1474520,46.97020036842996
2021-05-30,6802.0,7069.0,6802.0,6970.0,3473694,1388693,39.97741309395704
2021-06-06,6955.0,7272.0,6924.05,7214.7,2937161,1246170,42.42770484832122
2021-06-13,7221.0,7366.45,7174.05,7223.8,2034792,937915,46.09390050678399
2021-06-20,7195.0,7228.85,6821.0,6959.35,2205629,1107243,50.200781727117295
2021-06-27,6870.0,7665.0,6842.0,7649.0,6686389,2996713,44.81810735211487
2021-07-04,7698.0,7698.0,7452.55,7573.85,2662086,1195571,44.911058470688026
2021-07-11,7596.3,7690.0,7343.4,7425.7,2097248,783622,37.36429835670364
2021-07-18,7500.0,7589.8,7268.0,7303.55,2018295,805808,39.925184375921255
2021-07-25,7251.7,7375.0,7144.45,7293.85,1676678,760215,45.340548393907476
2021-08-01,7307.0,7360.0,6936.0,6977.7,3823128,1698689,44.431915436783704
2021-08-08,7100.0,7248.6,7003.5,7100.8,2401160,948140,39.48674807176531
2021-08-15,7135.0,7165.0,6925.15,7002.2,1798087,841939,46.82415255769048
2021-08-22,6982.5,7018.0,6746.4,6850.9,2595609,1236154,47.62481560204176
2021-08-29,6905.0,6918.0,6591.0,6624.85,4534306,2755369,60.767160398967334
2021-09-05,6690.0,6958.0,6653.85,6863.1,4803378,2530303,52.67757399063743
2021-09-12,6925.0,6954.0,6740.0,6802.25,3004696,1723525,57.361044178845376
2021-09-19,6835.5,7064.75,6813.3,7014.45,3173256,1649820,51.99139306756215
2021-09-26,6979.9,7037.8,6741.0,6952.25,4266979,2331568,54.64212502569148
2021-10-03,6974.0,7521.55,6974.0,7162.3,6163960,2385105,38.694362065944624
2021-10-10,7180.0,7571.95,7131.8,7430.0,4017042,1986742,49.457834894432274
2021-10-17,7420.2,7814.8,7419.8,7496.9,3392332,1906788,56.208767302256966
2021-10-24,7405.0,7768.6,7386.55,7408.9,2848562,1515805,53.21298957158033
2021-10-31,7355.0,7550.0,7210.2,7482.4,3539711,1284448,36.28680420520206
2021-11-07,7401.0,7910.0,7401.0,7747.4,3018280,1519195,50.333136753382725
2021-11-14,7759.95,7882.6,7442.0,7479.85,2460401,1350164,54.875770250459176
2021-11-21,7452.0,8368.0,7452.0,8117.15,6648530,1970577,29.639288684867182
2021-11-28,8158.0,8187.85,7130.0,7170.5,3973068,1962146,49.38616706283406
2021-12-05,7166.0,7380.0,6990.7,7208.7,4912902,2055723,41.843354498013596
2021-12-12,7193.0,7497.85,7021.0,7425.65,3223716,949087,29.440775800349662
2021-12-19,7485.0,7640.0,7241.0,7296.6,3839220,1809497,47.13189137376863
2021-12-26,7200.0,7500.0,7035.85,7317.1,2259513,851947,37.70489481582978
2022-01-02,7277.1,7449.5,7186.2,7426.45,1301928,412549,31.68754339717711
2022-01-09,7420.0,7605.95,7420.0,7523.9,456599,94358,20.66539786552314
