Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MCDHOLDING,24.5,24.8,24.25,24.5,10899,8353
2020-08-27,MCDHOLDING,24.7,24.7,24.2,24.25,13256,11122
2020-08-28,MCDHOLDING,24.25,25.0,23.85,24.8,51170,43995
2020-08-31,MCDHOLDING,24.8,25.2,24.0,24.75,53757,31359
2020-09-01,MCDHOLDING,24.75,24.75,23.2,23.65,22699,12187
2020-09-02,MCDHOLDING,24.35,24.4,23.25,23.75,18473,13179
2020-09-03,MCDHOLDING,23.75,24.25,23.15,23.6,16507,11029
2020-09-04,MCDHOLDING,23.6,23.9,22.85,23.25,20316,14268
2020-09-07,MCDHOLDING,22.3,23.9,22.3,22.65,26586,12390
2020-09-08,MCDHOLDING,22.6,23.15,22.4,22.6,10757,8315
2020-09-09,MCDHOLDING,22.65,22.7,21.05,21.75,23962,13687
2020-09-10,MCDHOLDING,21.7,22.1,20.9,21.15,40166,28121
2020-09-11,MCDHOLDING,20.6,23.25,20.6,23.25,66353,65080
2020-09-14,MCDHOLDING,24.45,25.45,23.6,24.85,133046,78721
2020-09-15,MCDHOLDING,25.2,26.4,25.1,25.45,92427,58273
2020-09-16,MCDHOLDING,25.7,25.7,24.05,24.75,15607,7712
2020-09-17,MCDHOLDING,25.0,27.2,23.2,27.0,207445,125466
2020-09-18,MCDHOLDING,27.6,28.35,26.85,27.55,115579,60008
2020-09-21,MCDHOLDING,27.85,28.3,26.2,26.6,169331,100157
2020-09-22,MCDHOLDING,26.6,27.9,25.35,26.75,36292,21453
2020-09-23,MCDHOLDING,27.0,27.4,25.65,25.95,11656,9461
2020-09-24,MCDHOLDING,25.95,25.95,24.7,24.85,30943,27902
2020-09-25,MCDHOLDING,25.7,25.95,24.2,25.4,11371,8362
2020-09-28,MCDHOLDING,25.2,26.3,24.75,25.15,12736,9085
2020-09-29,MCDHOLDING,25.15,25.6,24.65,25.2,14935,12409
2020-09-30,MCDHOLDING,25.45,26.1,24.1,24.85,20203,12084
2020-10-01,MCDHOLDING,24.5,25.65,24.5,25.1,24960,21193
2020-10-05,MCDHOLDING,25.1,25.4,23.85,24.0,67067,51852
2020-10-06,MCDHOLDING,23.9,24.4,23.8,24.2,6139,4829
2020-10-07,MCDHOLDING,23.6,24.4,23.05,23.7,25288,15179
2020-10-08,MCDHOLDING,23.55,24.3,23.55,23.8,4022,2497
2020-10-09,MCDHOLDING,24.35,24.35,23.5,23.85,4843,3292
2020-10-12,MCDHOLDING,23.5,24.4,23.5,23.6,13644,6119
2020-10-13,MCDHOLDING,24.05,24.05,23.0,23.05,8781,5592
2020-10-14,MCDHOLDING,23.2,23.2,22.65,23.0,4429,3805
2020-10-15,MCDHOLDING,22.85,23.9,22.85,22.85,5261,4275
2020-10-16,MCDHOLDING,22.8,23.7,22.0,22.75,10813,7065
2020-10-19,MCDHOLDING,22.25,23.5,22.0,22.95,10832,6726
2020-10-20,MCDHOLDING,22.65,23.5,22.15,23.2,15651,11214
2020-10-21,MCDHOLDING,23.75,23.75,22.6,22.85,3417,2434
2020-10-22,MCDHOLDING,23.7,23.7,22.8,23.15,7727,4566
2020-10-23,MCDHOLDING,23.65,25.45,23.05,24.45,49981,31282
2020-10-26,MCDHOLDING,24.5,25.65,23.35,24.8,22027,16993
2020-10-27,MCDHOLDING,24.8,24.85,23.6,24.3,12718,9301
2020-10-28,MCDHOLDING,24.85,24.85,23.7,24.0,3899,1896
2020-10-29,MCDHOLDING,23.8,24.65,23.65,23.7,3584,2799
2020-10-30,MCDHOLDING,23.95,24.35,23.6,23.85,2078,1597
2020-11-02,MCDHOLDING,23.9,23.9,23.55,23.7,2165,2019
2020-11-03,MCDHOLDING,23.6,24.25,23.6,23.85,4254,3490
2020-11-04,MCDHOLDING,24.3,24.3,22.25,22.95,14658,8501
2020-11-05,MCDHOLDING,23.75,24.0,23.05,23.85,11506,5440
2020-11-06,MCDHOLDING,23.25,25.0,23.25,24.35,15711,12090
2020-11-09,MCDHOLDING,24.4,24.95,23.0,23.45,43278,25840
2020-11-10,MCDHOLDING,24.3,24.3,23.15,23.3,17628,10827
2020-11-11,MCDHOLDING,23.95,23.95,23.0,23.5,13423,7933
2020-11-12,MCDHOLDING,23.9,23.9,23.0,23.35,18323,12918
2020-11-13,MCDHOLDING,23.2,23.7,23.2,23.3,6752,4565
2020-11-14,MCDHOLDING,23.95,23.95,23.2,23.55,3538,2386
2020-11-17,MCDHOLDING,24.0,24.5,23.55,24.05,42538,24901
2020-11-18,MCDHOLDING,24.5,24.5,23.65,24.2,8468,5997
2020-11-19,MCDHOLDING,24.45,24.45,23.7,24.25,15471,7980
2020-11-20,MCDHOLDING,24.65,24.75,24.05,24.35,21327,16833
2020-11-23,MCDHOLDING,24.95,24.95,24.05,24.4,14599,8604
2020-11-24,MCDHOLDING,24.4,24.6,23.5,24.25,8788,5760
2020-11-25,MCDHOLDING,24.25,24.5,24.15,24.3,7214,6833
2020-11-26,MCDHOLDING,24.1,24.2,23.65,24.1,20771,14113
2020-11-27,MCDHOLDING,24.15,24.4,23.8,24.0,11788,7812
2020-12-01,MCDHOLDING,24.5,25.0,24.15,24.95,23591,17875
2020-12-02,MCDHOLDING,25.0,26.0,24.4,25.9,33211,24471
2020-12-03,MCDHOLDING,26.0,27.0,23.55,26.8,47375,31533
2020-12-04,MCDHOLDING,27.3,27.7,26.05,26.55,20445,15481
2020-12-07,MCDHOLDING,29.0,31.85,28.6,31.85,897366,404827
2020-12-08,MCDHOLDING,32.7,32.7,30.0,31.55,296403,191919
2020-12-09,MCDHOLDING,31.55,31.6,30.65,30.95,73893,45011
2020-12-10,MCDHOLDING,30.95,31.5,28.55,30.3,48162,28690
2020-12-11,MCDHOLDING,34.0,35.95,33.0,33.5,404528,203500
2020-12-14,MCDHOLDING,34.25,39.95,33.2,38.4,463250,195983
2020-12-15,MCDHOLDING,39.0,44.4,39.0,40.65,560294,291719
2020-12-16,MCDHOLDING,39.55,40.9,38.05,39.55,182864,87989
2021-02-02,MCDHOLDING,30.2,31.7,30.1,31.4,43293,22975
2021-02-03,MCDHOLDING,31.05,31.95,30.6,31.35,33685,24649
2021-02-04,MCDHOLDING,31.3,31.75,30.85,31.4,17628,10821
2021-02-05,MCDHOLDING,32.0,34.5,31.4,34.4,156474,78056
2021-02-08,MCDHOLDING,35.3,35.45,32.5,33.85,83923,50940
2021-02-09,MCDHOLDING,33.9,36.8,32.9,35.05,161057,118148
2021-02-10,MCDHOLDING,36.5,36.9,35.1,36.25,63092,37243
2021-02-11,MCDHOLDING,36.1,38.55,35.25,37.3,81147,51956
2021-02-12,MCDHOLDING,37.15,38.0,36.0,36.3,43027,24659
2021-02-15,MCDHOLDING,36.2,39.25,36.2,38.15,67447,37156
2021-02-16,MCDHOLDING,38.75,38.85,36.95,37.1,42928,36821
2021-02-17,MCDHOLDING,37.1,37.4,35.5,36.95,49909,40811
2021-02-18,MCDHOLDING,36.6,38.0,36.6,37.75,34728,28639
2021-02-19,MCDHOLDING,37.5,39.25,37.4,38.65,77023,66407
2021-02-22,MCDHOLDING,38.0,39.7,38.0,39.15,44914,37489
2021-02-23,MCDHOLDING,36.65,40.9,36.65,40.35,55967,45746
2021-02-24,MCDHOLDING,41.0,43.0,39.8,41.65,45827,33173
2021-02-25,MCDHOLDING,41.3,43.2,41.3,41.9,83333,69774
2021-02-26,MCDHOLDING,41.2,42.85,40.7,41.35,24906,17011
2021-03-01,MCDHOLDING,44.2,44.2,40.0,40.05,38478,25740
2021-03-02,MCDHOLDING,40.5,41.5,40.25,41.15,35404,25469
2021-03-03,MCDHOLDING,41.25,42.8,37.1,37.95,184674,143233
2021-03-04,MCDHOLDING,38.2,41.45,38.2,40.5,93808,59223
2021-03-05,MCDHOLDING,41.5,41.5,39.95,40.6,29843,23833
2021-03-08,MCDHOLDING,40.0,41.45,40.0,41.15,36638,32708
2021-03-09,MCDHOLDING,41.95,41.95,40.25,40.8,21207,17791
2021-03-10,MCDHOLDING,40.0,41.65,40.0,40.9,19465,17628
2021-03-12,MCDHOLDING,40.9,42.0,40.75,41.0,23475,20498
2021-03-15,MCDHOLDING,41.85,41.85,37.55,40.65,24733,18233
2021-03-16,MCDHOLDING,43.0,43.0,40.5,41.0,9803,8250
2021-03-17,MCDHOLDING,41.85,42.9,40.0,41.15,50974,28254
2021-03-18,MCDHOLDING,41.15,41.2,39.75,40.1,19205,18311
2021-03-19,MCDHOLDING,40.9,44.0,39.15,41.4,37417,26032
2021-03-22,MCDHOLDING,41.0,41.75,40.5,40.5,10406,9001
2021-03-23,MCDHOLDING,41.6,41.95,40.5,41.15,24542,19232
2021-03-24,MCDHOLDING,41.75,41.9,41.0,41.3,36002,32132
