Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MENONBE,47.9,48.6,45.75,46.65,101170,44661
2020-08-27,MENONBE,47.45,47.45,45.65,46.0,48622,37469
2020-08-28,MENONBE,46.9,47.1,44.7,45.3,70584,55143
2020-08-31,MENONBE,45.15,46.0,40.45,41.7,130436,80666
2020-09-01,MENONBE,42.05,43.15,40.5,42.05,33913,20015
2020-09-02,MENONBE,42.05,44.0,41.85,43.65,17562,13055
2020-09-03,MENONBE,43.35,44.45,41.2,42.1,40341,24006
2020-09-04,MENONBE,41.0,43.0,41.0,41.55,23771,14297
2020-09-07,MENONBE,42.75,42.75,40.75,41.15,22513,14418
2020-09-08,MENONBE,41.65,43.25,40.65,41.15,21464,11621
2020-09-09,MENONBE,42.7,42.7,40.0,40.15,25542,18400
2020-09-10,MENONBE,42.0,42.0,40.15,40.65,19895,9120
2020-09-11,MENONBE,41.4,41.4,40.55,40.75,16543,14784
2020-09-14,MENONBE,40.9,42.5,40.9,41.35,26995,16091
2020-09-15,MENONBE,41.65,42.45,41.6,42.1,18463,14714
2020-09-16,MENONBE,41.7,44.75,41.4,43.5,56571,31887
2020-09-17,MENONBE,43.55,44.45,42.0,42.2,18630,7869
2020-09-18,MENONBE,42.2,43.65,41.65,41.8,34876,18230
2020-09-21,MENONBE,42.4,42.5,40.5,40.9,36571,22553
2020-09-22,MENONBE,40.65,40.65,37.1,39.6,32632,22036
2020-09-23,MENONBE,41.1,41.1,38.2,39.05,28152,17743
2020-09-24,MENONBE,39.9,39.9,37.5,37.6,27415,22729
2020-09-25,MENONBE,37.85,40.45,37.85,40.0,19584,11413
2020-09-28,MENONBE,41.5,41.5,39.65,40.3,12155,7354
2020-09-29,MENONBE,40.3,40.75,38.65,39.1,22627,14782
2020-09-30,MENONBE,39.8,40.35,39.1,39.35,5679,3924
2020-10-01,MENONBE,39.9,40.3,39.05,39.6,8400,5250
2020-10-05,MENONBE,39.55,39.95,39.05,39.75,14024,8774
2020-10-06,MENONBE,39.65,41.95,37.75,41.0,25512,15166
2020-10-07,MENONBE,41.05,41.75,40.3,40.9,9709,8848
2020-10-08,MENONBE,40.95,42.0,39.45,39.95,22356,16854
2020-10-09,MENONBE,40.1,40.85,39.05,39.3,9628,6732
2020-10-12,MENONBE,39.8,40.7,39.1,39.4,8849,7515
2020-10-13,MENONBE,39.7,43.8,39.7,42.0,158631,87775
2020-10-14,MENONBE,41.25,42.35,40.25,41.7,18624,12421
