Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,MEP,19.5,19.55,18.5,18.8,86978
2020-08-21,MEP,18.8,19.4,17.9,17.9,172415
2020-08-24,MEP,18.1,18.35,17.1,18.0,556308
2020-08-25,MEP,18.45,18.9,17.95,18.65,95081
2020-08-26,MEP,18.9,19.3,18.65,18.75,661176
2020-08-27,MEP,19.0,19.4,19.0,19.1,64550
2020-08-28,MEP,19.15,19.8,19.0,19.2,83186
2020-08-31,MEP,19.5,19.5,18.25,18.25,50305
2020-09-01,MEP,18.25,18.25,17.35,17.4,32798
2020-09-02,MEP,17.2,17.9,17.2,17.65,16285
2020-09-03,MEP,18.0,18.0,17.45,17.7,13708
2020-09-04,MEP,17.85,18.55,17.15,17.7,32831
2020-09-07,MEP,18.5,18.5,17.2,17.3,17592
2020-09-08,MEP,17.1,17.95,17.1,17.25,9009
2020-09-09,MEP,17.0,17.65,16.5,17.3,31004
2020-09-10,MEP,17.5,17.85,16.45,16.45,45901
2020-09-11,MEP,15.65,16.9,15.65,15.95,68775
2020-09-14,MEP,16.5,16.5,15.8,15.95,34157
2020-09-15,MEP,15.95,16.45,15.95,16.25,25066
2020-09-16,MEP,15.9,17.0,15.9,16.6,23644
2020-09-17,MEP,17.35,17.35,15.8,15.85,75653
2020-09-18,MEP,15.85,16.35,15.35,15.95,35621
2020-09-21,MEP,15.3,16.35,15.2,15.2,54930
2020-09-22,MEP,15.45,15.9,14.45,14.45,51822
2020-09-23,MEP,14.5,14.5,13.75,13.75,182009
2020-09-24,MEP,13.1,13.5,13.1,13.1,207353
2020-09-25,MEP,13.7,13.75,12.6,13.1,234537
2020-09-28,MEP,13.2,13.6,12.8,13.3,129872
2020-09-29,MEP,13.7,13.7,13.0,13.25,35957
2020-09-30,MEP,13.7,13.7,12.6,12.65,110805
2020-10-01,MEP,12.75,13.25,12.05,13.25,89874
2020-10-05,MEP,13.45,13.9,13.0,13.8,124208
