Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,1.1,1.1,0.95,1.1,7815148,5975740,76.46355513676772,76.46355513676772,76.46355513676772
2020-09-06,1.15,1.15,0.9,0.95,3055503,2592335,84.84151381949225,25.558646845072346,-8.377958682724525
2020-09-13,1.0,1.0,0.9,0.95,2317852,1488889,64.23572341978694,25.558646845072275,-8.377958682724525
2020-09-20,0.95,1.0,0.9,0.95,2641103,1882222,71.26651251390044,25.558646845072197,-8.377958682724525
2020-09-27,0.95,1.0,0.85,0.95,3691764,2511707,68.03541613169206,48.23711888896952,-8.377958682724525
2020-10-04,0.9,0.95,0.8,0.85,4951166,3746122,75.66140985779916,23.016648936369762,-84.03936854052368
2020-10-11,0.85,0.85,0.75,0.8,3841225,1929436,50.22970536742836,23.01664893636982,-134.26907390795205
2020-10-18,0.8,0.85,0.75,0.8,1446931,1022247,70.64932605632197,23.016648936369897,-134.26907390795205
2020-10-25,0.8,0.8,0.7,0.8,2956208,2355433,79.67751254309576,102.69416147946566,-134.26907390795205
2020-11-01,0.85,0.9,0.75,0.85,2144840,1812923,84.52485966319166,130.8691147005295,-49.744214244760386
2020-11-08,0.9,0.9,0.85,0.85,3386589,1091961,32.24368236003837,98.62543234049113,-49.744214244760386
2020-11-15,0.9,0.9,0.85,0.9,1010587,635659,62.8999779336168,161.52541027410794,13.155763688856418
2020-11-22,0.9,0.9,0.8,0.85,1917709,1607682,83.83347004159651,161.52541027410786,-70.6777063527401
2020-11-29,0.85,0.85,0.8,0.85,3592955,2596869,72.27669146983472,233.80210174394256,-70.6777063527401
2020-12-06,0.85,0.85,0.8,0.8,2438997,1786717,73.25621966734687,160.5458820765957,-143.93392602008697
2020-12-13,0.85,1.0,0.8,1.0,6309314,5029887,79.72161474290232,240.267496819498,-64.21231127718465
2020-12-20,1.05,1.15,1.05,1.15,881476,881476,100.0,340.267496819498,35.787688722815346
2020-12-27,,,,,0,0,,340.267496819498,35.787688722815346
2021-01-03,,,,,0,0,,340.267496819498,35.787688722815346
2021-01-10,,,,,0,0,,340.267496819498,35.787688722815346
2021-01-17,,,,,0,0,,340.267496819498,35.787688722815346
2021-01-24,,,,,0,0,,340.267496819498,35.787688722815346
2021-01-31,,,,,0,0,,340.267496819498,35.787688722815346
2021-02-07,,,,,0,0,,340.267496819498,35.787688722815346
2021-02-14,,,,,0,0,,340.267496819498,35.787688722815346
2021-02-21,,,,,0,0,,340.267496819498,35.787688722815346
2021-02-28,,,,,0,0,,340.267496819498,35.787688722815346
2021-03-07,,,,,0,0,,340.267496819498,35.787688722815346
2021-03-14,,,,,0,0,,340.267496819498,35.787688722815346
2021-03-21,,,,,0,0,,340.267496819498,35.787688722815346
2021-03-28,,,,,0,0,,340.267496819498,35.787688722815346
2021-04-04,,,,,0,0,,340.267496819498,35.787688722815346
2021-04-11,,,,,0,0,,340.267496819498,35.787688722815346
2021-04-18,,,,,0,0,,340.267496819498,35.787688722815346
2021-04-25,,,,,0,0,,340.267496819498,35.787688722815346
2021-05-02,0.85,1.0,0.75,1.0,4638688,3822527,82.40534823639788,422.6728450558959,35.787688722815346
2021-05-09,1.05,1.15,1.0,1.0,6021211,4655475,77.3179182725867,345.3549267833092,35.787688722815346
2021-05-16,1.0,1.1,0.9,1.1,7803697,7033360,90.12856342320825,435.48349020651744,125.9162521460236
2021-05-23,1.15,1.35,1.1,1.35,10098176,7220560,71.503606195812,506.9870964023294,197.4198583418356
2021-05-30,1.35,1.55,1.35,1.4,5065792,3997336,78.90841155736359,467.5328906236475,276.3282698991992
2021-06-06,1.35,1.45,1.25,1.35,7568663,5049696,66.7184679777657,467.5328906236476,209.6098019214335
2021-06-13,1.4,1.6,1.4,1.5,6760501,5284899,78.17318568549875,467.5328906236476,287.78298760693224
2021-06-20,1.5,1.75,1.45,1.75,10231191,7395150,72.28044125068138,539.8133318743289,360.06342885761364
2021-06-27,1.8,2.0,1.8,2.0,6079261,5226453,85.97184756502476,625.7851794393537,446.0352764226384
2021-07-04,2.1,2.1,1.85,2.0,32829974,16580926,50.5054496844865,635.8862693762509,446.0352764226384
2021-07-11,,,,,0,0,,635.8862693762509,446.0352764226384
2021-07-18,,,,,0,0,,635.8862693762509,446.0352764226384
2021-07-25,,,,,0,0,,635.8862693762509,446.0352764226384
2021-08-01,,,,,0,0,,635.8862693762509,446.0352764226384
2021-08-08,,,,,0,0,,635.8862693762509,446.0352764226384
2021-08-15,,,,,0,0,,635.8862693762509,446.0352764226384
2021-08-22,,,,,0,0,,635.8862693762509,446.0352764226384
2021-08-29,,,,,0,0,,635.8862693762509,446.0352764226384
2021-09-05,,,,,0,0,,635.8862693762509,446.0352764226384
2021-09-12,,,,,0,0,,635.8862693762509,446.0352764226384
2021-09-19,,,,,0,0,,635.8862693762509,446.0352764226384
2021-09-26,,,,,0,0,,635.8862693762509,446.0352764226384
2021-10-03,,,,,0,0,,635.8862693762509,446.0352764226384
2021-10-10,,,,,0,0,,635.8862693762509,446.0352764226384
2021-10-17,1.85,1.85,1.7,1.75,2856307,2024217,70.86832752921867,612.263493533178,446.0352764226384
2021-10-24,1.75,1.8,1.6,1.6,3727134,3004259,80.60507081312343,531.6584227200545,365.4302056095149
2021-10-31,1.65,1.65,1.35,1.35,2976818,2466804,82.8671420288375,448.791280691217,282.5630635806774
2021-11-07,1.3,1.35,1.15,1.2,9591183,6123006,63.8399454999451,416.8713079412445,218.72311808073232
2021-11-14,1.2,1.3,1.15,1.2,10882184,7657004,70.36275071254079,393.4170577037309,218.72311808073232
2021-11-21,1.2,1.35,1.15,1.35,3459874,2569069,74.25325315314952,467.6703108568804,292.9763712338818
2021-11-28,1.4,1.6,1.4,1.6,847774,847774,100.0,567.6703108568804,392.9763712338818
2021-12-05,1.65,1.7,1.55,1.55,7034146,4181197,59.44143041671299,508.2288804401674,333.53494081716883
