Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-12-22,METROBRAND,437.0,507.9,426.0,493.35,19716936,6033972
2021-12-23,METROBRAND,499.9,512.0,478.0,480.6,2173869,594416
2021-12-24,METROBRAND,484.0,489.0,466.05,470.45,951656,378016
2021-12-27,METROBRAND,460.1,464.9,444.2,449.95,540067,257204
2021-12-28,METROBRAND,446.25,464.5,446.25,460.25,419620,187299
2021-12-29,METROBRAND,459.0,469.7,450.0,453.95,572715,191925
2021-12-30,METROBRAND,451.0,462.0,450.0,452.15,166176,71523
2021-12-31,METROBRAND,451.0,460.9,451.0,458.2,247933,122454
2022-01-03,METROBRAND,454.5,461.8,450.05,453.6,327782,177945
2022-01-04,METROBRAND,458.7,458.7,434.8,436.6,374329,231519
2022-01-05,METROBRAND,437.25,448.7,428.75,439.85,360297,133472
2022-01-06,METROBRAND,432.1,457.0,431.65,455.2,408705,254087
2022-01-07,METROBRAND,465.0,471.1,456.55,468.25,319032,178602
2022-01-10,METROBRAND,468.0,480.0,458.65,478.25,295438,153026
2022-01-11,METROBRAND,484.75,498.1,478.0,494.55,606349,360727
2022-01-12,METROBRAND,488.3,502.0,484.25,499.0,459370,268603
2022-01-13,METROBRAND,492.2,509.8,488.9,500.95,505248,340568
2022-01-14,METROBRAND,500.9,512.0,492.95,507.95,508691,246083
2022-01-17,METROBRAND,545.0,609.5,545.0,605.0,5552207,1837639
2022-01-18,METROBRAND,621.0,673.0,595.25,605.2,5058331,963027
2022-01-19,METROBRAND,596.0,621.7,586.0,608.1,887038,215346
2022-01-20,METROBRAND,611.9,627.0,600.0,608.55,865251,468305
2022-01-21,METROBRAND,606.9,619.7,591.0,601.75,384543,202365
2022-01-24,METROBRAND,600.0,609.9,556.5,597.45,441786,144596
2022-01-25,METROBRAND,597.0,625.0,584.0,612.9,319471,152530
2022-01-27,METROBRAND,600.0,630.0,595.3,625.8,397438,219446
2022-01-28,METROBRAND,629.8,630.6,602.5,615.15,328952,193546
2022-01-31,METROBRAND,616.0,625.0,600.5,608.9,321552,233291
2022-02-01,METROBRAND,610.0,614.75,575.4,595.15,326331,233963
2022-02-02,METROBRAND,595.45,608.25,585.15,598.7,361387,275698
2022-02-03,METROBRAND,592.0,603.25,589.0,591.05,364061,312927
2022-02-04,METROBRAND,592.0,592.7,581.1,582.5,92462,51863
2022-02-07,METROBRAND,582.0,595.55,573.2,577.9,186031,139738
2022-02-08,METROBRAND,575.0,589.5,565.0,567.2,136380,100161
2022-02-09,METROBRAND,570.9,604.4,559.25,594.6,192902,95553
2022-02-10,METROBRAND,595.1,597.0,580.1,586.45,63064,28457
2022-02-11,METROBRAND,584.0,584.95,573.05,578.7,70637,43886
2022-02-14,METROBRAND,565.25,589.75,550.1,559.6,250995,189836
2022-02-15,METROBRAND,565.0,580.0,550.3,574.6,100356,54769
2022-02-16,METROBRAND,580.0,582.25,570.0,572.15,91253,54607
2022-02-17,METROBRAND,570.1,570.95,558.0,558.2,167101,146512
2022-02-18,METROBRAND,557.0,559.9,551.25,554.4,123520,98364
2022-02-21,METROBRAND,550.0,560.0,540.0,548.75,136516,71787
2022-02-22,METROBRAND,534.0,552.9,526.0,547.5,86409,47442
2022-02-23,METROBRAND,545.0,553.0,538.05,542.8,226462,186512
2022-02-24,METROBRAND,520.0,532.25,510.55,522.8,564698,471343
2022-02-25,METROBRAND,520.25,560.0,520.25,545.1,275706,226284
2022-02-28,METROBRAND,550.0,550.0,533.0,544.0,112419,54189
2022-03-02,METROBRAND,538.0,548.0,530.25,536.2,47030,27919
2022-03-03,METROBRAND,544.75,547.0,528.0,531.95,79234,42539
2022-03-04,METROBRAND,530.0,531.9,515.0,519.0,103406,71074
2022-03-07,METROBRAND,515.0,531.6,505.1,518.25,147347,88524
2022-03-08,METROBRAND,527.0,527.0,514.65,520.15,101245,56410
2022-03-09,METROBRAND,520.05,530.0,519.0,522.0,171982,120231
2022-03-10,METROBRAND,526.0,548.0,523.75,535.35,581113,390881
2022-03-11,METROBRAND,544.75,550.0,540.1,548.8,202230,114525
2022-03-14,METROBRAND,552.1,552.1,532.05,539.75,68068,37418
2022-03-15,METROBRAND,541.0,558.75,539.5,551.6,243904,124611
2022-03-16,METROBRAND,559.0,574.55,551.05,570.1,164931,95007
2022-03-17,METROBRAND,575.0,589.45,565.75,573.15,283725,164863
2022-03-21,METROBRAND,573.2,579.85,562.3,572.55,145451,100357
2022-03-22,METROBRAND,571.0,583.95,565.65,570.1,417622,367601
2022-03-23,METROBRAND,571.05,580.25,567.0,569.95,104992,70938
2022-03-24,METROBRAND,574.0,584.5,565.15,575.45,93984,38880
2022-03-25,METROBRAND,579.75,597.15,578.2,582.9,247121,113342
2022-03-28,METROBRAND,579.0,599.2,576.0,594.35,178019,127583
2022-03-29,METROBRAND,591.0,607.4,582.8,598.8,136544,71910
2022-03-30,METROBRAND,596.0,610.0,591.0,606.5,210076,138688
2022-03-31,METROBRAND,605.6,635.5,581.35,612.2,401020,265677
2022-04-01,METROBRAND,611.0,624.0,601.6,606.25,169484,94075
2022-04-04,METROBRAND,619.75,619.75,598.1,601.2,82918,45515
2022-04-05,METROBRAND,604.0,610.0,595.05,597.7,72435,40877
2022-04-06,METROBRAND,594.0,607.7,592.25,600.15,113163,51976
2022-04-07,METROBRAND,595.0,610.0,588.4,596.75,82338,44958
2022-04-08,METROBRAND,591.1,595.4,582.45,592.45,101489,43862
2022-04-11,METROBRAND,594.0,612.15,594.0,603.65,156911,76197
2022-04-12,METROBRAND,599.0,614.0,594.0,603.6,130259,48218
2022-04-13,METROBRAND,602.15,611.0,599.0,600.7,53350,25291
2022-04-18,METROBRAND,593.0,600.7,535.25,594.65,63276,27652
2022-04-19,METROBRAND,602.0,603.55,565.85,574.2,70371,36630
2022-04-20,METROBRAND,582.0,583.0,552.1,568.9,155842,76862
2022-04-21,METROBRAND,567.0,575.7,565.7,570.15,41793,20988
2022-04-22,METROBRAND,568.0,575.0,565.0,567.7,21859,11887
2022-04-25,METROBRAND,555.1,570.0,555.1,566.2,66315,36083
2022-04-26,METROBRAND,579.0,588.55,567.0,572.1,128639,56442
2022-04-27,METROBRAND,571.7,574.15,555.4,558.85,30140,17090
2022-04-28,METROBRAND,560.0,570.0,550.0,566.05,107186,77916
2022-04-29,METROBRAND,566.15,579.0,553.0,570.1,194711,108014
