Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,580.0,641.75,580.0,598.1,20119945,3068651,15.251786225061748,-6.3106581060781695,15.251786225061748
2020-09-06,608.9,626.0,575.0,593.9,9120279,1812974,19.87849275225023,-11.455679759601777,-4.6267065271884835
2020-09-13,599.0,604.1,578.25,597.85,5357507,1219440,22.761332836336003,0.29920586380580083,18.13462630914752
2020-09-20,605.0,632.8,605.0,610.5,6221450,1628117,26.16941388261579,-15.515403964537537,44.304040191763306
2020-09-27,612.9,621.3,567.3,594.25,10011203,4090003,40.8542609714337,-15.591060003373457,3.449779220329603
2020-10-04,603.1,629.65,596.0,618.3,8111458,3525089,43.45814279011246,-1.4494058116430324,46.907922010442064
2020-10-11,618.0,645.0,599.05,601.9,6730347,1802465,26.78116002042688,-24.908419757718786,20.126761990015183
2020-10-18,601.8,607.35,573.1,579.5,4066872,995374,24.475174040392712,-40.23666744141002,-4.348412050377529
2020-10-25,582.35,593.9,566.05,591.1,3479986,756506,21.73876561572374,-22.86907193154089,17.39035356534621
2020-11-01,590.0,601.85,568.5,590.55,4988659,2228625,44.67382917934459,-8.46896207613013,-27.283475613998377
2020-11-08,609.95,630.0,588.8,621.15,6215341,2599894,41.83027125945302,15.39053730729572,14.546795645454644
2020-11-15,629.05,630.3,599.0,613.2,4023593,1709884,42.496445341265876,11.45316697216264,-27.94964969581123
2020-11-22,612.0,631.15,601.1,618.1,7506382,3586018,47.772921761775514,17.73280227861907,19.823272065964282
2020-11-29,621.1,665.0,618.0,648.65,9423954,4193147,44.49456141233287,31.270509261520303,64.31783347829716
2020-12-06,653.4,653.4,629.75,637.55,3981501,1921421,48.25870946660569,14.84418320629073,16.059124011691473
2020-12-13,638.0,652.4,621.5,634.1,9061306,4675789,51.601711717935586,5.325420850555146,-35.54258770624411
2020-12-20,632.0,671.7,626.3,648.25,14580435,6036023,41.398099576590134,3.957642230183228,5.855511870346021
2020-12-27,645.0,697.5,623.8,682.3,21890290,7285014,33.27965961163603,23.510006696721053,39.13517148198205
2021-01-03,687.9,703.0,669.45,690.95,5737733,1971850,34.36636037264195,33.189950229402676,73.501531854624
2021-01-10,690.75,740.45,679.05,726.85,8926300,3619196,40.54530992684539,55.773819928069,114.0468417814694
2021-01-17,728.0,734.5,703.25,707.55,5429419,2585350,47.617433835922405,21.260703883792303,66.42940794554698
2021-01-24,708.0,751.8,686.4,702.1,7354746,2641932,35.92145806258979,2.5859397533939976,30.507949882957192
2021-01-31,705.5,710.0,670.0,683.0,4870548,1617582,33.211498993542406,-9.038084894345843,-2.7035491105852145
2021-02-07,689.0,727.4,659.1,715.8,6777016,2550940,37.64105027935599,15.817132786458735,34.93750116877077
2021-02-14,718.05,831.65,715.15,809.4,14548128,2661218,18.292511586370424,27.122375998636166,53.230012755141196
2021-02-21,812.95,885.0,812.95,838.7,11990033,5160942,43.04360129784464,14.845540375170433,96.27361405298583
2021-02-28,844.0,953.7,765.15,866.1,13701706,5284810,38.5704524677438,17.576463421812598,134.84406652072963
2021-03-07,868.0,943.1,858.75,917.75,9385987,4167279,44.39894280697384,35.28866763585727,179.24300932770348
2021-03-14,924.5,944.55,888.05,892.8,2864594,1008491,35.205372907993244,6.002782207969091,144.03763641971022
2021-03-21,896.9,907.05,845.2,859.95,6246470,3621103,57.97038967608905,-24.318027913639288,86.06724674362118
2021-03-28,861.0,884.15,831.15,863.9,4854009,1836703,37.838887402145325,-15.3937620169069,123.90613414576652
2021-04-04,865.0,884.9,854.15,880.3,1768510,839869,47.49020361773471,17.887990437147764,171.3963377635012
2021-04-11,874.1,909.75,851.45,886.15,4095455,2073417,50.6272685208359,27.527144477992948,222.02360628433712
2021-04-18,875.0,893.9,838.15,872.0,1734850,528691,30.474738450010086,34.05939783185164,191.54886783432704
2021-04-25,864.1,883.55,834.0,863.6,1649524,565063,34.25612479721423,40.730873195991315,157.2927430371128
2021-05-02,867.4,931.65,856.6,895.9,2888842,765847,26.51051874765044,41.98486841989748,183.80326178476327
2021-05-09,898.9,951.3,875.25,916.7,3148767,782518,24.851568883947273,44.223306905828345,208.65483066871053
2021-05-16,929.0,929.05,865.45,881.5,1376741,548357,39.83007697163083,24.496146141577196,168.8247536970797
2021-05-23,877.1,914.4,873.0,902.75,2277812,881271,38.6893650573445,41.41106178259016,207.5141187544242
2021-05-30,914.9,964.8,895.75,935.25,5449508,1711652,31.409294196833915,45.93709331421216,238.92341295125811
2021-06-06,938.2,986.0,927.95,958.0,3891993,918371,23.596419623570753,46.77038634140112,262.51983257482885
