Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,MHRIL,302.5,315.0,301.0,303.9,580533,161409
2021-08-24,MHRIL,307.5,317.1,303.9,312.0,481770,158500
2021-08-25,MHRIL,316.2,317.7,310.05,314.75,202190,81865
2021-08-26,MHRIL,317.8,319.0,305.3,306.65,297894,122776
2021-08-27,MHRIL,311.0,311.0,305.3,308.8,103653,39761
2021-08-30,MHRIL,306.55,318.8,306.55,314.7,311883,110800
2021-08-31,MHRIL,318.5,325.45,314.0,317.0,420176,157697
2021-09-01,MHRIL,319.7,322.0,315.0,317.85,186278,77716
2021-09-02,MHRIL,319.0,338.0,317.9,334.6,1471876,421579
2021-09-03,MHRIL,336.7,345.6,334.0,336.4,808665,246503
2021-09-06,MHRIL,338.0,339.85,320.0,325.05,427538,213355
2021-09-07,MHRIL,326.5,356.8,320.0,339.25,3318364,692291
2021-09-08,MHRIL,240.5,254.75,232.6,237.6,2657848,661805
2021-09-09,MHRIL,235.0,242.0,231.1,232.7,609774,149810
2021-09-13,MHRIL,233.0,237.4,232.05,234.4,380593,119777
2021-09-14,MHRIL,236.35,237.6,231.5,232.5,352129,216477
2021-09-15,MHRIL,233.0,234.4,230.85,232.75,200355,119762
2021-09-16,MHRIL,232.75,232.75,228.7,229.9,164244,88586
2021-09-17,MHRIL,231.95,236.6,228.25,235.25,451340,210308
2021-09-20,MHRIL,234.55,248.0,233.1,238.2,1393987,389463
2021-09-21,MHRIL,238.95,243.5,232.3,236.8,382374,123893
2021-09-22,MHRIL,237.0,243.5,232.85,240.35,795555,212443
2021-09-23,MHRIL,245.0,247.95,240.0,240.65,568441,264116
2021-09-24,MHRIL,242.0,246.5,234.7,239.25,430116,210652
2021-09-27,MHRIL,241.2,257.0,236.2,246.95,2038913,678275
2021-09-28,MHRIL,248.75,248.75,238.55,242.4,429967,166761
2021-09-29,MHRIL,240.3,251.35,238.95,245.4,391917,148996
2021-09-30,MHRIL,246.45,251.8,245.0,245.8,352900,164280
2021-10-01,MHRIL,245.0,248.45,243.0,244.15,197188,73062
2021-10-04,MHRIL,242.5,251.0,241.0,242.7,521836,248638
2021-10-05,MHRIL,244.0,246.5,241.5,242.9,219184,99211
2021-10-06,MHRIL,242.6,244.55,230.55,234.05,573695,257023
2021-10-07,MHRIL,237.0,241.65,235.05,238.05,410485,167271
2021-10-08,MHRIL,239.95,247.2,238.0,240.15,681332,195549
2021-10-11,MHRIL,242.0,246.1,238.5,241.5,495263,170817
2021-10-12,MHRIL,240.0,246.7,240.0,241.15,335392,104318
2021-10-13,MHRIL,243.55,243.55,240.1,241.05,204929,96469
2021-10-14,MHRIL,242.0,248.45,241.1,242.8,412590,139543
2021-10-18,MHRIL,245.25,249.95,242.9,244.25,446069,165854
2021-10-19,MHRIL,249.9,261.6,245.65,248.5,2152124,601182
2021-10-20,MHRIL,250.0,250.25,237.25,244.45,439621,156136
2021-10-21,MHRIL,247.95,249.2,239.2,242.45,219146,91507
2021-10-22,MHRIL,247.0,259.0,234.05,248.75,1606831,406075
2021-10-25,MHRIL,250.5,251.0,230.0,233.75,773854,268336
2021-10-26,MHRIL,234.35,240.25,234.2,236.4,245767,97736
2021-10-27,MHRIL,238.0,239.7,234.0,235.65,168474,62948
2021-10-28,MHRIL,235.65,238.5,230.05,230.6,222905,91021
2021-10-29,MHRIL,231.0,233.8,224.75,227.9,207285,56914
