Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,79.75,83.8,77.7,79.5,8476676,4999329,58.97746947034427
2020-09-06,80.0,80.2,72.05,74.3,2843488,1430196,50.297240572142385
2020-09-13,74.7,74.85,68.2,70.6,1139478,497033,43.61935903984105
2020-09-20,72.0,78.45,71.5,72.45,3293668,1763942,53.55554961823717
2020-09-27,72.45,73.75,66.4,70.6,1603526,621349,38.74891956850092
2020-10-04,71.05,74.4,69.7,72.0,1444147,903880,62.58919625218209
2020-10-11,72.25,74.0,70.05,70.25,876660,449370,51.25932516597085
2020-10-18,71.0,73.5,65.1,66.75,2105581,1334170,63.363508694274884
2020-10-25,67.9,72.0,67.0,71.0,1293002,622924,48.17656894575569
2020-11-01,71.45,72.0,66.85,67.65,1089778,508177,46.63124049118261
2020-11-08,69.85,78.0,65.2,68.6,3040388,1609944,52.95192587261889
2020-11-15,69.15,72.25,66.85,71.25,3352918,1907707,56.89691784887074
2020-11-22,71.5,74.6,69.05,73.6,8383653,4248430,50.67516511000634
2020-11-29,74.9,82.2,74.4,81.45,10662676,4717367,44.241867613720984
2020-12-06,81.4,85.8,81.3,84.45,5878590,2975282,50.61217060553636
2020-12-13,84.8,91.45,82.0,88.0,8577870,4270093,49.78034173984917
2020-12-20,88.5,96.0,88.1,92.2,8340017,3595104,43.10667472260548
2020-12-27,92.6,92.6,77.25,88.4,4304405,1927473,44.77908096473264
2021-01-03,91.5,95.45,89.0,90.7,3625379,1722350,47.50813639070564
2021-01-10,91.6,98.5,90.05,92.8,5945469,2858248,48.07439076715394
2021-01-17,93.25,93.4,87.3,88.15,3700086,1908378,51.57658497667351
2021-01-24,88.6,94.1,84.45,92.35,4386403,1407160,32.08004371691338
2021-01-31,91.95,92.2,85.65,89.2,2967007,1598366,53.87132554793433
2021-02-07,89.45,101.0,87.5,96.25,7536691,4045921,53.682988993445534
2021-02-14,96.75,99.2,92.65,97.7,4106255,1697183,41.33165134654326
2021-02-21,98.45,102.25,93.8,99.1,4975282,1975550,39.707296993416655
2021-02-28,99.75,106.8,95.1,103.15,7828440,3127386,39.949031991048024
2021-03-07,104.5,110.5,96.2,97.75,6662853,2951072,44.29141690504053
