Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,345.75,374.1,339.5,345.05,2760591,1117046,40.46401658195655,-27.4827858287855,40.46401658195655
2020-09-06,348.0,348.0,285.9,341.55,1053296,609598,57.875279123817045,18.3700923176203,-17.411262541860495
2020-09-13,346.0,352.7,320.5,339.5,776582,236604,30.4673556688154,23.858001102686444,-47.878618210675896
2020-09-20,345.0,375.0,344.75,352.15,1545204,717604,46.44072886169076,0.1386866923352308,-1.4378893489851379
2020-09-27,348.0,350.0,308.0,319.6,782372,361734,46.23555035200646,-20.557226322372372,-47.6734397009916
2020-10-04,328.0,343.75,323.05,331.35,669433,451919,67.5077266881077,-33.928321946586834,19.834286987116094
2020-10-11,338.0,354.9,336.25,337.6,689839,297947,43.19080249159587,-70.86630048497568,63.02508947871196
2020-10-18,338.0,342.0,322.0,327.8,593311,443875,74.81320926124747,-102.28784837469954,-11.788119782535503
2020-10-25,327.0,333.0,317.7,330.1,330171,154322,46.740022594352624,-73.2662657180752,34.95190281181712
2020-11-01,331.25,334.0,315.0,319.65,394600,173451,43.95615813482007,-95.7070411869045,-9.004255323002951
2020-11-08,322.6,331.0,317.55,326.9,553524,359811,65.00368547705249,-70.33385540589914,55.999430154049534
2020-11-15,326.9,374.8,324.0,366.65,1837462,871956,47.454369124368284,-38.105986610806575,103.45379927841782
2020-11-22,367.8,378.65,356.5,368.6,539311,246111,45.634337144986844,-33.88249265382119,149.08813642340465
2020-11-29,372.0,396.9,363.05,386.6,1119416,422218,37.71770280217542,-19.118546948390556,186.80583922558006
2020-12-06,386.6,409.4,377.7,393.05,872417,405743,46.507919951124286,-20.585673760728778,233.31375917670434
2020-12-13,392.0,404.0,383.8,386.4,446754,199787,44.719689135407855,-53.79336371276446,188.59407004129648
2020-12-20,389.0,398.0,376.85,395.9,373844,183713,49.141620569007394,-14.410362831219643,237.73569061030386
2020-12-27,398.0,405.45,365.0,401.8,570563,339196,59.44935090428226,34.31018061691286,297.18504151458615
2021-01-03,407.0,414.0,391.0,398.2,482343,243893,50.56422504317467,15.40355733989967,246.62081647141147
2021-01-10,399.9,412.0,387.4,401.25,1071124,719057,67.13106979210623,23.86316369581555,313.7518862635177
2021-01-17,404.9,420.0,392.5,405.25,1411905,861710,61.03172663883193,19.424492667536867,374.7836129023496
2021-01-24,412.0,519.7,402.4,489.1,3176912,1237479,38.95225930085567,38.053834072293924,413.7358722032053
2021-01-31,494.65,522.9,450.4,456.5,2033288,728877,35.84720905252969,8.238845025845112,377.8886631506756
