Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,MITTAL,9.75,9.75,8.95,9.05,55521,38647
2021-08-24,MITTAL,9.4,9.95,9.2,9.95,42977,36214
2021-08-25,MITTAL,10.85,10.85,10.05,10.2,60162,37605
2021-08-26,MITTAL,10.0,10.5,10.0,10.2,21922,14214
2021-08-27,MITTAL,10.5,10.5,10.1,10.2,21119,11432
2021-08-30,MITTAL,10.4,11.2,10.35,11.1,93619,71450
2021-08-31,MITTAL,11.1,11.1,10.7,11.0,52695,33395
2021-09-01,MITTAL,11.3,11.45,11.0,11.2,63531,47532
2021-09-02,MITTAL,11.35,11.35,10.85,11.0,38011,27525
2021-09-03,MITTAL,11.25,11.25,10.85,11.1,25810,14924
2021-09-06,MITTAL,11.35,11.35,10.15,10.6,58531,33878
2021-09-07,MITTAL,11.0,11.0,10.3,10.75,19667,12341
2021-09-08,MITTAL,10.55,10.9,10.5,10.7,28992,21857
2021-09-09,MITTAL,10.85,11.0,10.6,10.85,27182,14207
2021-09-13,MITTAL,10.95,10.95,10.5,10.6,52829,39866
2021-09-14,MITTAL,10.8,10.8,10.05,10.3,63425,35208
2021-09-15,MITTAL,10.15,10.45,9.9,10.25,42827,33053
2021-09-16,MITTAL,10.25,10.7,10.25,10.5,41808,31835
2021-09-17,MITTAL,10.75,10.75,10.3,10.4,47290,41616
2021-09-20,MITTAL,10.4,10.4,10.1,10.25,21554,17776
2021-09-21,MITTAL,10.45,10.45,10.15,10.25,14182,13633
2021-09-22,MITTAL,10.15,10.4,10.1,10.2,35913,27122
2021-09-23,MITTAL,10.2,10.4,10.1,10.15,19276,17096
2021-09-24,MITTAL,10.05,10.25,10.05,10.2,12786,11030
2021-09-27,MITTAL,10.1,10.3,10.05,10.15,9558,7687
2021-09-28,MITTAL,10.3,10.3,9.65,10.1,19668,12900
2021-09-29,MITTAL,10.1,10.25,9.9,9.95,41319,27488
2021-09-30,MITTAL,10.05,10.25,9.85,10.1,30513,22582
2021-10-01,MITTAL,10.2,10.2,9.9,10.05,14336,13183
2021-10-04,MITTAL,10.25,10.4,10.0,10.15,19868,17148
2021-10-05,MITTAL,10.15,10.15,10.0,10.1,37936,32583
2021-10-06,MITTAL,10.0,10.2,10.0,10.1,23961,19308
2021-10-07,MITTAL,10.1,10.2,10.0,10.05,24622,19341
2021-10-08,MITTAL,10.15,10.2,10.05,10.2,31816,27532
2021-10-11,MITTAL,10.2,10.7,10.1,10.2,49794,43522
2021-10-12,MITTAL,10.2,10.5,10.2,10.4,55519,52593
2021-10-13,MITTAL,10.65,10.65,10.3,10.5,28644,21726
2021-10-14,MITTAL,10.75,10.75,10.3,10.45,35198,24023
2021-10-18,MITTAL,10.7,10.95,10.45,10.8,117454,94891
2021-10-19,MITTAL,10.8,11.2,10.6,10.9,91080,63157
2021-10-20,MITTAL,11.2,11.2,9.65,10.5,38088,28169
2021-10-21,MITTAL,10.8,10.8,9.85,10.35,45719,26817
2021-10-22,MITTAL,10.85,10.85,10.25,10.4,19096,16030
2021-10-25,MITTAL,10.95,10.95,10.15,10.35,16840,13312
2021-10-26,MITTAL,10.15,10.6,10.05,10.25,16390,11560
2021-10-27,MITTAL,10.25,10.5,10.05,10.25,15170,11544
2021-10-28,MITTAL,10.35,10.35,9.9,9.95,22965,19027
2021-10-29,MITTAL,10.35,10.35,9.9,10.15,7964,5571
2021-11-01,MITTAL,10.15,10.15,9.8,9.95,23328,13131
2021-11-02,MITTAL,10.15,10.5,9.95,10.2,25847,13992
2021-11-03,MITTAL,10.05,10.5,9.9,10.05,12823,10315
2021-11-04,MITTAL,10.05,10.35,10.05,10.1,3099,1965
2021-11-08,MITTAL,10.15,10.4,9.8,9.95,52501,37637
2021-11-09,MITTAL,10.1,10.2,9.95,10.1,21832,19203
2021-11-10,MITTAL,10.35,10.35,9.6,10.2,40018,33938
2021-11-11,MITTAL,10.2,10.3,10.05,10.1,18794,15743
2021-11-12,MITTAL,10.3,10.3,10.0,10.15,7341,6197
2021-11-15,MITTAL,10.2,10.2,10.0,10.05,8081,5765
2021-11-16,MITTAL,9.75,10.95,9.75,10.7,102849,79195
2021-11-17,MITTAL,10.9,10.9,10.4,10.55,51556,44164
2021-11-18,MITTAL,10.9,10.9,10.0,10.25,44075,35486
2021-11-22,MITTAL,9.8,10.55,9.8,10.05,21422,14143
2021-11-23,MITTAL,9.7,10.2,9.7,10.15,8110,6212
2021-11-24,MITTAL,10.2,10.55,9.9,10.25,27459,19645
2021-11-25,MITTAL,10.55,10.55,9.75,10.15,41024,29370
2021-11-26,MITTAL,10.4,10.4,9.75,10.15,31945,22577
2021-11-29,MITTAL,10.15,10.15,9.8,10.0,23543,23235
2021-11-30,MITTAL,10.45,10.45,9.7,9.9,32674,22837
2021-12-01,MITTAL,10.25,10.25,9.7,9.9,18403,11556
2021-12-02,MITTAL,9.9,10.1,9.9,9.95,10139,9984
