Date,Symbol,Open,High,Low,Close,Deliverable Volume
2021-05-21,MOKSH,68.9,70.0,61.0,61.8,35376
2021-05-24,MOKSH,63.0,63.9,60.35,61.0,151603
2021-05-25,MOKSH,61.0,63.25,60.1,61.55,35812
2021-05-26,MOKSH,61.95,62.35,60.05,61.45,31613
2021-05-27,MOKSH,61.9,62.5,60.5,61.75,6870
2021-05-28,MOKSH,63.0,63.0,60.5,61.25,29798
2021-05-31,MOKSH,64.95,64.95,61.0,64.15,231354
2021-06-01,MOKSH,65.1,67.5,65.1,67.1,77132
2021-06-02,MOKSH,70.5,73.45,67.55,70.95,82214
2021-06-03,MOKSH,74.0,78.0,73.85,76.65,99871
2021-06-04,MOKSH,77.0,82.75,77.0,80.15,110778
2021-06-07,MOKSH,82.0,82.9,78.05,78.3,39295
2021-06-08,MOKSH,79.1,81.2,79.0,79.8,11146
2021-06-09,MOKSH,80.05,80.05,79.0,79.0,10384
2021-06-10,MOKSH,79.85,80.05,77.05,79.95,29145
2021-06-11,MOKSH,81.0,81.05,79.0,79.7,14542
2021-06-14,MOKSH,79.65,81.0,78.0,80.8,23571
2021-06-15,MOKSH,80.8,80.8,78.5,80.0,24454
2021-06-16,MOKSH,79.1,79.95,78.1,78.95,22659
2021-06-17,MOKSH,79.85,84.0,77.55,83.05,110793
2021-06-18,MOKSH,85.95,85.95,80.45,83.9,71392
2021-06-21,MOKSH,80.5,85.15,80.5,83.1,26032
2021-06-22,MOKSH,84.95,84.95,81.25,82.75,136744
2021-06-23,MOKSH,84.5,84.5,80.25,82.85,114411
2021-06-24,MOKSH,83.6,87.0,81.1,85.4,337343
2021-06-25,MOKSH,89.0,93.6,77.45,85.6,348794
2021-06-28,MOKSH,85.75,92.0,85.5,90.85,668383
2021-06-29,MOKSH,96.7,99.0,92.35,96.05,502344
2021-06-30,MOKSH,99.75,99.75,96.45,97.0,154122
2021-07-01,MOKSH,99.35,99.35,94.05,97.2,169701
