Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MOLDTECH,46.9,46.9,44.15,45.3,60694,41095
2020-08-27,MOLDTECH,46.1,46.7,44.85,45.55,48100,34491
2020-08-28,MOLDTECH,46.9,47.75,44.8,45.85,172624,75142
2020-08-31,MOLDTECH,47.2,47.2,41.5,42.3,97346,56301
2020-09-01,MOLDTECH,40.7,45.5,39.25,39.9,58400,36383
2020-09-02,MOLDTECH,39.9,42.5,39.9,41.7,12748,6592
2020-09-03,MOLDTECH,43.45,43.45,41.0,41.7,23743,14803
2020-09-04,MOLDTECH,40.3,41.9,40.1,40.75,22499,13677
2020-09-07,MOLDTECH,40.75,41.55,38.2,38.95,53109,35243
2020-09-08,MOLDTECH,41.45,42.4,38.45,40.35,42546,17900
2020-09-09,MOLDTECH,41.2,41.2,38.7,39.55,21277,13370
2020-09-10,MOLDTECH,41.15,41.2,39.4,40.05,9696,5793
2020-09-11,MOLDTECH,40.5,44.45,39.2,40.75,41253,14166
2020-09-14,MOLDTECH,41.6,46.7,40.85,42.55,242189,86908
2020-09-15,MOLDTECH,43.85,45.2,42.75,43.5,48580,29388
2020-09-16,MOLDTECH,44.7,45.4,42.75,43.15,35642,23546
2020-09-17,MOLDTECH,43.2,43.2,41.15,41.5,38175,21533
2020-09-18,MOLDTECH,41.25,44.0,40.75,43.15,55680,23400
2020-09-21,MOLDTECH,43.05,44.8,41.65,41.9,69037,29927
2020-09-22,MOLDTECH,41.35,41.5,39.6,40.35,26858,16924
2020-09-23,MOLDTECH,40.5,41.7,40.0,40.45,9151,4862
2020-09-24,MOLDTECH,40.0,42.0,38.4,39.6,17449,10689
2020-09-25,MOLDTECH,40.0,40.55,39.25,39.95,20304,13050
2020-09-28,MOLDTECH,39.95,42.15,39.95,41.65,54936,23044
2020-09-29,MOLDTECH,41.15,42.25,40.3,40.6,12085,5914
2020-09-30,MOLDTECH,40.5,41.6,39.5,40.6,18417,13850
2020-10-01,MOLDTECH,40.5,42.0,40.5,41.0,10541,7450
2020-10-05,MOLDTECH,40.7,42.1,40.15,40.4,19899,13547
2020-10-06,MOLDTECH,40.9,41.05,39.75,39.95,17036,12318
2020-10-07,MOLDTECH,40.0,40.4,39.25,39.45,21262,17117
2020-10-08,MOLDTECH,39.5,41.35,39.0,39.05,38439,22724
2020-10-09,MOLDTECH,39.25,39.95,38.75,39.15,31909,20620
2020-10-12,MOLDTECH,38.7,39.75,38.7,38.95,16098,12408
2020-10-13,MOLDTECH,39.4,40.35,38.6,39.35,24270,19883
2020-10-14,MOLDTECH,39.15,43.5,38.7,40.2,275731,87691
2020-10-15,MOLDTECH,41.8,42.25,39.05,39.4,61595,29291
2020-10-16,MOLDTECH,40.5,40.5,38.9,39.1,47238,38513
2020-10-19,MOLDTECH,40.4,40.4,38.95,39.0,32057,17328
2020-10-20,MOLDTECH,39.75,39.75,38.5,38.75,31789,25571
2020-10-21,MOLDTECH,38.75,40.2,38.55,39.05,43797,29418
2020-10-22,MOLDTECH,38.9,39.95,38.85,39.05,29692,22880
2020-10-23,MOLDTECH,39.9,40.05,39.0,39.6,60171,29642
2020-10-26,MOLDTECH,40.65,47.5,40.05,47.5,484229,381625
2020-10-27,MOLDTECH,54.0,54.8,50.0,51.3,762976,325494
2020-10-28,MOLDTECH,51.0,51.85,48.0,51.35,182966,96304
2020-10-29,MOLDTECH,50.1,53.75,48.6,51.25,63811,45094
2020-10-30,MOLDTECH,53.15,57.4,50.5,54.1,316253,151958
2020-11-02,MOLDTECH,55.3,57.0,50.5,51.7,214935,103035
2020-11-03,MOLDTECH,54.0,54.0,48.55,50.4,74440,39082
2020-11-04,MOLDTECH,50.25,51.9,48.55,50.45,44232,21400
2020-11-05,MOLDTECH,50.25,51.9,49.35,50.55,38101,20275
2020-11-06,MOLDTECH,50.15,51.1,49.35,50.0,33581,20234
2020-11-09,MOLDTECH,49.7,50.65,49.05,49.5,53259,35859
2021-02-02,MOLDTECH,48.8,49.5,46.2,47.8,15262,11706
