Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,13.45,13.9,11.9,13.15,438222,321532,73.37194390058008,18.34298597514502,73.37194390058008
2020-09-06,13.0,13.4,12.05,12.4,334926,243636,72.74323283352143,-16.68153353729126,0.6287110670586458
2020-09-13,12.0,12.9,11.8,11.9,197756,156870,79.3250268007039,-81.58382819241268,-78.69631573364525
2020-09-20,11.9,12.35,11.5,11.75,250390,167872,67.04421103079197,-109.19026802862112,-145.74052676443722
2020-09-27,12.0,12.0,10.8,11.2,152373,106184,69.68688678440405,-132.41923029008927,-215.4274135488413
2020-10-04,11.0,11.65,10.3,10.55,190008,122783,64.61991074060039,-173.1058407563932,-280.0473242894417
2020-10-11,10.55,10.55,10.0,10.05,154896,111974,72.28979444272285,-232.2520362095299,-352.3371187321645
2020-10-18,9.7,10.35,9.0,9.15,179118,119870,66.92236402818253,-284.3027637870052,-419.25948276034705
2020-10-25,9.45,9.9,8.75,9.65,156950,102772,65.48072634597006,-247.29191846102208,-353.77875641437697
2020-11-01,9.65,10.0,9.0,9.2,123326,89135,72.27591910870376,-290.65746992624446,-426.05467552308073
2020-11-08,9.5,10.0,8.6,9.05,270086,130530,48.32905074679917,-307.9178451929584,-474.3837262698799
2020-11-15,9.4,9.5,8.7,9.25,226541,166512,73.50192680353666,-280.3546226416321,-400.88179946634324
2020-11-22,9.35,9.85,8.75,9.25,366198,247776,67.66175675454262,-286.5056914374996,-400.88179946634324
2020-11-29,9.45,9.8,9.1,9.6,184790,150976,81.7013907678987,-251.49080967982889,-319.1804086984445
2020-12-06,9.6,13.85,9.35,11.4,3290013,1484235,45.113347576438144,-255.5008850199567,-274.0670611220064
2020-12-13,11.8,12.3,10.9,11.25,887732,657492,74.06424461436559,-292.53300732713956,-348.131305736372
2020-12-20,11.7,11.7,10.5,10.6,717912,595850,82.99763759346548,-361.6977053216942,-431.12894332983745
2020-12-27,10.6,10.7,9.5,9.9,423024,339367,80.22405348159916,-388.43905648222716,-511.3529968114366
2021-01-03,10.15,11.85,8.8,9.0,4767862,3803591,79.77561011623239,-457.7522915012488,-591.128606927669
2021-01-10,9.2,9.9,8.95,9.65,3957929,2713841,68.56719764300976,-425.2730926177178,-522.5614092846592
2021-01-17,9.8,10.05,9.1,9.3,1633456,966132,59.14649675289693,-459.5158012641317,-581.7079060375562
2021-01-24,9.15,9.4,7.4,8.75,1114063,885484,79.48239911028371,-431.69696157553244,-661.1903051478399
2021-01-31,8.9,8.9,8.1,8.4,642874,441885,68.73586425955942,-448.8809276404222,-729.9261694073994
2021-02-07,8.85,9.25,8.4,8.75,939861,509156,54.17354268343936,-458.44096458455857,-675.75262672396
2021-02-14,8.95,9.0,8.2,8.55,389904,291911,74.86740325823793,-467.7993899918381,-750.6200299821979
2021-02-21,8.9,8.9,8.2,8.25,338414,273981,80.96030306074807,-537.1939354724791,-831.580333042946
2021-02-28,8.45,9.7,7.95,8.25,1643821,1065357,64.80979376708291,-579.7832285194193,-831.580333042946
2021-03-07,8.25,8.6,7.45,8.0,1503179,1120511,74.54275239342752,-583.0242177539161,-906.1230854363735
2021-03-14,8.0,8.3,7.6,7.9,970181,650417,67.04078929601795,-592.6014733676329,-973.1638747323914
2021-03-21,8.05,8.05,6.9,7.1,747059,533199,71.37307762840686,-639.149132690507,-1044.5369523607983
2021-03-28,7.6,7.6,6.25,6.65,1053847,796244,75.55593933464725,-669.9311820490669,-1120.0928916954456
2021-04-04,6.55,7.3,6.25,7.0,790186,490682,62.09702525734448,-643.3181712244907,-1057.995866438101
2021-04-11,7.1,7.2,6.5,6.8,773847,506746,65.48400394393207,-652.6730289307668,-1123.4798703820331
2021-04-18,6.85,6.95,6.4,6.75,699033,376831,53.907469318329746,-637.9709918439496,-1177.3873397003629
2021-04-25,6.8,7.5,6.4,6.8,380627,267348,70.23884275156517,-657.1270398671038,-1107.1484969487976
2021-05-02,6.9,7.1,6.55,6.8,450106,310056,68.88510706366945,-663.3893223274374,-1107.1484969487976
2021-05-09,6.8,7.2,6.7,7.0,854888,658147,76.98634207054023,-647.9920539133294,-1030.1621548782573
2021-05-16,7.0,8.3,6.8,7.55,1781082,1211263,68.00714397203498,-647.9920539133294,-962.1550109062223
2021-05-23,7.7,7.75,7.3,7.45,530176,400694,75.57754406084017,-673.1845686002761,-1037.7325549670625
2021-05-30,7.5,8.8,7.45,8.15,1672480,1340474,80.14888070410409,-670.2160915371611,-957.5836742629584
2021-06-06,8.35,8.9,7.75,8.45,1288194,786584,61.06098926093429,-656.9419634369581,-896.5226850020241
2021-06-13,9.05,11.8,8.65,10.5,10195818,6157560,60.39299642265094,-646.3971545377651,-836.1296885793731
2021-06-20,10.65,13.7,9.3,12.95,7546629,3638124,48.2085975075759,-614.6233061804992,-787.9210910717973
2021-06-27,,,,,0,0,,-614.6233061804992,-787.9210910717973
2021-07-04,,,,,0,0,,-614.6233061804992,-787.9210910717973
2021-07-11,,,,,0,0,,-614.6233061804992,-787.9210910717973
2021-07-18,,,,,0,0,,-614.6233061804992,-787.9210910717973
2021-07-25,9.25,9.7,8.6,8.65,641901,440517,68.62693779881944,-677.0114314521531,-787.9210910717973
2021-08-01,8.9,10.15,8.65,9.8,955312,724159,75.80340244862411,-636.5829501462202,-712.1176886231732
2021-08-08,9.55,10.25,8.5,8.8,1142111,755312,66.13297656707623,-680.0417633188703,-778.2506651902494
2021-08-15,8.8,9.0,7.2,8.4,1140722,748878,65.64947463097933,-658.1586051085438,-843.9001398212287
2021-08-22,8.5,8.5,7.3,7.65,347692,223389,64.24910553018188,-684.9290657461196,-908.1492453514105
2021-08-29,8.05,8.65,7.35,8.05,478911,243903,50.92866941874378,-681.0114757908316,-857.2205759326667
2021-09-05,8.0,8.6,7.4,7.85,1288177,651030,50.538862283676856,-693.6461913617509,-907.7594382163436
2021-09-12,8.2,8.2,7.65,7.85,331688,214702,64.73010781216082,-711.2998571287039,-907.7594382163436
2021-09-19,8.0,9.95,7.75,8.75,2882088,1417112,49.16962979617555,-715.7698234738108,-858.5898084201681
2021-09-26,8.5,9.25,8.05,8.9,1080038,591396,54.75696225503177,-692.9544225342142,-803.8328461651363
2021-10-03,8.9,8.9,7.8,8.45,630125,463889,73.61856774449514,-679.5692283988516,-877.4514139096315
2021-10-10,8.5,9.35,8.15,8.95,1108783,723116,65.2170893673514,-657.8301986097345,-812.2343245422801
2021-10-17,9.15,9.55,8.8,8.95,667919,431719,64.6364304653708,-696.6120568889571,-812.2343245422801
2021-10-24,9.25,9.25,8.5,8.7,735164,533237,72.53306745161623,-730.4608216997115,-884.7673919938964
2021-10-31,8.6,8.8,8.0,8.15,669885,412139,61.52384364480471,-768.9132239777143,-946.2912356387011
2021-11-07,8.3,8.4,7.9,8.25,177814,116915,65.75129067452507,-742.6127077079044,-880.539944964176
2021-11-14,8.4,8.7,7.95,8.15,487205,277183,56.89247852546669,-769.1625310197888,-937.4324234896427
2021-11-21,8.15,8.35,7.8,7.95,224331,141436,63.04790688759021,-797.820670514148,-1000.4803303772329
2021-11-28,7.9,8.45,7.2,7.85,578114,280224,48.472100658347664,-795.8817864878141,-1048.9524310355805
2021-12-05,7.85,9.2,7.5,8.3,2189873,603439,27.555890227424147,-797.5027212070743,-1021.3965408081564
2021-12-12,8.5,9.0,7.4,9.0,8281860,4567019,55.144846689028796,-742.3578745180455,-966.2516941191276
2021-12-19,9.95,11.85,8.8,9.5,20058122,8565150,42.70165472121468,-765.4587696950961,-923.5500393979129
2021-12-26,9.5,9.85,8.55,9.2,2340472,1391703,59.46249303559282,-765.4587696950962,-983.0125324335057
2022-01-02,9.45,10.0,9.05,9.5,2402474,1193312,49.670131705899834,-768.0729871533015,-933.3424007276059
2022-01-09,9.8,10.7,9.35,10.7,3041188,1790698,58.8815291918816,-709.1914579614199,-874.4608715357243
