Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,NAVINFLUOR,3720.0,3734.95,3540.05,3618.8,196515,44135
2021-08-24,NAVINFLUOR,3619.0,3673.8,3570.0,3649.6,110415,25930
2021-08-25,NAVINFLUOR,3650.0,3693.65,3601.0,3614.3,97076,28398
2021-08-26,NAVINFLUOR,3606.7,3648.0,3580.3,3602.1,93072,24638
2021-08-27,NAVINFLUOR,3598.55,3887.9,3551.0,3830.05,588389,120005
2021-08-30,NAVINFLUOR,3880.0,3979.0,3870.0,3924.7,536431,85984
2021-08-31,NAVINFLUOR,3936.0,4078.6,3905.3,4027.6,566577,81261
2021-09-01,NAVINFLUOR,4053.9,4071.85,3971.0,4023.7,177457,38675
2021-09-02,NAVINFLUOR,4043.0,4159.9,4030.0,4115.6,401784,65081
2021-09-03,NAVINFLUOR,4135.0,4175.0,4025.0,4091.65,156441,33232
2021-09-06,NAVINFLUOR,4113.2,4188.1,4069.25,4140.1,174858,56414
2021-09-07,NAVINFLUOR,4148.8,4212.75,4125.0,4138.25,204330,41174
2021-09-08,NAVINFLUOR,4135.0,4135.0,3960.05,4008.05,423567,115953
2021-09-09,NAVINFLUOR,4024.9,4024.9,3926.0,3960.6,129292,35741
2021-09-13,NAVINFLUOR,3967.75,4034.6,3960.0,4019.85,129882,27493
2021-09-14,NAVINFLUOR,4042.9,4058.0,3985.05,4008.1,99835,42075
2021-09-15,NAVINFLUOR,4037.0,4037.0,4000.0,4017.7,132037,59041
2021-09-16,NAVINFLUOR,4020.0,4044.8,3970.0,4028.55,128585,44983
2021-09-17,NAVINFLUOR,4059.0,4061.5,3850.0,3860.15,511639,314133
2021-09-20,NAVINFLUOR,3830.0,3860.0,3706.0,3713.85,230089,74458
2021-09-21,NAVINFLUOR,3730.0,3890.0,3652.45,3858.95,344752,68896
2021-09-22,NAVINFLUOR,3880.0,3923.0,3853.55,3881.55,154757,58277
2021-09-23,NAVINFLUOR,3919.2,3945.0,3892.7,3925.9,134072,58828
2021-09-24,NAVINFLUOR,3935.0,3950.9,3870.0,3900.55,98294,42679
2021-09-27,NAVINFLUOR,3900.0,3949.0,3764.05,3783.0,155332,55920
2021-09-28,NAVINFLUOR,3815.0,3815.0,3698.05,3720.25,138904,59264
2021-09-29,NAVINFLUOR,3720.0,3735.0,3645.0,3665.15,245965,139762
2021-09-30,NAVINFLUOR,3697.85,3747.85,3652.0,3684.75,204915,76246
2021-10-01,NAVINFLUOR,3660.0,3736.55,3639.7,3722.0,138405,45988
2021-10-04,NAVINFLUOR,3740.0,3885.65,3713.8,3869.95,227472,71310
2021-10-05,NAVINFLUOR,3869.95,4066.35,3809.4,3961.85,659322,89889
2021-10-06,NAVINFLUOR,3970.0,4156.0,3886.15,4016.2,720346,110772
2021-10-07,NAVINFLUOR,4052.55,4078.0,3952.75,3971.5,323107,104052
2021-10-08,NAVINFLUOR,3995.0,4083.05,3916.0,3997.9,261755,71379
2021-10-11,NAVINFLUOR,4006.0,4050.95,3908.9,3929.55,190921,77856
2021-10-12,NAVINFLUOR,3910.5,3950.0,3854.1,3918.25,95726,30674
2021-10-13,NAVINFLUOR,3919.0,4035.0,3901.85,3949.55,150790,44429
2021-10-14,NAVINFLUOR,3949.55,4036.0,3919.3,3934.25,131237,38101
2021-10-18,NAVINFLUOR,3984.0,4023.95,3845.05,3866.7,210830,70520
2021-10-19,NAVINFLUOR,3867.0,3986.95,3823.85,3862.7,272180,72056
2021-10-20,NAVINFLUOR,3690.0,3732.95,3323.25,3502.4,1303571,386556
2021-10-21,NAVINFLUOR,3580.0,3632.95,3325.1,3367.7,743127,301625
2021-10-22,NAVINFLUOR,3405.5,3480.0,3248.0,3356.4,556203,146253
2021-10-25,NAVINFLUOR,3396.4,3407.75,3202.5,3388.55,456687,231866
2021-10-26,NAVINFLUOR,3388.55,3493.85,3375.0,3460.5,198228,45324
2021-10-27,NAVINFLUOR,3495.0,3495.0,3375.6,3397.7,111601,31058
2021-10-28,NAVINFLUOR,3425.0,3425.0,3310.0,3353.2,125850,38928
2021-10-29,NAVINFLUOR,3370.8,3394.7,3271.2,3338.4,130732,35104
2021-11-01,NAVINFLUOR,3387.9,3397.05,3310.7,3361.35,154280,74345
2021-11-02,NAVINFLUOR,3379.8,3424.7,3350.6,3386.8,110087,57523
2021-11-03,NAVINFLUOR,3395.0,3508.0,3365.0,3418.2,153069,34329
2021-11-04,NAVINFLUOR,3450.0,3459.95,3430.0,3440.0,16660,8567
2021-11-08,NAVINFLUOR,3475.0,3475.0,3363.7,3430.25,73930,24094
2021-11-09,NAVINFLUOR,3448.3,3523.6,3430.0,3492.4,125661,38868
2021-11-10,NAVINFLUOR,3492.4,3536.0,3475.25,3504.6,217759,133416
2021-11-11,NAVINFLUOR,3584.0,3650.0,3550.0,3596.4,795919,307299
2021-11-12,NAVINFLUOR,3618.0,3618.95,3480.0,3531.95,197173,64040
2021-11-15,NAVINFLUOR,3566.9,3578.0,3505.5,3539.25,173239,102609
2021-11-16,NAVINFLUOR,3559.0,3573.95,3502.0,3525.0,126857,61195
2021-11-17,NAVINFLUOR,3525.0,3594.5,3497.4,3572.35,139328,55364
2021-11-18,NAVINFLUOR,3574.9,3596.6,3521.75,3551.45,131796,65214
2021-11-22,NAVINFLUOR,3539.8,3540.05,3250.0,3287.45,442256,230013
2021-11-23,NAVINFLUOR,3285.0,3544.8,3219.0,3516.55,380999,84800
2021-11-24,NAVINFLUOR,3508.6,3543.0,3479.2,3511.6,246655,130918
2021-11-25,NAVINFLUOR,3527.0,3614.5,3501.95,3585.45,204747,68850
2021-11-26,NAVINFLUOR,3530.5,3600.0,3450.0,3469.9,148502,48355
2021-11-29,NAVINFLUOR,3469.9,3647.0,3372.4,3550.1,310951,71218
2021-11-30,NAVINFLUOR,3520.0,3779.0,3520.0,3741.0,663800,124334
2021-12-01,NAVINFLUOR,3779.5,3787.0,3700.0,3731.85,271605,76734
2021-12-02,NAVINFLUOR,3723.6,3799.0,3710.05,3780.2,109606,40416
2021-12-03,NAVINFLUOR,3785.0,3879.0,3765.05,3831.6,262418,60460
2021-12-06,NAVINFLUOR,3831.6,3849.95,3748.0,3759.9,87876,25895
2021-12-07,NAVINFLUOR,3779.0,3890.0,3755.55,3859.35,193820,92936
2021-12-08,NAVINFLUOR,3896.0,3909.95,3845.9,3903.5,129223,47071
2021-12-09,NAVINFLUOR,3900.0,3959.9,3872.05,3912.0,100703,25881
2021-12-10,NAVINFLUOR,3915.0,3964.85,3895.0,3956.4,81093,36588
2021-12-13,NAVINFLUOR,3968.0,3979.9,3915.0,3950.8,79758,33920
2021-12-14,NAVINFLUOR,3921.0,3976.0,3885.65,3959.75,84533,28349
2021-12-15,NAVINFLUOR,3965.0,4049.1,3945.0,4000.35,216059,73656
2021-12-16,NAVINFLUOR,4010.0,4040.0,3911.1,4010.85,94224,28925
2021-12-17,NAVINFLUOR,4010.85,4077.9,3955.0,4005.45,256567,97771
2021-12-20,NAVINFLUOR,3915.0,3975.55,3802.65,3852.0,194141,65437
2021-12-21,NAVINFLUOR,3839.8,3987.5,3839.8,3956.25,97398,21439
2021-12-22,NAVINFLUOR,3956.55,4041.85,3956.55,3996.55,98953,28976
2021-12-23,NAVINFLUOR,4017.6,4066.9,3988.0,4006.95,78939,22644
2021-12-24,NAVINFLUOR,4024.0,4032.95,3943.0,3993.5,75172,26026
2021-12-27,NAVINFLUOR,3999.95,4268.5,3965.0,4243.95,657369,124698
2021-12-28,NAVINFLUOR,4260.6,4329.0,4177.5,4237.15,432192,50000
2021-12-29,NAVINFLUOR,4238.0,4299.95,4198.0,4209.85,173749,27139
2021-12-30,NAVINFLUOR,4200.0,4225.0,4135.9,4159.5,104371,34652
2021-12-31,NAVINFLUOR,4170.0,4205.0,4158.9,4188.5,62457,16675
2022-01-03,NAVINFLUOR,4197.9,4281.95,4150.0,4223.0,180417,35346
2022-01-04,NAVINFLUOR,4233.0,4243.9,4101.2,4109.85,136231,57580
2022-01-05,NAVINFLUOR,4085.85,4105.0,4043.3,4055.95,80464,22257
2022-01-06,NAVINFLUOR,4050.0,4089.4,3977.7,4043.8,104543,42769
2022-01-07,NAVINFLUOR,4044.0,4082.4,3931.9,3990.7,168032,43306
2022-01-10,NAVINFLUOR,3991.7,4117.8,3981.2,4053.35,118045,23203
2022-01-11,NAVINFLUOR,4069.9,4175.1,4014.35,4146.15,157420,40702
2022-01-12,NAVINFLUOR,4160.0,4205.0,4116.4,4189.0,101497,34948
2022-01-13,NAVINFLUOR,4171.5,4230.0,4141.0,4162.7,132169,75095
2022-01-14,NAVINFLUOR,4160.0,4241.7,4126.05,4199.7,83337,19193
2022-01-17,NAVINFLUOR,4190.3,4269.25,4181.65,4233.45,172993,96841
2022-01-18,NAVINFLUOR,4252.0,4287.0,4030.0,4056.65,144076,35749
2022-01-19,NAVINFLUOR,4057.0,4058.0,3950.0,3983.8,129470,68672
2022-01-20,NAVINFLUOR,3984.0,4070.0,3984.0,4031.85,66119,21416
2022-01-21,NAVINFLUOR,4015.0,4040.4,3819.05,3869.15,103608,23997
2022-01-24,NAVINFLUOR,3885.0,3950.0,3651.2,3699.55,150815,65929
2022-01-25,NAVINFLUOR,3695.0,3854.4,3500.0,3823.95,178804,66197
2022-01-27,NAVINFLUOR,3810.0,3810.0,3660.15,3735.15,102255,20854
2022-01-28,NAVINFLUOR,3749.0,4039.45,3745.0,3862.05,157784,25807
2022-01-31,NAVINFLUOR,3901.0,3978.0,3860.0,3934.3,179158,85633
2022-02-01,NAVINFLUOR,4000.05,4327.7,3923.65,4256.8,1051064,174912
2022-02-02,NAVINFLUOR,4274.0,4321.0,4215.0,4227.75,233523,40030
2022-02-03,NAVINFLUOR,4225.0,4225.0,4101.05,4122.15,178138,55786
2022-02-04,NAVINFLUOR,4163.05,4259.95,4111.3,4136.75,300633,60530
2022-02-07,NAVINFLUOR,4156.7,4156.7,4008.2,4033.45,98773,25970
2022-02-08,NAVINFLUOR,4034.0,4075.6,3930.15,4045.65,101908,19859
2022-02-09,NAVINFLUOR,4100.0,4116.95,4025.0,4037.55,128963,73169
2022-02-10,NAVINFLUOR,4049.0,4110.5,4006.1,4091.2,77212,29170
2022-02-11,NAVINFLUOR,4069.95,4069.95,3921.65,3937.7,101320,35275
2022-02-14,NAVINFLUOR,3802.65,3872.5,3700.8,3714.1,117289,52417
2022-02-15,NAVINFLUOR,3720.0,3837.45,3686.65,3821.6,164546,82534
2022-02-16,NAVINFLUOR,3849.1,3857.0,3755.55,3779.9,91710,36051
2022-02-17,NAVINFLUOR,3794.0,3961.1,3793.45,3925.8,257183,33223
2022-02-18,NAVINFLUOR,3890.0,3922.0,3844.45,3857.95,71634,21535
2022-02-21,NAVINFLUOR,3855.0,3928.25,3772.0,3817.95,316001,215712
2022-02-22,NAVINFLUOR,3710.0,3867.9,3710.0,3850.2,119123,36169
2022-02-23,NAVINFLUOR,3889.95,3915.0,3799.0,3811.25,73454,23500
2022-02-24,NAVINFLUOR,3721.25,3791.9,3631.5,3679.3,223924,77287
2022-02-25,NAVINFLUOR,3723.6,3887.95,3723.6,3785.55,105606,24657
2022-02-28,NAVINFLUOR,3715.0,3950.0,3715.0,3890.95,142857,57088
2022-03-02,NAVINFLUOR,3850.0,3873.95,3808.05,3852.35,114559,63740
2022-03-03,NAVINFLUOR,3905.0,3915.0,3785.65,3802.15,115264,48432
2022-03-04,NAVINFLUOR,3775.0,3778.5,3608.0,3625.6,574332,307665
2022-03-07,NAVINFLUOR,3500.0,3637.1,3422.0,3550.45,213530,93035
2022-03-08,NAVINFLUOR,3547.0,3565.95,3360.0,3529.1,673703,273361
2022-03-09,NAVINFLUOR,3534.95,3707.0,3534.95,3658.35,188841,76306
2022-03-10,NAVINFLUOR,3749.5,3819.95,3715.15,3756.5,197919,51601
2022-03-11,NAVINFLUOR,3735.0,3893.9,3702.0,3856.4,194841,65021
2022-03-14,NAVINFLUOR,3859.95,4006.8,3762.0,3877.1,509987,236861
2022-03-15,NAVINFLUOR,3900.0,3970.0,3886.1,3948.4,169565,48971
2022-03-16,NAVINFLUOR,3977.0,4020.0,3911.75,3954.3,186039,61948
2022-03-17,NAVINFLUOR,3999.95,4129.9,3991.0,4087.4,220825,89216
2022-03-21,NAVINFLUOR,4075.0,4178.7,4053.1,4122.6,192196,55895
2022-03-22,NAVINFLUOR,4125.0,4135.0,3985.05,4062.35,132738,37403
2022-03-23,NAVINFLUOR,4098.0,4100.0,3950.05,3986.55,153028,61981
2022-03-24,NAVINFLUOR,3953.95,4092.6,3903.0,3967.5,230986,71752
2022-03-25,NAVINFLUOR,3970.0,4007.4,3944.0,3974.15,122044,63288
2022-03-28,NAVINFLUOR,4000.0,4000.0,3882.0,3924.95,119464,58733
2022-03-29,NAVINFLUOR,3939.0,4048.0,3925.0,4040.95,135733,42084
2022-03-30,NAVINFLUOR,4059.0,4073.85,4023.2,4057.0,75799,22218
2022-03-31,NAVINFLUOR,4060.0,4125.0,4032.1,4082.2,144591,41756
2022-04-01,NAVINFLUOR,4080.0,4113.0,4031.1,4048.95,60732,21363
2022-04-04,NAVINFLUOR,4060.0,4130.0,4060.0,4093.6,99032,33710
2022-04-05,NAVINFLUOR,4100.0,4159.0,4082.9,4100.3,116912,46038
2022-04-06,NAVINFLUOR,4083.0,4180.0,4042.05,4133.7,182744,68538
2022-04-07,NAVINFLUOR,4159.0,4190.4,4051.0,4071.75,155290,42861
2022-04-08,NAVINFLUOR,4101.0,4144.0,4080.5,4095.45,74173,16846
2022-04-11,NAVINFLUOR,4125.0,4150.0,4043.4,4071.9,84671,25119
2022-04-12,NAVINFLUOR,4071.9,4078.35,3932.1,3987.9,129257,50389
2022-04-13,NAVINFLUOR,4007.0,4027.2,3911.25,3934.0,269251,205821
2022-04-18,NAVINFLUOR,3943.4,3979.95,3815.15,3964.25,146408,79443
2022-04-19,NAVINFLUOR,4001.0,4087.7,3855.55,3906.0,123623,36430
2022-04-20,NAVINFLUOR,3960.0,4009.5,3856.4,3899.4,99363,34805
2022-04-21,NAVINFLUOR,3900.0,4067.0,3900.0,4044.95,133065,50229
2022-04-22,NAVINFLUOR,4040.0,4116.75,4011.05,4031.05,133402,54114
2022-04-25,NAVINFLUOR,4030.95,4031.05,3940.15,3987.6,77143,28742
2022-04-26,NAVINFLUOR,4006.25,4171.95,3990.0,4115.45,250908,96817
2022-04-27,NAVINFLUOR,4095.2,4109.2,3930.05,3951.75,140331,56306
2022-04-28,NAVINFLUOR,3980.0,3994.8,3900.0,3958.0,85233,22924
2022-04-29,NAVINFLUOR,3987.8,4032.0,3918.2,3931.8,61297,12025
2022-05-02,NAVINFLUOR,3930.8,3937.05,3853.05,3919.4,54298,11540
2022-05-04,NAVINFLUOR,3919.4,3967.0,3816.05,3842.9,57758,23119
2022-05-05,NAVINFLUOR,3884.6,3912.3,3750.0,3790.5,60902,18107
2022-05-06,NAVINFLUOR,3700.0,3821.55,3696.05,3745.6,363691,254390
2022-05-09,NAVINFLUOR,3635.0,3866.7,3587.35,3734.6,512668,170101
2022-05-10,NAVINFLUOR,3705.0,3864.65,3701.05,3775.75,321867,114220
2022-05-11,NAVINFLUOR,3753.0,3969.95,3750.0,3946.65,385181,92534
2022-05-12,NAVINFLUOR,3946.0,3946.0,3814.95,3887.95,240679,94369
2022-05-13,NAVINFLUOR,3930.0,4039.0,3910.0,3920.05,173653,39328
2022-05-16,NAVINFLUOR,3925.0,3974.95,3842.05,3880.9,70957,12847
