Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,22.95,24.9,22.5,22.95,4094990,2365366,57.76243653830656
2020-09-06,23.4,23.4,20.65,20.85,1612186,938594,58.218716698941684
2020-09-13,21.0,21.3,19.45,20.85,1096960,653331,59.55832482497083
2020-09-20,21.0,22.45,20.25,22.35,2717266,1301880,47.911393290167396
2020-09-27,22.65,23.9,19.6,21.95,5076144,2203513,43.409190125418036
2020-10-04,22.15,23.2,21.65,22.0,1909253,1100733,57.652547881291795
2020-10-11,20.95,23.0,20.5,21.75,3803492,1534681,40.349263255976346
2020-10-18,21.65,21.95,20.5,20.7,809310,453834,56.07665789376135
2020-10-25,21.1,21.2,20.0,20.3,776021,490557,63.214397548519955
2020-11-01,20.35,20.75,19.05,19.4,983144,540613,54.98818077514586
2020-11-08,19.1,19.2,16.5,16.65,1865436,1203381,64.50936939139162
2020-11-15,16.85,18.3,16.15,17.7,1747685,888014,50.810872668701734
2020-11-22,18.0,19.0,17.55,17.9,1428981,610266,42.7063760819773
2020-11-29,17.35,18.9,17.35,18.3,934382,517004,55.33111725183062
2020-12-06,18.3,22.0,18.3,19.9,4290437,2197802,51.22559776544907
2020-12-13,20.15,21.4,20.0,20.2,1933746,1060230,54.82777986353947
2020-12-20,20.4,22.0,20.0,20.25,2567872,1368351,53.28735232908806
2020-12-27,20.3,23.8,19.25,21.55,6477554,2394319,36.96331979633053
2021-01-03,21.55,24.8,21.25,23.25,7285453,2850110,39.120559833410496
2021-01-10,23.25,24.9,22.35,23.45,4357427,2197558,50.43246851869234
2021-01-17,23.55,23.75,22.15,22.4,1809214,917547,50.71522771767187
2021-01-24,22.2,22.95,20.9,21.0,1392568,779703,55.99029993508397
2021-01-31,21.7,21.7,19.25,20.5,1072325,513103,47.84957918541487
2021-02-07,21.15,21.6,20.15,20.75,1146368,575733,50.22235442719965
2021-02-14,21.0,21.25,20.2,20.35,1099767,532467,48.416346371549615
2021-02-21,20.0,21.6,18.95,20.55,3408688,1704245,49.99709565674535
2021-02-28,20.6,21.0,19.1,20.1,1608449,814018,50.60887849101836
2021-03-07,20.3,21.4,19.9,19.95,2537505,1323114,52.14232090183073
2021-03-14,20.2,23.4,19.9,21.4,7876720,3201351,40.64319919966687
2021-03-21,21.45,21.65,18.6,19.4,1852624,1039875,56.129846099370404
2021-03-28,19.8,20.2,18.5,18.7,1584146,833830,52.635931284111436
2021-04-04,18.8,19.65,18.45,19.25,921473,577181,62.63677828867477
2021-04-11,19.0,20.2,18.7,19.75,1824913,851495,46.65948458912836
2021-04-18,19.3,20.3,18.8,19.5,1496845,652943,43.62128343282037
2021-04-25,19.45,29.5,19.0,25.7,29760762,9667327,32.48346598114659
2021-05-02,25.7,27.3,23.0,24.95,10953543,4603001,42.02294180065756
2021-05-09,24.95,27.3,24.5,25.5,6411225,3034508,47.33117305975067
2021-05-16,26.0,33.25,25.75,29.35,21218083,9510982,44.82488828043514
2021-05-23,30.0,30.9,27.5,29.55,6759330,3507047,51.88453589335038
2021-05-30,30.0,34.2,28.45,31.7,9919077,5726109,57.728244271115145
2021-06-06,32.0,34.5,29.4,33.6,7473126,3908862,52.305581359126016
2021-06-13,35.2,43.15,34.15,40.45,22915370,9088675,39.661916870641846
2021-06-20,40.95,44.0,37.5,41.95,18514591,7188150,38.82424407862966
2021-06-27,40.35,46.4,39.15,40.15,14834281,6609679,44.55678707987263
2021-07-04,40.5,42.0,39.25,40.35,4970000,2428211,48.85736418511066
2021-07-11,40.75,46.9,40.1,46.5,14746116,7328013,49.69452973243938
2021-07-18,47.8,47.9,40.55,40.75,8520725,4890798,57.39884810271426
2021-07-25,39.9,43.8,37.35,40.1,7005454,3169783,45.24736012826578
2021-08-01,39.7,40.4,34.65,35.2,5446954,3045884,55.91903291270681
2021-08-08,35.7,35.9,30.0,34.0,5041112,2686532,53.292448174133014
2021-08-15,34.05,34.2,26.75,31.0,5107675,2548731,49.90002300459602
