Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,NELCAST,56.1,56.1,54.25,54.5,164480
2020-08-20,NELCAST,53.5,53.9,51.5,53.4,52645
2020-08-21,NELCAST,54.4,56.0,54.0,54.55,108737
2020-08-24,NELCAST,54.25,58.5,53.7,58.15,466555
2020-08-25,NELCAST,58.15,66.3,57.4,59.0,884519
2020-08-26,NELCAST,59.5,64.3,59.5,62.65,482318
2020-08-27,NELCAST,62.1,63.0,58.6,59.45,230892
2020-08-28,NELCAST,59.9,59.9,57.5,58.25,133179
2020-08-31,NELCAST,59.45,59.45,52.0,54.55,136899
2020-09-01,NELCAST,52.6,55.5,52.6,54.05,52686
2020-09-02,NELCAST,53.7,56.5,53.7,55.45,36264
2020-09-03,NELCAST,55.45,56.65,54.95,55.6,22837
2020-09-04,NELCAST,54.0,56.3,52.2,54.75,62021
2020-09-07,NELCAST,55.0,55.3,53.0,53.45,46397
2020-09-08,NELCAST,53.5,54.9,52.55,53.0,26175
2020-09-09,NELCAST,51.75,52.5,49.55,50.55,84954
2020-09-10,NELCAST,51.4,55.15,51.4,54.25,81928
2020-09-11,NELCAST,54.35,54.35,52.7,53.7,46916
2020-09-14,NELCAST,54.7,59.4,54.0,57.65,253830
2020-09-15,NELCAST,58.0,60.6,56.5,59.25,186749
2020-09-16,NELCAST,59.75,63.85,58.55,62.05,347505
2020-09-17,NELCAST,60.35,61.4,59.05,59.25,60017
2020-09-18,NELCAST,59.3,62.9,58.0,61.85,154099
2020-09-21,NELCAST,62.45,62.45,59.0,59.2,116213
2020-09-22,NELCAST,58.55,60.15,53.6,56.0,35166
2020-09-23,NELCAST,56.0,60.25,56.0,58.55,56808
2020-09-24,NELCAST,58.25,58.25,55.0,55.2,27132
2020-09-25,NELCAST,56.1,57.65,56.0,56.75,22422
2020-09-28,NELCAST,57.9,58.9,57.0,57.9,22012
2020-09-29,NELCAST,58.45,58.9,56.05,58.0,32663
2020-09-30,NELCAST,58.8,62.7,58.05,60.4,112772
2020-10-01,NELCAST,60.0,60.0,58.05,58.35,48608
2020-10-05,NELCAST,59.0,59.5,57.75,58.05,25778
2020-10-06,NELCAST,58.3,59.3,57.75,58.0,30490
2020-10-07,NELCAST,59.05,59.05,56.7,56.9,22987
2020-10-08,NELCAST,57.8,58.65,56.8,57.1,15345
2020-10-09,NELCAST,57.8,57.85,55.2,55.55,45203
2020-10-12,NELCAST,55.55,56.5,54.6,55.0,14087
2020-10-13,NELCAST,54.6,56.5,54.3,54.75,25144
2020-10-14,NELCAST,54.95,54.95,53.75,54.2,17115
2020-10-15,NELCAST,53.8,55.2,53.55,53.65,28145
2020-10-16,NELCAST,53.1,56.6,53.1,55.9,41450
2020-10-19,NELCAST,56.2,56.25,55.05,55.3,14854
2020-10-20,NELCAST,54.6,59.9,54.6,59.1,135767
2020-10-21,NELCAST,60.3,62.5,58.1,58.9,207654
2020-10-22,NELCAST,58.0,59.15,57.25,57.7,31754
2020-10-23,NELCAST,58.15,62.5,57.6,60.95,241286
2020-10-26,NELCAST,60.4,60.4,57.55,57.9,51776
2020-10-27,NELCAST,57.8,58.2,56.45,57.55,29264
2020-10-28,NELCAST,57.25,58.7,56.3,56.5,29076
2020-10-29,NELCAST,55.75,60.75,55.15,58.75,73348
2020-10-30,NELCAST,59.9,59.9,56.5,56.85,39676
2020-11-02,NELCAST,59.5,59.5,56.8,57.05,24167
2020-11-03,NELCAST,58.25,58.25,56.0,56.5,24498
2020-11-04,NELCAST,56.5,56.95,55.75,56.1,13412
2020-11-05,NELCAST,56.9,59.3,56.45,58.8,43529
2020-11-06,NELCAST,58.9,59.3,58.0,58.35,31793
2020-11-09,NELCAST,57.8,59.45,57.8,58.25,22321
2020-11-10,NELCAST,59.7,59.7,58.15,58.5,21886
2020-11-11,NELCAST,59.4,60.0,58.6,59.0,38703
2020-11-12,NELCAST,59.0,61.9,57.05,60.55,126900
2020-11-13,NELCAST,60.85,61.05,59.0,60.15,36827
2020-11-14,NELCAST,60.95,60.95,59.1,59.85,18553
2020-11-17,NELCAST,59.9,60.45,59.5,59.85,35943
2020-11-18,NELCAST,60.2,64.15,59.6,61.6,168407
2020-11-19,NELCAST,61.5,61.9,59.4,59.95,52235
2020-11-20,NELCAST,60.3,60.9,59.0,60.1,25705
2020-11-23,NELCAST,59.1,61.5,58.95,60.6,63857
2020-11-24,NELCAST,61.0,61.9,60.1,60.75,40264
2020-11-25,NELCAST,60.75,60.95,59.65,59.95,42112
2020-11-26,NELCAST,59.2,61.9,59.05,60.25,70993
2020-11-27,NELCAST,60.5,62.9,60.0,61.7,124004
2020-12-01,NELCAST,61.7,62.7,60.8,62.55,137192
2020-12-02,NELCAST,63.0,63.95,61.05,61.85,134135
2020-12-03,NELCAST,62.0,62.8,61.75,62.35,63700
2020-12-04,NELCAST,62.5,62.95,60.55,60.85,80325
2020-12-07,NELCAST,60.8,62.25,60.8,61.25,49553
2020-12-08,NELCAST,61.9,61.95,60.25,60.65,45042
2020-12-09,NELCAST,60.65,63.35,60.65,61.2,100561
2020-12-10,NELCAST,61.95,61.95,60.25,60.7,33963
2020-12-11,NELCAST,60.7,61.65,60.05,60.35,47869
2020-12-14,NELCAST,60.1,63.2,60.1,62.8,137734
2020-12-15,NELCAST,63.0,65.2,62.1,64.1,293611
2020-12-16,NELCAST,65.0,66.9,63.8,64.75,200897
2020-12-17,NELCAST,65.25,65.3,62.25,62.55,74244
2020-12-18,NELCAST,63.8,65.5,62.55,63.2,80340
2020-12-21,NELCAST,62.65,63.85,55.1,56.85,101313
2020-12-22,NELCAST,57.7,59.75,52.05,58.9,63904
2020-12-23,NELCAST,58.9,65.4,58.15,63.55,193643
2020-12-24,NELCAST,63.0,63.45,61.05,61.35,76890
2020-12-28,NELCAST,61.35,62.85,61.35,62.05,28907
2020-12-29,NELCAST,62.75,63.45,60.6,61.45,38719
2020-12-30,NELCAST,62.1,64.0,61.3,61.9,41359
2020-12-31,NELCAST,62.5,63.15,61.7,62.85,56872
2021-01-01,NELCAST,63.65,63.65,61.45,62.05,37578
2021-01-04,NELCAST,63.25,63.45,62.1,62.45,33219
2021-01-05,NELCAST,62.3,65.8,61.6,64.75,177828
2021-01-06,NELCAST,65.1,65.25,62.05,62.55,68575
2021-01-07,NELCAST,62.9,64.85,62.9,63.6,65793
2021-01-08,NELCAST,64.1,64.8,63.05,63.4,55103
2021-01-11,NELCAST,63.95,68.85,61.75,65.95,286998
2021-01-12,NELCAST,64.9,71.3,63.8,70.1,505105
2021-01-13,NELCAST,70.7,81.5,69.1,79.95,1204195
2021-01-14,NELCAST,77.0,78.4,74.25,75.35,207711
2021-01-15,NELCAST,74.75,74.75,70.7,71.7,144521
2021-01-18,NELCAST,72.15,73.15,68.1,69.1,91915
2021-01-19,NELCAST,70.1,73.6,69.85,72.95,68837
2021-01-20,NELCAST,72.95,73.1,70.3,70.8,49664
2021-01-21,NELCAST,71.4,71.5,69.0,69.3,65762
2021-01-22,NELCAST,69.3,72.4,69.0,71.95,90902
2021-01-25,NELCAST,73.0,73.0,69.0,69.75,43737
2021-01-27,NELCAST,70.4,71.55,64.25,65.85,92332
2021-01-28,NELCAST,65.0,68.8,64.95,67.35,50264
2021-01-29,NELCAST,68.25,69.9,67.5,68.0,24039
2021-02-01,NELCAST,69.0,77.5,67.0,73.15,142623
2021-02-02,NELCAST,73.9,76.3,71.5,71.8,106981
2021-02-03,NELCAST,71.9,73.35,70.9,71.35,46959
2021-02-04,NELCAST,71.1,73.8,70.8,72.05,40033
2021-02-05,NELCAST,72.05,72.7,71.0,71.2,30571
2021-02-08,NELCAST,70.6,72.9,70.5,71.55,45638
2021-02-09,NELCAST,72.4,72.45,70.5,70.8,40305
2021-02-10,NELCAST,71.2,72.7,69.0,70.5,40554
