Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,NEOGEN,727.0,762.55,704.5,731.25,110840,41691
2020-08-27,NEOGEN,740.1,767.8,732.0,752.8,104423,42577
2020-08-28,NEOGEN,761.95,761.95,715.2,715.2,98908,61914
2020-08-31,NEOGEN,737.0,737.0,679.45,679.45,43541,26041
2020-09-01,NEOGEN,675.0,684.4,646.35,668.1,38274,14967
2020-09-02,NEOGEN,670.0,701.0,660.05,685.6,31012,13946
2020-09-03,NEOGEN,698.0,715.05,685.8,703.4,21561,10004
2020-09-04,NEOGEN,694.7,735.0,674.15,706.25,70751,27677
2020-09-07,NEOGEN,689.0,734.0,689.0,717.0,32953,16097
2020-09-08,NEOGEN,730.0,730.0,685.55,697.05,24770,14911
2020-09-09,NEOGEN,672.3,712.5,662.2,667.75,59388,30219
2020-09-10,NEOGEN,688.0,701.1,680.1,701.1,25296,13316
2020-09-11,NEOGEN,710.0,730.0,704.5,708.65,31474,21770
2020-09-14,NEOGEN,725.0,725.0,694.5,698.1,26345,18858
2020-09-15,NEOGEN,715.0,725.0,693.7,701.2,52748,43252
2020-09-16,NEOGEN,714.7,714.7,690.25,695.35,14975,10290
2020-09-17,NEOGEN,700.0,709.8,694.85,704.2,28652,18472
2020-09-18,NEOGEN,712.0,714.0,696.0,699.6,45983,35013
2020-09-21,NEOGEN,698.1,709.8,668.1,672.75,30944,20032
2020-09-22,NEOGEN,666.2,684.7,639.15,650.75,31238,18005
2020-09-23,NEOGEN,670.0,674.4,633.0,659.75,17364,7796
2020-09-24,NEOGEN,646.0,658.0,632.05,639.35,20101,11414
2020-09-25,NEOGEN,657.8,657.8,637.55,649.55,11214,6399
2020-09-28,NEOGEN,668.0,682.0,655.5,682.0,16560,11517
2020-09-29,NEOGEN,708.0,708.0,667.05,677.3,27758,15803
2020-09-30,NEOGEN,677.0,698.8,662.35,670.95,16722,9642
2020-10-01,NEOGEN,675.6,682.7,665.0,669.2,10017,5804
2020-10-05,NEOGEN,687.0,687.0,659.95,672.2,10457,6049
2020-10-06,NEOGEN,673.0,689.7,670.25,676.15,13725,8151
2020-10-07,NEOGEN,684.0,684.0,658.0,660.55,12113,7483
2020-10-08,NEOGEN,655.0,667.95,635.2,641.05,14146,8961
2020-10-09,NEOGEN,641.05,655.0,601.5,621.4,21018,14320
2020-10-12,NEOGEN,621.4,677.0,611.0,645.65,73901,18153
2020-10-13,NEOGEN,651.7,670.05,645.65,655.5,21790,13082
2020-10-14,NEOGEN,661.4,661.4,631.05,639.75,9905,5124
2020-10-15,NEOGEN,645.0,670.0,630.0,630.85,11097,6320
2020-10-16,NEOGEN,630.85,648.5,630.0,635.5,5925,3540
2020-10-19,NEOGEN,640.2,649.85,630.0,633.4,4934,2942
2020-10-20,NEOGEN,638.95,675.0,632.05,660.0,75179,60311
2020-10-21,NEOGEN,675.95,684.0,645.5,654.45,11639,5210
2020-10-22,NEOGEN,653.0,675.0,640.0,652.5,9985,4879
2020-10-23,NEOGEN,654.0,668.4,641.65,645.95,4244,2220
2020-10-26,NEOGEN,645.0,655.85,615.0,628.65,12275,7668
2020-10-27,NEOGEN,626.0,636.9,617.0,621.8,9910,5891
2020-10-28,NEOGEN,630.0,639.8,612.2,619.45,9050,5113
2020-10-29,NEOGEN,635.9,635.9,595.0,617.15,17335,9812
2020-10-30,NEOGEN,628.0,630.0,611.0,617.75,8308,5014
2020-11-02,NEOGEN,627.75,627.75,611.0,617.05,5766,3841
2020-11-03,NEOGEN,626.8,626.8,615.0,617.4,4449,2753
2020-11-04,NEOGEN,627.95,639.4,616.0,636.3,11547,7533
2020-11-05,NEOGEN,647.3,698.0,631.45,673.1,39305,20041
2020-11-06,NEOGEN,670.0,679.45,660.0,664.6,12923,9388
2020-11-09,NEOGEN,650.0,664.85,630.0,631.7,33747,19688
2020-11-10,NEOGEN,650.0,650.0,612.9,617.2,29448,24318
2020-11-11,NEOGEN,618.0,635.05,609.9,611.05,26362,18717
2020-11-12,NEOGEN,624.0,624.7,614.0,619.8,8476,5941
2020-11-13,NEOGEN,622.9,643.4,620.15,631.1,10243,4851
2020-11-14,NEOGEN,643.8,645.0,631.0,637.45,4071,2912
2020-11-17,NEOGEN,646.0,646.0,625.15,627.35,6242,4573
2020-11-18,NEOGEN,631.85,639.35,625.6,632.5,9537,5137
2020-11-19,NEOGEN,641.0,650.0,632.0,639.0,24985,15615
2020-11-20,NEOGEN,645.0,649.0,618.9,634.25,20863,13137
2020-11-23,NEOGEN,634.25,639.85,630.0,633.05,7544,5000
2020-11-24,NEOGEN,642.8,642.8,626.0,630.35,7977,4908
2020-11-25,NEOGEN,630.0,642.0,617.0,620.4,26753,18945
2020-11-26,NEOGEN,620.4,639.0,617.75,622.15,28098,15366
2020-11-27,NEOGEN,622.15,637.7,622.15,630.75,10565,5950
2020-12-01,NEOGEN,637.0,643.5,616.6,623.55,39187,20886
2020-12-02,NEOGEN,625.0,685.9,625.0,685.9,83072,45698
2020-12-03,NEOGEN,687.0,698.4,660.0,664.1,65026,38747
2020-12-04,NEOGEN,665.0,684.4,647.6,662.95,19810,12092
2020-12-07,NEOGEN,670.0,724.0,663.0,707.6,191155,63901
2020-12-08,NEOGEN,721.0,729.0,680.1,692.0,104049,42443
2020-12-09,NEOGEN,689.0,812.0,689.0,776.3,336328,114535
2020-12-10,NEOGEN,774.95,798.0,730.2,786.9,114101,35703
2020-12-11,NEOGEN,796.0,804.95,755.2,762.05,61099,27165
2020-12-14,NEOGEN,771.2,771.2,720.1,731.3,40838,24049
2020-12-15,NEOGEN,735.0,737.2,711.0,715.15,33872,20201
2020-12-16,NEOGEN,727.0,740.5,696.0,699.05,118661,88429
2020-12-17,NEOGEN,718.0,727.0,697.95,712.2,118973,61192
2020-12-18,NEOGEN,715.0,740.0,704.85,733.15,60723,27177
2020-12-21,NEOGEN,725.0,747.0,710.0,728.65,119837,81976
2020-12-22,NEOGEN,728.0,730.0,676.35,708.1,63778,28410
2020-12-23,NEOGEN,724.95,729.9,712.05,722.75,30019,18383
2020-12-24,NEOGEN,732.0,776.3,723.05,748.1,116109,32813
2020-12-28,NEOGEN,747.0,754.8,729.45,734.35,33532,18892
2020-12-29,NEOGEN,742.9,756.35,734.1,744.15,23270,10672
2020-12-30,NEOGEN,745.0,753.7,714.45,727.6,28522,16540
2020-12-31,NEOGEN,731.2,740.05,725.0,726.9,21103,11294
2021-01-01,NEOGEN,730.5,746.35,724.95,735.05,23372,12775
2021-01-04,NEOGEN,735.5,747.35,730.0,742.25,31744,20337
2021-01-05,NEOGEN,715.6,740.0,715.6,727.6,58931,42620
2021-01-06,NEOGEN,731.2,737.0,710.6,715.6,69137,50756
2021-01-07,NEOGEN,719.1,729.0,713.0,716.45,21234,11706
2021-01-08,NEOGEN,719.0,726.0,712.0,714.4,58097,40999
2021-01-11,NEOGEN,717.95,728.8,700.0,704.3,33020,17636
2021-01-12,NEOGEN,707.75,755.0,705.0,744.95,267630,96405
2021-01-13,NEOGEN,750.0,785.0,730.0,740.0,440615,84927
2021-01-14,NEOGEN,743.0,746.0,725.0,729.8,34118,15811
2021-01-15,NEOGEN,734.9,734.9,713.0,716.25,16565,9127
2021-01-18,NEOGEN,717.0,727.0,699.0,708.05,28643,14199
2021-01-19,NEOGEN,724.0,731.0,710.0,717.3,15991,8372
2021-01-20,NEOGEN,720.8,743.0,706.2,735.25,46967,21255
2021-01-21,NEOGEN,744.8,745.0,711.0,719.95,24587,13785
2021-01-22,NEOGEN,718.0,728.95,703.7,707.85,23054,11665
2021-01-25,NEOGEN,725.0,745.0,708.0,720.25,19879,9727
2021-01-27,NEOGEN,723.75,723.75,706.1,709.05,11125,5851
2021-01-28,NEOGEN,702.0,721.6,681.0,707.0,19813,9690
2021-01-29,NEOGEN,711.05,724.0,702.25,707.45,11057,5510
2021-02-01,NEOGEN,710.75,717.65,708.0,714.3,12497,5811
2021-02-02,NEOGEN,714.3,725.0,700.25,704.25,25575,13017
2021-02-03,NEOGEN,713.0,714.0,707.1,710.1,9953,4822
2021-02-04,NEOGEN,700.0,716.65,700.0,712.8,12551,6105
2021-02-05,NEOGEN,715.95,721.0,702.0,705.1,13301,8256
2021-02-08,NEOGEN,715.0,716.85,703.85,709.1,117973,110464
2021-02-09,NEOGEN,715.0,799.0,711.05,747.45,454892,122697
2021-02-10,NEOGEN,749.0,756.7,735.15,745.1,92738,69276
