Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,NIRAJ,44.95,45.0,43.5,44.0,20312,12517
2021-08-24,NIRAJ,43.2,46.9,42.5,43.0,11598,6447
2021-08-25,NIRAJ,44.35,44.35,41.8,43.75,11361,5756
2021-08-26,NIRAJ,44.9,46.55,43.0,45.45,25311,9281
2021-08-27,NIRAJ,44.2,46.4,43.45,43.9,14095,8049
2021-08-30,NIRAJ,43.05,45.45,43.05,43.6,9831,5050
2021-08-31,NIRAJ,43.05,44.9,43.05,43.45,13201,5017
2021-09-01,NIRAJ,43.25,44.4,43.25,43.6,1553,1117
2021-09-02,NIRAJ,43.1,48.0,42.25,46.35,73034,20432
2021-09-03,NIRAJ,46.6,46.6,44.15,44.8,10051,5619
2021-09-06,NIRAJ,44.25,45.1,43.65,43.85,11575,5588
2021-09-07,NIRAJ,44.0,44.5,43.5,43.65,7829,4868
2021-09-08,NIRAJ,43.5,44.6,43.5,43.75,3522,1855
2021-09-09,NIRAJ,43.2,44.8,43.2,43.85,2480,1307
2021-09-13,NIRAJ,44.55,44.55,43.0,43.45,5728,3807
2021-09-14,NIRAJ,44.65,44.65,43.25,43.35,3818,1877
2021-09-15,NIRAJ,43.4,44.65,43.05,43.7,9858,5864
2021-09-16,NIRAJ,43.5,44.5,43.15,43.55,17687,10507
2021-09-17,NIRAJ,44.4,44.4,43.25,43.8,5660,4024
2021-09-20,NIRAJ,43.8,44.55,41.95,42.35,7438,5750
2021-09-21,NIRAJ,43.0,43.3,41.2,42.85,5631,4200
2021-09-22,NIRAJ,42.4,44.0,41.6,41.9,24111,13676
2021-09-23,NIRAJ,42.2,43.45,42.2,42.6,3619,2313
2021-09-24,NIRAJ,42.65,43.4,40.3,41.3,7551,6384
2021-09-27,NIRAJ,42.85,42.9,41.05,42.25,24093,14067
2021-09-28,NIRAJ,42.0,42.85,41.55,41.9,9292,2985
2021-09-29,NIRAJ,41.6,42.8,40.4,42.55,2410,1542
2021-09-30,NIRAJ,43.25,43.25,38.4,40.45,170901,102462
2021-10-01,NIRAJ,41.8,43.0,37.5,37.85,283900,205193
2021-10-04,NIRAJ,38.35,39.65,38.1,38.75,65033,49878
2021-10-05,NIRAJ,39.5,39.5,38.6,38.85,23298,15115
2021-10-06,NIRAJ,39.0,39.25,38.25,38.8,10954,8705
2021-10-07,NIRAJ,38.8,42.6,37.5,38.55,358433,135304
2021-10-08,NIRAJ,39.3,39.8,38.25,38.45,145828,116941
2021-10-11,NIRAJ,39.4,39.45,38.0,38.45,71783,58401
2021-10-12,NIRAJ,38.85,39.0,38.2,38.5,23849,20361
2021-10-13,NIRAJ,38.3,38.9,38.0,38.25,23459,16111
2021-10-14,NIRAJ,38.85,39.0,38.1,38.55,25044,12894
2021-10-18,NIRAJ,39.5,39.5,37.6,38.0,76105,66477
2021-10-19,NIRAJ,38.7,38.7,37.35,37.85,12357,8791
2021-10-20,NIRAJ,38.4,38.4,37.2,37.4,7158,4684
2021-10-21,NIRAJ,37.6,37.6,36.1,36.45,17457,12668
2021-10-22,NIRAJ,38.5,38.5,36.5,36.8,10198,5284
2021-10-25,NIRAJ,37.55,37.55,35.7,36.25,7201,4371
2021-10-26,NIRAJ,36.2,36.7,35.95,36.55,5162,3888
2021-10-27,NIRAJ,36.0,36.55,35.85,36.25,5609,2880
2021-10-28,NIRAJ,37.0,37.0,35.2,35.45,12709,8533
2021-10-29,NIRAJ,35.1,35.9,35.0,35.55,3810,2996
2021-11-01,NIRAJ,35.55,37.65,35.05,35.55,12169,5653
2021-11-02,NIRAJ,35.5,37.3,35.5,35.8,3130,2156
2021-11-03,NIRAJ,36.9,36.9,35.1,35.75,8515,2868
2021-11-04,NIRAJ,37.3,37.3,35.75,36.55,2465,2048
2021-11-08,NIRAJ,37.0,37.0,36.3,36.6,10305,8304
2021-11-09,NIRAJ,37.0,39.0,31.8,36.7,62572,13905
2021-11-10,NIRAJ,37.2,38.55,36.85,37.4,16492,9659
2021-11-11,NIRAJ,37.95,37.95,36.6,37.05,6852,6142
2021-11-12,NIRAJ,37.75,37.75,35.25,36.15,10227,6127
2021-11-15,NIRAJ,36.0,36.95,34.0,35.0,25667,12326
2021-11-16,NIRAJ,35.6,35.8,34.4,34.7,9262,5303
2021-11-17,NIRAJ,34.5,35.7,34.3,34.4,1797,1222
2021-11-18,NIRAJ,35.65,35.65,34.1,34.75,7751,4578
2021-11-22,NIRAJ,36.9,36.9,34.85,35.1,7490,4877
2021-11-23,NIRAJ,35.75,35.75,34.1,35.0,2976,1778
2021-11-24,NIRAJ,35.0,35.6,34.15,35.1,6858,3217
2021-11-25,NIRAJ,34.35,35.4,34.35,34.85,6291,5438
2021-11-26,NIRAJ,34.9,35.25,34.15,34.5,4204,2915
2021-11-29,NIRAJ,35.2,35.25,32.5,33.25,2992,2257
2021-11-30,NIRAJ,33.9,35.9,32.3,34.5,5481,4082
2021-12-01,NIRAJ,34.45,34.5,33.0,34.05,5149,2782
2021-12-02,NIRAJ,33.95,34.15,33.45,33.8,3082,1981
2021-12-03,NIRAJ,34.85,34.85,33.3,33.85,4600,3258
2021-12-06,NIRAJ,37.4,37.4,34.15,34.55,5381,2579
2021-12-07,NIRAJ,36.95,36.95,32.0,33.8,7611,4192
2021-12-08,NIRAJ,33.75,35.3,33.7,34.0,9448,5121
2021-12-09,NIRAJ,33.9,35.8,33.9,34.45,5642,2604
2021-12-10,NIRAJ,36.0,36.0,34.0,35.15,10168,5319
2021-12-13,NIRAJ,35.85,35.85,34.7,34.95,9446,5309
2021-12-14,NIRAJ,34.1,35.35,34.1,35.1,4125,2524
2021-12-15,NIRAJ,35.15,36.95,34.7,35.9,22937,8010
2021-12-16,NIRAJ,36.7,36.8,35.1,35.45,6941,2965
2021-12-17,NIRAJ,36.3,36.3,34.55,34.75,1698,1189
2021-12-20,NIRAJ,35.8,35.8,30.5,30.9,112819,88464
2021-12-21,NIRAJ,32.8,33.0,29.55,29.65,61827,48794
2021-12-22,NIRAJ,30.35,34.4,29.1,32.25,170376,63548
2021-12-23,NIRAJ,33.5,33.5,31.1,31.55,98698,60165
2021-12-24,NIRAJ,31.35,32.4,29.6,30.05,100118,76537
2021-12-27,NIRAJ,30.0,30.55,29.25,29.5,45000,33916
2021-12-28,NIRAJ,31.0,31.0,29.3,29.45,70482,47268
2021-12-29,NIRAJ,29.1,31.85,29.1,31.75,474688,244456
2021-12-30,NIRAJ,33.5,33.75,31.9,32.05,146724,87238
2021-12-31,NIRAJ,32.8,32.95,31.5,31.9,35143,25429
2022-01-03,NIRAJ,31.9,33.95,31.5,33.3,164256,90821
2022-01-04,NIRAJ,34.25,34.25,32.1,32.6,73381,54118
2022-01-05,NIRAJ,32.5,32.7,31.8,31.95,22473,13597
2022-01-06,NIRAJ,31.9,33.2,31.5,32.7,47966,38530
2022-01-07,NIRAJ,32.25,34.8,32.1,34.35,212272,108790
2022-01-10,NIRAJ,34.7,34.95,32.5,33.9,71138,46150
2022-01-11,NIRAJ,34.85,34.85,33.0,33.2,46738,37988
2022-01-12,NIRAJ,33.05,34.05,32.7,33.0,29184,18732
2022-01-13,NIRAJ,33.1,35.05,32.55,33.8,50295,26673
2022-01-14,NIRAJ,33.8,35.6,33.2,34.5,136817,77277
2022-01-17,NIRAJ,34.5,37.25,33.4,36.5,171624,112516
2022-01-18,NIRAJ,36.5,36.75,34.6,35.1,111298,55017
2022-01-19,NIRAJ,35.0,35.1,33.5,34.05,28847,16143
2022-01-20,NIRAJ,34.5,34.7,33.5,34.35,9912,6168
2022-01-21,NIRAJ,34.0,34.75,33.7,33.85,11227,6544
2022-01-24,NIRAJ,34.2,34.2,32.0,32.6,56767,15746
2022-01-25,NIRAJ,32.6,33.65,30.7,32.55,21477,16350
2022-01-27,NIRAJ,33.4,33.4,32.25,32.85,6602,4168
2022-01-28,NIRAJ,33.5,33.5,32.3,32.6,8567,6338
2022-01-31,NIRAJ,32.6,33.6,32.25,32.9,8090,3834
2022-02-01,NIRAJ,33.6,33.6,32.5,32.7,13825,6293
2022-02-02,NIRAJ,33.7,33.75,33.0,33.1,9267,7865
2022-02-03,NIRAJ,33.75,36.2,32.55,34.55,18562,11795
2022-02-04,NIRAJ,34.55,34.55,32.7,33.7,14447,9102
2022-02-07,NIRAJ,34.0,34.0,32.8,33.2,8516,5183
2022-02-08,NIRAJ,33.2,33.4,32.25,32.95,15337,10625
2022-02-09,NIRAJ,32.8,33.6,31.6,32.35,18366,11161
2022-02-10,NIRAJ,33.15,33.2,32.3,32.55,7190,4573
2022-02-11,NIRAJ,32.55,33.0,32.0,32.25,12556,9184
2022-02-14,NIRAJ,32.15,32.15,30.0,30.4,16532,12258
2022-02-15,NIRAJ,30.3,32.5,30.0,31.85,16374,9344
2022-02-16,NIRAJ,32.35,32.4,31.2,31.5,8189,4637
2022-02-17,NIRAJ,31.9,31.9,29.7,30.55,18973,13148
2022-02-18,NIRAJ,30.9,32.5,30.25,31.55,23442,11500
2022-02-21,NIRAJ,31.8,31.8,29.7,30.25,15620,12038
2022-02-22,NIRAJ,30.0,30.15,28.55,28.95,14039,7472
2022-02-23,NIRAJ,30.55,30.6,29.0,29.3,4391,2307
2022-02-24,NIRAJ,28.75,28.75,25.65,26.35,18091,11587
2022-02-25,NIRAJ,29.6,29.6,27.2,27.95,18748,13034
2022-02-28,NIRAJ,29.5,29.5,27.5,28.1,7594,5353
2022-03-02,NIRAJ,28.05,28.9,27.25,28.2,17254,15026
2022-03-03,NIRAJ,28.2,29.4,27.9,28.35,8602,5654
2022-03-04,NIRAJ,29.0,29.0,28.15,28.3,6135,3055
2022-03-07,NIRAJ,28.9,30.4,27.9,28.8,9324,5503
2022-03-08,NIRAJ,30.6,30.6,28.05,28.3,12253,9330
2022-03-09,NIRAJ,28.2,29.6,28.2,28.95,7977,4745
2022-03-10,NIRAJ,28.95,30.0,26.8,27.9,25362,16369
2022-03-11,NIRAJ,28.75,28.75,28.05,28.3,4269,2217
2022-03-14,NIRAJ,29.85,29.85,28.1,28.35,6241,3818
2022-03-15,NIRAJ,29.4,29.4,28.2,28.5,4921,3244
2022-03-16,NIRAJ,28.1,29.5,28.1,28.75,6857,4375
2022-03-17,NIRAJ,29.4,29.4,28.3,29.0,5668,3269
2022-03-21,NIRAJ,29.2,32.65,28.45,31.5,126215,62930
2022-03-22,NIRAJ,31.9,32.0,30.35,30.6,27553,19256
2022-03-23,NIRAJ,30.5,30.5,27.7,30.2,15040,7750
