Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-11-10,NYKAA,2018.0,2248.0,2000.0,2205.8,34324631,17727629
2021-11-11,NYKAA,2213.7,2240.7,2043.75,2213.55,7189777,1679887
2021-11-12,NYKAA,2248.0,2409.95,2180.1,2358.3,5829703,1166172
2021-11-15,NYKAA,2261.0,2332.4,2185.0,2282.25,3455853,828577
2021-11-16,NYKAA,2268.0,2310.0,2228.0,2236.75,1507125,346053
2021-11-17,NYKAA,2240.0,2259.0,2101.0,2123.05,2695454,944907
2021-11-18,NYKAA,2110.0,2178.0,2090.0,2125.25,1993152,662382
2021-11-22,NYKAA,2135.25,2171.95,2082.0,2097.7,1691290,816722
2021-11-23,NYKAA,2070.0,2147.3,2057.7,2134.9,839806,304998
2021-11-24,NYKAA,2150.0,2318.8,2126.05,2247.5,2508544,743085
2021-11-25,NYKAA,2247.45,2431.15,2247.0,2397.55,2634281,770194
2021-11-26,NYKAA,2385.0,2573.7,2308.0,2437.1,3721929,630746
2021-11-29,NYKAA,2421.0,2537.0,2350.0,2486.4,1740423,268690
2021-11-30,NYKAA,2478.0,2558.0,2381.15,2440.45,947009,207122
2021-12-01,NYKAA,2475.0,2535.0,2460.0,2493.1,740564,187731
2021-12-02,NYKAA,2535.0,2560.0,2412.2,2438.2,1078937,285403
2021-12-03,NYKAA,2439.45,2465.0,2282.0,2324.7,897900,306116
2021-12-06,NYKAA,2330.0,2354.0,2172.2,2191.2,1895670,528737
2021-12-07,NYKAA,2228.0,2257.65,2125.0,2153.9,2119898,384127
2021-12-08,NYKAA,2049.0,2249.0,2026.55,2182.85,8353422,3339312
2021-12-09,NYKAA,2174.0,2259.1,2151.0,2163.45,3214448,1023449
2021-12-10,NYKAA,2163.5,2179.25,2100.0,2114.8,1923637,763955
2021-12-13,NYKAA,2125.0,2159.8,2070.1,2081.75,1407223,651710
2021-12-14,NYKAA,2080.0,2081.75,1980.0,2015.6,2016730,778851
2021-12-15,NYKAA,2069.0,2147.8,2062.0,2128.8,2543686,694439
2021-12-16,NYKAA,2138.9,2175.0,2032.0,2165.95,2354233,668262
2021-12-17,NYKAA,2153.85,2170.0,2065.2,2098.8,1254465,294722
2021-12-20,NYKAA,2060.0,2064.4,1910.05,1952.7,1723423,600283
2021-12-21,NYKAA,1988.0,2057.85,1952.1,1963.45,1460535,541244
2021-12-22,NYKAA,1989.95,2024.0,1976.35,2010.45,820029,333229
2021-12-23,NYKAA,2029.8,2134.0,2015.0,2121.55,1408567,404512
2021-12-24,NYKAA,2120.0,2125.0,2028.0,2044.85,977363,285617
2021-12-27,NYKAA,2040.0,2124.0,1990.0,2106.85,876210,219100
2021-12-28,NYKAA,2110.0,2165.5,2110.0,2153.25,657536,191613
2021-12-29,NYKAA,2140.0,2177.5,2103.3,2160.0,934894,223354
2021-12-30,NYKAA,2139.8,2180.0,2094.25,2107.65,608394,151487
2021-12-31,NYKAA,2123.95,2131.75,2090.3,2101.55,497732,128900
2022-01-03,NYKAA,2105.0,2134.9,2079.0,2086.25,542411,154603
2022-01-04,NYKAA,2100.0,2135.0,2095.55,2113.95,631376,232571
2022-01-05,NYKAA,2121.0,2122.35,2035.0,2043.0,904762,467531
2022-01-06,NYKAA,2040.0,2040.0,1995.3,2003.05,924167,533676
2022-01-07,NYKAA,2010.0,2036.0,1996.7,2005.35,576502,316290
