Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,ONGC,81.2,82.1,80.75,81.4,15968479,4311541
2020-08-27,ONGC,81.8,81.95,80.0,80.15,16309200,6023705
2020-08-28,ONGC,80.35,81.8,80.0,80.35,14667141,4161873
2020-08-31,ONGC,81.0,85.5,80.9,81.95,93193563,21368248
2020-09-01,ONGC,82.75,82.8,78.0,79.35,38005572,9963296
2020-09-02,ONGC,81.15,81.75,79.5,80.3,31155170,4776131
2020-09-03,ONGC,80.5,81.3,78.8,79.05,19976183,6856348
2020-09-04,ONGC,78.55,79.1,77.35,77.9,12855872,3851124
2020-09-07,ONGC,78.2,78.35,75.95,76.45,16574103,5595567
2020-09-08,ONGC,76.55,76.65,74.0,74.45,17905760,7760688
2020-09-09,ONGC,73.95,73.95,70.9,72.7,28166431,8750296
2020-09-10,ONGC,73.5,74.4,72.65,73.65,18646453,5345740
2020-09-11,ONGC,73.45,73.7,72.6,73.3,11511957,2817617
2020-09-14,ONGC,73.85,74.75,73.25,73.65,11990117,2591340
2020-09-15,ONGC,73.75,74.35,73.25,73.8,8883209,2509035
2020-09-16,ONGC,74.25,74.45,72.55,73.05,10285753,3422777
2020-09-17,ONGC,73.05,74.3,72.85,73.15,16070908,2795768
2020-09-18,ONGC,73.8,74.8,72.95,74.3,25692290,12490749
2020-09-21,ONGC,74.0,74.1,70.9,71.15,13686791,4100349
2020-09-22,ONGC,71.0,71.3,68.75,69.5,18043170,4475501
2020-09-23,ONGC,69.7,70.15,67.4,67.65,17014241,6360439
2020-09-24,ONGC,66.05,67.35,65.5,66.65,32950980,15952888
2020-09-25,ONGC,68.0,69.25,66.15,68.9,20235948,4789888
2020-09-28,ONGC,69.45,73.7,69.25,71.85,28336618,4084790
2020-09-29,ONGC,72.5,72.7,68.9,69.15,20798564,6802272
2020-09-30,ONGC,69.4,70.45,67.6,69.25,20069463,4086112
2020-10-01,ONGC,67.5,69.4,66.65,69.15,20869336,2531936
2020-10-05,ONGC,69.0,69.7,68.4,69.2,12608190,3493762
2020-10-06,ONGC,70.0,70.2,69.0,69.35,10028722,2186815
2020-10-07,ONGC,69.3,73.35,69.1,70.5,50074521,8930638
2020-10-08,ONGC,70.9,71.0,68.25,68.45,21348290,7611439
2020-10-09,ONGC,69.0,70.6,68.25,70.3,25747434,7330659
2020-10-12,ONGC,70.3,70.6,68.8,69.15,10564969,2960257
2020-10-13,ONGC,69.1,69.75,68.8,69.1,9070869,2349477
2020-10-14,ONGC,68.5,68.8,66.65,67.0,24828155,10702792
2020-10-15,ONGC,67.0,68.5,65.7,66.05,17334497,5872411
2020-10-16,ONGC,66.65,67.55,66.0,67.25,18591533,6265778
2020-10-19,ONGC,67.35,70.45,67.35,69.3,25987839,7097744
2020-10-20,ONGC,69.5,69.75,67.25,67.4,18530440,6506773
2020-10-21,ONGC,68.0,68.6,67.0,67.8,19590729,6421079
2020-10-22,ONGC,67.4,69.1,67.3,68.85,26356513,12271754
2020-10-23,ONGC,69.2,69.6,68.6,69.0,13180165,4753020
2020-10-26,ONGC,69.5,69.5,67.65,68.2,14225064,4226785
2020-10-27,ONGC,68.1,68.45,66.5,66.85,17088935,5779751
2020-10-28,ONGC,67.25,67.4,66.1,66.35,15025734,5204697
2020-10-29,ONGC,66.05,66.35,64.1,64.4,29901827,10674747
2020-10-30,ONGC,65.0,65.9,64.2,64.9,25857851,8225131
2020-11-02,ONGC,65.4,66.05,64.2,65.7,12847852,3414475
2020-11-03,ONGC,66.0,66.75,65.7,66.3,10809489,3317358
2020-11-04,ONGC,66.3,66.9,65.6,66.45,12479581,4554979
2020-11-05,ONGC,66.9,68.1,66.2,67.6,17947631,5925489
2020-11-06,ONGC,67.7,68.2,67.2,68.0,10496588,4025579
2020-11-09,ONGC,68.65,68.65,67.8,68.45,8473527,2640763
2020-11-10,ONGC,69.05,71.0,68.5,70.75,33795453,13830598
2020-11-11,ONGC,71.45,72.7,70.55,72.35,23531793,7995706
2020-11-12,ONGC,72.5,72.9,70.75,71.55,16446681,4965318
2020-11-13,ONGC,71.2,72.5,70.05,72.15,16264536,4655797
2020-11-14,ONGC,74.0,74.0,72.5,72.65,5387569,2424661
2020-11-17,ONGC,72.7,73.3,71.0,71.3,18852045,6526962
2020-11-18,ONGC,71.65,72.1,70.9,71.95,14032869,4162095
2020-11-19,ONGC,71.5,74.2,71.45,72.15,27903903,8379137
2020-11-20,ONGC,72.45,72.7,70.7,71.65,14790440,4504485
2020-11-23,ONGC,72.0,77.8,71.8,76.5,44111534,11799784
2020-11-24,ONGC,76.75,78.05,75.4,76.1,31379070,8597362
2020-11-25,ONGC,77.2,81.8,77.15,80.8,87040163,24789239
2020-11-26,ONGC,81.15,81.5,79.45,80.2,30469713,8918233
2020-11-27,ONGC,80.8,81.15,78.0,78.5,44245938,21061590
