Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-09-16,PAR,142.9,142.9,142.9,142.9,15300,15300
2021-09-17,PAR,150.0,150.0,150.0,150.0,25975,25975
2021-09-20,PAR,157.5,157.5,152.0,157.2,322976,212398
2021-09-21,PAR,162.9,163.95,149.35,149.7,131619,102148
2021-09-22,PAR,155.0,157.15,147.0,157.15,156897,116147
2021-09-23,PAR,164.0,165.0,160.1,165.0,78350,71996
2021-09-24,PAR,173.25,173.25,167.0,173.25,122682,79760
2021-09-27,PAR,179.8,181.9,173.8,181.9,156950,91519
2021-09-28,PAR,187.85,190.95,182.05,190.95,154696,106864
2021-09-29,PAR,193.0,200.45,191.75,200.45,114031,86142
2021-09-30,PAR,207.0,210.45,206.0,210.45,141202,97495
2021-10-01,PAR,219.0,220.95,212.1,220.95,110143,67586
2021-10-04,PAR,231.95,231.95,226.0,231.95,81534,59819
2021-10-05,PAR,240.9,243.5,234.1,243.5,60962,40165
2021-10-06,PAR,255.2,255.65,247.55,255.65,81609,43769
2021-10-07,PAR,268.4,268.4,268.4,268.4,17246,16994
2021-10-08,PAR,281.8,281.8,281.8,281.8,12282,12282
2021-10-11,PAR,295.85,295.85,295.85,295.85,12722,12722
2021-10-12,PAR,310.6,310.6,281.1,281.1,55123,45959
2021-10-13,PAR,267.05,267.05,267.05,267.05,7630,7630
2021-10-14,PAR,253.7,253.7,253.7,253.7,5326,5326
2021-10-18,PAR,241.5,266.35,241.05,266.35,309614,136062
2021-10-19,PAR,268.5,277.65,253.05,253.05,121446,67515
2021-10-20,PAR,243.05,251.9,240.4,240.4,36366,28217
2021-10-21,PAR,234.15,247.4,228.4,228.4,113735,70793
2021-10-22,PAR,228.2,228.2,217.0,217.0,53156,37580
2021-10-25,PAR,208.05,217.95,206.15,206.15,82519,45141
2021-10-26,PAR,196.5,209.35,195.85,198.95,91911,45713
2021-10-27,PAR,206.0,208.85,202.5,208.85,17638,12552
2021-10-28,PAR,219.25,219.25,219.25,219.25,11283,11283
2021-10-29,PAR,230.2,230.2,208.3,209.65,108332,48069
2021-11-01,PAR,210.6,220.1,210.6,220.1,10364,9884
2021-11-02,PAR,231.1,231.1,224.05,231.1,38796,27327
2021-11-03,PAR,242.65,242.65,242.65,242.65,20374,20374
2021-11-04,PAR,253.9,254.75,245.05,250.65,44793,36964
2021-11-08,PAR,261.7,263.15,247.0,262.8,87692,49986
2021-11-09,PAR,270.0,270.0,249.7,250.2,96035,52390
2021-11-10,PAR,237.7,237.7,237.7,237.7,9089,9089
2021-11-11,PAR,225.85,225.85,225.85,225.85,12399,12399
2021-11-12,PAR,214.6,233.85,214.6,214.6,176294,84941
2021-11-15,PAR,206.15,213.85,203.9,203.9,64248,53683
2021-11-16,PAR,194.25,211.0,193.75,207.75,136252,65419
2021-11-17,PAR,210.0,210.95,197.4,197.4,47535,38046
2021-11-18,PAR,191.3,196.05,187.55,187.55,33378,23057
2021-11-22,PAR,179.3,190.9,177.0,177.7,34446,24644
2021-11-23,PAR,177.0,186.55,177.0,186.55,19214,11673
2021-11-24,PAR,194.95,195.85,194.65,195.85,30492,28419
2021-11-25,PAR,202.0,203.95,195.0,199.9,44129,29294
2021-11-26,PAR,196.5,197.65,189.95,190.95,26723,12691
2021-11-29,PAR,190.95,197.95,186.0,193.7,19563,10434
2021-11-30,PAR,186.0,199.9,186.0,191.25,7480,4157
2021-12-01,PAR,192.0,192.6,186.5,188.4,4901,2594
2021-12-02,PAR,190.55,194.0,185.55,187.05,9655,6373
2021-12-03,PAR,194.0,194.0,189.0,190.5,8000,5589
2021-12-06,PAR,194.8,194.8,185.5,189.65,9942,6431
2021-12-07,PAR,193.95,193.95,188.05,189.55,6769,3920
2021-12-08,PAR,189.0,192.5,180.1,187.8,23381,14736
2021-12-09,PAR,190.6,197.15,189.0,197.15,16153,11140
2021-12-10,PAR,205.9,207.0,205.5,207.0,23502,20509
2021-12-13,PAR,217.35,217.35,208.1,217.35,40997,28637
2021-12-14,PAR,220.95,220.95,207.0,208.85,33171,18006
2021-12-15,PAR,208.05,208.05,198.45,200.65,25355,18721
2021-12-16,PAR,206.0,206.0,199.0,200.65,9662,7733
2021-12-17,PAR,201.0,203.9,196.0,197.45,14864,10335
2021-12-20,PAR,194.0,200.95,187.6,187.6,9780,8369
2021-12-21,PAR,179.2,195.9,179.2,186.45,18587,12149
2021-12-22,PAR,193.75,195.75,189.05,193.45,12440,7938
2021-12-23,PAR,193.45,196.4,186.0,192.5,14688,8440
2021-12-24,PAR,188.1,201.7,187.95,197.6,13399,10928
2021-12-27,PAR,203.3,207.0,195.0,204.15,20508,15991
2021-12-28,PAR,213.0,213.0,196.7,199.65,19452,12506
2021-12-29,PAR,200.4,203.95,195.2,200.7,14843,4707
2021-12-30,PAR,200.3,205.95,195.3,200.15,22892,7769
2021-12-31,PAR,197.65,203.85,197.65,201.25,16668,8251
2022-01-03,PAR,194.0,205.0,194.0,199.25,11174,5796
2022-01-04,PAR,197.25,201.4,194.0,196.7,18707,11642
2022-01-05,PAR,196.55,200.75,190.05,191.7,19672,13824
2022-01-06,PAR,189.95,201.25,188.95,201.05,30325,22503
2022-01-07,PAR,202.9,202.9,195.9,196.65,13218,9277
