Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2022-05-27,PARADEEP,44.0,47.25,43.0,43.9,99210394,48552972
2022-05-30,PARADEEP,45.0,45.7,41.1,42.1,15425974,6986556
2022-05-31,PARADEEP,42.45,43.5,41.25,42.1,10787346,5538595
2022-06-01,PARADEEP,43.0,43.0,42.2,42.5,4227781,2058153
2022-06-02,PARADEEP,42.6,42.8,41.9,42.1,3802883,1844599
2022-06-03,PARADEEP,42.35,45.0,41.95,44.15,16966738,6654603
2022-06-06,PARADEEP,44.0,44.8,42.95,43.6,8382413,3260898
2022-06-07,PARADEEP,43.2,43.8,42.55,42.65,4168731,1917256
2022-06-08,PARADEEP,42.75,43.15,42.2,42.3,2615590,1402696
2022-06-09,PARADEEP,42.4,43.0,42.15,42.6,2554917,1189790
2022-06-10,PARADEEP,42.2,42.85,42.1,42.25,2880167,1471361
2022-06-13,PARADEEP,41.95,41.95,40.4,41.15,3482800,2066159
2022-06-14,PARADEEP,40.9,42.3,40.75,41.15,2346434,973944
2022-06-15,PARADEEP,42.0,42.3,41.3,41.5,1878927,1072159
2022-06-16,PARADEEP,41.8,42.05,39.9,40.2,3277147,1931601
2022-06-17,PARADEEP,40.1,40.35,38.7,38.9,1994183,1012508
2022-06-20,PARADEEP,38.9,39.7,38.25,38.75,2518080,1435847
2022-06-21,PARADEEP,38.85,39.6,38.75,39.2,1081543,467246
2022-06-22,PARADEEP,39.05,39.35,37.9,38.15,1331943,777738
2022-06-23,PARADEEP,38.15,39.35,37.7,37.85,2904765,1439637
2022-06-24,PARADEEP,37.95,38.2,37.45,37.65,1614268,896682
2022-06-27,PARADEEP,38.2,40.45,37.75,39.7,2363237,1169940
2022-06-28,PARADEEP,40.0,41.15,39.25,40.9,1956406,702436
2022-06-29,PARADEEP,40.3,41.35,40.15,40.75,1343106,659782
2022-06-30,PARADEEP,41.0,41.0,39.1,39.55,694303,363253
2022-07-01,PARADEEP,39.2,39.9,38.45,39.55,800003,355705
2022-07-04,PARADEEP,39.4,41.95,39.25,40.9,3723060,1931275
2022-07-05,PARADEEP,41.15,41.8,40.6,40.8,2716848,1898881
2022-07-06,PARADEEP,41.0,41.25,40.75,41.0,952229,668551
2022-07-07,PARADEEP,41.1,41.7,40.8,41.0,1145854,748040
2022-07-08,PARADEEP,41.35,41.35,40.9,41.05,1105620,784555
2022-07-11,PARADEEP,41.1,41.8,40.6,41.0,1242192,637657
2022-07-12,PARADEEP,40.8,42.25,40.8,42.0,3909082,2269298
2022-07-13,PARADEEP,42.0,42.25,41.6,41.85,1339338,872090
2022-07-14,PARADEEP,41.85,42.1,41.0,41.25,1007378,604643
2022-07-15,PARADEEP,42.1,42.1,41.45,41.65,865308,472767
2022-07-18,PARADEEP,41.85,42.2,41.3,41.55,1327070,829489
2022-07-19,PARADEEP,41.4,42.2,41.4,41.75,1217139,654035
2022-07-20,PARADEEP,41.75,48.7,41.7,46.65,30784490,12223648
2022-07-21,PARADEEP,46.65,49.8,46.5,46.85,18986977,6826260
2022-07-22,PARADEEP,47.35,48.5,46.25,47.7,16084636,6655991
2022-07-25,PARADEEP,49.25,50.5,48.0,48.75,14927348,5706024
2022-07-26,PARADEEP,48.9,51.75,48.2,49.75,17957679,5955713
2022-07-27,PARADEEP,50.25,50.5,47.85,48.75,8953254,3842377
2022-07-28,PARADEEP,49.25,52.3,49.2,51.75,22061119,9747575
2022-07-29,PARADEEP,52.3,52.9,51.0,52.6,10177067,3750277
2022-08-01,PARADEEP,52.95,54.9,52.3,54.55,14157208,7238579
2022-08-02,PARADEEP,54.75,55.0,49.75,50.2,15694339,7912444
2022-08-03,PARADEEP,50.0,52.4,48.25,51.35,23085576,7678257
2022-08-04,PARADEEP,51.9,52.2,49.1,50.1,8572038,3142874
2022-08-05,PARADEEP,50.4,51.9,49.75,51.05,7181956,2693853
2022-08-08,PARADEEP,51.4,51.75,50.4,50.75,4196625,1749154
2022-08-10,PARADEEP,51.0,51.0,48.9,49.65,4153662,1719212
2022-08-11,PARADEEP,50.0,50.6,49.3,49.55,2578080,1127792
2022-08-12,PARADEEP,49.85,50.8,49.4,49.6,3366225,1284100
2022-08-16,PARADEEP,50.0,50.0,48.6,48.8,2782423,1433042
2022-08-17,PARADEEP,48.95,49.7,48.4,48.9,3627393,1700891
2022-08-18,PARADEEP,49.2,49.65,48.55,48.8,2620574,1154642
2022-08-19,PARADEEP,48.85,49.15,47.5,47.95,4158696,2474878
2022-08-22,PARADEEP,47.55,52.15,47.5,50.1,17033216,7318996
2022-08-23,PARADEEP,50.35,51.9,50.2,51.5,6393220,3064200
2022-08-24,PARADEEP,51.65,55.6,51.6,53.5,14963345,5893659
2022-08-25,PARADEEP,54.15,54.5,52.4,53.55,7081326,2627949
2022-08-26,PARADEEP,54.05,55.5,52.5,52.8,8599736,3593453
2022-08-29,PARADEEP,51.4,56.4,51.3,54.9,20535364,6965312
2022-08-30,PARADEEP,55.9,56.3,54.05,54.25,9579109,3880392
2022-09-01,PARADEEP,54.2,61.2,54.05,60.05,26881668,9414911
2022-09-02,PARADEEP,61.5,62.9,59.25,60.25,23119232,7134364
2022-09-05,PARADEEP,60.9,62.7,59.5,60.85,11912898,3805894
2022-09-06,PARADEEP,61.0,63.65,60.2,62.7,13710368,4673507
2022-09-07,PARADEEP,62.5,65.2,62.0,63.0,14941600,5404917
2022-09-08,PARADEEP,63.8,63.9,62.25,63.0,6181035,2359760
2022-09-09,PARADEEP,63.5,64.25,61.7,62.2,6433465,2556602
2022-09-12,PARADEEP,62.7,63.45,61.7,62.5,6313016,2850044
2022-09-13,PARADEEP,62.9,65.1,62.8,63.8,10648276,4265916
2022-09-14,PARADEEP,63.1,67.25,63.0,66.35,17367002,6344359
2022-09-15,PARADEEP,66.9,72.0,66.7,68.4,24074093,7652970
2022-09-16,PARADEEP,68.4,69.7,64.75,66.25,12505526,4354292
2022-09-19,PARADEEP,66.8,68.55,64.25,64.6,8181625,2919461
2022-09-20,PARADEEP,65.3,65.8,62.6,62.85,9134138,3937721
2022-09-21,PARADEEP,63.0,64.25,62.3,63.45,5402834,1773643
2022-09-22,PARADEEP,63.65,68.85,63.1,68.05,12845362,5002063
2022-09-23,PARADEEP,69.35,69.7,64.1,64.8,14067519,5161009
2022-09-26,PARADEEP,64.0,64.2,60.75,62.3,9919512,3385683
2022-09-27,PARADEEP,62.95,64.0,61.45,63.2,7446262,2690433
2022-09-28,PARADEEP,62.2,63.85,61.8,62.25,4570545,1492182
2022-09-29,PARADEEP,63.1,63.5,61.55,62.0,3987961,1529036
2022-09-30,PARADEEP,62.4,62.8,61.6,61.95,5804213,2565978
2022-10-03,PARADEEP,62.05,62.45,60.9,61.5,4417639,2069471
2022-10-04,PARADEEP,62.1,67.0,61.65,66.7,25003698,11675677
2022-10-06,PARADEEP,67.3,68.7,65.6,66.7,8712168,3036792
2022-10-07,PARADEEP,66.65,68.75,66.1,67.65,6916924,2104345
2022-10-10,PARADEEP,66.6,67.75,65.7,66.0,4660916,1720995
2022-10-11,PARADEEP,66.15,66.35,63.45,63.75,4724503,2117736
2022-10-12,PARADEEP,64.2,64.65,62.75,64.25,4292850,1768520
2022-10-13,PARADEEP,64.0,64.25,62.8,64.0,3291812,1410880
2022-10-14,PARADEEP,65.2,65.65,62.8,63.05,4987191,2934454
2022-10-17,PARADEEP,63.0,63.25,62.3,62.85,2709426,1107185
2022-10-18,PARADEEP,63.5,63.6,62.4,62.7,3443610,1574664
2022-10-19,PARADEEP,62.85,63.3,61.75,62.0,4796092,2714351
2022-10-20,PARADEEP,61.85,63.75,61.5,62.45,4996244,1471292
2022-10-21,PARADEEP,62.75,62.8,61.5,61.75,2796444,1215247
2022-10-24,PARADEEP,62.5,62.8,62.1,62.6,920236,652480
2022-10-25,PARADEEP,62.65,63.3,61.85,62.05,3314640,1312357
2022-10-27,PARADEEP,62.45,63.2,62.15,62.45,2348705,1096908
2022-10-28,PARADEEP,62.45,63.2,61.4,61.6,2484074,970966
2022-10-31,PARADEEP,62.0,62.2,58.8,59.3,5572931,3149644
2022-11-01,PARADEEP,59.8,62.7,59.55,62.35,5848673,2510075
2022-11-02,PARADEEP,62.1,63.2,61.6,62.55,3473577,1569331
2022-11-03,PARADEEP,61.95,62.5,61.0,61.55,2654625,1333199
2022-11-04,PARADEEP,61.8,63.2,61.75,62.2,3258256,1648045
2022-11-07,PARADEEP,59.0,59.9,58.2,59.45,7783768,3906534
2022-11-09,PARADEEP,60.0,60.0,57.75,58.0,4233516,2439086
2022-11-10,PARADEEP,57.8,57.8,56.6,57.05,3455035,1652539
2022-11-11,PARADEEP,57.75,58.1,55.3,56.1,4228652,2049746
2022-11-14,PARADEEP,56.4,57.5,55.7,56.1,3573651,1586265
2022-11-15,PARADEEP,56.2,58.5,56.1,58.05,3164515,1472787
2022-11-16,PARADEEP,58.3,59.0,56.75,57.1,3017812,1280090
2022-11-17,PARADEEP,56.8,57.4,55.8,56.1,1722134,823039
2022-11-18,PARADEEP,56.45,56.7,55.8,56.15,1268199,585101
2022-11-21,PARADEEP,56.1,56.4,55.35,55.75,1601007,833851
2022-11-22,PARADEEP,55.25,56.0,55.0,55.1,1669099,1018598
2022-11-23,PARADEEP,55.35,57.8,55.0,56.55,4531963,1867895
2022-11-24,PARADEEP,56.75,57.15,56.15,56.25,1994985,1085007
2022-11-25,PARADEEP,56.5,56.5,55.1,55.4,2264717,1353572
2022-11-28,PARADEEP,55.45,56.7,55.05,55.3,3382808,1782595
2022-11-29,PARADEEP,55.45,55.85,54.65,54.85,2266972,1396409
2022-11-30,PARADEEP,55.05,57.4,54.6,56.75,8197379,5355053
2022-12-01,PARADEEP,57.0,57.4,56.3,56.45,1715363,820737
2022-12-02,PARADEEP,56.2,58.95,55.95,58.65,5250669,2366769
2022-12-05,PARADEEP,58.95,60.65,58.85,59.65,4701487,2317077
2022-12-06,PARADEEP,59.35,60.7,58.85,59.35,2911641,1234089
2022-12-07,PARADEEP,59.05,59.55,58.05,58.35,1737130,774445
2022-12-08,PARADEEP,58.45,59.4,58.1,58.4,2208420,1037165
2022-12-09,PARADEEP,58.4,58.8,56.5,56.75,2230788,1107854
2022-12-12,PARADEEP,56.4,57.45,56.4,56.85,1780859,878161
2022-12-13,PARADEEP,57.25,58.35,57.2,57.5,1978645,1003208
2022-12-14,PARADEEP,57.5,61.9,56.9,60.85,13356673,5828683
2022-12-15,PARADEEP,60.85,64.3,60.8,62.6,14244067,5415893
2022-12-16,PARADEEP,62.9,64.4,61.05,61.85,10492302,3084435
2022-12-19,PARADEEP,61.9,61.95,60.05,60.4,3531269,1442928
2022-12-20,PARADEEP,60.1,61.65,59.3,61.2,4480658,1372313
2022-12-21,PARADEEP,61.55,61.9,57.5,57.8,5128562,2615848
2022-12-22,PARADEEP,58.0,58.75,54.75,56.45,10119224,6203847
2022-12-23,PARADEEP,55.5,55.7,53.25,54.4,5403422,2664280
2022-12-26,PARADEEP,54.4,57.25,53.6,57.0,3435461,1153506
2022-12-27,PARADEEP,57.45,58.25,56.65,57.85,2031930,803912
2022-12-28,PARADEEP,58.1,60.0,57.4,59.05,5392403,1560553
2022-12-29,PARADEEP,58.85,59.0,58.1,58.55,1941045,660322
2022-12-30,PARADEEP,58.85,60.6,58.65,58.9,3041741,1041729
2023-01-02,PARADEEP,59.25,60.1,58.55,59.6,2824669,901658
2023-01-03,PARADEEP,59.95,60.0,58.9,59.0,1556447,667499
2023-01-04,PARADEEP,59.0,60.5,58.6,58.85,3036984,919224
