Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,31.8,34.3,28.95,28.95,1388981,956071,68.83254702548128,-68.83254702548128,68.83254702548128
2020-09-06,28.5,29.7,23.85,24.9,340956,238261,69.88027780710708,-113.62759690183202,-1.047730781625802
2020-09-13,25.15,25.5,22.65,23.8,259057,175603,67.78546806301316,-126.70900301925553,-68.83319884463896
2020-09-20,24.6,24.6,21.75,24.15,335482,192301,57.32081005836379,-87.48950140037516,-11.512388786275167
2020-09-27,24.15,24.5,21.65,22.65,96422,58914,61.10016386301881,-105.7123572893457,-72.61255264929397
2020-10-04,23.15,24.75,23.0,24.05,94119,66779,70.95166756977869,-91.52202377538991,-1.6608850795152819
2020-10-11,23.7,25.6,22.0,22.6,275911,217872,78.96459365520042,-144.16508621219015,-80.6254787347157
2020-10-18,22.3,23.3,19.35,21.2,95789,61795,64.51158274958503,-148.24809777861964,-145.13706148430072
2020-10-25,21.2,21.85,19.75,21.25,121088,86314,71.28204281183932,-117.69865085926,-73.8550186724614
2020-11-01,21.3,22.05,20.25,21.1,72089,39992,55.475870105009086,-120.78064364287155,-129.33088877747048
2020-11-08,20.65,22.5,20.2,21.45,110420,73010,66.1202680673791,-115.03105511527339,-63.210620710091376
2020-11-15,22.5,23.6,20.25,22.9,417568,212127,50.800588167675684,-85.46056349528314,-12.410032542415692
2020-11-22,23.4,28.4,23.35,25.4,573723,373873,65.16611674972069,-97.71953595315144,52.756084207304994
2020-11-29,26.45,26.8,24.3,25.25,180134,114618,63.62929818912587,-112.99056751854168,-10.873213981820875
2020-12-06,25.6,28.4,25.3,27.35,194657,148514,76.29522698901144,-88.37920397369918,65.42201300719057
2020-12-13,28.4,31.25,25.85,31.25,539028,405520,75.23171338038098,-13.147490593318196,140.65372638757157
2020-12-20,33.45,33.45,27.05,31.9,734402,374677,51.017971083956745,13.158650746846938,191.67169747152832
2020-12-27,31.4,32.0,26.55,30.55,362774,205971,56.77667087498002,39.72388207367246,134.8950265965483
2021-01-03,30.55,33.4,30.1,30.65,949860,401481,42.26738677278757,11.54562422514736,177.16241336933587
2021-01-10,30.75,35.2,30.4,33.5,1219133,455589,37.36991780224143,22.445183584134426,214.5323311715773
2021-01-17,34.0,34.0,30.15,30.35,322667,215494,66.78526158547356,-37.401349524926204,147.74706958610375
2021-01-24,30.05,31.3,26.2,29.6,261738,150929,57.664152702320635,-18.179965290819297,90.08291688378311
2021-01-31,29.8,30.25,27.1,28.2,114916,66260,57.65950781440357,-35.56934066341726,32.423409069379545
2021-02-07,29.6,29.95,27.4,29.0,168520,115546,68.5651554711607,-18.091948092337027,100.98856454054024
2021-02-14,29.0,30.55,28.4,28.9,201151,130638,64.94524014297717,-52.8300997967202,36.04332439756307
2021-02-21,29.4,32.45,25.4,26.05,980925,532313,54.26643219410251,-97.08995584155555,-18.223107796539438
2021-02-28,26.0,26.8,23.75,24.8,206413,127341,61.69233526958089,-116.3056012533922,-79.91544306612033
2021-03-07,24.2,26.65,23.9,24.25,437058,251464,57.53561312228583,-159.1957855809143,-137.45105618840617
2021-03-14,24.65,24.65,22.9,23.4,298929,185539,62.06791579271332,-185.79632092064858,-199.51897198111948
