Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,PDMJEPAPER,14.5,14.7,14.35,14.55,111475
2020-08-21,PDMJEPAPER,14.65,15.35,14.65,14.95,101260
2020-08-24,PDMJEPAPER,14.95,15.7,14.9,15.3,218484
2020-08-25,PDMJEPAPER,15.3,15.55,14.9,15.1,79909
2020-08-26,PDMJEPAPER,15.2,15.25,14.5,14.85,63701
2020-08-27,PDMJEPAPER,14.9,15.1,14.75,14.8,29439
2020-08-28,PDMJEPAPER,14.95,15.1,14.65,14.75,51406
2020-08-31,PDMJEPAPER,14.9,14.95,13.65,14.55,116648
2020-09-01,PDMJEPAPER,14.7,14.7,14.2,14.4,20401
2020-09-02,PDMJEPAPER,14.5,14.8,14.15,14.45,28715
2020-09-03,PDMJEPAPER,14.3,14.55,14.05,14.4,56230
2020-09-04,PDMJEPAPER,14.3,14.8,13.85,14.35,97280
2020-09-07,PDMJEPAPER,14.2,14.8,14.2,14.55,34834
2020-09-08,PDMJEPAPER,14.3,14.6,14.3,14.5,41007
2020-09-09,PDMJEPAPER,14.5,14.55,14.1,14.35,44154
2020-09-10,PDMJEPAPER,14.45,14.55,14.25,14.45,24475
2020-09-11,PDMJEPAPER,14.8,15.35,14.65,14.7,104056
2020-09-14,PDMJEPAPER,14.8,15.15,14.3,14.45,40965
2020-09-15,PDMJEPAPER,14.15,14.75,14.15,14.45,11819
2020-09-16,PDMJEPAPER,14.3,14.75,14.3,14.4,12663
2020-09-17,PDMJEPAPER,14.4,14.75,14.05,14.35,24413
2020-09-18,PDMJEPAPER,14.3,14.65,14.25,14.25,24378
2020-09-21,PDMJEPAPER,14.5,14.9,14.25,14.25,57186
2020-09-22,PDMJEPAPER,14.3,14.5,13.5,14.3,37806
2020-09-23,PDMJEPAPER,14.65,14.7,13.9,14.15,34311
2020-09-24,PDMJEPAPER,14.3,14.4,13.75,14.3,68721
2020-09-25,PDMJEPAPER,14.6,14.7,14.05,14.3,23407
2020-09-28,PDMJEPAPER,14.2,14.65,14.2,14.3,19189
2020-09-29,PDMJEPAPER,14.65,14.8,14.2,14.25,49823
2020-09-30,PDMJEPAPER,14.25,14.75,14.15,14.4,32927
2020-10-01,PDMJEPAPER,14.25,14.7,14.25,14.55,38341
2020-10-05,PDMJEPAPER,14.4,14.65,14.35,14.55,16072
2020-10-06,PDMJEPAPER,14.95,15.1,14.6,14.85,155703
2020-10-07,PDMJEPAPER,14.75,14.9,14.45,14.5,30044
2020-10-08,PDMJEPAPER,14.7,15.85,14.45,14.85,158509
2020-10-09,PDMJEPAPER,14.9,14.9,14.35,14.45,23597
2020-10-12,PDMJEPAPER,14.4,14.8,13.95,14.05,47516
2020-10-13,PDMJEPAPER,14.05,14.5,14.05,14.2,12548
2020-10-14,PDMJEPAPER,14.1,14.45,13.95,14.35,22202
2020-10-15,PDMJEPAPER,14.55,14.55,14.05,14.2,19623
2020-10-16,PDMJEPAPER,14.1,14.45,13.95,14.0,9157
2020-10-19,PDMJEPAPER,14.05,14.5,13.9,14.0,29588
2020-10-20,PDMJEPAPER,14.25,14.25,13.75,13.85,25550
2020-10-21,PDMJEPAPER,13.85,14.35,13.85,14.1,64147
2020-10-22,PDMJEPAPER,14.1,14.3,13.9,14.0,33400
2020-10-23,PDMJEPAPER,15.05,15.8,14.6,15.15,285593
2020-10-26,PDMJEPAPER,15.0,16.7,14.5,16.15,3244624
2020-10-27,PDMJEPAPER,16.4,17.0,15.25,15.6,274950
2020-10-28,PDMJEPAPER,15.95,16.3,15.65,15.9,155618
2020-10-29,PDMJEPAPER,15.95,16.4,15.5,15.6,71124
2020-10-30,PDMJEPAPER,16.0,16.15,15.5,15.85,75242
2020-11-02,PDMJEPAPER,16.25,16.4,15.65,15.95,79146
2020-11-03,PDMJEPAPER,16.1,18.25,15.95,17.55,422878
2020-11-04,PDMJEPAPER,17.85,18.5,17.65,18.05,307741
2020-11-05,PDMJEPAPER,18.55,18.55,17.1,17.55,100359
2020-11-06,PDMJEPAPER,18.25,18.25,16.55,17.0,60478
2020-11-09,PDMJEPAPER,17.05,17.45,16.5,16.9,77764
2020-11-10,PDMJEPAPER,16.85,17.4,16.5,16.9,70847
2020-11-11,PDMJEPAPER,17.2,18.0,16.85,17.8,123653
2020-11-12,PDMJEPAPER,17.8,18.05,17.4,17.5,41081
2020-11-13,PDMJEPAPER,17.5,17.9,17.05,17.8,62760
2020-11-14,PDMJEPAPER,18.4,18.4,17.75,17.95,10885
2020-11-17,PDMJEPAPER,18.25,19.4,17.55,18.75,204445
2020-11-18,PDMJEPAPER,18.5,21.0,18.1,20.55,327521
2020-11-19,PDMJEPAPER,20.95,21.3,18.85,19.3,95046
2020-11-20,PDMJEPAPER,19.95,23.15,19.0,22.75,694110
2020-11-23,PDMJEPAPER,22.7,22.75,20.3,21.0,272289
2020-11-24,PDMJEPAPER,20.95,20.95,19.65,19.7,163834
2020-11-25,PDMJEPAPER,19.8,20.4,19.65,19.8,72899
2020-11-26,PDMJEPAPER,20.1,22.15,19.55,20.95,187426
2020-11-27,PDMJEPAPER,21.8,21.8,20.1,21.0,143286
2020-12-01,PDMJEPAPER,21.0,21.2,20.15,20.5,69630
2020-12-02,PDMJEPAPER,20.95,20.95,20.15,20.25,47020
2020-12-03,PDMJEPAPER,20.65,23.0,20.25,22.65,315816
2020-12-04,PDMJEPAPER,23.0,23.45,22.25,22.6,236069
2020-12-07,PDMJEPAPER,23.0,23.2,22.05,22.75,119529
2020-12-08,PDMJEPAPER,22.8,23.25,21.35,22.5,171974
2020-12-09,PDMJEPAPER,22.5,22.5,21.3,21.45,108231
2020-12-10,PDMJEPAPER,21.6,23.3,21.25,22.85,320524
2020-12-11,PDMJEPAPER,22.55,23.5,22.3,22.65,123033
2020-12-14,PDMJEPAPER,23.0,23.0,22.15,22.2,68747
2020-12-15,PDMJEPAPER,22.3,22.45,21.8,22.2,67310
2020-12-16,PDMJEPAPER,22.65,22.65,21.55,21.65,88311
2020-12-17,PDMJEPAPER,21.5,24.0,21.35,23.25,416912
