Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,PENIND,18.85,18.9,18.25,18.5,185956,130014
2020-08-27,PENIND,18.55,20.15,18.2,19.1,1422404,598312
2020-08-28,PENIND,19.4,19.6,18.25,18.35,457706,316808
2020-08-31,PENIND,18.55,18.7,16.35,16.85,565539,356763
2020-09-01,PENIND,16.85,16.9,16.3,16.75,105370,62329
2020-09-02,PENIND,16.6,17.9,16.55,17.7,180822,128763
2020-09-03,PENIND,17.8,17.8,16.55,17.05,129423,75106
2020-09-04,PENIND,16.85,18.8,16.8,17.15,96679,54244
2020-09-07,PENIND,16.85,17.45,16.85,17.2,68015,44440
2020-09-08,PENIND,17.2,17.35,16.55,16.7,92932,71815
2020-09-09,PENIND,16.7,16.7,16.2,16.4,71570,40429
2020-09-10,PENIND,16.6,16.85,16.45,16.6,98725,70680
2020-09-11,PENIND,16.8,17.2,16.6,17.1,101902,64312
2020-09-14,PENIND,17.6,17.6,16.65,16.8,178545,123113
2020-09-15,PENIND,16.85,17.15,16.5,16.75,80542,53284
2020-09-16,PENIND,16.95,17.6,16.7,17.15,180856,111954
2020-09-17,PENIND,17.15,17.6,16.8,17.0,165874,96132
2020-09-18,PENIND,17.5,17.5,16.5,16.55,218283,149179
2020-09-21,PENIND,16.5,16.6,15.85,16.0,279320,176109
2020-09-22,PENIND,16.0,16.25,15.4,15.7,98850,60942
2020-09-23,PENIND,15.7,16.2,15.35,15.55,218468,52207
2020-09-24,PENIND,15.5,15.6,14.8,15.15,333145,174955
2020-09-25,PENIND,15.35,15.8,15.2,15.35,403932,45345
2020-09-28,PENIND,15.4,16.3,15.4,15.85,462594,219239
2020-09-29,PENIND,15.95,16.25,15.65,16.05,277049,53042
2020-09-30,PENIND,16.05,16.2,15.75,16.05,171408,46384
2020-10-01,PENIND,16.0,16.4,15.55,16.2,246835,62631
2020-10-05,PENIND,15.8,16.65,15.8,16.4,168030,71143
2020-10-06,PENIND,16.7,16.85,16.25,16.35,149981,26493
2020-10-07,PENIND,16.7,16.7,15.95,16.35,139704,95820
2020-10-08,PENIND,16.35,16.45,15.1,15.2,615484,541810
2020-10-09,PENIND,15.5,15.95,15.25,15.65,165755,87680
2020-10-12,PENIND,15.65,15.8,15.45,15.7,88064,47812
2020-10-13,PENIND,15.5,15.95,15.5,15.75,113438,38998
2020-10-14,PENIND,15.7,15.9,15.05,15.75,187239,128235
2020-10-15,PENIND,15.7,15.85,15.0,15.4,201350,75255
2020-10-16,PENIND,15.65,15.9,15.35,15.45,214967,46114
2020-10-19,PENIND,15.5,15.7,15.25,15.5,105341,76873
2020-10-20,PENIND,15.5,15.75,15.5,15.65,23726,18302
2020-10-21,PENIND,15.8,16.25,15.7,15.9,55990,35535
2020-10-22,PENIND,15.9,16.25,15.8,16.2,65073,45162
2020-10-23,PENIND,16.2,17.85,16.2,17.45,408748,333355
2020-10-26,PENIND,17.45,17.6,16.7,16.8,133439,59355
2020-10-27,PENIND,16.75,17.3,16.5,17.0,254663,40521
2020-10-28,PENIND,17.3,17.3,16.6,16.7,132544,36477
2020-10-29,PENIND,16.25,16.7,16.25,16.55,54325,30919
2020-10-30,PENIND,16.3,16.85,16.25,16.3,26999,21656
2020-11-02,PENIND,16.25,16.65,15.95,16.0,135006,102103
2020-11-03,PENIND,16.25,16.4,16.0,16.05,53875,19104
2020-11-04,PENIND,16.25,16.25,16.0,16.1,19410,13013
2020-11-05,PENIND,15.95,16.4,15.25,16.25,73622,49399
2020-11-06,PENIND,16.4,16.55,16.05,16.3,51340,36004
2020-11-09,PENIND,16.35,16.45,16.0,16.15,55116,41575
2020-11-10,PENIND,16.25,16.4,15.55,16.3,71877,47787
2020-11-11,PENIND,16.35,16.8,16.25,16.65,149945,125730
2020-11-12,PENIND,16.65,17.3,16.55,17.05,165568,114523
2020-11-13,PENIND,17.05,17.05,16.3,16.55,64505,34489
2020-11-14,PENIND,16.5,17.8,16.5,16.9,55495,43548
2020-11-17,PENIND,17.0,17.75,16.5,17.5,289227,227658
2020-11-18,PENIND,17.7,17.95,17.0,17.3,155579,105324
2020-11-19,PENIND,17.25,18.1,17.05,17.55,265480,172594
2020-11-20,PENIND,17.85,20.0,17.5,19.0,796481,358652
2020-11-23,PENIND,20.0,20.0,18.5,18.7,418218,241329
2020-11-24,PENIND,19.1,19.35,18.0,18.05,195397,126594
2020-11-25,PENIND,18.45,18.75,17.65,17.9,161083,90553
2020-11-26,PENIND,18.0,18.25,17.25,17.85,99031,68080
2020-11-27,PENIND,18.0,18.35,17.55,17.8,217953,172686
2020-12-01,PENIND,17.9,18.75,17.55,18.35,382690,255384
2020-12-02,PENIND,18.35,21.85,18.35,20.9,2109728,1125222
2020-12-03,PENIND,21.6,21.8,20.8,20.95,482739,300361
2020-12-04,PENIND,21.25,21.55,20.55,20.8,254035,156680
2020-12-07,PENIND,20.8,21.6,20.3,21.1,303260,216541
2020-12-08,PENIND,20.9,22.5,20.9,22.05,552851,396031
2020-12-09,PENIND,22.05,23.1,22.05,22.5,281406,196691
2020-12-10,PENIND,22.45,22.8,20.5,20.9,447342,283352
2020-12-11,PENIND,21.3,21.7,20.7,20.9,246703,145251
2020-12-14,PENIND,20.9,21.7,20.85,21.1,86817,63995
2020-12-15,PENIND,21.4,21.4,20.45,20.95,134665,96587
2020-12-16,PENIND,20.9,22.3,20.7,22.0,309500,227510
2020-12-17,PENIND,22.4,22.4,21.35,21.5,282947,190358
2020-12-18,PENIND,21.35,21.9,20.5,21.0,132327,78645
2020-12-21,PENIND,20.6,21.45,18.85,19.25,210553,146812
2020-12-22,PENIND,19.5,19.85,17.2,18.8,249339,144250
2020-12-23,PENIND,19.0,19.85,18.85,19.6,188477,144058
2020-12-24,PENIND,19.9,21.6,19.35,20.95,512528,272067
2020-12-28,PENIND,21.75,22.85,21.15,22.4,653972,457955
2020-12-29,PENIND,22.5,22.65,21.4,21.9,253361,164777
2020-12-30,PENIND,21.95,22.4,21.2,21.5,140941,84955
2020-12-31,PENIND,21.3,23.5,21.3,22.9,848302,605657
2021-01-01,PENIND,23.45,25.25,22.9,24.4,1347600,842340
2021-01-04,PENIND,24.45,25.4,23.6,24.7,711138,461289
2021-01-05,PENIND,24.7,24.7,23.3,23.75,471425,305999
2021-01-06,PENIND,23.8,24.3,23.15,23.85,543887,317726
2021-01-07,PENIND,24.65,25.2,23.85,24.05,658568,332848
2021-01-08,PENIND,24.5,24.7,23.6,23.9,390205,273170
2021-01-11,PENIND,24.8,24.9,23.7,23.95,420339,273007
2021-01-12,PENIND,24.4,27.0,24.1,24.55,1551316,842314
2021-01-13,PENIND,24.6,25.8,22.9,23.7,480478,274118
2021-01-14,PENIND,24.0,25.35,23.7,25.05,617415,462399
2021-01-15,PENIND,25.35,25.5,23.9,24.2,259951,207513
2021-01-18,PENIND,24.15,24.2,22.8,23.1,216576,165716
2021-01-19,PENIND,23.3,24.05,23.3,23.4,144208,98137
2021-01-20,PENIND,23.55,23.8,21.8,22.5,380728,273100
2021-01-21,PENIND,22.0,23.35,21.5,21.7,385949,260955
2021-01-22,PENIND,21.8,22.35,21.3,21.5,172193,111894
