Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,31.05,36.0,30.85,35.35,1617220,222973,13.78742533483385
2020-09-06,36.05,37.8,32.65,34.3,1316220,257609,19.571880080837552
2020-09-13,34.55,35.3,30.5,31.1,1203242,178983,14.875062539372793
2020-09-20,32.95,36.0,31.05,32.35,1217277,139361,11.448585654703079
2020-09-27,32.25,33.0,29.9,30.95,1276558,142243,11.142697785764533
2020-10-04,31.25,32.1,29.5,30.55,1041604,136339,13.089331454180284
2020-10-11,30.55,31.55,29.25,29.75,1285818,168812,13.128763168659951
2020-10-18,30.35,33.0,29.25,32.3,1308327,262552,20.067765933134453
2020-10-25,32.5,34.5,31.2,33.15,1312558,306422,23.34540645061018
2020-11-01,33.4,33.75,32.5,33.25,1256440,274155,21.819983445289868
2020-11-08,36.05,47.05,35.5,43.35,2139284,760294,35.53964784479293
2020-11-15,44.45,44.45,39.75,41.65,885766,243793,27.523409117080583
2020-11-22,43.5,45.5,42.6,43.85,1254962,444124,35.389438086571545
2020-11-29,43.65,49.05,43.2,46.95,1362601,436879,32.06213704525389
2020-12-06,47.0,53.65,45.45,49.85,977272,309937,31.71450732242405
2020-12-13,51.5,54.7,48.15,48.9,1107060,274499,24.795313713800514
2020-12-20,48.75,54.7,47.75,50.3,1063676,225196,21.17148454980652
2020-12-27,49.3,57.35,47.5,54.25,1215341,353599,29.09463269979372
2021-01-03,54.6,59.0,54.35,56.25,1226074,269703,21.997285645075255
2021-01-10,58.8,66.65,55.0,59.3,1228192,371150,30.219216539433575
2021-01-17,60.0,60.0,57.3,58.45,1085560,290920,26.7990714469951
2021-01-24,59.0,71.3,56.05,65.1,3593884,1131834,31.493337013659872
2021-01-31,66.05,66.05,60.0,62.25,861598,211578,24.556463687241614
2021-02-07,62.5,67.5,61.1,66.0,1047715,247865,23.657674081214832
2021-02-14,67.0,69.5,63.0,64.7,1106613,309410,27.960090835730288
2021-02-21,64.05,65.75,60.8,61.2,1025681,235781,22.987751552383244
2021-02-28,61.25,62.9,56.0,58.85,942365,188525,20.005518031760516
2021-03-07,59.5,72.2,53.05,71.45,1821332,657384,36.0935842559182
2021-03-14,72.4,76.75,69.25,71.4,1481719,673084,45.42588709465155
2021-03-21,72.7,74.0,62.8,67.85,883071,273839,31.009850850044902
2021-03-28,69.1,71.5,64.3,66.15,841290,223801,26.602122930261864
2021-04-04,67.0,68.95,65.15,67.8,582579,109421,18.7821737481097
2021-04-11,67.0,68.75,65.15,67.1,994802,171295,17.21900438479215
2021-04-18,65.0,68.95,63.5,66.4,812312,171001,21.051147834822086
2021-04-25,65.75,67.35,62.0,64.35,816114,142053,17.406024158389638
2021-05-02,65.25,67.0,63.05,64.15,1001849,184164,18.38241092220484
2021-05-09,63.0,68.5,63.0,65.05,1003240,191531,19.09124436824688
2021-05-16,65.3,76.0,64.2,69.4,992826,325187,32.753674863470536
2021-05-23,69.1,71.75,66.5,67.55,1256346,538092,42.82992105677895
2021-05-30,68.1,100.7,68.1,97.75,7568819,2911158,38.46251310805556
2021-06-06,98.0,112.45,96.35,106.65,4625681,2258661,48.82872381385573
2021-06-13,107.0,112.5,102.3,107.55,2555090,1409622,55.169172123095464
2021-06-20,106.85,135.45,103.65,130.9,6771443,2675333,39.50905294484499
2021-06-27,127.9,133.5,121.6,127.25,2619678,1359024,51.877520825078506
2021-07-04,127.25,145.0,124.25,137.75,3012598,1476161,48.999601008830254
2021-07-11,138.0,158.45,135.1,150.35,2271272,1204596,53.03618412942175
2021-07-18,153.95,154.8,146.2,148.75,1188198,595277,50.09914172553732
2021-07-25,153.0,163.1,148.0,159.15,1316460,797841,60.60503167585798
2021-08-01,164.7,198.95,162.45,195.15,4058561,2127276,52.41453805917911
2021-08-08,204.4,214.65,190.0,210.35,2393199,1384110,57.835140328907045
2021-08-15,212.5,214.4,173.0,193.35,1431455,967298,67.57446095057126
2021-08-22,195.95,195.95,162.75,162.75,840517,523057,62.23038915334252
2021-08-29,154.65,160.0,142.0,146.55,1926665,935787,48.57030153140271
2021-09-05,149.95,158.0,149.7,156.9,1177452,552409,46.91562798313647
2021-09-12,159.4,166.1,154.15,166.1,823035,336870,40.93021560443967
2021-09-19,168.0,169.05,153.0,153.0,988656,399294,40.38755644025829
2021-09-26,149.0,154.9,136.45,150.35,927640,335052,36.1187529645121
2021-10-03,153.9,158.95,143.0,155.75,876999,289209,32.97711855999836
2021-10-10,155.7,188.25,155.7,182.8,1361628,874332,64.21225180445761
2021-10-17,184.9,193.4,172.9,186.15,824345,515512,62.535952786757974
2021-10-24,188.0,188.0,165.0,167.35,769714,318747,41.41109554977563
2021-10-31,167.05,182.6,160.55,169.55,745273,236775,31.770237215087626
2021-11-07,172.95,185.1,167.85,185.1,559796,235732,42.11034019535688
2021-11-14,188.7,208.2,185.25,208.2,1648455,1066439,64.69324306699303
2021-11-21,216.0,217.8,194.8,204.3,932320,534125,57.2898790114982
2021-11-28,205.55,236.8,194.1,234.85,1112560,644069,57.89072050046739
2021-12-05,236.0,240.3,215.75,229.8,947382,512694,54.11692432408469
2021-12-12,236.0,244.4,220.0,243.95,1165336,518609,44.50295880329793
2021-12-19,254.0,265.65,226.15,227.25,1162226,625826,53.84718634757783
2021-12-26,219.0,233.95,208.0,215.6,761723,333572,43.79177207462555
2022-01-02,215.6,237.0,215.0,234.55,757994,224059,29.559468808460228
2022-01-09,235.05,258.55,235.05,239.95,552878,310919,56.23645722926215
