Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,PNBHOUSING,263.45,278.7,263.45,275.2,597729
2020-08-20,PNBHOUSING,275.0,284.35,271.0,281.6,438543
2020-08-21,PNBHOUSING,284.4,288.0,275.5,277.05,274662
2020-08-24,PNBHOUSING,278.65,280.2,265.25,267.7,292023
2020-08-25,PNBHOUSING,269.7,281.7,269.0,276.0,327948
2020-08-26,PNBHOUSING,280.4,285.15,278.4,282.85,288745
2020-08-27,PNBHOUSING,285.0,308.9,284.0,298.3,852563
2020-08-28,PNBHOUSING,301.1,309.5,299.0,302.2,415909
2020-08-31,PNBHOUSING,305.0,306.75,278.65,285.35,423108
2020-09-01,PNBHOUSING,282.25,293.05,275.0,279.25,229561
2020-09-02,PNBHOUSING,280.1,288.0,278.25,284.45,156755
2020-09-03,PNBHOUSING,285.85,292.7,282.2,288.7,111099
2020-09-04,PNBHOUSING,280.65,299.8,279.35,290.85,441701
2020-09-07,PNBHOUSING,290.0,306.3,290.0,300.05,577581
2020-09-08,PNBHOUSING,300.0,315.0,295.55,311.2,554442
2020-09-09,PNBHOUSING,307.3,314.95,301.45,312.4,381592
2020-09-10,PNBHOUSING,316.9,318.0,309.45,315.85,287717
2020-09-11,PNBHOUSING,314.6,319.3,309.6,316.25,129173
2020-09-14,PNBHOUSING,317.75,328.95,317.75,326.0,311315
2020-09-15,PNBHOUSING,327.0,331.0,312.45,323.5,186319
2020-09-16,PNBHOUSING,322.9,339.0,319.0,333.6,314720
2020-09-17,PNBHOUSING,330.0,335.0,327.0,332.0,152855
2020-09-18,PNBHOUSING,335.0,338.0,332.05,335.55,219379
2020-09-21,PNBHOUSING,335.0,337.1,306.15,314.35,803109
2020-09-22,PNBHOUSING,310.55,318.0,300.15,313.95,241522
2020-09-23,PNBHOUSING,316.95,332.45,310.0,326.2,419506
2020-09-24,PNBHOUSING,323.2,324.3,312.45,320.0,499123
2020-09-25,PNBHOUSING,320.0,333.3,320.0,328.65,143202
2020-09-28,PNBHOUSING,335.0,350.95,330.05,347.6,227464
2020-09-29,PNBHOUSING,350.0,350.35,335.1,338.8,85883
2020-09-30,PNBHOUSING,338.8,343.4,332.65,338.15,339607
2020-10-01,PNBHOUSING,341.8,346.0,332.0,335.55,62899
2020-10-05,PNBHOUSING,335.5,341.95,333.45,339.55,79853
2020-10-06,PNBHOUSING,340.4,352.5,336.85,349.85,244397
2020-10-07,PNBHOUSING,350.9,353.0,342.05,348.6,176726
2020-10-08,PNBHOUSING,350.7,356.2,349.0,354.3,171484
2020-10-09,PNBHOUSING,352.0,378.5,351.9,374.95,298337
2020-10-12,PNBHOUSING,377.5,378.55,356.55,369.25,161736
2020-10-13,PNBHOUSING,367.5,367.85,361.4,364.2,134726
2020-10-14,PNBHOUSING,361.9,370.25,352.5,367.95,105601
2020-10-15,PNBHOUSING,364.7,371.5,360.2,363.4,149754
2020-10-16,PNBHOUSING,358.5,365.95,358.05,360.15,89862
2020-10-19,PNBHOUSING,364.0,367.15,362.25,363.9,42530
2020-10-20,PNBHOUSING,362.9,375.0,359.5,369.15,78386
2020-10-21,PNBHOUSING,370.7,380.5,362.8,369.15,102901
2020-10-22,PNBHOUSING,364.9,369.9,354.0,356.65,115769
2020-10-23,PNBHOUSING,358.25,364.2,357.05,360.45,42640
2020-10-26,PNBHOUSING,361.7,361.7,344.85,346.7,67596
2020-10-27,PNBHOUSING,347.0,356.5,338.05,352.4,59611
2020-10-28,PNBHOUSING,352.55,354.0,346.1,351.0,76332
2020-10-29,PNBHOUSING,342.2,347.6,338.0,345.05,111805
2020-10-30,PNBHOUSING,345.0,360.0,343.05,352.8,57114
2020-11-02,PNBHOUSING,342.5,366.5,342.5,355.05,122859
2020-11-03,PNBHOUSING,361.0,364.15,357.0,363.05,135445
2020-11-04,PNBHOUSING,361.2,367.4,361.2,365.6,103896
2020-11-05,PNBHOUSING,364.0,372.8,364.0,371.2,110726
2020-11-06,PNBHOUSING,373.0,373.8,368.15,369.9,69243
2020-11-09,PNBHOUSING,367.05,374.1,367.05,372.3,60311
2020-11-10,PNBHOUSING,373.0,387.8,370.0,380.15,141824
2020-11-11,PNBHOUSING,376.8,384.5,370.85,375.45,67497
2020-11-12,PNBHOUSING,375.45,386.9,370.85,382.6,52865
2020-11-13,PNBHOUSING,382.8,393.45,380.0,385.6,72640
2020-11-14,PNBHOUSING,386.0,391.0,385.55,389.9,37441
2020-11-17,PNBHOUSING,391.0,395.3,388.0,389.55,67958
2020-11-18,PNBHOUSING,385.55,391.0,381.35,384.5,55048
2020-11-19,PNBHOUSING,385.0,393.5,374.0,377.1,72911
2020-11-20,PNBHOUSING,381.0,385.4,372.0,383.0,275454
2020-11-23,PNBHOUSING,388.0,388.0,375.0,378.15,99712
2020-11-24,PNBHOUSING,378.15,383.85,375.0,376.6,62608
2020-11-25,PNBHOUSING,376.6,382.05,366.95,371.4,72899
2020-11-26,PNBHOUSING,371.0,384.3,367.3,380.1,95924
2020-11-27,PNBHOUSING,380.0,383.9,374.05,378.45,121248
2020-12-01,PNBHOUSING,380.0,381.85,375.9,376.65,66901
2020-12-02,PNBHOUSING,378.55,381.7,370.0,375.45,65574
2020-12-03,PNBHOUSING,376.0,389.85,355.0,381.5,263842
2020-12-04,PNBHOUSING,384.75,384.75,373.5,378.2,108228
2020-12-07,PNBHOUSING,379.0,381.0,376.9,378.55,86165
2020-12-08,PNBHOUSING,378.55,385.95,369.0,378.8,109004
2020-12-09,PNBHOUSING,380.95,384.0,376.0,377.55,72245
2020-12-10,PNBHOUSING,377.0,379.25,372.05,375.45,39948
2020-12-11,PNBHOUSING,375.45,382.0,371.5,378.05,57236
2020-12-14,PNBHOUSING,380.95,380.95,373.0,374.8,44756
