Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,PRAKASH,47.65,48.9,47.15,47.85,410688,244705
2020-08-27,PRAKASH,47.85,48.3,47.0,47.2,514547,382826
2020-08-28,PRAKASH,47.55,47.75,46.2,47.1,505640,339274
2020-08-31,PRAKASH,47.45,48.5,43.5,45.3,885677,611377
2020-09-01,PRAKASH,43.0,46.0,43.0,45.4,563652,309228
2020-09-02,PRAKASH,45.5,46.85,45.5,46.55,221328,148570
2020-09-03,PRAKASH,46.5,48.1,46.3,47.65,380991,219547
2020-09-04,PRAKASH,46.8,47.3,45.35,46.9,524580,321868
2020-09-07,PRAKASH,47.05,47.3,45.8,46.3,277027,181759
2020-09-08,PRAKASH,46.55,46.65,44.15,45.1,519506,333677
2020-09-09,PRAKASH,44.85,44.85,42.15,44.25,756499,432462
2020-09-10,PRAKASH,44.55,45.9,43.6,44.0,393291,194388
2020-09-11,PRAKASH,44.0,44.55,42.9,43.95,401588,160372
2020-09-14,PRAKASH,44.3,45.25,43.15,43.6,279965,178403
2020-09-15,PRAKASH,43.8,44.3,43.15,43.25,219615,129719
2020-09-16,PRAKASH,43.4,44.9,43.4,44.0,337687,212275
2020-09-17,PRAKASH,43.55,44.6,43.5,44.0,142673,79499
2020-09-18,PRAKASH,44.2,44.5,42.2,42.5,372382,246411
2020-09-21,PRAKASH,42.2,42.5,39.5,40.0,283644,205979
2020-09-22,PRAKASH,39.9,39.9,36.65,38.65,356172,235385
2020-09-23,PRAKASH,38.9,40.75,37.25,38.25,293901,181589
2020-09-24,PRAKASH,37.6,38.0,35.9,36.8,322229,231899
2020-09-25,PRAKASH,37.0,38.6,36.15,37.9,323828,188510
2020-09-28,PRAKASH,38.1,43.0,38.1,39.75,296751,150767
2020-09-29,PRAKASH,40.0,41.4,39.4,39.75,235017,134113
2020-09-30,PRAKASH,39.75,40.0,39.05,39.55,136689,78796
2020-10-01,PRAKASH,39.7,40.4,39.4,39.9,191065,147982
2020-10-05,PRAKASH,40.0,40.65,38.55,39.0,226616,135473
2020-10-06,PRAKASH,39.3,40.4,39.2,39.55,140783,88197
2020-10-07,PRAKASH,40.35,40.4,39.3,40.05,154204,102388
2020-10-08,PRAKASH,39.65,40.45,38.85,39.2,155419,118974
2020-10-09,PRAKASH,39.2,39.85,39.1,39.25,114672,75942
2020-10-12,PRAKASH,39.4,39.9,38.3,38.55,178226,113363
2020-10-13,PRAKASH,38.55,40.0,38.35,39.6,239596,141108
2020-10-14,PRAKASH,39.3,45.0,38.6,44.55,1325547,757870
2020-10-15,PRAKASH,44.45,47.0,42.2,42.6,1283676,567031
2020-10-16,PRAKASH,43.25,46.0,43.25,44.65,879610,426664
2020-10-19,PRAKASH,44.65,47.1,44.65,46.95,867274,573841
2020-10-20,PRAKASH,46.95,47.9,46.4,46.65,397415,258030
2020-10-21,PRAKASH,46.2,47.2,44.1,44.55,465969,321054
2020-10-22,PRAKASH,44.8,47.4,43.65,47.0,549953,368553
2020-10-23,PRAKASH,47.0,47.7,45.5,46.0,338325,183202
2020-10-26,PRAKASH,46.0,46.4,43.75,44.0,333802,243273
2020-10-27,PRAKASH,43.65,45.1,42.75,44.6,380055,148087
2020-10-28,PRAKASH,44.6,45.4,43.7,44.15,181133,80384
2020-10-29,PRAKASH,43.8,44.5,43.05,43.85,270082,143741
2020-10-30,PRAKASH,43.9,44.35,43.65,43.75,107004,71187
2020-11-02,PRAKASH,44.4,44.4,43.0,43.15,136437,93057
2020-11-03,PRAKASH,43.0,44.0,42.75,42.85,143398,89679
2020-11-04,PRAKASH,42.9,43.3,42.4,42.75,126068,64481
2020-11-05,PRAKASH,43.15,46.3,42.9,46.0,820690,497013
2020-11-06,PRAKASH,46.0,47.3,44.85,45.15,598994,296753
2020-11-09,PRAKASH,45.5,47.7,45.45,46.25,491952,239345
2020-11-10,PRAKASH,46.6,46.6,40.15,41.2,1182364,665023
2020-11-11,PRAKASH,41.45,42.7,41.45,41.8,477022,242892
2020-11-12,PRAKASH,41.8,42.55,40.05,40.8,899715,422303
2020-11-13,PRAKASH,41.0,45.45,41.0,42.95,3572737,1419783
2020-11-14,PRAKASH,43.15,43.9,43.15,43.65,264165,171631
2020-11-17,PRAKASH,43.9,44.35,42.85,43.15,1060517,717653
2020-11-18,PRAKASH,43.0,44.0,42.65,43.85,538289,318012
2020-11-19,PRAKASH,43.5,44.35,43.15,43.5,568315,337963
2020-11-20,PRAKASH,43.5,44.4,43.4,44.05,574152,347223
2020-11-23,PRAKASH,44.4,44.65,43.25,43.45,514118,326894
2020-11-24,PRAKASH,43.9,44.1,43.2,43.55,375348,250021
2020-11-25,PRAKASH,43.5,45.4,43.5,44.15,926606,473818
2020-11-26,PRAKASH,44.1,46.2,43.95,45.8,1144346,675875
2020-11-27,PRAKASH,46.0,47.45,45.85,46.05,1208841,755056
2020-12-01,PRAKASH,46.4,48.4,46.05,47.8,979967,669811
2020-12-02,PRAKASH,47.95,52.55,47.25,51.25,2826434,1368627
2020-12-03,PRAKASH,52.8,55.7,52.5,54.0,2839555,1818165
2020-12-04,PRAKASH,54.9,55.4,51.8,53.3,1168178,622771
2020-12-07,PRAKASH,54.0,56.2,53.65,54.95,1569486,989407
2020-12-08,PRAKASH,55.45,57.3,54.1,55.55,2008453,1255052
2020-12-09,PRAKASH,56.0,58.65,55.85,57.7,1708746,1009193
2020-12-10,PRAKASH,57.1,58.15,54.65,56.05,734147,341846
2020-12-11,PRAKASH,57.0,57.95,55.5,56.05,719133,379786
2020-12-14,PRAKASH,57.7,58.4,55.25,55.5,698710,410439
2020-12-15,PRAKASH,55.2,55.6,54.35,54.75,656930,341855
2020-12-16,PRAKASH,55.5,56.4,54.55,55.3,620935,369368
2020-12-17,PRAKASH,55.5,56.1,54.1,54.2,429569,278471
2020-12-18,PRAKASH,54.05,54.4,50.35,51.95,761554,470156
2020-12-21,PRAKASH,52.0,53.85,47.0,47.95,815435,489775
