Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,PSB,13.35,13.4,13.25,13.3,358934,285338
2020-08-27,PSB,13.35,13.45,13.2,13.2,606295,402722
2020-08-28,PSB,13.35,13.45,13.1,13.2,1786961,1002872
2020-08-31,PSB,13.45,13.5,12.8,12.95,1123781,665313
2020-09-01,PSB,12.9,12.95,12.7,12.8,409576,252784
2020-09-02,PSB,12.8,12.8,12.55,12.6,462800,310060
2020-09-03,PSB,12.6,12.7,12.15,12.25,1172517,776604
2020-09-04,PSB,12.15,12.3,12.05,12.15,668205,423614
2020-09-07,PSB,12.15,12.4,12.1,12.15,539618,282518
2020-09-08,PSB,12.1,13.25,12.05,12.25,585993,322704
2020-09-09,PSB,12.4,12.55,11.85,12.0,475961,202501
2020-09-10,PSB,12.0,12.35,12.0,12.15,358139,141798
2020-09-11,PSB,12.1,12.4,11.9,12.2,156202,96789
2020-09-14,PSB,12.15,12.3,12.15,12.2,308749,201423
2020-09-15,PSB,12.2,12.45,12.2,12.25,176497,105973
2020-09-16,PSB,12.2,12.35,12.1,12.15,165685,102609
2020-09-17,PSB,12.15,12.2,12.05,12.1,109041,66754
2020-09-18,PSB,12.2,12.2,11.95,11.95,190958,135542
2020-09-21,PSB,11.95,12.05,11.55,11.65,239736,162874
2020-09-22,PSB,11.8,11.8,11.1,11.25,231424,138157
2020-09-23,PSB,11.35,11.45,11.05,11.15,144840,98511
2020-09-24,PSB,11.05,11.25,10.8,10.9,212981,111695
2020-09-25,PSB,11.05,11.1,10.9,11.1,197504,84186
2020-09-28,PSB,11.1,11.35,11.05,11.25,245816,113715
2020-09-29,PSB,11.25,11.35,11.0,11.05,136713,80793
2020-09-30,PSB,11.15,11.25,11.0,11.1,92206,55128
2020-10-01,PSB,11.25,11.3,11.1,11.1,93468,65837
2020-10-05,PSB,11.15,11.2,10.95,11.05,206412,120421
2020-10-06,PSB,11.05,11.15,10.9,10.95,157100,93165
2020-10-07,PSB,11.0,11.15,10.8,10.85,193472,113452
2020-10-08,PSB,10.85,11.0,10.6,10.65,301636,174560
2020-10-09,PSB,10.7,10.9,10.6,10.75,184768,108541
2020-10-12,PSB,11.0,11.2,10.8,10.9,225470,144389
2020-10-13,PSB,10.75,10.85,10.55,10.7,161879,84453
2020-10-14,PSB,10.6,10.9,10.55,10.8,101955,61173
2020-10-15,PSB,11.05,11.05,10.6,10.7,212928,179150
2020-10-16,PSB,10.7,10.85,10.3,10.5,165553,113280
2020-10-19,PSB,10.5,11.1,10.45,10.95,413042,183098
2020-10-20,PSB,10.95,11.5,10.65,11.2,456589,249627
2020-10-21,PSB,11.35,11.35,10.85,10.95,250730,161465
2020-10-22,PSB,11.0,11.0,10.75,10.75,235111,129835
2020-10-23,PSB,10.95,10.95,10.7,10.9,193943,108100
2020-10-26,PSB,11.0,11.0,10.8,10.85,214104,114421
2020-10-27,PSB,10.75,10.95,10.7,10.75,87161,58078
2020-10-28,PSB,10.7,10.75,10.55,10.7,77278,45089
2020-10-29,PSB,10.7,10.7,10.55,10.6,72293,39852
2020-10-30,PSB,10.6,10.85,10.4,10.65,187562,87096
2020-11-02,PSB,10.7,10.75,10.55,10.6,175939,94523
2020-11-03,PSB,10.75,10.75,10.5,10.55,113827,59076
2020-11-04,PSB,10.5,10.6,10.5,10.6,76139,44269
2020-11-05,PSB,10.85,10.85,10.55,10.55,186625,105262
2020-11-06,PSB,10.8,10.8,10.55,10.7,205381,132516
2020-11-09,PSB,10.65,11.1,10.65,10.85,258459,185875
2020-11-10,PSB,10.95,11.75,10.85,11.3,676280,370058
2020-11-11,PSB,11.65,12.3,11.55,11.7,850464,395244
2020-11-12,PSB,11.9,11.9,11.2,11.6,368155,224185
2020-11-13,PSB,11.25,11.45,11.15,11.35,350507,154051
2020-11-14,PSB,11.7,11.7,11.15,11.4,101607,73413
2020-11-17,PSB,11.5,11.55,11.25,11.3,178044,124783
2020-11-18,PSB,11.2,11.6,11.2,11.35,462088,261023
2020-11-19,PSB,11.3,11.5,11.2,11.25,351635,202694
2020-11-20,PSB,11.4,11.6,11.25,11.4,336153,157032
2020-11-23,PSB,11.95,13.0,11.4,12.5,4173410,1326585
2020-11-24,PSB,12.65,12.95,12.3,12.4,1783979,390872
2020-11-25,PSB,12.55,13.7,12.3,13.15,5570579,1794364
2020-11-26,PSB,13.3,13.55,13.0,13.15,791075,396431
2020-11-27,PSB,13.25,14.25,12.85,13.9,2999669,1379437
2020-12-01,PSB,13.95,14.25,13.8,13.9,871316,590267
2020-12-02,PSB,13.75,13.85,13.3,13.45,605364,383850
2020-12-03,PSB,13.65,13.95,13.45,13.75,951202,534188
2020-12-04,PSB,13.9,14.2,13.8,13.95,1287249,688473
2020-12-07,PSB,14.0,14.3,13.7,14.1,1339349,940759
2020-12-08,PSB,14.25,15.45,13.9,15.25,3242601,1661355
2020-12-09,PSB,15.5,15.8,14.8,14.95,1795253,1150486
2020-12-10,PSB,14.95,14.95,14.15,14.25,1028755,540446
2020-12-11,PSB,14.35,14.7,14.25,14.3,690315,444697
2020-12-14,PSB,14.9,14.9,14.3,14.35,691544,406339
2020-12-15,PSB,14.5,14.5,14.0,14.2,505134,336418
2020-12-16,PSB,14.2,14.4,14.0,14.15,618047,356719
2020-12-17,PSB,13.95,14.3,13.35,13.65,759323,465331
2020-12-18,PSB,13.45,13.65,12.8,13.35,477688,274059
2020-12-21,PSB,13.3,13.45,12.5,12.6,572781,385499
2020-12-22,PSB,12.25,13.05,12.0,12.8,639943,309567
2020-12-23,PSB,12.95,13.55,12.8,13.15,623608,293894
2020-12-24,PSB,13.45,13.45,13.15,13.25,200663,125540
2020-12-28,PSB,13.3,13.65,13.25,13.55,291903,150476
2020-12-29,PSB,13.6,13.75,13.3,13.4,279032,177116
2020-12-30,PSB,13.3,13.5,13.05,13.1,390445,162360
2020-12-31,PSB,13.4,13.45,13.0,13.3,335936,172613
2021-01-01,PSB,13.4,13.6,13.15,13.45,494342,289722
2021-01-04,PSB,13.75,13.75,13.4,13.5,372503,262681
2021-01-05,PSB,13.7,13.7,13.3,13.45,310592,195415
2021-01-06,PSB,13.45,13.55,13.25,13.3,418018,233320
2021-01-07,PSB,13.5,13.5,13.3,13.35,272707,176257
2021-01-08,PSB,13.5,13.95,13.3,13.85,1448923,799492
2021-01-11,PSB,13.95,14.05,13.45,13.5,464870,335716
2021-01-12,PSB,13.4,14.1,13.15,13.95,854222,461394
2021-01-13,PSB,14.0,14.1,13.55,13.85,629329,368329
2021-01-14,PSB,13.9,13.95,13.65,13.7,286192,185336
2021-01-15,PSB,13.7,13.85,13.3,13.35,477529,278724
2021-01-18,PSB,13.25,13.6,13.15,13.2,363772,210430
2021-01-19,PSB,13.2,13.6,13.2,13.4,373556,142460
2021-01-20,PSB,13.5,13.8,13.3,13.7,670595,326449
2021-01-21,PSB,13.8,13.85,13.4,13.45,342581,256463
2021-01-22,PSB,13.45,13.45,13.15,13.2,243789,175258
2021-01-25,PSB,13.3,13.45,12.85,12.95,198549,126785
2021-01-27,PSB,13.1,13.1,12.75,12.95,149915,105446
2021-01-28,PSB,13.0,13.3,12.7,13.05,335362,178534
2021-01-29,PSB,13.2,13.35,13.05,13.2,409852,213460
2021-02-01,PSB,13.3,14.0,13.25,13.65,1258865,518311
2021-02-02,PSB,13.9,14.0,13.45,13.75,742259,367119
2021-02-03,PSB,13.75,14.0,13.55,13.9,718720,428691
