Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,RAJESHEXPO,619.0,627.9,602.5,609.4,243580,117906
2021-08-24,RAJESHEXPO,609.0,609.55,590.7,594.45,482445,239319
2021-08-25,RAJESHEXPO,594.95,597.65,586.0,593.65,277461,130064
2021-08-26,RAJESHEXPO,594.8,599.55,586.5,592.85,232616,142835
2021-08-27,RAJESHEXPO,592.5,592.55,588.5,589.45,108161,57222
2021-08-30,RAJESHEXPO,590.05,592.9,581.05,583.7,152536,98722
2021-08-31,RAJESHEXPO,583.7,589.0,575.65,586.15,218644,128111
2021-09-01,RAJESHEXPO,589.45,591.85,578.1,583.8,91720,41049
2021-09-02,RAJESHEXPO,584.75,586.35,576.45,578.25,55874,25455
2021-09-03,RAJESHEXPO,581.0,585.3,579.35,582.55,55910,28814
2021-09-06,RAJESHEXPO,583.7,599.7,583.0,597.0,71045,29492
2021-09-07,RAJESHEXPO,600.95,613.45,593.4,609.7,131605,35221
2021-09-08,RAJESHEXPO,613.0,620.0,604.0,611.1,140052,59643
2021-09-09,RAJESHEXPO,613.5,616.0,605.1,611.9,82836,33741
2021-09-13,RAJESHEXPO,612.45,613.95,603.8,606.7,90395,39503
2021-09-14,RAJESHEXPO,609.95,609.95,603.6,606.9,65660,37652
2021-09-15,RAJESHEXPO,607.15,617.0,605.0,613.3,85754,47481
2021-09-16,RAJESHEXPO,616.3,619.0,605.0,613.75,66158,36309
2021-09-17,RAJESHEXPO,617.0,634.0,577.0,581.65,907118,416981
2021-09-20,RAJESHEXPO,578.0,582.9,565.2,580.4,173154,55438
2021-09-21,RAJESHEXPO,582.0,590.0,575.0,580.2,137846,73631
2021-09-22,RAJESHEXPO,581.95,584.0,577.0,579.95,547157,257198
2021-09-23,RAJESHEXPO,585.0,585.25,576.15,579.2,1086000,432897
2021-09-24,RAJESHEXPO,582.1,594.7,582.1,590.05,353070,115004
2021-09-27,RAJESHEXPO,595.0,599.7,590.0,595.3,353449,137936
2021-09-28,RAJESHEXPO,593.7,598.15,588.0,591.35,139906,80096
2021-09-29,RAJESHEXPO,591.0,591.3,586.0,586.6,83625,46300
2021-09-30,RAJESHEXPO,583.6,591.7,583.6,587.0,97006,49610
2021-10-01,RAJESHEXPO,588.0,593.0,585.0,586.05,140230,105870
2021-10-04,RAJESHEXPO,588.3,606.0,587.2,599.85,102575,65105
2021-10-05,RAJESHEXPO,602.85,611.0,597.0,607.65,168267,75560
2021-10-06,RAJESHEXPO,612.9,618.6,605.0,610.0,171250,87549
2021-10-07,RAJESHEXPO,613.85,620.0,610.95,615.85,107093,50101
2021-10-08,RAJESHEXPO,619.9,624.7,610.15,617.0,121289,71029
2021-10-11,RAJESHEXPO,619.6,620.6,602.1,608.05,134631,39552
2021-10-12,RAJESHEXPO,605.0,607.45,603.1,606.3,32637,17590
2021-10-13,RAJESHEXPO,608.4,645.5,607.45,637.3,255879,107173
2021-10-14,RAJESHEXPO,653.6,669.7,642.0,646.6,263702,80500
2021-10-18,RAJESHEXPO,646.9,650.65,626.4,635.2,238866,148513
2021-10-19,RAJESHEXPO,637.95,642.85,619.7,631.65,167402,50301
2021-10-20,RAJESHEXPO,635.0,648.65,633.0,634.7,245846,116431
2021-10-21,RAJESHEXPO,637.95,640.3,630.3,634.4,210671,113178
2021-10-22,RAJESHEXPO,637.35,639.9,635.0,635.5,177442,102030
2021-10-25,RAJESHEXPO,637.4,653.05,636.0,636.4,191837,115589
2021-10-26,RAJESHEXPO,638.5,644.05,636.0,638.35,118648,42172
2021-10-27,RAJESHEXPO,638.0,644.2,636.0,636.7,378118,151232
2021-10-28,RAJESHEXPO,638.7,640.55,631.25,636.75,197845,111571
2021-10-29,RAJESHEXPO,635.0,643.4,632.5,638.25,333330,148828
2021-11-01,RAJESHEXPO,640.15,647.55,637.05,638.7,463450,220345
2021-11-02,RAJESHEXPO,641.1,643.15,637.5,640.65,210086,132345
2021-11-03,RAJESHEXPO,640.65,644.2,637.55,640.25,212383,106417
2021-11-04,RAJESHEXPO,643.95,644.65,638.0,638.3,15640,10029
2021-11-08,RAJESHEXPO,638.0,648.3,637.45,640.9,816111,533832
2021-11-09,RAJESHEXPO,643.0,644.75,639.05,641.0,223422,122588
2021-11-10,RAJESHEXPO,640.9,655.4,639.55,642.1,943017,329459
2021-11-11,RAJESHEXPO,642.5,649.55,637.0,640.45,628874,363087
2021-11-12,RAJESHEXPO,643.65,649.0,642.05,646.95,236763,51802
2021-11-15,RAJESHEXPO,652.25,684.7,640.0,668.85,1007116,615243
2021-11-16,RAJESHEXPO,670.0,741.75,660.65,686.85,1524572,236011
2021-11-17,RAJESHEXPO,688.0,750.0,686.85,741.25,1161181,203779
2021-11-18,RAJESHEXPO,736.0,736.0,708.2,719.3,426123,105876
2021-11-22,RAJESHEXPO,725.5,737.9,697.65,713.9,269057,79438
2021-11-23,RAJESHEXPO,711.8,742.5,701.0,727.4,215087,54733
2021-11-24,RAJESHEXPO,734.6,784.85,725.0,739.25,1089279,623129
2021-11-25,RAJESHEXPO,724.0,730.55,712.55,716.2,140927,42767
2021-11-26,RAJESHEXPO,713.0,724.4,705.0,705.4,134013,29688
2021-11-29,RAJESHEXPO,691.5,718.45,691.0,707.35,1264240,571077
2021-11-30,RAJESHEXPO,710.9,792.8,710.9,765.4,1317508,213825
2021-12-01,RAJESHEXPO,765.4,798.0,744.7,759.35,695788,85943
2021-12-02,RAJESHEXPO,764.35,795.0,754.5,780.3,500136,86351
2021-12-03,RAJESHEXPO,779.0,789.0,746.0,747.05,459262,126262
2021-12-06,RAJESHEXPO,751.8,765.0,739.25,757.45,814892,557989
2021-12-07,RAJESHEXPO,755.1,774.45,748.75,755.55,423598,171245
2021-12-08,RAJESHEXPO,755.0,767.0,748.6,753.25,174680,35941
2021-12-09,RAJESHEXPO,756.7,770.0,751.15,765.85,197296,54570
2021-12-10,RAJESHEXPO,762.95,765.65,752.0,756.5,119785,38853
2021-12-13,RAJESHEXPO,757.0,760.3,743.7,749.3,1021201,600237
2021-12-14,RAJESHEXPO,746.8,754.9,737.5,752.65,129267,37541
2021-12-15,RAJESHEXPO,750.35,760.05,750.35,755.55,311032,124831
2021-12-16,RAJESHEXPO,758.9,776.45,752.05,758.35,307374,118695
2021-12-17,RAJESHEXPO,759.9,763.85,736.0,744.2,409997,170595
2021-12-20,RAJESHEXPO,741.6,754.9,732.5,741.45,878310,539340
2021-12-21,RAJESHEXPO,748.15,756.9,738.1,746.3,439428,129878
2021-12-22,RAJESHEXPO,742.5,752.5,741.8,745.85,274638,115861
2021-12-23,RAJESHEXPO,747.9,763.5,738.1,748.5,376764,138921
2021-12-24,RAJESHEXPO,750.4,750.4,741.5,745.45,383629,183647
2021-12-27,RAJESHEXPO,746.85,748.9,740.75,744.6,682639,515242
2021-12-28,RAJESHEXPO,747.0,756.95,745.0,748.6,293921,132483
2021-12-29,RAJESHEXPO,748.9,759.45,745.1,748.4,267166,128003
2021-12-30,RAJESHEXPO,749.0,753.25,730.05,734.1,55296,22956
2021-12-31,RAJESHEXPO,736.5,745.0,735.0,737.45,42842,13863
2022-01-03,RAJESHEXPO,739.9,867.0,739.9,852.55,2423953,265343
2022-01-04,RAJESHEXPO,843.0,854.0,796.85,808.6,766918,118999
2022-01-05,RAJESHEXPO,812.2,818.1,798.0,808.25,303288,38988
2022-01-06,RAJESHEXPO,803.95,849.0,787.7,832.5,460922,66686
2022-01-07,RAJESHEXPO,841.0,865.0,812.0,822.05,623464,169111
2022-01-10,RAJESHEXPO,824.85,836.0,813.15,819.75,250214,70900
2022-01-11,RAJESHEXPO,817.5,839.2,813.0,832.75,371212,39638
2022-01-12,RAJESHEXPO,836.0,865.95,830.4,856.95,394050,56240
2022-01-13,RAJESHEXPO,864.4,865.0,834.3,840.0,229937,32480
2022-01-14,RAJESHEXPO,842.0,855.0,840.0,850.35,153180,24726
2022-01-17,RAJESHEXPO,849.25,994.7,845.05,950.95,3006769,210208
2022-01-18,RAJESHEXPO,939.0,948.65,908.0,916.35,457590,65274
2022-01-19,RAJESHEXPO,919.6,959.0,904.45,925.75,512628,54480
2022-01-20,RAJESHEXPO,929.75,940.2,880.5,885.75,253683,61420
2022-01-21,RAJESHEXPO,885.0,898.9,835.6,844.35,272981,53815
2022-01-24,RAJESHEXPO,844.4,853.6,806.0,821.7,160271,37923
2022-01-25,RAJESHEXPO,822.45,869.95,804.6,844.4,189581,46385
2022-01-27,RAJESHEXPO,831.7,839.0,793.5,800.6,170639,62426
2022-01-28,RAJESHEXPO,811.9,855.5,782.5,799.55,280329,60964
2022-01-31,RAJESHEXPO,807.7,852.95,805.0,842.6,256302,83200
2022-02-01,RAJESHEXPO,842.95,852.95,822.5,826.65,142057,31834
2022-02-02,RAJESHEXPO,834.45,842.0,827.3,832.85,72170,13927
2022-02-03,RAJESHEXPO,835.85,838.2,815.0,816.15,68831,25897
2022-02-04,RAJESHEXPO,821.0,828.35,807.5,810.05,67888,23955
2022-02-07,RAJESHEXPO,810.75,821.15,795.0,800.15,66423,22679
2022-02-08,RAJESHEXPO,803.0,838.95,792.55,833.2,264757,62480
2022-02-09,RAJESHEXPO,837.0,882.95,828.0,864.05,163923,57602
2022-02-10,RAJESHEXPO,864.1,876.0,849.05,868.25,84971,21970
2022-02-11,RAJESHEXPO,875.45,909.45,863.0,884.3,331246,66707
2022-02-14,RAJESHEXPO,879.9,884.0,815.0,819.3,110516,46508
2022-02-15,RAJESHEXPO,835.0,838.05,787.5,820.6,124663,27511
2022-02-16,RAJESHEXPO,834.4,839.25,811.5,818.6,114180,23119
2022-02-17,RAJESHEXPO,822.7,832.0,811.7,824.5,161871,36977
2022-02-18,RAJESHEXPO,828.5,828.5,811.0,811.5,46147,17592
2022-02-21,RAJESHEXPO,816.35,817.4,785.5,788.9,75533,17350
2022-02-22,RAJESHEXPO,780.0,828.0,770.15,816.25,312857,57057
2022-02-23,RAJESHEXPO,819.0,828.0,780.0,783.45,112731,30930
2022-02-24,RAJESHEXPO,775.0,775.0,720.0,721.75,180748,62269
2022-02-25,RAJESHEXPO,725.0,737.05,695.5,702.0,363389,121246
2022-02-28,RAJESHEXPO,688.0,713.6,677.5,701.8,225741,89408
2022-03-02,RAJESHEXPO,704.9,707.7,680.0,683.95,93825,34941
2022-03-03,RAJESHEXPO,693.0,721.9,687.05,707.85,253018,62774
2022-03-04,RAJESHEXPO,707.5,744.95,696.0,723.75,272431,61055
2022-03-07,RAJESHEXPO,710.95,714.9,688.0,699.9,73628,22567
2022-03-08,RAJESHEXPO,703.0,713.0,693.0,695.65,87368,23266
