Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,RAJSREESUG,25.85,25.85,23.55,23.55,21160,13710
2021-08-24,RAJSREESUG,24.0,24.65,22.4,24.35,31930,18650
2021-08-25,RAJSREESUG,24.45,25.55,23.7,25.4,35065,20613
2021-08-26,RAJSREESUG,26.4,26.6,25.2,26.2,20549,10932
2021-08-27,RAJSREESUG,26.75,26.75,25.45,25.75,5732,4008
2021-08-30,RAJSREESUG,26.3,26.3,25.0,25.15,15395,10069
2021-08-31,RAJSREESUG,24.4,26.4,24.4,25.4,25184,12750
2021-09-01,RAJSREESUG,25.8,26.4,25.3,26.1,26179,20267
2021-09-02,RAJSREESUG,26.3,27.0,25.65,26.6,16760,12748
2021-09-03,RAJSREESUG,26.0,27.9,25.95,27.9,57541,37487
2021-09-06,RAJSREESUG,29.25,29.25,29.05,29.25,30844,22853
2021-09-07,RAJSREESUG,30.6,30.6,28.0,28.15,55727,35579
2021-09-08,RAJSREESUG,28.0,28.55,27.15,27.7,17466,11052
2021-09-09,RAJSREESUG,27.7,27.75,26.35,26.95,25291,15292
2021-09-13,RAJSREESUG,26.95,27.2,26.1,26.95,13750,9282
2021-09-14,RAJSREESUG,27.7,28.2,26.55,27.45,36975,22565
2021-09-15,RAJSREESUG,28.7,28.7,27.6,27.85,18174,13797
2021-09-16,RAJSREESUG,27.6,29.2,26.85,27.35,28165,14963
2021-09-17,RAJSREESUG,27.95,28.25,26.15,26.8,19497,13191
2021-09-20,RAJSREESUG,26.3,26.7,25.55,25.65,26237,12104
2021-09-21,RAJSREESUG,26.3,26.3,24.6,25.5,10327,8002
2021-09-22,RAJSREESUG,25.85,26.25,25.05,25.65,30084,16173
2021-09-23,RAJSREESUG,26.3,26.3,25.3,25.6,15254,12382
2021-09-24,RAJSREESUG,26.05,26.7,26.05,26.4,27736,21508
2021-09-27,RAJSREESUG,26.75,27.45,26.0,26.1,12769,7865
2021-09-28,RAJSREESUG,26.75,26.75,25.3,25.8,12209,6638
2021-09-29,RAJSREESUG,26.15,26.25,25.35,25.55,11527,7692
2021-09-30,RAJSREESUG,26.75,26.75,25.35,26.0,11546,6719
2021-10-01,RAJSREESUG,26.65,26.65,25.6,26.3,18277,13888
2021-10-04,RAJSREESUG,27.0,27.6,26.15,27.6,32147,21773
2021-10-05,RAJSREESUG,27.6,28.95,27.6,28.95,49397,43198
2021-10-06,RAJSREESUG,29.8,29.8,27.55,27.55,44099,27602
2021-10-07,RAJSREESUG,28.5,28.5,27.1,28.05,16704,12768
2021-10-08,RAJSREESUG,28.5,29.3,26.7,28.35,56894,33250
2021-10-11,RAJSREESUG,29.65,29.65,27.6,28.05,24381,14011
2021-10-12,RAJSREESUG,28.25,29.0,27.75,28.1,22420,15279
2021-10-13,RAJSREESUG,28.15,28.75,27.7,27.8,19905,12654
2021-10-14,RAJSREESUG,27.85,28.45,27.45,27.7,5851,4570
2021-10-18,RAJSREESUG,28.25,28.4,27.25,27.45,32483,21607
2021-10-19,RAJSREESUG,27.2,27.9,26.1,26.25,22721,16923
2021-10-20,RAJSREESUG,25.35,26.9,24.95,25.0,35919,27737
2021-10-21,RAJSREESUG,25.05,25.05,24.25,24.45,41959,25389
2021-10-22,RAJSREESUG,24.6,25.65,23.5,24.5,47358,27909
2021-10-25,RAJSREESUG,24.5,25.7,24.05,24.6,10162,7799
2021-10-26,RAJSREESUG,23.55,25.35,23.55,24.9,8210,6200
2021-10-27,RAJSREESUG,25.35,25.35,24.4,24.65,10887,6533
2021-10-28,RAJSREESUG,23.95,25.0,23.55,23.9,20303,17261
2021-10-29,RAJSREESUG,24.25,24.4,23.05,23.55,16773,8288
2021-11-01,RAJSREESUG,23.6,24.2,23.55,23.75,4411,3336
2021-11-02,RAJSREESUG,23.35,24.8,23.35,24.0,48386,28653
2021-11-03,RAJSREESUG,24.0,24.2,23.55,23.65,15499,12745
2021-11-04,RAJSREESUG,24.0,24.65,23.75,24.3,5297,3746
2021-11-08,RAJSREESUG,24.5,24.65,24.0,24.45,12844,9113
2021-11-09,RAJSREESUG,25.35,25.35,23.6,24.75,16697,6528
2021-11-10,RAJSREESUG,24.75,25.95,24.75,25.65,28622,16249
2021-11-11,RAJSREESUG,26.9,26.9,25.1,25.45,20742,13293
2021-11-12,RAJSREESUG,26.0,26.0,24.55,24.85,13186,10526
2021-11-15,RAJSREESUG,25.45,26.05,24.65,25.6,60739,41185
2021-11-16,RAJSREESUG,25.15,26.3,24.7,25.25,15709,8566
2021-11-17,RAJSREESUG,25.2,25.65,24.1,24.55,34526,19504
2021-11-18,RAJSREESUG,24.15,25.3,23.8,24.2,12029,9789
2021-11-22,RAJSREESUG,23.8,24.75,23.1,23.5,11685,9602
2021-11-23,RAJSREESUG,24.0,24.45,22.4,24.0,16144,6195
2021-11-24,RAJSREESUG,24.0,24.95,23.55,23.9,28488,10479
2021-11-25,RAJSREESUG,24.35,24.9,23.6,23.95,12538,7553
2021-11-26,RAJSREESUG,24.0,24.5,23.0,23.15,19798,16245
2021-11-29,RAJSREESUG,23.5,23.9,22.0,22.1,20912,15332
2021-11-30,RAJSREESUG,22.0,23.0,21.5,22.75,10575,6765
2021-12-01,RAJSREESUG,23.4,23.4,22.05,22.8,12660,5076
2021-12-02,RAJSREESUG,22.5,23.4,22.5,22.95,4694,3458
2021-12-03,RAJSREESUG,23.85,23.85,23.05,23.25,8791,4751
2021-12-06,RAJSREESUG,24.4,24.4,24.4,24.4,27644,26643
2021-12-07,RAJSREESUG,26.8,26.8,26.8,26.8,43981,43981
2021-12-08,RAJSREESUG,29.45,29.45,29.45,29.45,57897,57896
2021-12-09,RAJSREESUG,32.35,32.35,32.35,32.35,113882,113747
2021-12-10,RAJSREESUG,33.95,33.95,33.95,33.95,70055,70055
2021-12-13,RAJSREESUG,35.6,35.6,35.6,35.6,130824,126819
2021-12-14,RAJSREESUG,33.85,37.2,33.85,36.8,690341,468487
2021-12-15,RAJSREESUG,37.95,38.6,37.0,38.6,299165,215857
2022-03-29,RAJSREESUG,32.4,34.7,31.85,32.05,25658,18179
2022-03-30,RAJSREESUG,32.1,33.4,31.8,32.3,29712,22186
2022-03-31,RAJSREESUG,31.75,33.9,31.75,32.55,25499,19495
2022-04-01,RAJSREESUG,33.0,33.5,32.0,32.8,17631,10218
2022-04-04,RAJSREESUG,33.4,34.4,32.3,34.0,41357,32630
2022-04-05,RAJSREESUG,33.7,34.5,33.3,33.75,26179,19867
2022-04-06,RAJSREESUG,34.4,35.4,32.95,35.3,136326,77508
2022-04-07,RAJSREESUG,35.55,38.8,35.55,38.6,473073,250304
2022-04-08,RAJSREESUG,39.8,40.8,36.0,36.85,251424,126424
2022-04-11,RAJSREESUG,37.05,38.4,35.0,36.55,98510,62158
2022-04-12,RAJSREESUG,36.1,38.1,35.2,35.6,81210,45194
2022-04-13,RAJSREESUG,36.85,36.85,35.35,35.9,72786,38339
2022-04-18,RAJSREESUG,35.9,37.7,34.5,36.35,102367,42589
2022-04-19,RAJSREESUG,36.75,38.1,35.5,35.9,48585,26979
2022-04-20,RAJSREESUG,35.85,37.35,34.0,35.3,35370,24879
2022-04-21,RAJSREESUG,35.35,38.4,35.35,37.2,103525,62462
2022-04-22,RAJSREESUG,37.6,40.9,37.2,40.9,664657,260480
2022-04-25,RAJSREESUG,41.5,44.95,41.4,44.9,1047789,428356
2022-04-26,RAJSREESUG,46.6,48.0,44.0,44.3,485293,271753
2022-04-27,RAJSREESUG,43.4,44.95,40.25,41.6,158891,83041
2022-04-28,RAJSREESUG,41.75,43.8,41.0,41.4,85890,46615
2022-04-29,RAJSREESUG,41.8,42.35,38.25,39.3,114743,65339
2022-05-02,RAJSREESUG,38.05,40.05,36.55,38.55,144011,66912
2022-05-04,RAJSREESUG,38.1,39.95,36.55,37.05,69373,42449
2022-05-05,RAJSREESUG,37.8,39.75,37.25,38.6,46357,26591
2022-05-06,RAJSREESUG,37.4,38.0,36.6,36.95,34059,19815
2022-05-09,RAJSREESUG,36.1,36.85,35.25,35.45,34018,19432
2022-05-10,RAJSREESUG,34.35,36.05,32.2,32.65,49134,22810
2022-05-11,RAJSREESUG,32.5,33.8,30.3,32.3,54007,28710
2022-05-12,RAJSREESUG,32.45,32.9,30.7,31.1,29877,15544
2022-05-13,RAJSREESUG,32.0,34.2,32.0,33.35,64823,39270
2022-05-16,RAJSREESUG,34.5,34.5,32.35,33.05,36264,21016
2022-05-17,RAJSREESUG,33.65,35.95,33.2,35.5,71130,24987
2022-05-18,RAJSREESUG,38.7,39.05,37.65,39.05,82675,68469
2022-05-19,RAJSREESUG,39.4,42.7,37.35,41.3,381918,199306
2022-05-20,RAJSREESUG,42.9,43.3,40.5,41.05,172226,92738
2022-05-23,RAJSREESUG,43.1,43.1,39.0,39.0,93912,57486
2022-05-24,RAJSREESUG,37.6,38.9,37.05,37.15,90846,48576
2022-05-25,RAJSREESUG,36.2,36.9,35.3,35.3,40220,31129
2022-05-26,RAJSREESUG,33.8,36.8,33.55,36.2,91705,42155
2022-05-27,RAJSREESUG,36.6,38.0,36.25,37.1,61384,41129
2022-05-30,RAJSREESUG,37.8,38.15,35.6,36.1,37872,19963
2022-05-31,RAJSREESUG,35.7,37.8,35.7,37.35,26124,13101
2022-06-01,RAJSREESUG,37.85,38.15,36.75,37.75,47842,24707
2022-06-02,RAJSREESUG,37.2,38.45,37.05,37.2,44365,25968
2022-06-03,RAJSREESUG,37.6,38.2,35.75,35.9,35095,20209
2022-06-06,RAJSREESUG,36.3,36.8,34.95,36.4,27814,14013
2022-06-07,RAJSREESUG,36.4,37.05,35.85,36.05,40634,23381
2022-06-08,RAJSREESUG,36.1,36.5,34.6,35.0,49037,24853
2022-06-09,RAJSREESUG,34.4,36.3,34.4,35.55,40912,17865
2022-06-10,RAJSREESUG,35.0,36.2,34.8,35.1,20330,10619
2022-06-13,RAJSREESUG,34.5,34.55,33.35,33.45,37712,30811
2022-06-14,RAJSREESUG,32.35,35.1,32.35,35.1,37863,25737
2022-06-15,RAJSREESUG,34.95,36.5,33.4,34.15,66170,36917
2022-06-16,RAJSREESUG,34.9,35.25,32.7,32.85,40931,21586
2022-06-17,RAJSREESUG,33.8,33.8,31.3,31.45,29914,16283
2022-06-20,RAJSREESUG,31.2,32.45,29.9,29.9,35424,20196
2022-06-21,RAJSREESUG,30.0,31.35,29.9,31.35,17383,12997
2022-06-22,RAJSREESUG,31.0,31.6,29.8,30.15,33909,18891
2022-06-23,RAJSREESUG,30.75,30.9,29.85,30.15,18166,7524
2022-06-24,RAJSREESUG,30.8,31.65,30.55,31.65,24341,17467
2022-06-27,RAJSREESUG,33.2,33.2,32.7,33.0,21908,16450
2022-06-28,RAJSREESUG,32.55,33.35,32.25,32.7,12896,6808
2022-06-29,RAJSREESUG,31.65,34.0,31.65,33.35,31676,14120
2022-06-30,RAJSREESUG,34.25,34.35,33.0,33.0,15957,10167
2022-07-01,RAJSREESUG,32.75,33.05,31.85,32.35,4820,3575
2022-07-04,RAJSREESUG,32.5,33.0,31.55,32.15,10107,7210
2022-07-05,RAJSREESUG,31.55,33.45,31.55,32.5,18922,7241
2022-07-06,RAJSREESUG,33.6,33.6,31.5,31.95,21565,16716
2022-07-07,RAJSREESUG,32.05,32.05,31.05,31.55,28843,23144
2022-07-08,RAJSREESUG,32.2,32.45,31.35,32.0,71657,35629
2022-07-11,RAJSREESUG,32.8,32.95,32.1,32.65,21959,16845
2022-07-12,RAJSREESUG,33.3,34.25,32.95,34.1,31295,22022
2022-07-13,RAJSREESUG,34.2,34.85,33.9,34.45,19420,11383
2022-07-14,RAJSREESUG,34.7,34.75,34.1,34.5,22193,16103
2022-07-15,RAJSREESUG,34.5,35.0,33.15,34.5,27105,14893
2022-07-18,RAJSREESUG,35.0,35.35,34.35,35.0,19387,13721
2022-07-19,RAJSREESUG,35.15,35.25,34.5,34.6,8740,5263
2022-07-20,RAJSREESUG,34.5,35.3,34.05,34.65,28978,16239
2022-07-21,RAJSREESUG,35.35,36.35,35.0,36.35,45322,31791
2022-07-22,RAJSREESUG,37.35,37.35,36.15,37.15,56623,42741
2022-07-25,RAJSREESUG,37.85,37.85,35.3,35.8,37756,25698
2022-07-26,RAJSREESUG,37.0,37.0,34.15,34.25,29971,14724
2022-07-27,RAJSREESUG,35.7,35.7,33.3,34.8,27161,8449
2022-07-28,RAJSREESUG,34.1,36.5,34.1,36.0,55793,34077
2022-07-29,RAJSREESUG,36.85,36.85,35.15,35.7,26973,16947
2022-08-01,RAJSREESUG,35.7,37.45,35.05,37.4,93140,64529
2022-08-02,RAJSREESUG,36.5,38.65,36.5,37.65,48194,35710
2022-08-03,RAJSREESUG,37.65,38.55,36.6,37.3,39574,15474
2022-08-04,RAJSREESUG,36.35,38.1,36.35,36.65,43665,18058
2022-08-05,RAJSREESUG,36.6,37.25,36.1,36.8,37871,16960
2022-08-08,RAJSREESUG,37.45,37.7,35.8,36.85,31247,20669
2022-08-10,RAJSREESUG,35.8,36.3,33.55,33.95,104998,72450
