Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,RELAXO,639.9,640.0,634.45,639.3,242697,135123
2020-08-27,RELAXO,642.5,648.0,636.1,639.85,258568,166944
2020-08-28,RELAXO,643.2,669.75,638.35,660.1,932051,313577
2020-08-31,RELAXO,669.0,672.0,640.0,655.4,520235,238969
2020-09-01,RELAXO,652.4,655.5,640.7,643.0,180513,77604
2020-09-02,RELAXO,646.0,650.9,637.35,643.85,155412,79127
2020-09-03,RELAXO,650.0,653.85,642.0,649.9,144970,74351
2020-09-04,RELAXO,635.0,683.4,635.0,656.65,859262,238727
2020-09-07,RELAXO,658.0,666.0,645.0,648.5,158839,57485
2020-09-08,RELAXO,650.0,659.4,641.4,644.9,157642,61764
2020-09-09,RELAXO,644.0,644.0,625.0,635.6,237888,107438
2020-09-10,RELAXO,636.0,650.0,636.0,639.2,100755,35672
2020-09-11,RELAXO,643.0,647.0,632.8,641.6,130587,60512
2020-09-14,RELAXO,647.6,668.0,643.15,660.85,282748,141987
2020-09-15,RELAXO,666.95,667.5,653.0,664.35,131673,63539
2020-09-16,RELAXO,666.9,678.9,665.0,675.75,247284,130496
2020-09-17,RELAXO,675.4,692.95,670.0,672.0,399068,126904
2020-09-18,RELAXO,675.0,681.25,655.4,673.8,307655,131176
2020-09-21,RELAXO,673.8,677.2,645.0,653.1,145180,77068
2020-09-22,RELAXO,650.0,650.0,610.0,637.7,300171,141776
2020-09-23,RELAXO,640.9,659.6,625.0,648.65,229795,87049
2020-09-24,RELAXO,642.25,645.0,625.35,632.3,155535,77007
2020-09-25,RELAXO,635.5,653.3,635.05,640.65,159876,57396
2020-09-28,RELAXO,644.5,668.3,643.2,657.3,182831,65112
2020-09-29,RELAXO,664.7,668.85,650.7,657.65,147115,33758
2020-09-30,RELAXO,657.65,669.0,650.75,666.65,142703,81396
2020-10-01,RELAXO,672.0,672.0,655.0,658.0,129393,55442
2020-10-05,RELAXO,664.0,676.0,659.0,674.2,159298,87241
2020-10-06,RELAXO,676.0,685.8,672.8,677.65,212397,109667
2020-10-07,RELAXO,677.2,678.9,666.0,671.5,85495,38468
2020-10-08,RELAXO,678.0,678.0,645.0,650.3,132310,62932
2020-10-09,RELAXO,650.7,659.4,646.0,649.05,93904,38390
2020-10-12,RELAXO,650.0,665.0,649.3,663.05,127491,53006
2020-10-13,RELAXO,663.05,669.9,655.0,664.6,72036,31556
2020-10-14,RELAXO,664.2,676.0,658.0,671.05,124029,50820
2020-10-15,RELAXO,675.0,675.0,650.0,661.9,124775,56697
2020-10-16,RELAXO,662.0,671.8,653.6,662.9,68666,31233
2020-10-19,RELAXO,663.15,675.45,655.1,672.25,109356,50777
2020-10-20,RELAXO,672.25,674.85,661.05,666.05,98725,44593
2020-10-21,RELAXO,668.9,676.1,660.1,666.65,98450,47998
2020-10-22,RELAXO,669.95,669.95,655.1,657.5,76252,35299
2020-10-23,RELAXO,660.8,666.8,657.0,658.25,70065,33695
2020-10-26,RELAXO,660.5,664.95,655.0,656.75,88092,51085
2020-10-27,RELAXO,655.0,662.8,650.0,659.4,273991,195304
2020-10-28,RELAXO,659.4,674.9,659.4,663.85,110132,53126
2020-10-29,RELAXO,661.0,662.7,651.15,658.5,69598,33785
2020-10-30,RELAXO,662.6,669.0,656.7,660.4,77256,38829
2020-11-02,RELAXO,668.0,669.5,655.0,664.35,213930,122252
2020-11-03,RELAXO,665.0,689.35,665.0,685.85,406782,128177
2020-11-04,RELAXO,694.15,705.55,665.0,692.6,301898,124651
2020-11-05,RELAXO,693.0,706.9,689.15,703.15,213293,102112
2020-11-06,RELAXO,707.5,710.85,695.0,698.9,130190,64141
2020-11-09,RELAXO,702.4,709.9,695.3,701.1,260924,205937
2020-11-10,RELAXO,702.05,704.1,681.5,691.15,122644,60264
2020-11-11,RELAXO,692.0,698.4,680.05,692.8,100706,38201
2020-11-12,RELAXO,693.0,699.0,685.95,692.25,164842,44149
2020-11-13,RELAXO,695.0,730.0,687.85,725.35,432382,153025
2020-11-14,RELAXO,739.5,750.0,729.0,738.9,126932,53389
2020-11-17,RELAXO,747.55,752.0,733.0,748.65,241222,113678
2020-11-18,RELAXO,756.9,756.9,739.0,741.7,151115,68198
2020-11-19,RELAXO,740.0,751.85,725.0,729.2,126602,50156
2020-11-20,RELAXO,734.45,746.85,720.2,738.6,158248,60776
2020-11-23,RELAXO,740.0,749.4,725.6,729.3,320501,224167
2020-11-24,RELAXO,732.0,738.6,717.2,722.9,139936,71148
2020-11-25,RELAXO,729.0,734.95,718.0,720.15,123046,45902
2020-11-26,RELAXO,724.9,739.95,722.3,736.15,91360,46259
2020-11-27,RELAXO,739.85,741.95,730.85,737.6,190543,60120
2020-12-01,RELAXO,737.25,741.1,724.0,728.95,164457,99113
2020-12-02,RELAXO,734.0,735.0,725.35,727.5,164622,84644
2020-12-03,RELAXO,731.6,735.0,724.15,727.6,104805,51184
2020-12-04,RELAXO,728.1,732.05,725.0,726.85,109553,57575
2020-12-07,RELAXO,730.3,732.0,715.45,719.6,389335,195237
2020-12-08,RELAXO,721.0,726.05,716.9,719.15,151710,60393
2020-12-09,RELAXO,720.0,727.3,719.15,722.0,117766,58603
2020-12-10,RELAXO,720.0,744.0,720.0,740.1,296164,115008
2020-12-11,RELAXO,743.8,747.9,728.0,739.0,145238,65354
2020-12-14,RELAXO,745.15,746.95,726.0,728.6,180858,108762
2020-12-15,RELAXO,732.2,742.5,725.1,735.25,215720,98388
2020-12-16,RELAXO,740.0,763.0,736.0,760.05,462018,158220
2020-12-17,RELAXO,769.55,774.4,760.55,765.3,359132,106500
2020-12-18,RELAXO,764.55,795.4,755.3,786.75,894885,218005
2020-12-21,RELAXO,789.95,802.6,755.0,766.85,603043,213294
2020-12-22,RELAXO,761.0,799.0,750.55,793.05,461413,157890
2020-12-23,RELAXO,797.95,802.35,780.0,783.4,290515,105219
2020-12-24,RELAXO,791.0,809.6,781.0,805.05,977239,609322
2020-12-28,RELAXO,813.8,815.0,805.0,806.55,208912,76494
2020-12-29,RELAXO,810.6,812.05,792.0,799.6,111231,40095
2020-12-30,RELAXO,800.05,812.0,796.55,801.3,119421,26902
2020-12-31,RELAXO,804.45,814.8,800.25,809.7,147002,45363
2021-01-01,RELAXO,809.0,834.4,808.75,828.35,229319,69633
2021-01-04,RELAXO,831.5,849.8,829.5,837.15,440373,217283
2021-01-05,RELAXO,837.15,914.55,835.0,893.9,632912,177667
2021-01-06,RELAXO,919.0,928.0,865.0,898.85,767088,175466
2021-01-07,RELAXO,911.9,911.9,866.0,879.55,325126,110253
2021-01-08,RELAXO,885.0,898.45,874.0,891.65,314407,81111
2021-01-11,RELAXO,905.4,910.0,877.3,891.35,262148,84811
2021-01-12,RELAXO,891.0,894.0,881.0,884.55,117502,48455
2021-01-13,RELAXO,884.9,895.0,855.0,885.3,240896,68206
2021-01-14,RELAXO,878.6,892.6,850.25,862.25,244123,105046
2021-01-15,RELAXO,868.9,872.95,840.0,847.55,152775,55455
2021-01-18,RELAXO,847.55,859.5,815.0,821.25,207254,93846
2021-01-19,RELAXO,825.4,843.9,825.4,839.4,159310,58901
2021-01-20,RELAXO,843.0,862.85,835.0,839.2,200445,68007
2021-01-21,RELAXO,845.0,859.3,837.15,843.65,192257,70115
2021-01-22,RELAXO,847.9,856.0,815.0,835.9,164792,47940
2021-01-25,RELAXO,853.7,853.7,821.0,826.2,115495,28942
2021-01-27,RELAXO,829.4,846.0,820.0,828.65,255976,61341
2021-01-28,RELAXO,816.2,845.0,815.0,838.0,146096,44688
2021-01-29,RELAXO,844.95,851.2,820.1,823.7,132889,59065
2021-02-01,RELAXO,831.75,848.0,817.05,830.55,250109,93288
2021-02-02,RELAXO,840.0,852.0,831.75,835.9,183616,75361
2021-02-03,RELAXO,845.15,845.15,831.65,838.25,190053,66087
2021-02-04,RELAXO,843.0,843.85,834.0,841.7,107728,52849
2021-02-05,RELAXO,844.8,893.75,840.0,882.8,799679,245553
2021-02-08,RELAXO,890.0,899.0,864.05,874.55,443122,191004
2021-02-09,RELAXO,882.4,883.0,874.95,878.9,313688,226567
2021-02-10,RELAXO,880.05,897.9,877.1,893.9,237538,108819
2021-02-11,RELAXO,895.0,903.5,885.2,893.85,235391,95566
2021-02-12,RELAXO,895.1,895.1,868.85,873.1,150962,65475
2021-02-15,RELAXO,873.1,890.0,870.1,874.1,114290,39639
2021-02-16,RELAXO,878.0,881.0,854.0,874.65,108907,43848
2021-02-17,RELAXO,874.65,880.0,856.85,865.4,126848,58015
2021-02-18,RELAXO,871.5,883.15,865.0,876.2,110452,45392
2021-02-19,RELAXO,870.0,880.0,865.1,874.05,171275,131634
2021-02-22,RELAXO,870.0,874.0,853.0,857.0,98440,44337
2021-02-23,RELAXO,859.0,889.0,850.35,875.75,130681,47979
2021-02-24,RELAXO,880.0,885.5,854.8,879.0,63087,37346
2021-02-25,RELAXO,883.4,890.5,866.0,869.5,165244,56643
2021-02-26,RELAXO,850.0,873.3,840.7,854.85,180122,85703
2021-03-01,RELAXO,864.95,875.0,832.0,838.45,239148,103318
2021-03-02,RELAXO,848.4,853.6,833.2,837.0,152176,69901
2021-03-03,RELAXO,845.0,859.0,836.1,838.95,181144,71995
2021-03-04,RELAXO,840.0,849.4,836.15,839.7,118784,53529
2021-03-05,RELAXO,843.0,846.35,833.25,837.55,100312,46141
2021-03-08,RELAXO,842.0,859.0,837.55,841.0,154351,70632
2021-03-09,RELAXO,843.0,847.7,831.05,841.1,105313,59271
2021-03-10,RELAXO,840.0,851.7,840.0,845.65,76554,33763
2021-03-12,RELAXO,846.0,858.0,845.0,851.0,111533,52827
2021-03-15,RELAXO,851.0,853.9,830.05,834.4,113643,61062
2021-03-16,RELAXO,836.0,849.45,825.55,827.85,167438,71518
2021-03-17,RELAXO,836.2,840.0,821.0,823.5,148511,87583
2021-03-18,RELAXO,825.0,840.0,822.5,837.45,125364,57075
2021-03-19,RELAXO,836.9,862.0,825.2,849.75,269278,154307
2021-03-22,RELAXO,862.0,879.6,840.0,870.4,173965,81297
2021-03-23,RELAXO,870.4,879.95,865.55,870.4,137966,56171
2021-03-24,RELAXO,872.0,918.9,861.5,877.95,927463,149554
2021-03-25,RELAXO,863.0,887.9,842.2,849.6,261352,91189
2021-03-26,RELAXO,859.5,884.55,852.05,880.55,150658,51606
2021-03-30,RELAXO,885.0,909.0,875.15,882.25,219693,69644
2021-03-31,RELAXO,889.0,899.3,870.0,876.4,122406,54515
2021-04-01,RELAXO,881.05,910.0,881.05,904.35,304844,81713
2021-04-05,RELAXO,914.2,920.1,896.15,914.0,271897,96653
2021-04-06,RELAXO,911.0,965.95,907.25,951.5,726590,189869
2021-04-07,RELAXO,962.0,974.6,940.8,946.4,307440,90399
2021-04-08,RELAXO,953.5,968.7,940.25,951.65,159842,47232
2021-04-09,RELAXO,957.0,967.05,938.2,945.15,121774,38480
2021-04-12,RELAXO,934.7,934.7,876.05,891.85,261916,111480
2021-04-13,RELAXO,909.7,919.5,890.0,901.95,104960,30576
2021-04-15,RELAXO,899.0,909.0,889.15,905.0,137817,39798
2021-04-16,RELAXO,906.0,926.45,886.0,892.45,223728,60256
2021-04-19,RELAXO,885.0,889.45,841.0,876.0,223183,74275
2021-04-20,RELAXO,876.0,896.8,872.05,891.0,140384,36888
2021-04-22,RELAXO,881.0,915.0,881.0,904.8,199719,52264
2021-04-23,RELAXO,910.55,910.55,880.0,882.7,137724,50757
2021-04-26,RELAXO,891.9,898.1,857.95,860.35,176955,81685
2021-04-27,RELAXO,866.9,882.75,859.15,861.1,174604,81078
2021-04-28,RELAXO,869.95,884.95,862.5,868.8,165655,60691
2021-04-29,RELAXO,879.5,881.85,866.0,868.05,122077,41790
2021-04-30,RELAXO,867.7,890.0,862.55,874.95,215378,91455
2021-05-03,RELAXO,877.7,885.0,866.25,878.4,181064,119381
2021-05-04,RELAXO,882.0,908.5,878.4,889.65,196103,55637
2021-05-05,RELAXO,898.2,905.8,885.2,897.9,126634,41710
2021-05-06,RELAXO,902.0,902.75,890.2,894.1,67311,23670
2021-05-07,RELAXO,897.55,907.9,878.1,881.8,103601,47362
2021-05-10,RELAXO,883.2,898.05,883.2,895.9,251499,202454
2021-05-11,RELAXO,891.0,904.0,890.0,892.55,99054,35751
2021-05-12,RELAXO,896.4,901.6,890.8,898.3,68563,32948
2021-05-14,RELAXO,899.0,936.0,899.0,925.4,402818,133566
2021-05-17,RELAXO,936.0,952.0,904.0,909.5,346743,168037
2021-05-18,RELAXO,920.0,922.0,900.0,917.85,171986,77027
2021-05-19,RELAXO,917.0,1035.0,915.2,1011.95,2137537,296301
2021-05-20,RELAXO,1043.5,1085.0,992.2,1030.15,1746924,136021
2021-05-21,RELAXO,1046.15,1071.1,1011.6,1035.25,846176,148950
2021-05-24,RELAXO,1035.25,1039.25,1011.95,1032.2,235475,74499
2021-05-25,RELAXO,1040.1,1125.0,1033.4,1099.15,958136,167459
2021-05-26,RELAXO,1105.0,1136.8,1080.0,1101.8,559530,83302
2021-05-27,RELAXO,1097.5,1164.75,1070.0,1124.35,380186,93647
2021-05-28,RELAXO,1130.0,1140.0,1102.0,1120.95,234636,47143
2021-05-31,RELAXO,1105.0,1147.0,1105.0,1135.45,253113,60614
2021-06-01,RELAXO,1140.0,1145.0,1076.75,1087.4,372763,155911
2021-06-02,RELAXO,1094.4,1111.2,1052.0,1062.35,479865,165614
2021-06-03,RELAXO,1075.0,1089.95,1067.7,1079.95,226225,64540
2021-06-04,RELAXO,1075.0,1094.4,1070.0,1076.1,161145,43225
2021-06-07,RELAXO,1085.9,1097.95,1072.35,1075.9,140970,61945
2021-06-08,RELAXO,1084.8,1092.35,1076.7,1082.0,133552,63275
2021-06-09,RELAXO,1080.0,1116.25,1080.0,1087.3,266328,70732
2021-06-10,RELAXO,1087.0,1120.8,1087.0,1105.2,198790,64624
2021-06-11,RELAXO,1108.3,1127.2,1090.0,1097.05,129760,57158
2021-06-14,RELAXO,1099.0,1114.9,1088.6,1101.55,117869,38097
2021-06-15,RELAXO,1107.45,1116.0,1101.5,1108.8,108748,44483
2021-06-16,RELAXO,1110.15,1110.4,1092.1,1100.0,1199164,1148294
2021-06-17,RELAXO,1116.0,1134.7,1091.05,1099.4,579996,194815
2021-06-18,RELAXO,1111.0,1130.0,1092.0,1125.4,434098,272643
2021-06-21,RELAXO,1125.4,1138.9,1102.6,1107.05,307270,138043
2021-06-22,RELAXO,1122.05,1125.0,1105.0,1108.35,164572,71148
2021-06-23,RELAXO,1102.1,1185.0,1102.1,1175.0,716815,163935
2021-06-24,RELAXO,1194.7,1242.9,1175.1,1189.35,1839351,223532
2021-06-25,RELAXO,1199.0,1207.25,1175.0,1183.2,249794,65458
2021-06-28,RELAXO,1186.5,1219.0,1161.25,1171.9,423956,147908
2021-06-29,RELAXO,1178.3,1185.0,1145.1,1153.1,219128,84599
2021-06-30,RELAXO,1159.0,1180.0,1147.45,1151.95,191479,53314
2021-07-01,RELAXO,1161.25,1163.4,1136.0,1139.05,186486,67631
2021-07-02,RELAXO,1148.0,1215.0,1140.0,1197.05,414469,161406
2021-07-05,RELAXO,1203.0,1213.45,1175.0,1194.5,291605,110348
2021-07-06,RELAXO,1199.9,1209.95,1171.0,1180.95,349052,99287
2021-07-07,RELAXO,1185.0,1191.4,1172.85,1176.9,131895,55937
2021-07-08,RELAXO,1183.0,1189.9,1167.7,1176.45,127627,69625
2021-07-09,RELAXO,1180.0,1187.95,1163.1,1167.55,130708,56146
2021-07-12,RELAXO,1177.8,1188.9,1157.05,1161.15,172955,83886
2021-07-13,RELAXO,1162.1,1184.35,1162.1,1168.65,184254,67942
2021-07-14,RELAXO,1172.9,1175.85,1161.0,1164.2,133595,57594
2021-07-15,RELAXO,1171.9,1172.0,1163.0,1168.0,89824,40201
2021-07-16,RELAXO,1171.2,1195.0,1151.0,1159.55,317110,88966
2021-07-19,RELAXO,1158.0,1171.75,1151.0,1158.7,109494,46048
2021-07-20,RELAXO,1158.7,1168.5,1126.7,1148.3,128981,52712
2021-07-22,RELAXO,1160.45,1177.95,1151.4,1173.35,192036,80802
2021-07-23,RELAXO,1175.8,1179.65,1162.1,1169.75,97186,38512
2021-07-26,RELAXO,1168.0,1186.45,1162.2,1182.3,154693,73915
2021-07-27,RELAXO,1190.0,1195.0,1164.2,1170.85,114269,54354
2021-07-28,RELAXO,1179.0,1180.15,1148.3,1159.75,133150,67509
2021-07-29,RELAXO,1172.0,1172.0,1148.0,1154.8,101586,57648
2021-07-30,RELAXO,1157.9,1159.65,1142.0,1150.0,104840,62171
2021-08-02,RELAXO,1140.0,1157.4,1127.85,1148.5,223049,84812
2021-08-03,RELAXO,1156.9,1182.0,1153.05,1165.3,205557,62561
2021-08-04,RELAXO,1174.2,1175.0,1156.05,1164.2,81256,33762
2021-08-05,RELAXO,1169.0,1172.0,1150.0,1155.15,95090,42341
2021-08-06,RELAXO,1162.3,1162.3,1137.5,1140.9,111477,63035
2021-08-09,RELAXO,1149.0,1158.25,1146.1,1154.4,68368,31387
2021-08-10,RELAXO,1156.5,1160.7,1135.0,1141.55,109459,56037
2021-08-11,RELAXO,1142.6,1150.0,1122.55,1145.35,92840,43401
2021-08-12,RELAXO,1155.0,1168.0,1150.0,1162.4,109435,56468
2021-08-13,RELAXO,1171.95,1180.05,1162.25,1179.2,196384,103738
2021-08-16,RELAXO,1189.35,1238.45,1183.0,1209.8,892468,287184
2021-08-17,RELAXO,1221.0,1253.95,1204.65,1222.9,595763,163842
2021-08-18,RELAXO,1232.85,1245.0,1195.65,1210.15,246160,69112
2021-08-20,RELAXO,1209.0,1209.0,1178.1,1199.15,200438,96338
2021-08-23,RELAXO,1210.0,1220.0,1160.2,1173.2,198186,86218
2021-08-24,RELAXO,1179.0,1193.9,1171.0,1186.5,89591,34879
2021-08-25,RELAXO,1194.0,1194.0,1164.15,1169.4,141249,55028
2021-08-26,RELAXO,1173.8,1177.6,1165.0,1168.35,75913,42689
2021-08-27,RELAXO,1167.3,1169.8,1151.3,1159.85,157652,84617
2021-08-30,RELAXO,1168.55,1188.0,1161.05,1176.9,138604,62358
2021-08-31,RELAXO,1190.0,1214.6,1175.0,1191.5,360208,123108
2021-09-01,RELAXO,1200.1,1205.95,1184.0,1195.9,165495,70360
2021-09-02,RELAXO,1205.0,1216.4,1190.05,1198.9,162196,65478
2021-09-03,RELAXO,1209.0,1225.4,1200.0,1204.2,275825,128249
2021-09-06,RELAXO,1214.35,1230.0,1200.0,1203.1,235454,95254
2021-09-07,RELAXO,1210.9,1211.85,1180.0,1183.65,189446,92593
2021-09-08,RELAXO,1183.0,1196.55,1176.0,1180.75,157980,83418
2021-09-09,RELAXO,1182.0,1188.7,1175.5,1179.65,144309,92900
2021-09-13,RELAXO,1187.0,1200.0,1183.75,1196.85,166857,88770
2021-09-14,RELAXO,1210.0,1225.0,1185.8,1205.85,236958,92891
