Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,RELCAPITAL,13.9,14.15,13.25,13.25,2147498,1079980
2021-08-24,RELCAPITAL,13.25,13.9,12.85,13.9,2143051,1350670
2021-08-25,RELCAPITAL,14.2,14.55,14.1,14.55,1962388,1298376
2021-08-26,RELCAPITAL,14.9,15.25,14.4,15.15,3798961,1530850
2021-08-27,RELCAPITAL,15.25,15.4,14.6,14.8,1695828,999589
2021-08-30,RELCAPITAL,14.95,15.5,14.55,15.1,2726763,1058477
2021-08-31,RELCAPITAL,15.25,15.25,14.65,14.75,1405136,823543
2021-09-01,RELCAPITAL,14.75,14.85,14.15,14.3,1673483,900650
2021-09-02,RELCAPITAL,14.5,14.95,14.3,14.8,1509890,693196
2021-09-03,RELCAPITAL,15.0,15.5,14.6,14.85,3565179,1175259
2021-09-06,RELCAPITAL,15.0,15.55,14.9,15.55,2406958,1768904
2021-09-07,RELCAPITAL,15.8,16.3,15.2,16.3,2924526,1842426
2021-09-08,RELCAPITAL,16.7,17.1,16.5,17.1,2860449,1259301
2021-09-09,RELCAPITAL,17.65,17.95,17.5,17.95,2759871,1549875
2021-09-13,RELCAPITAL,18.8,18.8,18.8,18.8,381243,381243
2021-09-14,RELCAPITAL,19.7,19.7,19.7,19.7,458967,458967
2021-09-15,RELCAPITAL,20.65,20.65,20.65,20.65,496004,496004
2021-09-16,RELCAPITAL,21.65,21.65,20.5,21.65,9510883,6555514
2021-09-17,RELCAPITAL,22.7,22.7,20.6,21.05,12597690,5989789
2021-09-20,RELCAPITAL,20.8,22.1,20.3,20.6,10726306,3644264
2021-09-21,RELCAPITAL,20.7,20.85,19.6,19.9,4590078,1969812
2021-09-22,RELCAPITAL,20.1,20.85,19.65,20.75,3345668,1846939
2021-09-23,RELCAPITAL,21.35,21.75,20.85,21.2,7259864,2491070
2021-09-24,RELCAPITAL,21.35,21.95,20.3,21.4,6916419,2909383
2021-09-27,RELCAPITAL,21.9,22.35,21.25,21.9,4579631,2545034
2021-09-28,RELCAPITAL,22.2,22.25,20.85,21.15,3645684,1762933
2021-09-29,RELCAPITAL,20.9,22.2,20.7,22.2,6025126,2758860
2021-09-30,RELCAPITAL,22.45,22.45,21.6,21.65,2512350,1625277
2021-10-01,RELCAPITAL,21.4,21.45,20.7,20.95,2507449,1495525
2021-10-04,RELCAPITAL,21.2,21.6,20.9,21.1,1882699,1068738
2021-10-05,RELCAPITAL,21.0,21.9,20.85,20.95,2375424,1157184
2021-10-06,RELCAPITAL,21.2,21.4,20.55,20.7,2238996,944665
2021-10-07,RELCAPITAL,21.25,22.75,20.9,22.75,6725732,3385628
2021-10-08,RELCAPITAL,23.8,24.3,22.9,23.35,10363929,6048219
2021-10-11,RELCAPITAL,24.2,25.65,23.5,24.7,7841996,3004633
2022-01-04,RELCAPITAL,15.8,15.8,14.85,15.4,7917127,4095593
2022-01-05,RELCAPITAL,15.4,15.45,14.7,15.05,2432230,1126572
2022-01-06,RELCAPITAL,14.8,15.6,14.65,15.25,2095904,1045332
2022-01-07,RELCAPITAL,15.55,15.6,14.85,15.15,1980747,1192612
2022-01-10,RELCAPITAL,15.3,15.9,15.0,15.9,5697759,2483451
2022-01-11,RELCAPITAL,15.8,16.2,15.4,15.5,3701068,2129414
