Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,150.0,186.45,150.0,186.45,5587427,3286472,58.819059291512886
2020-09-06,192.0,195.75,162.55,173.2,2597596,1608709,61.930685141184384
2020-09-13,181.85,192.8,177.05,180.15,1790425,1116245,62.345253222000366
2020-09-20,184.8,188.8,166.15,166.8,1490654,1095744,73.50760136155003
2020-09-27,164.0,165.05,148.2,163.4,2784927,2091935,75.11633159504719
2020-10-04,166.9,170.25,161.0,164.65,782483,604682,77.27733382067086
2020-10-11,166.95,218.65,164.65,213.45,8949729,2826379,31.580609870980453
2020-10-18,207.0,220.8,182.2,186.55,3345820,1539186,46.0032518186872
2020-10-25,185.5,205.0,183.0,202.8,3356353,1447784,43.1356296551644
2020-11-01,201.0,206.5,188.95,192.1,1016476,532484,52.385299800487175
2020-11-08,192.1,202.95,190.6,198.75,883698,446640,50.542153541141886
2020-11-15,176.0,250.0,176.0,246.85,3019949,1425180,47.19218768263968
2020-11-22,251.0,257.05,230.0,233.05,1767656,956402,54.105663092818965
2020-11-29,235.85,244.8,233.05,238.4,1164665,675778,58.02338011359489
2020-12-06,242.8,268.9,240.7,261.8,1893111,833024,44.00291372243888
2020-12-13,265.0,267.05,245.2,255.7,847422,485227,57.25919317648114
2020-12-20,260.8,261.7,243.15,249.4,893322,533950,59.77128068042654
2020-12-27,252.0,255.0,218.0,239.25,961497,538370,55.99289441360712
2021-01-03,243.0,243.45,231.0,241.2,1150165,801157,69.65583198932327
2021-01-10,241.5,255.6,235.0,251.9,2517143,1521147,60.43148919231049
2021-01-17,251.7,277.35,244.0,261.45,3338535,1634634,48.96261384110096
2021-01-24,261.95,279.0,250.0,261.4,1573292,830454,52.78447993125243
2021-01-31,264.6,265.25,237.0,243.85,783788,438123,55.89815103063584
2021-02-07,244.5,265.5,240.1,260.15,1108965,543985,49.053396635601665
2021-02-14,261.55,275.8,254.95,268.35,1567512,756482,48.26004521815463
2021-02-21,269.8,374.0,258.0,350.95,6675226,2356438,35.30124672932422
2021-02-28,345.0,354.0,321.65,333.3,1582859,821224,51.88232179871991
2021-03-07,335.9,378.0,317.5,337.15,1284394,691871,53.86750483107209
2021-03-14,337.15,355.55,328.0,347.35,855530,506999,59.26139352214417
2021-03-21,350.0,355.0,290.0,307.8,597566,285611,47.79572465635595
2021-03-28,315.0,332.0,303.4,329.8,630457,335604,53.23186196679551
2021-04-04,329.8,340.0,327.1,336.9,273697,193401,70.6624478894544
2021-04-11,334.0,335.8,314.05,316.5,316101,200692,63.48983394547945
2021-04-18,313.0,325.0,267.35,313.1,769850,341773,44.39475222445931
2021-04-25,300.0,321.7,292.5,315.65,414982,221208,53.30544457349957
2021-05-02,314.1,335.1,312.0,330.55,550026,340472,61.9010737674219
2021-05-09,323.0,361.55,320.25,331.05,853382,565862,66.30817148709488
2021-05-16,333.95,354.45,333.95,336.55,380616,212640,55.86733085314333
2021-05-23,344.0,347.9,331.5,343.95,359068,240583,67.00207203092451
2021-05-30,348.0,359.95,331.55,336.4,378402,222030,58.67569410309671
2021-06-06,337.0,386.9,332.0,371.45,2236130,1054495,47.15714202662636
2021-06-13,365.0,386.85,363.0,380.5,1169820,530496,45.34851515617787
2021-06-20,385.0,430.0,356.75,372.85,1926946,939341,48.747655616711626
2021-06-27,372.85,385.0,361.1,368.2,551704,350942,63.61055928541391
2021-07-04,377.0,385.0,353.5,356.25,1016761,698320,68.68084043349421
2021-07-11,361.7,373.0,356.5,365.0,423710,264932,62.526728186731496
2021-07-18,370.0,394.0,363.0,379.05,948163,531345,56.0394151638484
2021-07-25,380.0,380.0,355.0,356.45,292926,195515,66.74552617384596
2021-08-01,357.05,363.9,338.2,339.5,448037,296918,66.27086602222583
2021-08-08,341.0,355.0,320.1,325.55,855654,523840,61.22100755679282
2021-08-15,334.95,335.8,298.4,327.65,543464,329140,60.56334918228254
2021-08-22,319.05,328.45,266.7,310.8,729086,368388,50.527372628194755
2021-08-29,314.0,316.15,271.5,291.45,489240,250878,51.27912680892813
2021-09-05,291.65,349.7,291.65,295.05,804359,436889,54.31517518918791
2021-09-12,296.35,316.0,296.35,304.05,1402463,650518,46.38396877493381
2021-09-19,304.9,313.0,296.75,310.05,1041164,579818,55.689401477577015
2021-09-26,308.0,329.4,290.8,317.8,1334479,603246,45.204607940627014
2021-10-03,318.8,327.0,302.75,306.75,1150472,467717,40.654357515871745
2021-10-10,313.0,325.8,310.0,316.3,892073,481425,53.96699597454469
2021-10-17,318.0,333.9,312.5,324.15,887891,456200,51.38018067533064
2021-10-24,329.0,329.0,292.9,294.35,793001,449583,56.69387554366262
2021-10-31,298.9,298.9,262.15,267.25,1036693,461125,44.48038136651834
2021-11-07,272.0,288.45,270.4,286.85,521534,119309,22.876552631276198
2021-11-14,287.1,301.0,285.55,293.4,374693,168675,45.016853797642334
2021-11-21,298.2,307.7,291.2,294.9,602363,243513,40.426287803201724
2021-11-28,297.9,301.9,274.1,292.2,871367,503424,57.77404928118691
2021-12-05,291.35,311.8,279.65,305.5,563167,359547,63.84376215225679
2021-12-12,305.5,308.95,293.65,295.4,285323,170654,59.81081090553513
2021-12-19,297.5,308.0,272.6,275.0,395429,255233,64.54584767429805
2021-12-26,273.85,273.85,246.8,258.45,504519,306769,60.80425117785455
2022-01-02,258.0,272.75,253.7,267.7,509810,319331,62.63725701732018
2022-01-09,264.0,281.55,263.95,273.75,630568,357401,56.67921619872877
