Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-12-20,100.8,111.85,97.05,111.0,123424,97326,78.85500388903293
2020-12-27,114.0,119.75,102.35,112.15,90814,73901,81.37621952562381
2021-01-03,116.95,118.9,107.55,118.05,167093,155216,92.89198230925292
2021-01-10,119.9,134.4,116.5,134.4,168133,151598,90.16552372229128
2021-01-17,140.9,152.0,135.25,140.9,92904,74137,79.79957805907173
2021-01-24,147.0,147.8,131.25,134.05,27255,19232,70.56319941295175
2021-01-31,135.5,137.5,125.65,130.1,19641,15393,78.37177333129678
2021-02-07,136.55,173.05,127.05,171.5,168234,141456,84.08288455365741
2021-02-14,181.0,192.0,156.95,181.95,146401,108044,73.8000423494375
2021-02-21,189.75,193.0,175.2,183.6,155086,128034,82.55677495067253
2021-02-28,192.0,198.0,180.25,184.25,42226,33274,78.79979159759391
2021-03-07,184.45,189.0,168.0,183.4,152090,126277,83.02781247945296
2021-03-14,187.5,214.85,184.15,209.1,174319,111602,64.02170732966572
2021-03-21,215.25,215.25,177.7,182.75,56029,40314,71.95202484427708
2021-03-28,187.8,203.95,184.0,194.15,64317,52091,80.99102881042337
2021-04-04,203.0,213.55,194.0,207.05,55784,45500,81.56460633873512
2021-04-11,209.6,231.0,201.15,221.85,232819,186741,80.20865994613841
2021-04-18,221.5,221.5,202.35,208.05,74357,60446,81.29160670817811
2021-04-25,201.1,214.95,188.0,201.3,57551,44381,77.11594933189693
2021-05-02,203.0,203.8,195.0,196.25,42650,33173,77.77960140679953
2021-05-09,193.25,217.0,189.75,196.15,92187,69953,75.8816319003764
2021-05-16,194.1,203.0,186.0,195.55,113703,93763,82.46308364774896
2021-05-23,199.4,205.0,193.0,197.55,39068,30813,78.87017507934883
2021-05-30,198.0,256.4,194.0,235.55,700602,432705,61.76188477908998
2021-06-06,233.05,244.0,224.0,233.8,188518,131752,69.88828652966825
2021-06-13,230.05,247.85,224.0,236.0,487231,288745,59.26244430259979
2021-06-20,236.0,280.0,230.55,254.65,421160,238324,56.5875201823535
2021-06-27,252.9,258.25,242.0,244.8,176903,118821,67.1673176825718
2021-07-04,244.8,259.45,240.0,249.9,210858,135911,64.45617429739445
2021-07-11,253.0,255.55,238.6,239.55,106831,86064,80.56088588518314
2021-07-18,242.9,248.0,225.0,238.8,370803,310670,83.78303303910702
2021-07-25,238.0,243.0,231.5,236.45,166031,137679,82.92367088073914
2021-08-01,242.5,243.0,232.05,239.25,130866,104160,79.59286598505342
2021-08-08,243.3,248.0,224.6,242.8,221822,172747,77.87640540613646
2021-08-15,245.6,250.0,218.05,239.5,216389,152688,70.56181229175236
2021-08-22,243.45,243.45,210.0,221.65,64545,45135,69.92795723913548
2021-08-29,232.5,232.5,214.0,216.2,46923,33557,71.51503527054962
2021-09-05,221.55,235.15,212.0,227.9,136383,95515,70.03438845017341
2021-09-12,230.95,234.0,221.0,222.75,29822,21589,72.3928643283482
2021-09-19,226.25,231.7,210.0,212.9,114902,95338,82.9733163913596
2021-09-26,217.1,218.25,200.0,210.8,104273,73723,70.70190749283131
2021-10-03,215.15,217.75,208.1,215.25,80866,64385,79.61937031632577
2021-10-10,214.4,231.9,210.55,227.9,142817,96973,67.90017995056611
2021-10-17,232.45,254.4,190.0,229.4,1064243,603738,56.72933719084833
2021-10-24,240.0,240.0,205.9,208.75,152018,92914,61.12039363759555
2021-10-31,215.0,226.95,206.95,209.5,133932,81905,61.15416778663799
2021-11-07,205.55,220.9,205.55,217.85,59290,37621,63.45252150446956
2021-11-14,219.95,220.0,204.05,214.7,112338,68732,61.18321494062561
2021-11-21,214.7,214.7,206.3,210.35,100831,79937,79.27819817318087
2021-11-28,210.35,219.9,196.0,199.95,195257,107788,55.203142524979896
2021-12-05,196.05,218.9,191.0,207.9,149045,88926,59.66385990808145
2021-12-12,205.1,209.8,200.0,203.45,103052,83766,81.28517641579009
2021-12-19,204.0,208.0,195.1,200.0,64684,47870,74.00593655308886
2021-12-26,200.0,238.0,193.1,212.5,368180,191231,51.93954044217502
2022-01-02,217.0,234.0,200.0,230.4,1121672,711638,63.44439372650829
2022-01-09,235.0,275.0,227.45,263.8,866732,363523,41.941799772017184
