Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,REVATHI,571.3,587.0,521.5,531.2,1855,1338
2021-08-24,REVATHI,525.2,549.0,517.1,544.35,1381,959
2021-08-25,REVATHI,546.95,558.0,540.3,546.75,1009,674
2021-08-26,REVATHI,564.0,590.0,555.55,560.75,2215,1018
2021-08-27,REVATHI,565.0,576.15,551.0,557.9,786,467
2021-08-30,REVATHI,560.15,600.0,560.15,571.0,1374,770
2021-08-31,REVATHI,573.95,586.4,571.95,579.35,398,314
2021-09-01,REVATHI,574.0,588.0,555.0,564.4,2885,2167
2021-09-02,REVATHI,580.7,580.7,558.0,562.1,1585,1410
2021-09-03,REVATHI,566.25,588.95,556.0,559.9,2933,2198
2021-09-06,REVATHI,560.0,579.7,556.8,564.25,3055,2252
2021-09-07,REVATHI,565.0,565.0,559.35,561.2,547,524
2021-09-08,REVATHI,562.0,565.0,555.15,564.0,1064,851
2021-09-09,REVATHI,565.0,565.0,549.05,557.5,1095,812
2021-09-13,REVATHI,546.35,587.0,546.35,567.75,2184,1422
2021-09-14,REVATHI,587.0,587.0,548.25,558.25,3900,2674
2021-09-15,REVATHI,570.0,614.05,555.25,614.05,9150,6239
2021-09-16,REVATHI,625.0,662.15,610.0,629.35,5554,2788
2021-09-17,REVATHI,634.0,641.0,583.15,602.85,2795,1115
2021-09-20,REVATHI,585.0,599.85,556.45,567.75,2423,1557
2021-09-21,REVATHI,568.2,623.95,568.2,576.05,2000,1095
2021-09-22,REVATHI,633.0,633.0,572.0,601.6,1775,1119
2021-09-23,REVATHI,610.05,610.05,590.1,599.95,1955,1504
2021-09-24,REVATHI,605.0,613.0,587.25,605.0,3145,2278
2021-09-27,REVATHI,597.75,609.65,595.7,599.05,1135,914
2021-09-28,REVATHI,600.0,605.95,588.0,594.55,3571,3346
2021-09-29,REVATHI,584.55,601.0,584.55,597.15,783,505
2021-09-30,REVATHI,595.0,610.0,590.2,591.6,1401,1149
2021-10-01,REVATHI,587.0,605.0,587.0,596.65,1866,1589
2021-10-04,REVATHI,596.65,605.7,590.0,599.1,1842,1451
2021-10-05,REVATHI,592.0,608.5,592.0,604.1,1270,934
2021-10-06,REVATHI,606.95,607.4,597.0,603.0,901,603
2021-10-07,REVATHI,597.0,606.15,590.8,594.55,5376,5004
2021-10-08,REVATHI,590.05,610.1,585.7,599.95,5751,4045
2021-10-11,REVATHI,599.0,659.9,591.55,639.15,9482,6907
2021-10-12,REVATHI,647.7,647.7,614.0,629.95,2022,1321
2021-10-13,REVATHI,637.95,638.0,617.95,623.15,4785,3850
2021-10-14,REVATHI,620.0,679.9,615.5,668.4,10886,6820
2021-10-18,REVATHI,682.0,682.0,650.85,658.55,3421,2670
2021-10-19,REVATHI,665.0,665.0,637.7,638.35,3148,2311
2021-10-20,REVATHI,628.5,641.9,620.0,624.4,1121,766
2021-10-21,REVATHI,614.4,626.85,609.8,616.75,3828,3014
2021-10-22,REVATHI,616.5,625.85,596.0,599.55,2955,2352
2021-10-25,REVATHI,599.8,604.75,591.6,596.4,4762,4423
2021-10-26,REVATHI,604.75,604.75,589.25,596.45,4023,3571
2021-10-27,REVATHI,581.75,605.0,581.75,596.25,2041,1624
2021-10-28,REVATHI,600.0,600.35,582.25,584.9,1253,1053
2021-10-29,REVATHI,580.25,643.35,580.0,604.3,2813,1314
2021-11-01,REVATHI,594.8,618.0,592.55,599.95,2758,2238
2021-11-02,REVATHI,599.3,625.0,590.0,613.75,7444,5814
2021-11-03,REVATHI,621.95,660.3,602.05,652.3,11228,7510
2021-11-04,REVATHI,658.0,676.95,635.05,659.7,2229,1581
2021-11-08,REVATHI,682.0,693.45,641.0,681.9,9728,7812
2021-11-09,REVATHI,681.9,750.0,675.05,735.9,28486,20839
2021-11-10,REVATHI,747.0,764.6,734.95,745.35,14126,9381
2021-11-11,REVATHI,737.05,752.0,699.95,719.1,4687,2810
2021-11-12,REVATHI,749.9,749.9,700.0,712.1,3836,2953
2021-11-15,REVATHI,725.05,777.0,700.0,702.75,9119,6374
2021-11-16,REVATHI,706.9,720.0,693.3,695.9,3650,3082
2021-11-17,REVATHI,692.2,705.0,687.0,691.3,1984,1433
2021-11-18,REVATHI,700.0,700.0,679.95,695.8,3181,2352
2021-11-22,REVATHI,691.2,695.8,666.0,670.45,3472,2723
2021-11-23,REVATHI,653.35,695.6,648.55,679.45,4340,1612
2021-11-24,REVATHI,698.95,747.0,668.35,717.8,10644,7005
2021-11-25,REVATHI,717.0,738.0,717.0,723.9,2091,1874
2021-11-26,REVATHI,717.8,717.8,679.1,691.3,4290,2918
