Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-11-08,7.6,8.7,7.6,8.7,426,426,100.0,100.0,100.0
2020-11-15,9.1,11.0,9.1,11.0,1459,1459,100.0,200.0,200.0
2020-11-22,11.55,13.3,11.55,13.3,1189,1189,100.0,300.0,300.0
2020-11-29,13.95,16.85,13.95,16.85,1867,1867,100.0,400.0,400.0
2020-12-06,17.65,20.35,17.65,20.35,4360,4360,100.0,500.0,500.0
2020-12-13,21.35,25.85,21.35,25.85,3537,3537,100.0,600.0,600.0
2020-12-20,27.1,32.85,27.1,32.85,6058,6058,100.0,700.0,700.0
2020-12-27,34.45,39.8,34.45,39.8,16446,13785,83.81977380518059,783.8197738051806,783.8197738051806
2021-01-03,41.75,50.6,41.75,50.6,5334,3841,72.00974878140232,855.8295225865829,855.8295225865829
2021-01-10,53.1,64.45,53.1,64.45,13422,9670,72.04589479958278,927.8754173861657,927.8754173861657
2021-01-17,67.65,74.55,67.65,74.55,3602,3602,100.0,1027.8754173861657,1027.8754173861657
2021-01-24,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-01-31,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-02-07,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-02-14,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-02-21,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-02-28,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-03-07,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-03-14,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-03-21,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-03-28,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-04-04,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-04-11,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-04-18,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-04-25,,,,,0,0,,1027.8754173861657,1027.8754173861657
2021-05-02,90.0,109.8,89.0,109.8,58843,48759,82.86287238923916,1110.7382897754048,1027.8754173861657
2021-05-09,110.0,117.8,98.05,99.05,49454,35343,71.4664132324989,1046.5089816803743,956.4090041536668
2021-05-16,99.05,101.5,90.65,93.1,24462,16917,69.15624233505028,1008.5845907224434,887.2527618186166
2021-05-23,96.45,104.7,90.0,104.7,52152,40208,77.09771437337015,1085.6823050958135,964.3504761919868
2021-05-30,107.0,116.0,103.0,108.9,75751,49760,65.68890179667595,1079.6187141607359,1030.0393779886626
2021-06-06,105.3,107.8,90.85,91.7,93395,68440,73.28015418384281,1013.6881919599334,956.7592238048198
2021-06-13,94.8,103.8,94.0,96.05,53191,33525,63.02757985373465,977.0292934735776,1019.7868036585545
2021-06-20,98.95,98.95,91.0,93.95,28953,22392,77.3391358408455,957.0864974391458,942.447667817709
2021-06-27,95.0,95.45,90.7,91.8,57685,35866,62.17560891046199,923.7080126556344,880.272058907247
2021-07-04,93.4,93.4,80.1,82.65,93211,53463,57.35696430678783,888.3450722559608,822.9150946004592
2021-07-11,84.0,86.35,78.0,83.75,85836,60778,70.8071205554779,915.0567404894645,893.7222151559371
2021-07-18,87.0,87.0,79.0,80.25,53107,30963,58.303048562336414,874.9733946028582,835.4191665936007
2021-07-25,81.0,83.9,77.0,79.35,57968,34584,59.660502346122,855.951205449022,775.7586642474787
2021-08-01,79.35,81.6,75.0,76.95,44520,33524,75.30098831985624,825.1462556818083,700.4576759276224
2021-08-08,75.65,80.0,70.0,72.1,45053,29977,66.53718953232858,786.5546857530576,633.9204863952938
2021-08-15,77.9,77.9,56.5,72.6,65541,37800,57.67382249279077,815.6611008428772,691.5943088880846
2021-08-22,73.9,73.9,51.1,59.95,61167,32223,52.68036686448575,803.877334570558,638.9139420235988
2021-08-29,58.0,81.15,55.0,79.75,539719,188675,34.95800592530557,835.0922270507066,673.8719479489043
2021-09-05,81.8,85.95,68.4,68.95,515492,203581,39.49256244519799,798.074981909766,634.3793855037063
2021-09-12,70.15,94.2,64.25,94.2,918059,335021,36.492316942593014,834.567298852359,670.8717024462993
2021-09-19,99.65,150.35,99.5,110.75,836064,498616,59.63849657442493,801.3175175763522,730.5101990207243
2021-09-26,99.7,119.0,99.7,109.45,871498,325853,37.389988273065455,801.704978594726,693.1202107476588
2021-10-03,,,,,0,0,,801.704978594726,693.1202107476588
2021-10-10,,,,,0,0,,801.704978594726,693.1202107476588
2021-10-17,,,,,0,0,,801.704978594726,693.1202107476588
2021-10-24,,,,,0,0,,801.704978594726,693.1202107476588
2021-10-31,,,,,0,0,,801.704978594726,693.1202107476588
2021-11-07,,,,,0,0,,801.704978594726,693.1202107476588
2021-11-14,,,,,0,0,,801.704978594726,693.1202107476588
2021-11-21,,,,,0,0,,801.704978594726,693.1202107476588
2021-11-28,,,,,0,0,,801.704978594726,693.1202107476588
2021-12-05,,,,,0,0,,801.704978594726,693.1202107476588
2021-12-12,,,,,0,0,,801.704978594726,693.1202107476588
2021-12-19,,,,,0,0,,801.704978594726,693.1202107476588
2021-12-26,,,,,0,0,,801.704978594726,693.1202107476588
2022-01-02,,,,,0,0,,801.704978594726,693.1202107476588
2022-01-09,72.3,79.5,72.0,74.4,36147,26823,74.20532824300771,774.9910604272433,693.1202107476588
