Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,RPOWER,3.65,3.75,3.55,3.6,23239750,10266236
2020-08-27,RPOWER,3.6,3.85,3.5,3.7,48461606,11290148
2020-08-28,RPOWER,3.8,3.8,3.65,3.65,15376659,8368538
2020-08-31,RPOWER,3.7,3.75,3.35,3.4,27557886,16835787
2020-09-01,RPOWER,3.4,3.5,3.2,3.25,23538780,11607978
2020-09-02,RPOWER,3.25,3.5,3.2,3.35,13180069,5184647
2020-09-03,RPOWER,3.4,3.45,3.25,3.3,8717748,5173881
2020-09-04,RPOWER,3.3,3.35,3.15,3.3,8971500,4846015
2020-09-07,RPOWER,3.25,3.3,3.1,3.2,12387543,5507389
2020-09-08,RPOWER,3.2,3.45,3.15,3.25,15725520,5412926
2020-09-09,RPOWER,3.25,3.3,3.15,3.2,10696824,5360719
2020-09-10,RPOWER,3.2,3.35,3.1,3.15,20068970,9978527
2020-09-11,RPOWER,3.2,3.2,3.05,3.1,11594561,7497851
2020-09-14,RPOWER,3.15,3.3,3.0,3.05,29901798,12250727
2020-09-15,RPOWER,3.1,3.15,3.0,3.05,11267962,6651604
2020-09-16,RPOWER,3.05,3.1,3.0,3.0,6284944,4575517
2020-09-17,RPOWER,3.0,3.05,2.9,2.9,9067740,5347395
2020-09-18,RPOWER,2.95,3.1,2.9,3.0,10302266,4690351
2020-09-21,RPOWER,2.95,3.05,2.7,2.75,23719299,10873474
2020-09-22,RPOWER,2.7,2.75,2.5,2.7,17253468,6366468
2020-09-23,RPOWER,2.75,2.85,2.65,2.7,7371831,3920304
2020-09-24,RPOWER,2.6,2.7,2.55,2.65,11582226,4807847
2020-09-25,RPOWER,2.65,2.9,2.6,2.9,22119902,9559700
2020-09-28,RPOWER,2.9,2.95,2.75,2.85,15474666,6288666
2020-09-29,RPOWER,2.85,2.9,2.8,2.85,5224621,2441345
2020-09-30,RPOWER,2.85,2.9,2.7,2.75,7864247,2966488
2020-10-01,RPOWER,2.8,2.8,2.7,2.7,4231439,2154565
2020-10-05,RPOWER,2.75,2.85,2.6,2.75,11104530,5752641
2020-10-06,RPOWER,2.8,2.9,2.75,2.8,9600789,4338700
2020-10-07,RPOWER,2.8,2.85,2.6,2.65,20215945,9288200
2020-10-08,RPOWER,2.7,2.8,2.65,2.7,8722234,4664256
2020-10-09,RPOWER,2.65,2.85,2.55,2.75,16095131,5847710
2020-10-12,RPOWER,2.75,2.8,2.65,2.7,5032870,2649891
2020-10-13,RPOWER,2.7,2.75,2.65,2.65,4479441,2697942
2020-10-14,RPOWER,2.65,2.7,2.6,2.65,6132590,3355482
2020-10-15,RPOWER,2.65,2.75,2.45,2.5,11369739,5915825
2020-10-16,RPOWER,2.55,2.6,2.5,2.55,5416655,2843413
2020-10-19,RPOWER,2.55,2.6,2.5,2.55,5097482,2819523
2020-10-20,RPOWER,2.55,2.65,2.4,2.45,14703121,6929097
2020-10-21,RPOWER,2.5,2.55,2.45,2.45,4551511,3546267
2020-10-22,RPOWER,2.45,2.9,2.4,2.75,100095737,34429192
2020-10-23,RPOWER,3.0,3.3,2.95,3.3,127816442,51624552
2020-10-26,RPOWER,3.6,3.75,3.15,3.35,136818460,53286876
2020-10-27,RPOWER,3.35,3.4,3.0,3.05,32027604,22340810
