Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-10-12,RTNINDIA,45.9,45.9,43.8,44.0,1214552,967508
2021-10-13,RTNINDIA,45.5,45.5,42.4,42.65,1417326,984140
2021-10-14,RTNINDIA,43.75,43.9,42.55,42.75,963842,683573
2021-10-18,RTNINDIA,43.7,44.2,41.35,42.1,1198385,814758
2021-10-19,RTNINDIA,42.65,43.3,40.35,40.85,1524139,1133108
2021-10-20,RTNINDIA,41.75,42.2,39.6,40.8,1808650,1287586
2021-10-21,RTNINDIA,41.65,42.8,40.5,42.8,1547342,1167130
2021-10-22,RTNINDIA,44.8,44.8,40.7,40.7,2588088,1438800
2021-10-25,RTNINDIA,40.6,42.7,38.8,42.05,3213966,2199038
2021-10-26,RTNINDIA,42.1,44.15,40.0,40.75,3130864,1523759
2021-10-27,RTNINDIA,41.3,42.4,40.35,41.2,1276974,849276
2021-10-28,RTNINDIA,41.4,41.75,39.9,40.55,1024647,668854
2021-10-29,RTNINDIA,39.6,41.5,38.6,40.35,1938101,1192235
2021-11-01,RTNINDIA,41.0,41.4,40.05,41.1,749591,518818
2021-11-02,RTNINDIA,42.45,43.15,41.75,43.15,2498470,1373618
2021-11-03,RTNINDIA,44.85,45.3,43.85,45.3,2301596,1263167
2021-11-04,RTNINDIA,46.95,46.95,43.85,45.2,3134797,1876645
2021-11-08,RTNINDIA,45.0,45.35,42.95,44.45,2152292,1306245
2021-11-09,RTNINDIA,45.4,46.65,44.15,46.65,8909375,3648678
2021-11-10,RTNINDIA,46.6,48.95,45.3,48.95,2982248,1736922
2021-11-11,RTNINDIA,51.35,51.35,49.95,51.35,6236870,2648530
2021-11-12,RTNINDIA,53.9,53.9,50.1,53.9,8289486,2940092
2021-11-15,RTNINDIA,55.9,55.9,51.25,51.4,4320861,2774565
2021-11-16,RTNINDIA,50.7,53.95,50.1,52.85,6911293,2091068
2021-11-17,RTNINDIA,52.4,53.7,51.0,51.3,2164267,1171071
2021-11-18,RTNINDIA,51.1,51.3,48.75,48.75,2734886,1239422
2021-11-22,RTNINDIA,49.95,49.95,46.35,46.35,2614391,1457863
2021-11-23,RTNINDIA,44.6,47.4,44.05,46.1,2389448,1162095
2021-11-24,RTNINDIA,46.35,48.4,46.25,48.4,2648446,1039729
2021-11-25,RTNINDIA,49.2,50.45,48.1,48.65,2351453,1336157
2021-11-26,RTNINDIA,48.0,48.0,46.25,46.25,1632283,918539
2021-11-29,RTNINDIA,46.0,46.15,43.95,43.95,1790346,949689
2021-11-30,RTNINDIA,42.35,46.1,42.35,42.8,3599055,1228594
2021-12-01,RTNINDIA,43.8,44.7,42.5,43.8,1539589,588215
2021-12-02,RTNINDIA,43.95,45.95,43.25,45.95,1619449,891181
2021-12-03,RTNINDIA,46.5,46.7,43.7,44.0,2343414,1317498
2021-12-06,RTNINDIA,44.1,45.65,42.0,42.85,2770668,1294430
2021-12-07,RTNINDIA,43.55,47.1,42.7,47.1,5860443,2966479
2021-12-08,RTNINDIA,48.4,51.2,43.05,49.4,7103337,2663179
2021-12-09,RTNINDIA,50.35,51.7,48.15,49.8,4368571,2484641
2021-12-10,RTNINDIA,50.35,52.05,49.65,50.55,3737049,2411180
2021-12-13,RTNINDIA,51.5,55.6,50.55,55.6,6177470,3389717
2021-12-14,RTNINDIA,58.35,58.35,56.25,58.35,2950945,2049711
2021-12-15,RTNINDIA,61.25,61.25,58.6,61.25,3079555,2204931
2021-12-16,RTNINDIA,62.0,64.25,58.2,58.2,10775973,5349769
2021-12-17,RTNINDIA,55.3,55.3,55.3,55.3,331965,331965
2021-12-20,RTNINDIA,52.55,52.55,52.55,52.55,182365,182365
2021-12-21,RTNINDIA,51.45,51.7,49.95,49.95,12894258,4103507
2021-12-22,RTNINDIA,50.1,52.4,50.05,52.3,7465213,2269017
2021-12-23,RTNINDIA,52.5,52.95,50.25,50.7,3805630,2297202
2021-12-24,RTNINDIA,50.65,50.85,48.2,48.2,2984361,1648888
2021-12-27,RTNINDIA,47.9,47.9,45.8,46.05,14142405,5269646
2021-12-28,RTNINDIA,47.3,48.35,46.5,48.35,5003818,2274532
2021-12-29,RTNINDIA,49.8,49.8,47.0,48.7,4744735,2521958
2021-12-30,RTNINDIA,49.0,49.1,47.3,47.5,1567404,1006457
2021-12-31,RTNINDIA,48.4,49.0,47.35,47.6,4027882,3189425
2022-01-03,RTNINDIA,48.2,49.95,47.6,49.95,2138581,1443105
2022-01-04,RTNINDIA,51.7,52.4,49.75,52.4,7512751,3538946
2022-01-05,RTNINDIA,52.35,53.45,50.45,52.3,4601269,2649301
2022-01-06,RTNINDIA,52.0,54.9,50.15,54.9,3216262,2396107
2022-01-07,RTNINDIA,56.7,57.6,56.25,57.6,2363432,1942809
2022-01-10,RTNINDIA,60.45,60.45,60.45,60.45,1059711,1059534
2022-01-11,RTNINDIA,63.45,63.45,63.45,63.45,1952054,1800224
2022-01-12,RTNINDIA,63.5,65.9,60.3,60.3,11709962,6442287
2022-01-13,RTNINDIA,61.0,62.55,57.85,58.75,4058562,2084695
2022-01-14,RTNINDIA,59.65,61.65,58.5,61.6,2923864,1940188
2022-01-17,RTNINDIA,60.8,62.4,58.65,59.3,3467730,1990769
2022-01-18,RTNINDIA,59.3,60.55,56.5,56.85,2022416,1109060
2022-01-19,RTNINDIA,57.3,57.8,55.0,55.45,1763351,971255
2022-01-20,RTNINDIA,56.25,58.2,56.0,58.2,2591296,1414824
2022-01-21,RTNINDIA,59.0,61.1,56.3,57.3,5912508,2924334
2022-01-24,RTNINDIA,57.9,58.3,54.45,54.45,1008563,868328
2022-01-25,RTNINDIA,52.15,53.7,51.75,52.85,1853837,892420
2022-01-27,RTNINDIA,52.0,53.8,51.7,53.1,1366505,653221
2022-01-28,RTNINDIA,54.9,55.75,53.85,54.6,2542721,1041464
2022-01-31,RTNINDIA,55.3,55.8,52.05,52.75,1628584,994860
2022-02-01,RTNINDIA,53.0,55.0,52.5,54.15,1869684,884357
2022-02-02,RTNINDIA,55.0,55.25,53.15,53.4,1386014,855349
2022-02-03,RTNINDIA,53.5,55.3,53.4,54.3,1132605,615243
2022-02-04,RTNINDIA,54.7,57.0,53.45,57.0,4129833,2510948
2022-02-07,RTNINDIA,57.9,58.4,54.3,55.45,4156135,2336350
2022-02-08,RTNINDIA,55.5,56.35,52.6,52.8,1634124,926241
2022-02-09,RTNINDIA,53.95,54.0,51.1,52.15,1440483,927979
2022-02-10,RTNINDIA,52.6,53.8,51.1,51.85,1515825,812521
2022-02-11,RTNINDIA,51.1,52.45,51.0,51.25,943965,465118
2022-02-14,RTNINDIA,50.0,50.8,47.2,48.1,1822430,1114758
2022-02-15,RTNINDIA,45.15,52.4,44.65,51.55,2770507,1279877
2022-02-16,RTNINDIA,52.4,52.7,48.9,49.45,1321318,718195
2022-02-17,RTNINDIA,50.1,51.05,48.7,49.3,1057963,677829
2022-02-18,RTNINDIA,49.3,49.85,48.0,48.15,715266,402638
2022-02-21,RTNINDIA,48.0,48.0,44.9,45.2,1073132,622946
2022-02-22,RTNINDIA,43.0,44.0,41.85,42.2,1949712,1412750
2022-02-23,RTNINDIA,42.4,46.0,42.4,44.7,1651320,649391
2022-02-24,RTNINDIA,42.5,43.0,40.25,40.25,2555310,1781636
2022-02-25,RTNINDIA,43.0,43.9,42.25,43.05,1396442,863872
2022-02-28,RTNINDIA,41.0,43.05,40.2,40.95,3054240,1894471
2022-03-02,RTNINDIA,41.05,42.5,40.8,40.95,1675503,982349
2022-03-03,RTNINDIA,42.5,42.5,40.85,41.0,1265801,813763
2022-03-04,RTNINDIA,40.8,45.0,40.2,42.15,1375654,982904
2022-03-07,RTNINDIA,42.0,42.0,40.65,40.85,1736784,1411947
2022-03-08,RTNINDIA,41.0,42.75,40.85,42.3,1394132,846497
2022-03-09,RTNINDIA,43.1,44.25,41.85,43.75,1496856,856401
2022-03-10,RTNINDIA,45.45,47.5,44.5,45.45,1743260,866244
2022-03-11,RTNINDIA,46.0,47.0,45.5,46.15,1312928,662188
2022-03-14,RTNINDIA,49.0,50.75,47.2,50.75,4289107,2322012
2022-03-15,RTNINDIA,52.0,52.6,47.6,48.45,3450099,2020840
2022-03-16,RTNINDIA,50.0,50.6,48.7,48.95,1410195,850552
2022-03-17,RTNINDIA,50.4,50.75,49.0,49.65,992726,624684
2022-03-21,RTNINDIA,50.25,50.25,48.35,48.55,847035,539428
2022-03-22,RTNINDIA,48.0,48.4,47.1,47.7,759952,429489
2022-03-23,RTNINDIA,48.5,48.55,46.45,46.7,1079715,691101
2022-03-24,RTNINDIA,46.85,47.3,45.85,46.05,716807,489957
2022-03-25,RTNINDIA,47.0,47.05,46.0,46.15,892914,513671
2022-03-28,RTNINDIA,46.65,46.65,43.9,44.35,1316091,918037
2022-03-29,RTNINDIA,44.95,48.75,44.6,47.2,2664180,1251604
2022-03-30,RTNINDIA,45.4,48.95,45.4,47.75,1699659,872958
2022-03-31,RTNINDIA,48.0,48.0,45.5,46.15,1133275,549802
2022-04-01,RTNINDIA,46.3,47.9,46.3,47.5,1165532,549427
2022-04-04,RTNINDIA,47.8,49.55,46.85,48.35,1923674,909312
2022-04-05,RTNINDIA,49.2,50.1,47.75,48.2,1833643,759760
2022-04-06,RTNINDIA,47.9,52.3,47.55,51.05,4903529,2175782
2022-04-07,RTNINDIA,52.0,52.15,48.35,48.95,3287053,1588471
2022-04-08,RTNINDIA,49.4,51.3,49.15,49.85,1765637,796359
2022-04-11,RTNINDIA,49.95,50.45,48.65,49.05,1196079,781465
2022-04-12,RTNINDIA,48.8,48.8,46.5,47.15,1181469,716790
2022-04-13,RTNINDIA,47.7,48.5,46.55,46.8,817382,466611
2022-04-18,RTNINDIA,46.8,47.05,45.5,45.85,1297006,780581
2022-04-19,RTNINDIA,46.35,47.7,40.2,43.95,1763312,844018
2022-04-20,RTNINDIA,44.5,47.0,44.0,46.05,1642586,685256
2022-04-21,RTNINDIA,46.45,47.0,45.55,46.05,718304,364773
2022-04-22,RTNINDIA,45.75,46.3,45.1,45.5,670384,395279
2022-04-25,RTNINDIA,44.9,44.9,43.85,44.2,824389,499419
2022-04-26,RTNINDIA,45.0,45.25,43.9,44.0,630686,374964
2022-04-27,RTNINDIA,44.1,44.2,42.8,43.05,729996,435660
2022-04-28,RTNINDIA,44.9,45.05,42.1,42.75,923597,485748
2022-04-29,RTNINDIA,43.1,43.5,42.5,42.7,970059,604837
2022-05-02,RTNINDIA,42.4,43.6,41.0,41.95,709745,430055
2022-05-04,RTNINDIA,42.05,42.6,39.25,40.8,903786,545302
2022-05-05,RTNINDIA,41.2,42.35,40.65,40.9,722267,380102
2022-05-06,RTNINDIA,40.4,41.8,40.05,40.85,981868,562246
2022-05-09,RTNINDIA,40.85,40.85,39.5,39.95,845912,517289
2022-05-10,RTNINDIA,40.2,40.3,33.0,34.45,4352650,2039008
2022-05-11,RTNINDIA,34.8,36.4,30.7,32.35,7686561,1711247
2022-05-12,RTNINDIA,32.2,32.2,30.5,31.25,2075127,834365
2022-05-13,RTNINDIA,33.45,37.5,32.3,37.45,8071986,2419300
2022-05-16,RTNINDIA,39.0,44.3,37.5,43.25,11424131,2072176
2022-05-17,RTNINDIA,44.4,45.8,41.65,43.6,3908463,1313675
2022-05-18,RTNINDIA,43.9,46.45,43.0,45.6,3409758,1357516
2022-05-19,RTNINDIA,44.0,44.15,41.4,41.85,1895664,1122402
2022-05-20,RTNINDIA,43.45,44.4,42.6,43.2,1249232,669350
2022-05-23,RTNINDIA,44.2,44.2,41.6,42.1,984204,632578
2022-05-24,RTNINDIA,42.6,43.1,41.2,41.75,1056746,688552
2022-05-25,RTNINDIA,42.45,42.6,38.9,39.5,1257212,886560
2022-05-26,RTNINDIA,39.95,40.8,36.5,40.45,2087871,1158288
2022-05-27,RTNINDIA,41.3,42.85,39.65,40.75,1698430,754364
2022-05-30,RTNINDIA,43.4,44.8,42.7,44.8,2176855,1439311
2022-05-31,RTNINDIA,47.9,49.25,46.8,49.25,15673895,8552557
2022-06-01,RTNINDIA,50.9,54.15,50.2,54.15,8442438,3836139
2022-06-02,RTNINDIA,54.7,56.85,54.15,56.85,2414444,1518895
2022-06-03,RTNINDIA,59.65,59.65,54.05,54.05,11216421,4366884
2022-06-06,RTNINDIA,51.7,52.9,51.35,51.35,3758137,1790379
2022-06-07,RTNINDIA,49.55,52.8,48.8,51.0,9256235,2858297
2022-06-08,RTNINDIA,50.5,51.55,48.45,48.45,2197014,1334983
2022-06-09,RTNINDIA,46.05,47.15,46.05,46.05,8306653,2601576
2022-06-10,RTNINDIA,44.35,48.35,44.35,46.5,4699238,1602773
2022-06-13,RTNINDIA,45.0,45.3,44.2,44.2,2618630,1106824
2022-06-14,RTNINDIA,43.3,45.35,42.3,42.75,2415897,1117518
2022-06-15,RTNINDIA,43.15,44.85,43.15,44.85,1761830,1033816
2022-06-16,RTNINDIA,45.8,47.05,42.65,42.65,4559199,1594583
2022-06-17,RTNINDIA,41.8,42.7,40.7,41.7,1882518,928797
2022-06-20,RTNINDIA,42.5,42.5,39.65,39.65,1769402,899655
2022-06-21,RTNINDIA,39.65,41.6,39.1,41.15,1745942,852151
2022-06-22,RTNINDIA,41.7,41.7,39.7,39.95,1246891,650386
2022-06-23,RTNINDIA,40.1,40.8,39.9,40.05,877393,394772
2022-06-24,RTNINDIA,40.9,42.05,40.25,42.05,3645811,1028942
2022-06-27,RTNINDIA,43.0,43.6,42.2,42.6,1093301,586665
2022-06-28,RTNINDIA,42.3,42.3,41.5,41.65,601726,394902
2022-06-29,RTNINDIA,40.2,42.0,40.2,40.85,588053,326085
2022-06-30,RTNINDIA,41.3,42.85,41.2,42.4,1208608,631551
2022-07-01,RTNINDIA,43.0,43.2,41.2,41.65,622861,364786
2022-07-04,RTNINDIA,42.0,42.35,41.0,41.2,602013,369131
2022-07-05,RTNINDIA,41.65,42.7,40.4,41.05,711072,351882
2022-07-06,RTNINDIA,41.4,41.7,40.8,41.45,458542,282245
2022-07-07,RTNINDIA,41.95,43.5,41.85,43.3,1345209,815095
2022-07-08,RTNINDIA,43.95,45.3,43.35,43.95,1499520,793390
2022-07-11,RTNINDIA,43.85,44.65,43.0,43.2,1264730,730756
2022-07-12,RTNINDIA,42.8,43.75,41.8,43.0,963823,414089
2022-07-13,RTNINDIA,43.45,43.75,42.55,42.75,437379,276713
2022-07-14,RTNINDIA,43.1,43.25,41.55,41.95,433967,296452
2022-07-15,RTNINDIA,42.35,42.55,41.2,41.55,412539,314862
2022-07-18,RTNINDIA,42.65,43.6,42.1,43.6,893576,732377
2022-07-19,RTNINDIA,44.45,45.35,43.7,44.35,1482159,734865
2022-07-20,RTNINDIA,45.1,45.45,43.55,43.75,809930,515203
