Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2021-01-10,26.5,35.95,22.5,30.6,2114847,1041453,49.24483898835235,10.068647376800664,49.24483898835235
2021-01-17,32.75,32.75,26.8,27.4,978747,480594,49.10298575627818,-29.13121520174078,0.141853232074169
2021-01-24,27.9,29.05,24.6,24.95,497418,281080,56.507806311794106,-76.75015310493811,-56.36595307971994
2021-01-31,26.25,26.25,23.0,23.7,141148,92924,65.83444327939468,-114.22514389474742,-122.20039635911462
2021-02-07,23.7,24.85,22.35,22.8,212076,135609,63.943586261528885,-155.14903910212593,-186.1439826206435
2021-02-14,22.25,23.5,21.75,22.85,493811,320516,64.9066140689454,-138.45876691296843,-121.2373685516981
2021-02-21,22.25,23.6,20.6,21.15,249354,187448,75.17344819012328,-186.06861743337998,-196.41081674182138
2021-02-28,20.25,22.35,19.9,21.25,198708,140997,70.9568814541941,-178.82811932580915,-125.45393528762727
2021-03-07,22.1,22.1,20.0,20.85,219967,123389,56.094323239395,-189.5127523237891,-181.54825852702228
2021-03-14,20.75,22.6,20.25,20.5,355064,247215,69.62547597052927,-244.32429723675895,-251.17373449755155
2021-03-21,20.3,21.3,18.05,18.25,255534,176846,69.20644610893267,-305.01302690151533,-320.3801806064842
2021-03-28,18.05,18.55,16.6,17.0,209190,154152,73.68994693819016,-348.47120073685835,-394.0701275446744
2021-04-04,17.0,17.2,15.05,16.5,81522,60922,74.73074752827458,-322.4023353200184,-468.800875072949
2021-04-11,17.3,18.6,16.7,17.8,185302,128219,69.19461203872596,-311.47687026127215,-399.60626303422305
2021-04-18,17.85,17.85,15.95,17.0,86288,56572,65.56183942147229,-304.5756240063804,-465.16810245569536
2021-04-25,17.3,18.75,16.2,17.35,429335,255532,59.51809193287293,-310.41073105862273,-405.6500105228224
2021-05-02,17.1,17.9,16.35,17.0,392040,283030,72.19416386083053,-322.0549510361761,-477.84417438365296
2021-05-09,17.35,17.6,16.6,16.7,245820,166660,67.79757546171996,-376.2930114055523,-545.6417498453729
2021-05-16,17.45,18.0,16.6,17.0,478503,315625,65.96092396494902,-404.56197881910197,-479.6808258804239
2021-05-23,17.6,18.7,16.6,18.7,498689,414391,83.09607791629652,-321.46590090280546,-396.5847479641274
2021-05-30,19.6,23.7,19.6,21.65,562658,452226,80.37315740645295,-321.4659009028055,-316.21159055767447
2021-06-06,22.0,23.35,20.9,21.4,354800,212657,59.937147688838785,-356.93890667783256,-376.14873824651323
2021-06-13,22.3,22.35,20.4,21.0,309133,201898,65.31104734855224,-382.05854027342957,-441.45978559506545
2021-06-20,21.0,21.25,19.0,19.3,179420,128339,71.52992977371531,-434.51382210748744,-512.9897153687807
2021-06-27,19.0,21.7,18.6,20.5,250900,175638,70.00318852132324,-418.7066505058983,-442.98652684745747
