Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,SADBHIN,16.3,17.1,16.3,16.7,577538
2020-08-21,SADBHIN,16.95,17.45,16.8,17.3,325619
2020-08-24,SADBHIN,17.55,19.9,15.7,18.4,3102847
2020-08-25,SADBHIN,19.0,22.05,18.8,21.15,3353569
2020-08-26,SADBHIN,20.95,21.4,19.65,20.95,1414178
2020-08-27,SADBHIN,21.25,21.25,19.95,20.15,1479415
2020-08-28,SADBHIN,20.2,21.45,19.9,20.2,606945
2020-08-31,SADBHIN,20.45,20.55,18.0,18.25,735070
2020-09-01,SADBHIN,17.65,17.9,15.7,16.6,1381746
2020-09-02,SADBHIN,17.25,18.4,16.85,18.0,667622
2020-09-03,SADBHIN,18.25,18.7,18.05,18.25,236333
2020-09-04,SADBHIN,17.9,18.9,17.55,18.35,419677
2020-09-07,SADBHIN,18.7,18.8,17.95,18.4,375849
2020-09-08,SADBHIN,18.65,18.85,18.05,18.2,314092
2020-09-09,SADBHIN,18.05,18.05,17.1,17.85,753645
2020-09-10,SADBHIN,17.5,18.25,17.4,17.65,231336
2020-09-11,SADBHIN,17.65,18.0,17.55,17.8,63099
2020-09-14,SADBHIN,17.8,18.25,17.45,17.55,105955
2020-09-15,SADBHIN,17.6,18.8,17.5,18.6,288505
2020-09-16,SADBHIN,18.55,20.9,18.55,20.0,902855
2020-09-17,SADBHIN,20.0,20.0,19.1,19.45,209814
2020-09-18,SADBHIN,19.5,19.75,18.5,18.65,264562
2020-09-21,SADBHIN,18.8,18.8,17.5,17.65,153042
2020-09-22,SADBHIN,17.8,17.85,16.7,17.4,142654
2020-09-23,SADBHIN,17.6,18.15,16.75,17.05,103747
2020-09-24,SADBHIN,17.0,17.0,16.1,16.4,146511
2020-09-25,SADBHIN,16.65,18.0,16.65,17.35,107693
2020-09-28,SADBHIN,17.45,17.9,17.1,17.75,73953
2020-09-29,SADBHIN,17.9,18.0,17.2,17.65,72826
2020-09-30,SADBHIN,17.9,17.9,17.2,17.3,21614
2020-10-01,SADBHIN,17.35,17.8,17.0,17.2,132453
2020-10-05,SADBHIN,17.5,17.75,17.2,17.45,74790
2020-10-06,SADBHIN,17.6,18.45,17.25,17.75,141018
2020-10-07,SADBHIN,17.95,17.95,17.25,17.3,63128
2020-10-08,SADBHIN,17.45,17.7,16.95,17.0,73962
2020-10-09,SADBHIN,17.1,17.35,16.7,17.0,97255
2020-10-12,SADBHIN,17.0,17.6,16.75,16.85,57336
2020-10-13,SADBHIN,16.7,17.1,16.65,16.75,61448
2020-10-14,SADBHIN,17.0,17.0,16.4,16.6,51358
2020-10-15,SADBHIN,16.85,16.95,16.2,16.25,74237
2020-10-16,SADBHIN,16.5,16.5,15.75,15.95,136740
2020-10-19,SADBHIN,16.2,16.65,16.1,16.15,76532
2020-10-20,SADBHIN,16.15,16.4,16.0,16.3,122351
2020-10-21,SADBHIN,16.25,16.4,16.05,16.15,40934
2020-10-22,SADBHIN,16.05,16.4,16.05,16.3,55680
2020-10-23,SADBHIN,16.5,16.9,16.1,16.65,91435
2020-10-26,SADBHIN,16.65,16.95,15.9,15.95,757008
2020-10-27,SADBHIN,16.15,16.85,15.85,16.55,146879
2020-10-28,SADBHIN,16.6,17.3,16.25,16.8,1104312
2020-10-29,SADBHIN,16.8,16.85,16.2,16.4,45213
2020-10-30,SADBHIN,16.75,16.75,16.0,16.2,53769
2020-11-02,SADBHIN,16.6,16.6,15.8,16.0,57856
2020-11-03,SADBHIN,16.15,16.3,15.9,15.95,38353
2020-11-04,SADBHIN,16.0,16.15,15.9,15.95,26922
2020-11-05,SADBHIN,16.25,16.25,15.85,16.0,146428
2020-11-06,SADBHIN,16.0,16.2,15.8,15.9,73023
2020-11-09,SADBHIN,16.2,16.2,15.9,16.0,75759
2020-11-10,SADBHIN,16.0,16.15,15.9,16.0,62702
2020-11-11,SADBHIN,16.1,16.4,15.85,16.1,420989
2020-11-12,SADBHIN,16.05,16.35,15.95,16.2,67374
2020-11-13,SADBHIN,16.3,17.3,14.8,15.05,1226817
2020-11-14,SADBHIN,15.5,15.7,15.3,15.55,92108
2020-11-17,SADBHIN,15.85,16.0,15.5,15.9,182775
2020-11-18,SADBHIN,15.95,16.5,15.7,16.15,242599
2020-11-19,SADBHIN,16.3,16.35,15.9,15.95,194553
2020-11-20,SADBHIN,16.35,16.4,15.9,16.0,45508
2020-11-23,SADBHIN,16.3,16.6,15.9,16.05,158144
2020-11-24,SADBHIN,16.35,16.6,16.15,16.4,225376
2020-11-25,SADBHIN,16.65,17.3,16.1,16.7,317413
2020-11-26,SADBHIN,17.0,17.0,16.3,16.45,70898
2020-11-27,SADBHIN,16.8,17.05,16.45,16.95,162701
2020-12-01,SADBHIN,17.9,17.9,17.0,17.65,344995
2020-12-02,SADBHIN,17.85,18.4,17.35,17.55,290257
2020-12-03,SADBHIN,17.8,19.4,17.35,18.95,735284
2020-12-04,SADBHIN,18.85,22.6,18.05,22.3,2411170
2020-12-07,SADBHIN,22.85,23.6,22.1,23.4,938592
2020-12-08,SADBHIN,23.65,23.75,20.4,21.8,543997
2020-12-09,SADBHIN,22.75,23.0,21.2,21.4,273926
