Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SAGCEM,298.5,298.8,270.0,277.9,321436,201356
2021-08-24,SAGCEM,271.0,290.95,268.75,285.0,716217,567354
2021-08-25,SAGCEM,288.8,295.0,281.0,282.55,94581,56129
2021-08-26,SAGCEM,282.55,289.1,278.0,280.35,45100,24837
2021-08-27,SAGCEM,280.0,283.0,275.2,276.7,442376,409466
2021-08-30,SAGCEM,277.8,290.0,277.05,283.15,123269,81436
2021-08-31,SAGCEM,283.15,288.8,278.0,279.95,330417,310696
2021-09-01,SAGCEM,284.8,284.8,275.15,276.7,88429,51583
2021-09-02,SAGCEM,280.0,283.45,274.7,276.5,170072,87997
2021-09-03,SAGCEM,280.0,281.0,275.1,276.6,76171,52101
2021-09-06,SAGCEM,279.45,281.75,270.5,273.1,101549,62027
2021-09-07,SAGCEM,276.9,276.9,268.0,269.6,336217,312551
2021-09-08,SAGCEM,269.65,277.25,268.0,269.55,64309,37680
2021-09-09,SAGCEM,270.95,273.95,266.85,267.45,185267,168499
2021-09-13,SAGCEM,275.0,276.0,270.05,272.65,175122,144118
2021-09-14,SAGCEM,276.95,276.95,273.0,274.35,59240,37924
2021-09-15,SAGCEM,274.85,280.0,272.5,273.4,49662,28955
2021-09-16,SAGCEM,276.5,276.5,272.0,275.95,56012,41643
2021-09-17,SAGCEM,273.45,284.75,273.45,281.0,296448,269269
2021-09-20,SAGCEM,284.75,290.0,275.5,285.2,209142,119839
2021-09-21,SAGCEM,289.0,289.9,270.55,282.55,120306,70566
2021-09-22,SAGCEM,282.55,282.55,275.0,276.85,63530,33836
2021-09-23,SAGCEM,279.9,290.8,276.15,281.4,155285,64810
2021-09-24,SAGCEM,285.8,290.0,277.0,287.3,102900,54436
2021-09-27,SAGCEM,289.75,297.85,280.0,282.2,110879,59832
2021-09-28,SAGCEM,284.0,305.7,278.35,301.6,393229,209621
2021-09-29,SAGCEM,302.0,302.0,292.55,300.1,338725,255083
2021-09-30,SAGCEM,300.0,301.75,293.3,294.55,67387,36750
2021-10-01,SAGCEM,294.55,294.55,285.35,288.15,53667,26023
2021-10-04,SAGCEM,290.75,303.0,289.05,296.6,234554,74301
2021-10-05,SAGCEM,299.0,302.4,297.25,299.25,91688,50405
2021-10-06,SAGCEM,298.0,314.4,296.0,307.8,375916,167637
2021-10-07,SAGCEM,310.7,314.85,304.0,305.3,178327,98281
2021-10-08,SAGCEM,308.9,314.65,301.35,302.65,85653,46995
2021-10-11,SAGCEM,305.0,306.1,293.0,294.65,85322,56578
2021-10-12,SAGCEM,295.5,298.2,285.5,286.9,102014,64381
2021-10-13,SAGCEM,286.9,303.0,282.0,296.7,164106,74995
2021-10-14,SAGCEM,295.1,305.05,295.1,296.7,109491,52895
2021-10-18,SAGCEM,299.3,303.1,292.0,292.75,62906,35626
2021-10-19,SAGCEM,294.0,295.95,285.2,286.3,64025,33153
2021-10-20,SAGCEM,287.3,292.95,280.0,284.5,45835,20419
2021-10-21,SAGCEM,287.5,290.6,281.5,288.65,62129,29155
2021-10-22,SAGCEM,294.0,295.0,283.35,287.35,146964,50322
2021-10-25,SAGCEM,286.05,292.0,275.3,277.05,89986,56708
2021-10-26,SAGCEM,275.0,289.45,273.4,285.95,105748,47378
2021-10-27,SAGCEM,284.8,294.9,267.05,270.15,207086,142816
2021-10-28,SAGCEM,265.0,276.15,261.0,265.05,157843,87681
2021-10-29,SAGCEM,266.9,282.4,260.85,280.25,191682,104514
2021-11-01,SAGCEM,281.0,284.0,274.05,276.7,87709,36244
2021-11-02,SAGCEM,277.9,280.0,275.0,275.7,47725,24632
2021-11-03,SAGCEM,276.9,276.9,268.0,269.7,56898,33354
2021-11-04,SAGCEM,271.7,277.0,271.0,275.6,14748,10523
2021-11-08,SAGCEM,279.0,298.0,279.0,294.5,329377,206077
2021-11-09,SAGCEM,295.65,296.5,288.0,289.85,80159,42044
2021-11-10,SAGCEM,288.0,291.6,282.4,284.35,59967,30053
2021-11-11,SAGCEM,283.0,284.55,277.05,279.35,60497,36171
2021-11-12,SAGCEM,280.9,280.9,272.1,274.3,56024,34588
2021-11-15,SAGCEM,276.9,276.9,267.05,269.1,55171,37614
2021-11-16,SAGCEM,277.0,290.0,275.55,277.45,153523,55661
2021-11-17,SAGCEM,277.45,278.85,270.1,271.7,51490,28455
2021-11-18,SAGCEM,275.0,276.4,267.0,272.0,57852,32039
2021-11-22,SAGCEM,274.4,274.5,265.0,266.15,78702,43090
2021-11-23,SAGCEM,263.0,272.0,261.0,270.45,35193,18112
2021-11-24,SAGCEM,275.0,275.0,270.0,271.3,27256,16122
2021-11-25,SAGCEM,267.5,273.9,267.5,269.7,18116,10144
2021-11-26,SAGCEM,268.5,272.05,260.05,261.9,62585,38159
2021-11-29,SAGCEM,261.9,262.65,246.3,255.0,86212,50953
2021-11-30,SAGCEM,260.0,263.65,255.0,257.15,297757,283458
2021-12-01,SAGCEM,257.35,263.8,255.8,257.45,31745,18704
2021-12-02,SAGCEM,258.5,263.45,254.85,257.75,18167,10105
2021-12-03,SAGCEM,259.3,260.2,254.1,255.5,28166,15088
2021-12-06,SAGCEM,248.45,252.25,235.1,240.05,310700,147959
2021-12-07,SAGCEM,240.05,254.95,240.05,250.0,120414,57337
2021-12-08,SAGCEM,252.9,256.45,248.0,250.05,70404,44433
2021-12-09,SAGCEM,251.9,264.0,248.95,252.15,99761,63277
2021-12-10,SAGCEM,257.0,259.0,250.9,252.0,30001,16054
2021-12-13,SAGCEM,258.7,260.7,244.35,254.4,189159,89988
2021-12-14,SAGCEM,254.4,254.4,247.25,250.75,27700,12348
2021-12-15,SAGCEM,250.75,251.9,246.65,248.15,22564,11878
2021-12-16,SAGCEM,250.5,260.0,248.4,256.3,226005,136208
2021-12-17,SAGCEM,256.0,259.0,250.35,253.7,86661,42122
2021-12-20,SAGCEM,250.0,255.9,236.0,250.7,140098,82634
2021-12-21,SAGCEM,255.0,255.85,248.2,250.7,41443,22877
2021-12-22,SAGCEM,251.9,254.9,248.4,250.55,53347,30204
2021-12-23,SAGCEM,251.0,258.0,251.0,255.25,207111,158774
2021-12-24,SAGCEM,257.0,258.0,253.3,256.15,29297,14833
2021-12-27,SAGCEM,261.0,269.1,258.0,266.25,133366,68903
2021-12-28,SAGCEM,268.4,273.9,264.5,267.95,60430,26400
2021-12-29,SAGCEM,270.0,273.0,263.25,266.2,36172,17671
2021-12-30,SAGCEM,266.0,271.5,262.85,265.3,51290,26401
2021-12-31,SAGCEM,268.5,274.8,268.0,269.7,67768,21796
2022-01-03,SAGCEM,271.7,273.0,268.85,270.3,69258,31314
2022-01-04,SAGCEM,274.0,274.0,266.7,268.6,50836,32096
2022-01-05,SAGCEM,266.2,273.4,262.5,264.2,93128,51446
2022-01-06,SAGCEM,261.7,269.0,260.0,265.55,36104,19930
2022-01-07,SAGCEM,268.4,294.7,265.25,278.5,337577,84628
2022-01-10,SAGCEM,278.5,278.5,268.75,271.0,96997,51269
2022-01-11,SAGCEM,276.0,278.1,270.5,271.5,68604,34736
2022-01-12,SAGCEM,273.75,274.65,270.0,272.5,39461,21085
2022-01-13,SAGCEM,273.9,274.4,269.5,271.15,44560,25763
2022-01-14,SAGCEM,269.55,276.3,269.5,271.2,68689,31615
2022-01-17,SAGCEM,265.35,272.8,265.0,269.45,90370,38454
2022-01-18,SAGCEM,268.05,276.0,264.2,266.8,76793,41180
2022-01-19,SAGCEM,265.0,282.0,260.75,280.0,243732,126970
2022-01-20,SAGCEM,282.4,282.4,269.0,272.65,118837,51778
2022-01-21,SAGCEM,271.5,271.85,264.1,266.9,70776,43781
2022-01-24,SAGCEM,263.6,266.75,248.0,249.9,117965,37464
2022-01-25,SAGCEM,249.0,254.95,241.0,246.3,81858,40278
2022-01-27,SAGCEM,238.0,244.9,236.25,242.65,60989,28207
2022-01-28,SAGCEM,241.6,248.75,241.6,243.1,70682,27648
2022-01-31,SAGCEM,240.2,242.0,236.05,238.45,142167,82138
2022-02-01,SAGCEM,243.95,267.0,238.85,254.95,358085,84572
2022-02-02,SAGCEM,256.9,263.0,250.1,258.8,111034,36912
2022-02-03,SAGCEM,259.9,262.1,255.9,256.25,45172,23971
2022-02-04,SAGCEM,257.3,260.2,252.1,253.1,56386,30148
2022-02-07,SAGCEM,259.0,260.75,250.0,252.35,56415,25635
2022-02-08,SAGCEM,253.5,254.0,243.05,251.35,41929,22178
2022-02-09,SAGCEM,252.8,257.05,250.05,253.2,24800,10814
2022-02-10,SAGCEM,254.7,257.0,250.5,254.6,23068,14495
2022-02-11,SAGCEM,255.8,256.45,251.0,253.2,34840,20542
2022-02-14,SAGCEM,238.1,253.25,238.1,247.1,100024,66349
2022-02-15,SAGCEM,254.85,262.0,247.85,255.4,48125,28591
2022-02-16,SAGCEM,259.35,259.4,249.65,255.8,553031,531280
2022-02-17,SAGCEM,259.75,260.45,253.8,257.4,28497,16993
2022-02-18,SAGCEM,257.0,259.0,250.4,251.4,24531,13718
2022-02-21,SAGCEM,251.45,258.0,242.3,244.4,42946,19268
2022-02-22,SAGCEM,242.0,249.6,236.0,238.4,31878,17871
2022-02-23,SAGCEM,243.8,245.05,237.1,239.2,23569,12109
2022-02-24,SAGCEM,239.95,240.0,228.0,228.8,58761,41748
2022-02-25,SAGCEM,230.2,239.95,229.7,230.5,42490,28373
2022-02-28,SAGCEM,230.4,233.9,221.95,227.8,56719,37439
2022-03-02,SAGCEM,224.85,234.0,211.0,218.4,139632,76935
2022-03-03,SAGCEM,224.9,226.25,211.4,214.15,75398,40680
2022-03-04,SAGCEM,214.15,214.75,209.05,211.0,53806,31101
2022-03-07,SAGCEM,209.0,211.05,202.05,206.95,56249,31289
2022-03-08,SAGCEM,211.05,215.35,202.6,207.5,48727,31271
2022-03-09,SAGCEM,208.15,216.95,206.8,207.75,173343,135688
2022-03-10,SAGCEM,212.8,213.1,206.0,207.65,70550,42394
2022-03-11,SAGCEM,205.0,211.65,205.0,209.8,70127,47014
2022-03-14,SAGCEM,212.9,212.9,204.5,204.9,83830,51607
2022-03-15,SAGCEM,207.2,210.0,202.75,207.6,73761,45951
2022-03-16,SAGCEM,212.4,247.75,208.1,226.5,741222,198630
2022-03-17,SAGCEM,231.95,234.8,227.1,231.7,165016,63658
2022-03-21,SAGCEM,234.4,242.0,226.85,240.7,160310,74307
2022-03-22,SAGCEM,245.1,252.95,236.1,243.3,252139,142626
2022-03-23,SAGCEM,245.9,256.0,245.0,251.4,137033,66756
2022-03-24,SAGCEM,252.0,260.95,249.0,250.95,156276,74040
2022-03-25,SAGCEM,252.45,265.0,252.45,254.85,258761,153621
2022-03-28,SAGCEM,265.0,275.0,255.05,257.4,1102130,374455
2022-03-29,SAGCEM,261.3,265.0,251.9,256.5,298245,159644
2022-03-30,SAGCEM,258.6,260.0,250.1,252.8,107113,52782
2022-03-31,SAGCEM,255.3,255.35,243.4,246.35,133152,78776
2022-04-01,SAGCEM,244.6,262.65,244.6,254.1,148344,56448
