Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SALONA,56.2,61.0,56.2,60.55,561,401
2020-08-27,SALONA,56.55,66.6,56.55,57.4,5484,1478
2020-08-28,SALONA,59.7,62.6,57.2,60.8,3049,1782
2020-08-31,SALONA,65.7,65.7,57.0,60.55,2174,1448
2020-09-01,SALONA,60.1,60.1,56.4,58.0,259,218
2020-09-02,SALONA,62.6,63.8,58.1,61.6,1121,731
2020-09-03,SALONA,62.0,62.0,58.15,58.7,82,41
2020-09-04,SALONA,58.3,59.0,58.0,58.1,287,213
2020-09-07,SALONA,58.4,58.65,58.0,58.0,297,159
2020-09-08,SALONA,58.0,58.0,58.0,58.0,1,1
2020-09-09,SALONA,54.3,57.05,54.3,57.05,2,1
2020-09-10,SALONA,55.1,62.0,55.1,56.2,369,351
2020-09-11,SALONA,55.3,56.0,55.15,55.2,130,100
2020-09-14,SALONA,58.35,59.9,57.0,58.9,507,385
2020-09-15,SALONA,60.9,63.7,60.9,62.8,321,320
2020-09-16,SALONA,64.5,64.5,58.0,58.9,689,373
2020-09-17,SALONA,58.9,62.9,57.1,58.65,984,632
2020-09-18,SALONA,60.0,60.0,57.5,57.65,1073,509
2020-09-21,SALONA,60.0,60.0,55.0,55.5,906,209
2020-09-22,SALONA,56.6,56.6,54.15,54.15,713,582
2020-09-23,SALONA,55.0,57.55,52.6,54.8,490,209
2020-09-24,SALONA,53.25,57.55,50.55,56.9,315,277
2020-09-25,SALONA,52.25,58.55,52.25,54.4,1472,871
2020-09-28,SALONA,56.5,56.5,54.0,54.0,1300,676
2020-09-29,SALONA,54.0,54.6,54.0,54.0,422,393
2020-10-01,SALONA,54.15,54.15,51.4,52.55,1048,782
2020-10-05,SALONA,56.0,57.0,50.95,53.6,1706,347
2020-10-06,SALONA,51.2,55.6,51.2,52.6,1914,870
2020-10-07,SALONA,53.55,53.55,50.4,51.45,1682,1067
2020-10-08,SALONA,56.8,56.8,51.6,54.2,2988,2173
2020-10-09,SALONA,50.55,55.7,50.55,51.75,515,53
2020-10-12,SALONA,52.8,52.8,48.0,51.5,304,250
2020-10-13,SALONA,50.5,50.5,48.75,49.4,1115,684
2020-10-14,SALONA,49.6,52.0,48.3,49.25,246,83
2020-10-15,SALONA,50.2,50.2,48.1,48.15,222,130
2020-10-16,SALONA,49.85,54.8,49.85,53.65,709,587
2020-10-19,SALONA,51.0,59.8,49.0,52.3,575,191
2020-10-20,SALONA,51.4,57.9,51.4,53.8,2686,988
2020-10-21,SALONA,51.6,53.1,49.0,50.15,1380,899
2020-10-22,SALONA,51.0,59.0,49.2,54.2,3334,1599
2020-10-23,SALONA,54.0,57.4,51.55,56.75,347,164
2020-10-26,SALONA,55.0,58.0,55.0,56.45,649,313
2020-10-27,SALONA,56.0,56.5,52.1,54.45,145,111
2020-10-28,SALONA,53.0,56.45,52.3,53.35,273,109
2020-10-29,SALONA,54.0,60.95,50.2,53.6,1363,250
2020-10-30,SALONA,57.6,64.0,52.5,58.0,875,476
2020-11-02,SALONA,59.95,69.6,55.5,69.6,106727,7650
2020-11-03,SALONA,75.0,83.5,74.9,83.35,155599,26648
2020-11-04,SALONA,83.7,85.0,75.05,76.65,53677,14871
2020-11-05,SALONA,78.5,79.9,74.35,76.3,12225,4041
2020-11-06,SALONA,73.75,76.8,69.1,70.25,7537,4567
2020-11-09,SALONA,69.7,73.45,67.5,70.05,9685,3853
2020-11-10,SALONA,70.25,70.45,64.45,65.8,4510,2193
2020-11-11,SALONA,65.0,65.0,62.55,63.2,4117,2284
2020-11-12,SALONA,62.0,63.85,60.8,62.2,4516,2735
2020-11-13,SALONA,59.25,65.3,59.25,65.25,1944,1446
2020-11-14,SALONA,67.2,67.2,64.65,66.7,666,466
2020-11-17,SALONA,67.5,67.5,63.4,63.75,3672,2100
2020-11-18,SALONA,62.2,64.75,61.1,62.4,2462,1458
2020-11-19,SALONA,64.7,64.7,62.05,63.85,1485,910
2020-11-20,SALONA,64.0,67.0,64.0,66.5,4166,3950
2020-11-23,SALONA,66.5,67.0,64.4,65.75,2456,1601
2020-11-24,SALONA,64.0,66.0,63.45,63.45,626,321
2020-11-25,SALONA,62.5,64.0,60.3,60.8,2193,1675
2020-11-26,SALONA,59.0,63.8,58.0,62.1,2035,1082
2020-11-27,SALONA,59.6,64.9,59.6,64.55,2273,1464
2020-12-01,SALONA,65.7,67.5,61.45,66.8,5972,3892
2020-12-02,SALONA,65.05,69.35,63.6,63.9,3578,2509
2020-12-03,SALONA,64.05,66.05,63.0,64.0,463,317
2020-12-04,SALONA,64.0,65.5,62.2,65.0,1120,714
2020-12-07,SALONA,63.35,64.95,62.1,64.0,2080,1335
2020-12-08,SALONA,63.5,65.45,62.6,62.95,1146,492
2020-12-09,SALONA,66.0,66.0,62.0,62.9,3851,2302
2020-12-10,SALONA,62.3,66.0,62.3,64.55,1627,1165
2020-12-11,SALONA,64.25,67.75,64.25,66.05,1743,1434
2020-12-14,SALONA,68.95,69.35,65.1,67.6,2067,607
2020-12-15,SALONA,65.1,68.75,65.0,65.45,585,319
2020-12-16,SALONA,68.5,68.7,65.5,68.7,2207,1412
2020-12-17,SALONA,72.0,72.0,68.95,69.5,3266,2090
2020-12-18,SALONA,67.75,71.95,67.75,70.4,1308,746
2020-12-21,SALONA,70.0,71.95,67.6,68.6,455,283
2020-12-22,SALONA,65.75,71.75,65.5,70.75,1296,638
2020-12-23,SALONA,68.15,73.25,68.15,70.45,3822,2705
2020-12-24,SALONA,72.3,72.3,67.25,69.1,1330,758
2020-12-28,SALONA,69.9,71.5,66.15,71.05,1079,893
2020-12-29,SALONA,68.4,72.55,68.05,70.5,5538,4529
2020-12-30,SALONA,72.25,72.25,67.55,68.55,247,68
2020-12-31,SALONA,71.85,71.95,68.75,71.95,6155,3717
2021-01-01,SALONA,74.9,75.5,74.9,75.5,2711,2538
2021-01-04,SALONA,79.25,79.25,75.25,77.75,2763,2241
2021-01-05,SALONA,81.6,81.6,74.2,78.6,519,349
2021-01-06,SALONA,75.5,82.4,74.8,80.65,5195,734
2021-01-07,SALONA,77.25,84.3,76.65,78.3,9855,3429
2021-01-08,SALONA,79.95,79.95,74.4,75.1,4214,2370
2021-01-11,SALONA,78.6,78.6,75.05,77.65,2738,1099
2021-01-12,SALONA,75.7,78.05,74.1,75.7,602,191
2021-01-13,SALONA,77.0,78.0,72.1,73.25,1422,806
2021-01-14,SALONA,70.3,75.25,70.3,70.75,339,256
2021-01-15,SALONA,69.0,72.75,69.0,69.75,846,484
2021-01-18,SALONA,69.75,70.45,67.0,68.8,847,400
2021-01-19,SALONA,68.8,72.2,66.95,72.2,1308,934
2021-01-20,SALONA,74.45,75.8,70.75,73.45,2266,1602
2021-01-21,SALONA,76.7,76.7,70.55,70.8,2023,1152
2021-01-22,SALONA,70.4,72.05,69.1,69.15,281,112
2021-01-25,SALONA,68.65,72.4,67.2,72.0,1898,1171
2021-01-27,SALONA,73.4,73.4,68.65,71.35,1294,483
2021-01-28,SALONA,68.7,73.55,68.7,69.85,551,199
2021-01-29,SALONA,72.85,73.3,69.15,73.25,2924,1546
2021-02-01,SALONA,74.9,75.75,70.5,70.5,403,216
2021-02-02,SALONA,70.75,73.35,70.15,70.6,561,485
2021-02-03,SALONA,68.25,74.05,68.25,73.95,1901,1527
2021-02-04,SALONA,75.5,75.65,71.05,72.0,496,265
2021-02-05,SALONA,67.5,73.45,67.5,69.35,577,228
2021-02-08,SALONA,74.4,76.25,70.3,71.0,2879,1715
2021-02-09,SALONA,71.5,77.0,70.4,74.0,1330,1006
2021-02-10,SALONA,73.1,75.0,71.65,73.95,366,118
2021-02-11,SALONA,77.55,78.95,70.3,72.1,3122,1342
2021-02-12,SALONA,73.4,74.05,71.0,71.6,761,494
2021-02-15,SALONA,76.45,78.75,70.05,78.75,8493,7819
2021-02-16,SALONA,84.0,84.0,75.0,75.7,3376,2700
2021-02-17,SALONA,78.85,82.9,71.5,81.85,8188,3634
2021-02-18,SALONA,89.0,89.0,82.0,82.85,2232,1632
2021-02-19,SALONA,85.65,91.1,85.65,88.8,12844,7432
2021-02-22,SALONA,89.05,92.95,88.0,88.0,3969,2801
2021-02-23,SALONA,84.5,90.6,84.0,84.25,5353,3364
2021-02-24,SALONA,87.5,88.45,84.0,88.45,3083,1833
2021-02-25,SALONA,89.0,92.85,85.5,91.75,6559,4256
2021-02-26,SALONA,89.2,93.45,89.05,90.05,777,487
2021-03-01,SALONA,93.85,93.85,88.1,90.6,341,210
2021-03-02,SALONA,87.5,91.5,87.5,88.0,2726,1625
2021-03-03,SALONA,88.5,92.4,88.5,92.4,3722,2866
2021-03-04,SALONA,90.05,97.0,90.05,97.0,3937,3381
2021-03-05,SALONA,101.4,101.4,93.6,94.1,3425,2445
2021-03-08,SALONA,97.4,97.9,95.3,97.1,449,180
2021-03-09,SALONA,98.3,98.3,94.05,94.9,606,394
2021-03-10,SALONA,92.65,98.7,90.5,94.2,1430,699
2021-03-12,SALONA,92.55,97.55,92.0,92.0,1525,846
2021-03-15,SALONA,92.5,96.55,88.15,92.65,1794,1259
2021-03-16,SALONA,94.55,97.25,88.95,96.9,3393,2500
2021-03-17,SALONA,96.8,97.95,93.95,96.95,228,126
2021-03-18,SALONA,95.5,96.95,93.3,93.75,2103,1500
2021-03-19,SALONA,93.35,96.8,93.35,95.0,83,13
2021-03-22,SALONA,92.1,98.55,92.1,95.1,299,121
2021-03-23,SALONA,92.1,97.4,92.1,93.7,177,65
2021-03-24,SALONA,93.4,96.55,93.4,96.0,445,302
2021-03-25,SALONA,98.85,98.85,91.85,92.25,561,275
2021-03-26,SALONA,93.0,96.45,93.0,93.8,167,82
2021-03-30,SALONA,93.8,97.9,93.8,95.6,78,18
2021-03-31,SALONA,93.85,96.0,91.15,93.5,372,206
2021-04-01,SALONA,92.0,97.7,91.55,95.6,733,344
2021-04-05,SALONA,91.45,99.35,91.45,91.5,5375,5005
2021-04-06,SALONA,91.5,94.45,90.15,90.85,146,85
2021-04-07,SALONA,87.6,94.9,87.6,92.2,1006,810
2021-04-08,SALONA,90.25,95.0,89.7,92.25,356,281
2021-04-09,SALONA,94.35,94.95,83.05,88.55,8053,4205
2021-04-12,SALONA,95.9,95.9,83.3,85.65,2669,789
2021-04-13,SALONA,83.25,92.35,80.0,83.35,1772,1005
2021-04-15,SALONA,79.95,85.8,78.75,81.85,859,523
2021-04-16,SALONA,81.3,82.55,78.45,79.9,806,628
2021-04-19,SALONA,73.3,87.85,73.3,85.05,1456,987
2021-04-20,SALONA,92.95,92.95,84.1,86.25,1444,776
2021-04-22,SALONA,94.0,94.0,82.3,85.1,1761,664
