Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,SAMBHAAV,2.05,2.1,2.0,2.1,11885
2020-08-21,SAMBHAAV,2.0,2.2,2.0,2.2,60876
2020-08-24,SAMBHAAV,2.3,2.3,2.1,2.15,16107
2020-08-25,SAMBHAAV,2.15,2.25,2.05,2.15,1311
2020-08-26,SAMBHAAV,2.15,2.25,2.15,2.15,5161
2020-08-27,SAMBHAAV,2.05,2.2,2.05,2.1,10070
2020-08-28,SAMBHAAV,2.05,2.2,2.05,2.1,17710
2020-08-31,SAMBHAAV,2.1,2.2,2.1,2.2,81472
2020-09-01,SAMBHAAV,2.2,2.2,2.1,2.1,1101
2020-09-02,SAMBHAAV,2.1,2.2,2.05,2.05,6221
2020-09-03,SAMBHAAV,2.0,2.15,2.0,2.1,2071
2020-09-04,SAMBHAAV,2.2,2.2,2.0,2.05,568
2020-09-07,SAMBHAAV,2.15,2.15,2.0,2.05,10779
2020-09-08,SAMBHAAV,2.0,2.05,2.0,2.0,2252
2020-09-09,SAMBHAAV,2.0,2.1,2.0,2.1,6308
2020-09-10,SAMBHAAV,2.1,2.15,2.0,2.1,6460
2020-09-11,SAMBHAAV,2.15,2.15,2.0,2.05,8584
2020-09-14,SAMBHAAV,2.05,2.15,2.0,2.1,11508
2020-09-15,SAMBHAAV,2.1,2.15,2.0,2.05,8592
2020-09-16,SAMBHAAV,2.0,2.15,2.0,2.1,41383
2020-09-17,SAMBHAAV,2.0,2.1,2.0,2.05,2968
2020-09-18,SAMBHAAV,2.05,2.1,2.0,2.0,1366
2020-09-21,SAMBHAAV,2.1,2.1,2.0,2.1,21428
2020-09-22,SAMBHAAV,2.1,2.1,2.0,2.0,10610
2020-09-23,SAMBHAAV,2.0,2.05,1.95,2.05,5576
2020-09-24,SAMBHAAV,1.95,2.1,1.95,1.95,3447
2020-09-25,SAMBHAAV,1.9,2.0,1.9,1.95,1235
2020-09-28,SAMBHAAV,1.95,2.0,1.9,2.0,10171
2020-09-29,SAMBHAAV,2.0,2.05,1.9,2.0,48401
2020-09-30,SAMBHAAV,2.0,2.1,2.0,2.0,3487
2020-10-01,SAMBHAAV,1.9,2.05,1.9,2.0,27947
2020-10-05,SAMBHAAV,1.9,2.0,1.9,1.9,6171
2020-10-06,SAMBHAAV,1.85,1.95,1.85,1.85,9815
2020-10-07,SAMBHAAV,1.9,1.9,1.8,1.8,30768
2020-10-08,SAMBHAAV,1.9,1.95,1.7,1.9,31122
2020-10-09,SAMBHAAV,1.95,1.95,1.85,1.9,1746
2020-10-12,SAMBHAAV,2.0,2.0,1.75,1.75,45906
2020-10-13,SAMBHAAV,1.75,1.9,1.6,1.6,65368
2020-10-14,SAMBHAAV,1.65,1.65,1.45,1.5,105325
2020-10-15,SAMBHAAV,1.65,1.65,1.55,1.65,22351
2020-10-16,SAMBHAAV,1.75,1.8,1.65,1.8,46163
2020-10-19,SAMBHAAV,1.85,1.95,1.7,1.8,68397
2020-10-20,SAMBHAAV,1.9,1.95,1.7,1.95,76973
2020-10-21,SAMBHAAV,2.0,2.1,1.85,1.9,60385
2020-10-22,SAMBHAAV,1.9,1.95,1.85,1.95,66612
2020-10-23,SAMBHAAV,1.95,2.0,1.9,2.0,21034
2020-10-26,SAMBHAAV,2.05,2.05,1.9,1.95,54076
2020-10-27,SAMBHAAV,1.9,2.0,1.9,1.9,75241
2020-10-28,SAMBHAAV,1.85,1.95,1.85,1.95,10228
2020-10-29,SAMBHAAV,2.0,2.0,1.9,1.9,20531
2020-10-30,SAMBHAAV,1.95,1.95,1.9,1.9,3892
2020-11-02,SAMBHAAV,1.9,1.95,1.85,1.9,49323
2020-11-03,SAMBHAAV,1.85,1.95,1.85,1.9,98529
2020-11-04,SAMBHAAV,1.9,1.95,1.9,1.95,4122
2020-11-05,SAMBHAAV,1.95,1.95,1.9,1.95,10637
2020-11-06,SAMBHAAV,1.9,1.95,1.9,1.9,19766
2020-11-09,SAMBHAAV,1.95,1.95,1.85,1.95,43006
2020-11-10,SAMBHAAV,2.0,2.0,1.9,1.9,14185
2020-11-11,SAMBHAAV,1.9,1.95,1.9,1.95,79535
2020-11-12,SAMBHAAV,2.0,2.0,1.9,1.9,47275
2020-11-13,SAMBHAAV,1.95,1.95,1.85,1.9,10260
2020-11-14,SAMBHAAV,1.95,1.95,1.9,1.95,3320
2020-11-17,SAMBHAAV,1.9,2.0,1.9,1.9,7200
2020-11-18,SAMBHAAV,1.95,1.95,1.9,1.95,34520
2020-11-19,SAMBHAAV,2.0,2.0,1.9,1.9,73508
2020-11-20,SAMBHAAV,1.85,1.95,1.85,1.9,18015
2020-11-23,SAMBHAAV,1.9,1.95,1.85,1.85,43221
2020-11-24,SAMBHAAV,1.9,1.9,1.8,1.85,87643
2020-11-25,SAMBHAAV,1.9,1.9,1.85,1.85,38423
2020-11-26,SAMBHAAV,1.85,1.9,1.85,1.9,3412
2020-11-27,SAMBHAAV,1.9,1.95,1.9,1.95,11756
2020-12-01,SAMBHAAV,2.0,2.0,1.9,1.95,46551
2020-12-02,SAMBHAAV,1.9,2.0,1.9,1.9,30113
2020-12-03,SAMBHAAV,1.9,1.95,1.85,1.9,21523
2020-12-04,SAMBHAAV,1.95,1.95,1.9,1.95,23039
2020-12-07,SAMBHAAV,2.0,2.0,1.95,2.0,43230
2020-12-08,SAMBHAAV,2.0,2.1,2.0,2.1,16955
2020-12-09,SAMBHAAV,2.2,2.2,2.2,2.2,5681
2020-12-10,SAMBHAAV,2.2,2.3,2.2,2.3,38404
2020-12-11,SAMBHAAV,2.4,2.4,2.2,2.35,177802
2020-12-14,SAMBHAAV,2.45,2.45,2.25,2.3,55774
2020-12-15,SAMBHAAV,2.4,2.4,2.2,2.2,16819
2020-12-16,SAMBHAAV,2.25,2.3,2.1,2.25,58551
2020-12-17,SAMBHAAV,2.3,2.35,2.15,2.25,43447
2020-12-18,SAMBHAAV,2.3,2.3,2.2,2.3,4843
2020-12-21,SAMBHAAV,2.35,2.35,2.2,2.25,34783
2020-12-22,SAMBHAAV,2.15,2.2,2.15,2.15,42060
2020-12-23,SAMBHAAV,2.2,2.2,2.05,2.15,4170
2020-12-24,SAMBHAAV,2.15,2.25,2.05,2.1,9659
2020-12-28,SAMBHAAV,2.1,2.15,2.1,2.15,29298
2020-12-29,SAMBHAAV,2.2,2.2,2.05,2.05,40610
2020-12-30,SAMBHAAV,2.05,2.15,1.95,2.1,104057
2020-12-31,SAMBHAAV,2.2,2.2,2.05,2.15,18050
2021-01-01,SAMBHAAV,2.25,2.25,2.15,2.25,41503
2021-01-04,SAMBHAAV,2.35,2.35,2.2,2.3,37643
2021-01-05,SAMBHAAV,2.3,2.35,2.2,2.25,36049
2021-01-06,SAMBHAAV,2.3,2.35,2.25,2.35,19268
2021-01-07,SAMBHAAV,2.45,2.45,2.3,2.45,325329
2021-01-08,SAMBHAAV,2.45,2.55,2.45,2.55,39685
2021-01-11,SAMBHAAV,2.65,2.65,2.65,2.65,83000
2021-01-12,SAMBHAAV,2.75,2.75,2.75,2.75,75914
2021-01-13,SAMBHAAV,2.85,2.85,2.85,2.85,41303
2021-01-14,SAMBHAAV,2.95,2.95,2.95,2.95,26135
2021-01-15,SAMBHAAV,3.05,3.05,2.85,3.0,111170
2021-01-18,SAMBHAAV,3.15,3.15,2.85,2.85,59898
2021-01-19,SAMBHAAV,2.8,2.85,2.75,2.8,44208
2021-01-20,SAMBHAAV,2.9,2.9,2.7,2.7,23131
2021-01-21,SAMBHAAV,2.7,2.7,2.6,2.6,49961
2021-01-22,SAMBHAAV,2.6,2.7,2.5,2.55,36030
2021-01-25,SAMBHAAV,2.45,2.65,2.45,2.45,12892
2021-01-27,SAMBHAAV,2.45,2.55,2.4,2.55,102050
2021-01-28,SAMBHAAV,2.65,2.65,2.65,2.65,16142
2021-01-29,SAMBHAAV,2.75,2.75,2.75,2.75,15095
2021-02-01,SAMBHAAV,2.85,2.85,2.75,2.85,58866
2021-02-02,SAMBHAAV,2.95,2.95,2.85,2.95,67644
2021-02-03,SAMBHAAV,3.0,3.05,2.85,2.85,70574
2021-02-04,SAMBHAAV,2.8,2.95,2.75,2.9,235791
2021-02-05,SAMBHAAV,2.9,3.0,2.8,2.8,14878
2021-02-08,SAMBHAAV,2.8,2.85,2.7,2.75,18069
2021-02-09,SAMBHAAV,2.7,2.85,2.65,2.85,657795
2021-02-10,SAMBHAAV,2.85,2.9,2.75,2.75,39870
2021-02-11,SAMBHAAV,2.65,2.7,2.65,2.7,41770
2021-02-12,SAMBHAAV,2.7,2.8,2.6,2.8,29703
2021-02-15,SAMBHAAV,2.9,2.9,2.75,2.8,28389
2021-02-16,SAMBHAAV,2.9,2.9,2.7,2.75,11355
2021-02-17,SAMBHAAV,2.8,2.8,2.65,2.75,8120
2021-02-18,SAMBHAAV,2.65,2.75,2.65,2.65,15537
2021-02-19,SAMBHAAV,2.7,2.7,2.55,2.55,17205
2021-02-22,SAMBHAAV,2.55,2.55,2.45,2.45,18414
2021-02-23,SAMBHAAV,2.45,2.55,2.35,2.55,23240
2021-02-24,SAMBHAAV,2.55,2.65,2.45,2.65,43997
2021-02-25,SAMBHAAV,2.75,2.75,2.6,2.75,15728
2021-02-26,SAMBHAAV,2.85,2.85,2.65,2.75,10439
2021-03-01,SAMBHAAV,2.85,2.85,2.65,2.75,26812
2021-03-02,SAMBHAAV,2.8,2.85,2.65,2.65,28386
2021-03-03,SAMBHAAV,2.55,2.75,2.55,2.65,28019
2021-03-04,SAMBHAAV,2.65,2.7,2.55,2.65,25504
2021-03-05,SAMBHAAV,2.75,2.75,2.55,2.55,23970
2021-03-08,SAMBHAAV,2.65,2.65,2.45,2.65,13639
2021-03-09,SAMBHAAV,2.75,2.75,2.55,2.65,12230
2021-03-10,SAMBHAAV,2.7,2.75,2.65,2.65,23476
2021-03-12,SAMBHAAV,2.65,2.7,2.55,2.55,14673
2021-03-15,SAMBHAAV,2.55,2.65,2.55,2.6,6918
2021-03-16,SAMBHAAV,2.5,2.65,2.5,2.65,5449
2021-03-17,SAMBHAAV,2.65,2.65,2.55,2.55,9487
2021-03-18,SAMBHAAV,2.5,2.65,2.45,2.45,24577
2021-03-19,SAMBHAAV,2.35,2.5,2.35,2.5,4082
2021-03-22,SAMBHAAV,2.5,2.6,2.4,2.4,11341
2021-03-23,SAMBHAAV,2.4,2.45,2.3,2.3,12690
2021-03-24,SAMBHAAV,2.4,2.4,2.2,2.3,13595
2021-03-25,SAMBHAAV,2.3,2.35,2.2,2.2,19610
2021-03-26,SAMBHAAV,2.2,2.3,2.1,2.1,34761
2021-03-30,SAMBHAAV,2.2,2.2,2.0,2.1,43595
2021-03-31,SAMBHAAV,2.0,2.15,2.0,2.0,60236
2021-04-01,SAMBHAAV,2.1,2.1,1.9,2.05,60568
2021-04-05,SAMBHAAV,2.05,2.1,1.95,2.05,10561
2021-04-06,SAMBHAAV,2.05,2.15,1.95,2.1,33741
