Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,124.3,138.0,115.65,130.95,1945964,539534,27.725795544008008
2020-09-06,133.0,137.0,111.05,112.35,456188,143017,31.35045200662885
2020-09-13,115.0,143.0,111.25,121.0,1612950,402687,24.965869989770297
2020-09-20,122.0,129.8,115.0,116.75,1353604,222570,16.442770559188656
2020-09-27,117.9,122.85,101.0,116.65,1053470,190727,18.104644650535846
2020-10-04,115.75,121.85,108.6,109.35,407235,65865,16.173708055545326
2020-10-11,111.8,112.65,101.05,107.9,627631,163014,25.972904461379375
2020-10-18,107.35,115.0,86.95,103.0,577185,179266,31.058672695929378
2020-10-25,106.0,115.0,101.8,107.1,583972,137416,23.531265197646462
2020-11-01,109.0,109.0,100.25,102.0,136121,64896,47.67523012613778
2020-11-08,102.15,107.0,99.7,99.9,276429,64662,23.391901717981835
2020-11-15,100.05,101.9,92.0,95.6,330171,82229,24.90497348343737
2020-11-22,97.25,98.4,92.6,96.55,190700,98084,51.433665443104346
2020-11-29,97.95,97.95,93.1,93.45,216871,127052,58.58413526935367
2020-12-06,93.1,104.85,89.0,97.05,747962,177591,23.74331851083344
2020-12-13,98.8,103.95,93.25,94.85,711147,241532,33.963723393334995
2020-12-20,96.35,98.45,92.3,95.15,662165,305958,46.20570401637054
2020-12-27,97.5,97.9,82.2,90.55,812051,372868,45.91682049526446
2021-01-03,94.3,94.3,89.15,92.45,833068,271496,32.58989662308479
2021-01-10,93.9,110.8,91.4,95.55,2032700,516393,25.40428986077631
2021-01-17,97.0,97.0,88.0,90.2,593816,187473,31.570890646260796
2021-01-24,90.7,93.0,86.5,86.85,431463,102439,23.742244410297058
2021-01-31,87.9,88.95,82.05,84.05,264614,107726,40.71061999743022
2021-02-07,85.6,95.0,83.3,88.5,513482,160696,31.295352125293586
2021-02-14,88.1,89.0,82.8,83.35,232535,113523,48.819747564882704
2021-02-21,85.0,86.0,75.0,79.7,335569,176173,52.4997839490537
2021-02-28,80.3,90.0,78.0,82.15,274172,118132,43.0868214113768
2021-03-07,82.2,95.0,82.0,84.9,522369,181561,34.75723099954247
2021-03-14,85.45,90.0,83.0,84.95,169373,65625,38.74584496938709
2021-03-21,86.95,88.0,79.15,82.85,322128,132488,41.12899220185764
2021-03-28,83.5,88.0,73.0,81.75,838361,627864,74.89184253561413
2021-04-04,84.0,88.0,81.25,85.7,196558,58727,29.877695133243115
2021-04-11,85.95,87.7,82.3,84.25,302320,72942,24.12741465996295
2021-04-18,84.0,84.05,79.65,80.25,113238,33612,29.682615376463733
2021-04-25,81.0,84.0,75.5,78.9,139366,66338,47.599845012413354
2021-05-02,79.2,94.0,79.15,86.85,1570763,625050,39.79276313485867
2021-05-09,86.85,92.0,83.6,84.85,1611431,383506,23.79909533824284
2021-05-16,85.7,90.85,83.5,84.1,917651,288466,31.43526242547548
2021-05-23,85.95,86.8,82.1,84.6,334638,181071,54.10951535689313
2021-05-30,85.0,86.8,81.6,84.1,293123,133360,45.49625924953006
2021-06-06,84.9,88.9,82.1,84.4,928157,419912,45.241483929981676
2021-06-13,85.0,86.95,82.75,83.35,996976,365031,36.6138201922614
2021-06-20,84.5,87.0,82.0,84.0,495892,191786,38.67495341727634
2021-06-27,83.85,97.9,83.15,93.15,5427523,1559531,28.733752026476907
2021-07-04,94.45,110.9,89.2,104.4,7837822,2783910,35.51892349685921
2021-07-11,108.5,118.0,97.2,104.65,9614260,3370990,35.062396897941184
2021-07-18,105.85,111.0,102.0,106.95,8418061,2756436,32.74431012082236
2021-07-25,105.0,116.2,103.95,105.95,4252486,1362890,32.049253072202944
2021-08-01,106.4,110.85,102.4,103.8,4285790,1539235,35.91484883767053
2021-08-08,104.7,107.35,97.45,102.05,3358834,1167260,34.75194070323213
2021-08-15,102.5,104.0,88.5,102.0,2433015,877326,36.05921048575533
2021-08-22,105.0,108.15,91.25,92.9,1915454,830736,43.37018795544033
2021-08-29,95.8,97.9,88.5,93.25,1601587,485305,30.301507192553384
2021-09-05,93.4,104.85,93.35,97.1,2584038,743317,28.765714745680988
2021-09-12,97.25,100.5,95.75,98.65,969673,343075,35.380483936337306
2021-09-19,99.5,104.25,95.55,97.3,1328999,600820,45.20846140591528
2021-09-26,97.6,103.65,90.15,95.35,1698388,425338,25.043629606426798
2021-10-03,95.7,100.35,94.5,96.15,951346,456117,47.9443861644449
2021-10-10,96.85,101.0,95.95,96.6,1116085,495121,44.3623021544058
2021-10-17,97.0,97.55,94.5,95.05,648144,330360,50.970154780419165
2021-10-24,95.9,97.8,88.6,91.45,790406,390940,49.46065692821158
2021-10-31,92.5,96.6,89.15,90.55,492705,237051,48.112156361311534
2021-11-07,92.0,95.9,91.0,92.9,521752,137624,26.377282693693555
2021-11-14,93.7,95.4,91.85,92.45,306231,172784,56.42276582057336
2021-11-21,93.4,94.3,88.65,89.15,304413,188786,62.01640534405561
2021-11-28,89.0,92.45,83.65,86.4,484483,243813,50.32436638643668
2021-12-05,85.0,90.45,83.0,87.9,216817,112101,51.70304911515241
2021-12-12,88.4,89.8,83.4,88.25,447815,258012,57.61575650659313
2021-12-19,88.45,94.0,87.0,89.2,493675,234656,47.53248594723249
2021-12-26,89.15,92.0,83.25,86.2,431325,242171,56.14582971077494
2022-01-02,86.9,91.35,86.2,88.2,204256,119728,58.61663794454019
2022-01-09,89.35,93.0,87.9,90.45,461119,204364,44.31914538329585
