Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SBILIFE,1127.0,1140.95,1118.6,1135.45,1251406,533522
2021-08-24,SBILIFE,1140.0,1165.9,1130.65,1160.4,1211218,562410
2021-08-25,SBILIFE,1168.0,1171.65,1150.15,1156.15,893931,217695
2021-08-26,SBILIFE,1151.2,1164.5,1144.85,1151.8,823814,284126
2021-08-27,SBILIFE,1154.8,1192.65,1145.3,1184.05,2469538,794379
2021-08-30,SBILIFE,1189.5,1199.0,1176.55,1180.7,1690833,868027
2021-08-31,SBILIFE,1180.7,1194.5,1171.65,1192.05,1719768,1017152
2021-09-01,SBILIFE,1189.0,1222.8,1183.9,1220.5,1955177,1066062
2021-09-02,SBILIFE,1229.8,1250.0,1224.2,1243.4,2468599,1415577
2021-09-03,SBILIFE,1246.95,1253.65,1226.0,1244.15,1295336,686566
2021-09-06,SBILIFE,1245.0,1248.0,1233.5,1244.65,1166873,782120
2021-09-07,SBILIFE,1245.0,1253.35,1228.25,1238.75,1164891,608104
2021-09-08,SBILIFE,1246.05,1246.95,1211.95,1220.05,1909087,981951
2021-09-09,SBILIFE,1177.0,1199.65,1168.0,1173.2,10115407,4736988
2021-09-13,SBILIFE,1179.05,1179.05,1153.35,1165.15,2374250,1500586
2021-09-14,SBILIFE,1170.0,1174.0,1158.05,1170.9,1338821,816887
2021-09-15,SBILIFE,1170.9,1176.0,1165.5,1172.45,1875092,1351063
2021-09-16,SBILIFE,1174.2,1187.0,1168.0,1184.9,3028407,2294638
2021-09-17,SBILIFE,1203.0,1204.8,1183.45,1198.8,4143024,2459276
2021-09-20,SBILIFE,1189.85,1198.7,1174.0,1177.5,2117784,1228326
2021-09-21,SBILIFE,1189.0,1195.95,1170.9,1184.6,2117913,1366583
2021-09-22,SBILIFE,1184.6,1203.55,1177.75,1191.3,1399326,683935
2021-09-23,SBILIFE,1224.0,1224.0,1198.5,1218.3,2659260,1640049
2021-09-24,SBILIFE,1219.0,1238.55,1207.6,1222.05,1703375,850786
2021-09-27,SBILIFE,1229.95,1233.0,1208.85,1222.8,728019,405976
2021-09-28,SBILIFE,1222.5,1229.15,1202.3,1210.3,1588306,1115242
2021-09-29,SBILIFE,1206.0,1214.8,1196.8,1205.95,1623118,1063891
2021-09-30,SBILIFE,1209.15,1219.0,1196.75,1215.1,1234882,708027
2021-10-01,SBILIFE,1204.0,1217.55,1199.4,1209.05,830634,462927
2021-10-04,SBILIFE,1211.0,1240.0,1206.05,1230.85,1664614,944821
2021-10-05,SBILIFE,1231.0,1267.5,1227.0,1261.95,2282814,1218169
2021-10-06,SBILIFE,1273.0,1273.9,1205.4,1212.05,2630744,1139921
2021-10-07,SBILIFE,1227.0,1234.2,1207.2,1215.05,2674007,1814571
2021-10-08,SBILIFE,1224.95,1229.0,1191.95,1196.45,1661548,927198
2021-10-11,SBILIFE,1199.95,1218.5,1199.95,1206.1,822914,419846
2021-10-12,SBILIFE,1209.0,1215.0,1198.15,1210.6,815338,492091
2021-10-13,SBILIFE,1210.6,1218.65,1184.4,1191.75,1281752,972220
2021-10-14,SBILIFE,1192.95,1198.9,1173.8,1185.55,2080766,1472929
2021-10-18,SBILIFE,1220.0,1220.0,1185.55,1192.5,934860,484294
2021-10-19,SBILIFE,1193.5,1215.9,1186.55,1193.45,1313098,676936
2021-10-20,SBILIFE,1199.0,1203.0,1155.9,1168.75,2063277,1258595
2021-10-21,SBILIFE,1170.0,1184.45,1138.05,1158.3,1985866,1188370
2021-10-22,SBILIFE,1168.0,1171.8,1141.7,1167.2,1112991,566376
2021-10-25,SBILIFE,1157.6,1166.95,1126.3,1129.7,1843700,1180071
2021-10-26,SBILIFE,1135.0,1178.3,1134.0,1172.05,1572647,682970
2021-10-27,SBILIFE,1175.4,1202.05,1175.3,1186.0,1916766,788404
2021-10-28,SBILIFE,1210.0,1221.75,1158.1,1167.1,3565017,1381633
2021-10-29,SBILIFE,1167.1,1180.0,1142.1,1145.55,1518940,733775
2021-11-01,SBILIFE,1148.0,1173.05,1138.55,1163.35,972538,505336
2021-11-02,SBILIFE,1163.35,1172.25,1155.3,1166.05,1159884,768678
2021-11-03,SBILIFE,1170.0,1198.4,1167.0,1178.8,1941052,882518
2021-11-04,SBILIFE,1189.95,1189.95,1172.55,1181.75,119047,56436
2021-11-08,SBILIFE,1183.0,1202.1,1177.35,1200.65,1361707,929951
2021-11-09,SBILIFE,1212.0,1212.0,1192.4,1207.25,1521269,998997
2021-11-10,SBILIFE,1197.1,1204.8,1181.05,1183.75,842679,527204
2021-11-11,SBILIFE,1178.0,1192.1,1150.1,1153.2,1271079,801936
2021-11-12,SBILIFE,1154.0,1177.0,1147.6,1174.9,1281030,646376
2021-11-15,SBILIFE,1177.2,1179.5,1155.5,1159.9,662558,369979
2021-11-16,SBILIFE,1169.9,1174.15,1150.65,1153.0,694696,425788
2021-11-17,SBILIFE,1150.0,1196.95,1150.0,1187.2,2862829,1153377
2021-11-18,SBILIFE,1190.0,1205.0,1178.5,1182.05,1527355,678619
2021-11-22,SBILIFE,1182.05,1189.65,1137.15,1150.65,772737,325063
2021-11-23,SBILIFE,1143.6,1159.2,1131.55,1153.5,820238,438508
