Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SBIN,208.5,210.35,206.15,209.85,66750983,14858804
2020-08-27,SBIN,210.5,216.5,210.5,215.65,80999489,20980013
2020-08-28,SBIN,217.0,225.9,216.8,224.85,95983850,19675199
2020-08-31,SBIN,231.55,231.55,210.35,212.0,119990567,24560366
2020-09-01,SBIN,213.1,218.9,211.2,218.1,75048317,10939215
2020-09-02,SBIN,218.25,219.0,212.3,216.25,47608719,6554056
2020-09-03,SBIN,217.5,218.25,212.3,213.15,38595597,9594317
2020-09-04,SBIN,210.0,212.3,205.9,206.6,54435819,10083849
2020-09-07,SBIN,207.5,209.65,205.4,207.9,35687677,3495554
2020-09-08,SBIN,207.9,208.5,202.9,204.05,34147081,4865434
2020-09-09,SBIN,201.1,201.4,192.5,194.85,72716962,19860833
2020-09-10,SBIN,197.7,201.45,195.2,198.15,67790247,8109659
2020-09-11,SBIN,198.55,203.85,197.0,202.7,48488142,5201360
2020-09-14,SBIN,205.9,206.2,197.35,198.5,63606706,13449014
2020-09-15,SBIN,199.9,201.0,197.1,200.15,51762796,12873389
2020-09-16,SBIN,199.85,200.05,196.25,198.2,52407160,14578240
2020-09-17,SBIN,197.0,198.0,195.0,195.45,41226058,11413746
2020-09-18,SBIN,196.0,197.2,189.7,192.6,55286449,15739695
2020-09-21,SBIN,193.05,193.5,184.25,185.8,57614739,15185227
2020-09-22,SBIN,186.15,188.3,181.15,186.2,51216440,7158936
2020-09-23,SBIN,188.15,188.95,181.0,183.8,44321881,7118706
2020-09-24,SBIN,181.1,181.8,175.5,176.35,46115352,12700503
2020-09-25,SBIN,179.0,182.75,176.15,182.2,46550618,7170816
2020-09-28,SBIN,184.0,188.15,183.35,187.25,41921659,6606392
2020-09-29,SBIN,188.5,188.95,183.25,185.05,35688939,3785103
2020-09-30,SBIN,185.05,186.8,182.4,185.4,37642302,5421166
2020-10-01,SBIN,187.0,191.2,186.9,190.3,43589041,7861957
2020-10-05,SBIN,192.0,193.8,187.05,188.75,41694812,4440433
2020-10-06,SBIN,191.1,192.1,188.3,191.6,31098807,3397274
2020-10-07,SBIN,192.55,193.15,189.1,190.7,34578821,3793581
2020-10-08,SBIN,191.35,195.8,190.55,191.5,43351954,8628169
2020-10-09,SBIN,192.0,198.8,190.55,198.3,64908374,15862157
2020-10-12,SBIN,199.7,205.95,197.25,198.7,69125880,9531119
2020-10-13,SBIN,198.65,200.0,195.1,195.7,34949604,3878144
2020-10-14,SBIN,194.05,200.9,193.05,200.05,40550062,6204348
2020-10-15,SBIN,201.0,202.5,192.0,192.85,49184944,8926933
2020-10-16,SBIN,194.0,196.75,191.6,195.95,36894938,3907003
2020-10-19,SBIN,196.2,204.6,196.05,204.0,60223657,18100990
2020-10-20,SBIN,201.0,204.35,200.7,203.05,39317197,5620943
2020-10-21,SBIN,204.7,207.3,198.85,203.75,54516482,10918958
2020-10-22,SBIN,201.9,204.6,201.1,203.3,33721761,4734176
2020-10-23,SBIN,204.0,205.6,201.55,202.8,32708098,5408726
2020-10-26,SBIN,202.7,204.0,195.6,196.7,45471498,9472379
2020-10-27,SBIN,197.25,197.55,192.25,194.65,37802664,7079292
2020-10-28,SBIN,195.0,195.0,189.05,190.45,46462213,13448807
2020-10-29,SBIN,189.35,190.7,185.9,188.7,44823105,9344991
2020-10-30,SBIN,189.35,192.0,186.15,189.25,41520135,5649029
2020-11-02,SBIN,192.2,197.25,190.05,196.05,52600119,13993534
2020-11-03,SBIN,198.0,205.8,197.6,204.75,69890201,20827276
2020-11-04,SBIN,203.5,209.0,198.05,207.0,117577856,22915206
