Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,56.85,65.4,54.1,61.2,4989022,2524091,50.59290177513749
2020-09-06,61.3,62.5,55.25,59.15,944895,632525,66.94130035612422
2020-09-13,58.95,59.9,51.2,51.9,686777,415371,60.481204233688665
2020-09-20,52.95,60.65,51.3,54.15,720501,495945,68.83335345821865
2020-09-27,54.95,54.95,49.15,51.05,461134,281351,61.01285092836356
2020-10-04,51.95,53.75,50.95,51.85,173503,105442,60.77243621147761
2020-10-11,53.65,55.65,51.0,53.2,393998,230128,58.40841831684425
2020-10-18,54.5,58.2,27.6,27.9,1214566,666434,54.870134681853436
2020-10-25,27.9,27.9,24.25,25.4,798630,486614,60.93109449933011
2020-11-01,25.9,26.2,24.25,24.45,248339,148606,59.83997680589839
2020-11-08,23.1,25.8,22.5,25.25,867345,278622,32.123549452639956
2020-11-15,25.5,26.2,24.15,25.25,570865,198153,34.711008732362295
2020-11-22,25.5,27.75,24.9,27.15,965561,559467,57.94217040663408
2020-11-29,27.95,27.95,25.45,25.95,628473,400610,63.74339072641148
2020-12-06,26.0,30.65,25.6,30.55,1529912,962283,62.897931384288775
2020-12-13,32.6,35.5,28.8,31.9,2722640,1624887,59.680567390473946
2020-12-20,32.55,33.0,29.8,30.4,1087650,717946,66.00891831011815
2020-12-27,29.8,31.4,26.3,30.15,651887,409646,62.840032091451434
2021-01-03,31.25,34.35,30.15,32.5,2062913,921713,44.68016828630194
2021-01-10,32.95,33.95,31.75,32.9,1280245,790540,61.74911833281911
2021-01-17,32.6,32.85,31.1,31.3,623451,438235,70.29181122493989
2021-01-24,31.6,32.0,29.5,29.65,362644,239615,66.07444215263453
2021-01-31,29.55,29.7,28.0,29.45,233894,168704,72.1284000444646
2021-02-07,29.1,31.3,29.1,29.7,348556,232106,66.59073434397916
2021-02-14,29.55,32.25,26.65,27.55,1318261,903247,68.51807039728854
2021-02-21,28.25,34.35,27.8,32.0,5649166,3472446,61.46829461198343
2021-02-28,32.0,34.5,30.15,32.05,1835107,1057187,57.60901135465125
2021-03-07,32.3,36.3,32.3,33.45,2104851,1170642,55.61638329744005
2021-03-14,34.45,35.55,32.25,32.75,625587,307914,49.220012564199706
2021-03-21,32.75,38.35,31.6,35.05,3578920,1641870,45.876130229231165
2021-03-28,34.8,34.95,32.2,32.9,922862,676955,73.35387089293958
2021-04-04,32.9,34.35,31.55,33.5,242478,143016,58.98102095860243
2021-04-11,33.6,34.0,32.0,32.35,340316,236021,69.35348323323029
2021-04-18,32.0,32.05,28.1,29.15,687402,492863,71.69938405765477
2021-04-25,28.9,30.4,27.45,29.8,559732,354244,63.28814504084097
2021-05-02,29.8,34.4,29.45,30.85,876831,562468,64.14782324073852
2021-05-09,30.25,32.7,30.2,30.65,363848,263135,72.32003473978145
2021-05-16,30.3,36.9,30.3,33.95,2309731,1287939,55.76142849535293
2021-05-23,34.05,47.5,33.7,44.95,10310918,5270789,51.1185231033745
2021-05-30,46.1,50.95,45.85,47.85,4685902,2540272,54.21095020766546
2021-06-06,48.0,50.0,43.3,45.05,1666418,1031573,61.90361601951011
2021-06-13,,,,,0,0,
2021-06-20,,,,,0,0,
2021-06-27,,,,,0,0,
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,51.7,56.95,48.4,56.95,4465715,3094900,69.30357176846262
2021-08-01,57.9,59.6,47.5,50.65,2400244,1639729,68.31509629854298
2021-08-08,52.0,52.55,45.8,47.3,1024150,687836,67.16164624322609
2021-08-15,47.9,48.9,40.3,42.85,1265435,904613,71.48632683622628
2021-08-22,43.15,44.0,40.0,40.85,1220265,836144,68.52150967207943
2021-08-29,40.85,41.9,36.95,39.6,891705,640461,71.82431409490808
2021-09-05,39.6,45.4,38.9,43.8,882202,631945,71.63268729837384
2021-09-12,44.25,44.5,41.35,42.35,390601,300681,76.97906559379008
2021-09-19,41.7,42.95,39.6,40.35,409862,308552,75.28192415983916
2021-09-26,40.5,41.2,38.5,39.9,395803,293892,74.25209005490106
2021-10-03,40.0,41.5,39.0,40.7,363908,268467,73.77331633269948
2021-10-10,40.2,44.8,40.2,44.8,845201,607285,71.8509561630902
2021-10-17,47.0,51.7,45.3,46.55,1268164,881505,69.5103314713239
2021-10-24,46.5,48.2,42.5,43.55,870271,564273,64.83876861345489
2021-10-31,44.0,45.0,41.3,43.75,467544,319701,68.37880498947693
2021-11-07,42.7,44.6,40.0,41.45,527956,422827,80.08754517421906
2021-11-14,41.5,43.0,38.45,39.05,888685,650899,73.24293759881174
2021-11-21,40.25,40.5,38.35,38.7,443141,291220,65.717232212772
2021-11-28,39.5,41.75,36.1,39.4,640282,515401,80.49593772743884
2021-12-05,39.2,39.9,37.45,38.7,281936,177865,63.0870126553544
2021-12-12,38.2,42.0,35.15,41.7,564994,354027,62.660311436935615
2021-12-19,41.9,42.8,37.2,38.25,534090,346296,64.8385103634219
2021-12-26,38.0,41.7,35.5,40.4,978544,616412,62.99277293611733
2022-01-02,40.4,44.0,39.1,40.0,1490707,902344,60.531278111661116
2022-01-09,40.05,46.5,40.05,45.45,2079043,1055503,50.76869501977592
