Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,SEAMECLTD,405.9,410.0,402.5,406.65,48941
2020-08-20,SEAMECLTD,409.05,412.0,401.0,402.85,10799
2020-08-21,SEAMECLTD,405.05,414.75,402.0,407.2,8703
2020-08-24,SEAMECLTD,417.95,417.95,410.0,410.65,4161
2020-08-25,SEAMECLTD,411.2,413.65,405.0,408.8,5824
2020-08-26,SEAMECLTD,406.3,414.75,406.25,412.55,7742
2020-08-27,SEAMECLTD,413.0,426.0,411.05,417.55,11324
2020-08-28,SEAMECLTD,418.05,421.3,415.6,417.4,6409
2020-08-31,SEAMECLTD,421.0,421.0,390.05,400.7,8530
2020-09-01,SEAMECLTD,404.1,407.0,400.15,401.4,4786
2020-09-02,SEAMECLTD,399.0,405.65,396.0,397.7,8171
2020-09-03,SEAMECLTD,402.5,404.75,396.3,398.55,5562
2020-09-04,SEAMECLTD,400.05,411.0,396.05,403.25,12268
2020-09-07,SEAMECLTD,400.0,408.8,390.0,405.05,9910
2020-09-08,SEAMECLTD,404.2,404.5,397.05,400.15,5333
2020-09-09,SEAMECLTD,395.0,407.9,361.5,401.95,4676
2020-09-10,SEAMECLTD,401.75,402.35,396.0,397.35,5979
2020-09-11,SEAMECLTD,403.9,403.9,392.25,394.75,5520
2020-09-14,SEAMECLTD,400.5,402.5,393.0,394.8,8214
2020-09-15,SEAMECLTD,397.0,402.0,395.0,396.65,5864
2020-09-16,SEAMECLTD,395.45,414.8,392.75,404.5,67767
2020-09-17,SEAMECLTD,410.0,410.0,396.5,404.0,2865
2020-09-18,SEAMECLTD,399.1,404.0,399.05,400.25,26101
2020-09-21,SEAMECLTD,412.55,412.95,402.15,406.0,30542
2020-09-22,SEAMECLTD,401.0,408.45,391.0,400.25,5475
2020-09-23,SEAMECLTD,407.0,407.0,399.0,400.6,3891
2020-09-24,SEAMECLTD,400.0,400.0,391.25,395.05,3944
2020-09-25,SEAMECLTD,392.0,400.0,391.1,393.2,10446
2020-09-28,SEAMECLTD,394.15,440.0,394.15,430.7,30768
2020-09-29,SEAMECLTD,442.0,442.0,417.5,435.35,11649
2020-09-30,SEAMECLTD,423.15,439.45,423.15,434.65,3763
2020-10-01,SEAMECLTD,435.0,436.6,430.3,434.25,2798
2020-10-05,SEAMECLTD,443.9,443.9,415.5,419.0,2065
2020-10-06,SEAMECLTD,406.0,424.6,406.0,411.65,1512
2020-10-07,SEAMECLTD,424.95,424.95,410.0,410.85,1609
2020-10-08,SEAMECLTD,412.2,417.2,402.7,405.85,3091
2020-10-09,SEAMECLTD,405.0,406.95,397.05,400.35,5229
2020-10-12,SEAMECLTD,401.75,410.95,400.1,401.45,2517
2020-10-13,SEAMECLTD,406.35,408.0,400.6,404.1,2968
2020-10-14,SEAMECLTD,403.15,404.95,396.0,397.7,3679
2020-10-15,SEAMECLTD,401.0,404.45,397.9,400.3,3922
2020-10-16,SEAMECLTD,401.55,406.8,398.05,400.9,1836
2020-10-19,SEAMECLTD,421.0,421.0,398.2,400.75,3937
2020-10-20,SEAMECLTD,400.1,403.7,400.0,400.5,2020
2020-10-21,SEAMECLTD,399.2,403.0,397.2,401.45,4467
2020-10-22,SEAMECLTD,401.45,404.9,376.0,397.25,4482
2020-10-23,SEAMECLTD,388.55,405.85,387.25,398.6,4823
2020-10-26,SEAMECLTD,401.7,404.0,390.5,399.0,3161
2020-10-27,SEAMECLTD,414.0,414.0,397.1,401.8,1855
2020-10-28,SEAMECLTD,417.8,417.8,393.1,394.25,1945
2020-10-29,SEAMECLTD,395.35,407.5,387.7,403.05,2491
2020-10-30,SEAMECLTD,401.05,409.85,398.0,404.5,6262
2020-11-02,SEAMECLTD,405.2,405.2,398.5,399.0,5979
2020-11-03,SEAMECLTD,399.35,402.05,396.25,398.55,7082
2020-11-04,SEAMECLTD,395.0,402.0,384.8,395.15,3907
2020-11-05,SEAMECLTD,393.65,400.7,385.15,397.8,5027
2020-11-06,SEAMECLTD,398.05,414.95,391.0,394.65,4274
2020-11-09,SEAMECLTD,403.0,403.0,392.0,394.85,5928
2020-11-10,SEAMECLTD,400.75,400.75,385.05,394.8,7656
2020-11-11,SEAMECLTD,397.3,398.5,386.15,389.15,3392
2020-11-12,SEAMECLTD,382.05,394.5,379.25,389.55,8638
2020-11-13,SEAMECLTD,386.0,394.25,385.05,388.5,3819
2020-11-14,SEAMECLTD,385.8,404.0,385.8,392.2,2978
2020-11-17,SEAMECLTD,404.95,409.0,392.35,396.0,6054
2020-11-18,SEAMECLTD,401.65,401.65,387.65,390.95,3794
2020-11-19,SEAMECLTD,390.95,399.0,390.0,391.2,4921
2020-11-20,SEAMECLTD,393.9,393.9,382.5,386.0,5549
2020-11-23,SEAMECLTD,391.0,458.9,388.85,393.55,12793
2020-11-24,SEAMECLTD,401.65,403.85,385.15,398.5,5086
2020-11-25,SEAMECLTD,402.85,421.9,399.8,403.85,8244
2020-11-26,SEAMECLTD,409.95,418.0,394.55,401.85,3573
2020-11-27,SEAMECLTD,408.7,416.95,390.9,398.95,6873
2020-12-01,SEAMECLTD,399.0,415.0,399.0,404.85,7985
2020-12-02,SEAMECLTD,412.65,455.0,405.0,431.75,65430
2020-12-03,SEAMECLTD,449.0,449.0,423.05,426.75,7554
2020-12-04,SEAMECLTD,426.75,431.6,411.05,416.2,7443
2020-12-07,SEAMECLTD,416.2,430.85,416.0,425.75,8988
2020-12-08,SEAMECLTD,429.55,435.0,421.75,429.6,10641
2020-12-09,SEAMECLTD,439.0,475.0,439.0,456.4,55461
2020-12-10,SEAMECLTD,458.0,479.0,446.0,470.35,23137
2020-12-11,SEAMECLTD,480.0,490.0,473.65,485.3,18240
2020-12-14,SEAMECLTD,488.0,512.25,472.25,484.1,18556
2020-12-15,SEAMECLTD,486.5,490.95,470.9,480.15,21543
2020-12-16,SEAMECLTD,477.05,500.0,469.1,483.2,30456
2020-12-17,SEAMECLTD,481.6,481.6,468.2,470.1,9437
2020-12-18,SEAMECLTD,466.0,477.9,461.1,463.65,2843
2020-12-21,SEAMECLTD,463.7,465.0,436.15,439.85,5166
2020-12-22,SEAMECLTD,439.8,445.0,425.0,433.6,3093
2020-12-23,SEAMECLTD,440.2,440.5,432.3,433.7,2027
2020-12-24,SEAMECLTD,447.8,447.85,435.0,439.5,4027
2020-12-28,SEAMECLTD,452.9,453.0,435.25,437.65,11145
2020-12-29,SEAMECLTD,440.95,441.25,430.65,431.6,9796
2020-12-30,SEAMECLTD,437.0,475.0,431.65,460.6,19490
2020-12-31,SEAMECLTD,464.3,469.65,447.0,449.85,12703
2021-01-01,SEAMECLTD,449.95,459.0,448.5,451.95,5383
2021-01-04,SEAMECLTD,459.4,470.9,451.65,457.9,9845
2021-01-05,SEAMECLTD,456.0,508.95,453.25,482.0,26345
2021-01-06,SEAMECLTD,489.25,501.85,474.4,477.25,14581
2021-01-07,SEAMECLTD,483.5,499.0,475.0,481.0,4969
2021-01-08,SEAMECLTD,485.0,490.0,475.0,480.0,13152
2021-01-11,SEAMECLTD,485.0,489.85,474.4,476.5,13222
2021-01-12,SEAMECLTD,473.8,488.2,470.05,473.2,7519
2021-01-13,SEAMECLTD,474.95,480.25,465.0,468.1,6636
2021-01-14,SEAMECLTD,461.0,475.95,461.0,471.75,11572
2021-01-15,SEAMECLTD,471.05,480.0,471.05,474.05,6282
2021-01-18,SEAMECLTD,485.5,485.5,469.9,476.6,9128
2021-01-19,SEAMECLTD,476.0,479.4,466.85,471.05,6667
2021-01-20,SEAMECLTD,469.0,478.1,465.7,471.8,5655
2021-01-21,SEAMECLTD,478.0,478.45,464.0,469.65,3421
2021-01-22,SEAMECLTD,471.65,481.2,450.2,456.5,6037
2021-01-25,SEAMECLTD,457.0,464.85,438.55,442.2,2952
2021-01-27,SEAMECLTD,448.95,448.95,436.7,437.75,1689
2021-01-28,SEAMECLTD,439.4,460.0,436.0,439.2,2042
2021-01-29,SEAMECLTD,455.9,455.9,439.4,449.45,3617
2021-02-01,SEAMECLTD,459.6,520.05,445.3,462.45,8368
2021-02-02,SEAMECLTD,463.7,488.95,455.45,457.95,11508
2021-02-03,SEAMECLTD,450.05,469.95,450.05,463.7,12499
2021-02-04,SEAMECLTD,461.1,502.0,460.25,489.8,14718
2021-02-05,SEAMECLTD,485.0,498.0,480.0,490.8,7029
2021-02-08,SEAMECLTD,493.8,493.8,472.4,482.7,7930
2021-02-09,SEAMECLTD,489.0,489.0,471.0,474.45,38771
2021-02-10,SEAMECLTD,483.85,483.9,452.5,465.5,18462
2021-02-11,SEAMECLTD,464.0,479.0,459.6,469.8,6689
2021-02-12,SEAMECLTD,475.45,479.0,461.3,471.05,3087
2021-02-15,SEAMECLTD,476.25,480.15,450.0,452.7,8765
2021-02-16,SEAMECLTD,454.95,460.25,452.7,456.65,6167
2021-02-17,SEAMECLTD,456.65,490.0,450.0,465.5,107648
