Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SEYAIND,59.5,60.7,56.4,56.45,13931,11985
2021-08-24,SEYAIND,55.1,58.1,53.85,57.35,21986,13073
2021-08-25,SEYAIND,58.1,59.6,55.9,57.4,15757,10224
2021-08-26,SEYAIND,55.6,58.6,54.55,54.95,27268,16745
2021-08-27,SEYAIND,55.9,57.65,54.0,57.6,22094,18182
2021-08-30,SEYAIND,58.0,60.35,57.05,59.6,21877,15558
2021-08-31,SEYAIND,59.65,60.0,57.3,57.5,6384,5084
2021-09-01,SEYAIND,57.5,59.95,57.5,58.9,11852,8245
2021-09-02,SEYAIND,59.95,59.95,57.6,59.0,7444,5322
2021-09-03,SEYAIND,60.15,60.15,58.05,58.4,4195,2919
2021-09-06,SEYAIND,59.8,59.8,57.0,57.4,23668,17697
2021-09-07,SEYAIND,57.5,58.4,55.0,55.65,29945,21276
2021-09-08,SEYAIND,55.4,58.3,55.4,56.55,9564,6846
2021-09-09,SEYAIND,57.85,57.85,55.95,56.75,8428,6343
2021-09-13,SEYAIND,56.75,56.75,54.6,54.95,60351,50833
2021-09-14,SEYAIND,55.0,56.05,54.5,54.9,82161,74011
2021-09-15,SEYAIND,55.5,56.05,54.4,54.9,45570,30292
2021-09-16,SEYAIND,55.85,56.0,54.75,54.85,50719,37983
2021-09-17,SEYAIND,55.65,56.85,52.5,53.0,69249,54200
2021-09-20,SEYAIND,53.85,53.85,52.5,52.65,42796,35242
2021-09-21,SEYAIND,52.65,53.0,51.55,52.25,15097,11178
2021-09-22,SEYAIND,53.8,54.85,53.3,54.85,17884,15200
2021-09-23,SEYAIND,56.9,57.55,56.5,57.55,31220,27891
2021-09-24,SEYAIND,58.95,58.95,54.7,55.0,52595,34687
2021-09-27,SEYAIND,55.0,55.0,53.25,53.75,13407,10811
2021-09-28,SEYAIND,53.45,54.95,52.75,53.0,21907,15730
2021-09-29,SEYAIND,54.0,54.85,52.1,53.75,15247,11649
2021-09-30,SEYAIND,53.3,55.2,51.35,53.75,21441,11215
2021-10-01,SEYAIND,53.75,54.2,53.25,53.55,7892,6889
2021-10-04,SEYAIND,53.85,55.15,53.8,54.25,18115,13832
2021-10-05,SEYAIND,54.25,56.05,53.45,54.75,26387,18738
2021-10-06,SEYAIND,55.55,55.85,54.95,55.05,33161,24997
2021-10-07,SEYAIND,57.75,57.75,54.8,55.5,10589,6786
2021-10-08,SEYAIND,57.95,57.95,55.0,56.0,14052,10093
2021-10-11,SEYAIND,57.95,57.95,55.45,56.55,22734,18316
2021-10-12,SEYAIND,57.15,57.15,55.2,55.9,31096,24589
2021-10-13,SEYAIND,55.6,58.6,55.6,57.0,21864,16060
2021-10-14,SEYAIND,58.0,58.0,56.4,56.7,14216,11285
2021-10-18,SEYAIND,55.35,56.8,54.3,54.85,30498,21648
2021-10-19,SEYAIND,55.0,60.3,54.3,59.95,520401,173346
