Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SHAKTIPUMP,688.0,688.0,638.05,647.6,78971,50033
2021-08-24,SHAKTIPUMP,652.65,675.0,640.1,668.45,64435,41724
2021-08-25,SHAKTIPUMP,675.0,719.25,675.0,698.8,96887,30225
2021-08-26,SHAKTIPUMP,705.0,709.95,683.95,690.95,24279,13691
2021-08-27,SHAKTIPUMP,719.0,734.65,713.45,719.45,98203,50996
2021-08-30,SHAKTIPUMP,726.7,733.95,720.0,726.6,40126,25408
2021-08-31,SHAKTIPUMP,733.0,734.0,716.7,717.95,33656,22389
2021-09-01,SHAKTIPUMP,724.5,747.4,705.0,726.6,145367,47762
2021-09-02,SHAKTIPUMP,733.0,743.0,727.1,739.8,77281,46414
2021-09-03,SHAKTIPUMP,743.0,756.8,732.0,749.85,104962,60828
2021-09-06,SHAKTIPUMP,752.55,763.9,741.3,742.9,58465,33979
2021-09-07,SHAKTIPUMP,743.45,748.15,730.0,733.95,36810,19441
2021-09-08,SHAKTIPUMP,742.0,746.45,722.05,724.1,28704,18074
2021-09-09,SHAKTIPUMP,723.0,730.4,710.7,716.85,40575,26495
2021-09-13,SHAKTIPUMP,707.0,725.8,703.3,715.85,42711,17323
2021-09-14,SHAKTIPUMP,729.9,744.5,719.05,737.9,67655,34457
2021-09-15,SHAKTIPUMP,747.7,766.85,741.95,750.65,115537,62098
2021-09-16,SHAKTIPUMP,757.5,757.5,732.5,736.55,42016,27242
2021-09-17,SHAKTIPUMP,748.0,748.0,705.0,715.4,66836,35407
2021-09-20,SHAKTIPUMP,714.0,727.15,708.85,711.1,31334,17680
2021-09-21,SHAKTIPUMP,705.05,709.1,683.0,704.7,71464,35345
2021-09-22,SHAKTIPUMP,704.7,719.85,701.85,706.35,28673,14035
2021-09-23,SHAKTIPUMP,710.0,721.0,706.55,713.7,27405,16691
2021-09-24,SHAKTIPUMP,719.0,742.0,709.1,732.6,92598,47988
