Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SHRIRAMCIT,929.8,960.0,911.1,948.8,58901,39566
2020-08-27,SHRIRAMCIT,958.0,964.95,939.45,944.55,20220,12835
2020-08-28,SHRIRAMCIT,959.0,960.0,930.0,944.0,23039,15716
2020-08-31,SHRIRAMCIT,933.0,949.95,853.65,934.4,91740,54058
2020-09-01,SHRIRAMCIT,900.0,960.0,900.0,940.85,26761,17327
2020-09-02,SHRIRAMCIT,959.0,990.15,940.0,978.25,70101,44780
2020-09-03,SHRIRAMCIT,990.0,998.95,970.1,979.45,56092,32879
2020-09-04,SHRIRAMCIT,946.0,970.0,946.0,963.5,48238,38701
2020-09-07,SHRIRAMCIT,950.0,997.45,940.05,943.55,19822,13110
2020-09-08,SHRIRAMCIT,944.0,1010.0,944.0,957.4,54117,17031
2020-09-09,SHRIRAMCIT,956.9,956.9,930.05,946.6,16295,9096
2020-09-10,SHRIRAMCIT,946.5,964.15,942.95,947.1,12021,7215
2020-09-11,SHRIRAMCIT,947.8,955.65,930.05,939.6,10652,6121
2020-09-14,SHRIRAMCIT,949.65,1014.9,936.35,999.05,93102,56681
2020-09-15,SHRIRAMCIT,1001.0,1032.7,985.0,998.4,106430,83384
2020-09-16,SHRIRAMCIT,999.0,1003.75,994.0,999.85,19599,15316
2020-09-17,SHRIRAMCIT,1002.2,1002.2,967.0,973.0,16254,10712
2020-09-18,SHRIRAMCIT,999.0,999.0,963.0,973.4,7471,3911
2020-09-21,SHRIRAMCIT,970.0,977.5,880.0,895.95,30741,17384
2020-09-22,SHRIRAMCIT,881.0,905.7,831.0,885.3,70991,38413
2020-09-23,SHRIRAMCIT,911.75,943.0,875.3,908.7,42006,32010
2020-09-24,SHRIRAMCIT,901.25,910.0,852.2,886.3,20033,10601
2020-09-25,SHRIRAMCIT,886.3,935.0,875.5,922.6,60627,48304
2020-09-28,SHRIRAMCIT,945.0,953.45,924.65,949.25,17040,11809
2020-09-29,SHRIRAMCIT,961.9,962.0,940.0,947.4,77967,71121
2020-09-30,SHRIRAMCIT,947.45,961.5,940.6,948.75,13601,6007
