Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,9.0,9.35,8.65,8.65,86785,65361,75.31370628564844,-75.31370628564844,75.31370628564844
2020-09-06,8.65,9.1,8.0,8.65,122619,91425,74.56022313018374,-61.75730208016041,75.31370628564844
2020-09-13,8.65,8.65,7.3,7.35,72218,61795,85.56731008889751,-140.9862929032137,-10.253603803249078
2020-09-20,7.5,7.65,6.6,6.95,52935,41339,78.09388873146311,-167.0175891470347,-88.34749253471219
2020-09-27,6.65,6.95,6.1,6.55,38724,38077,98.32920152876768,-161.23351846887192,-186.67669406347989
2020-10-04,6.65,6.85,6.3,6.5,17626,14673,83.24634063315557,-183.93706591427792,-269.92303469663545
2020-10-11,6.6,7.25,6.2,6.5,29446,21769,73.92854717109284,-215.62072898760346,-269.92303469663545
2020-10-18,6.55,6.7,5.95,6.1,27368,23113,84.45264542531423,-266.29231624279214,-354.3756801219497
2020-10-25,6.05,6.75,6.05,6.45,35597,31129,87.44838048150126,-253.79969045972047,-266.92729964044844
2020-11-01,6.25,6.45,6.0,6.0,56031,51082,91.16738948082312,-344.9670799405436,-358.0946891212716
2020-11-08,5.85,6.45,5.55,6.35,77946,72916,93.54681446129372,-272.2084464706486,-264.5478746599779
2020-11-15,6.4,6.45,5.5,5.5,58963,48637,82.48732255821447,-354.6957690288631,-347.03519721819237
2020-11-22,5.55,6.1,5.5,6.05,117888,70580,59.870385450597176,-304.80378115336543,-287.1648117675952
2020-11-29,6.3,6.35,5.8,6.1,105249,79028,75.08669916103716,-297.97771759327117,-212.07811260655805
2020-12-06,5.9,6.35,5.8,6.1,132642,95685,72.13778441217714,-291.4197371921642,-212.07811260655805
2020-12-13,6.5,8.4,6.15,7.85,352192,244631,69.45955615119026,-255.91818627044475,-142.6185564553678
2020-12-20,7.8,9.45,7.55,8.65,281676,207598,73.70098978968744,-244.2811878825993,-68.91756666568037
